Date,Title,politics,economics,IT,finance,realEstate,international,social,life,golf,ent
2014-01-02,,1,0,0,0,0,0,0,0,0,0
2014-01-02,,0,1,0,0,0,0,0,0,0,0
2014-01-02,"[신년사]박진수 ""글로벌 불황, 위기의식 재무장""",0,0,1,0,0,0,0,0,0,0
2014-01-02,[전문]박진수 LG화학 부회장 신년사,0,0,1,0,0,0,0,0,0,0
2014-01-02,,0,0,0,1,0,0,0,0,0,0
2014-01-02,,0,0,0,0,1,0,0,0,0,0
2014-01-02,,0,0,0,0,0,1,0,0,0,0
2014-01-02,,0,0,0,0,0,0,1,0,0,0
2014-01-02,,0,0,0,0,0,0,0,1,0,0
2014-01-02,,0,0,0,0,0,0,0,0,1,0
2014-01-02,,0,0,0,0,0,0,0,0,0,1
2014-01-03,,1,0,0,0,0,0,0,0,0,0
2014-01-03,,0,1,0,0,0,0,0,0,0,0
2014-01-03,,0,0,1,0,0,0,0,0,0,0
2014-01-03,"""환율에 실적에…"" 걱정 많은 코스피 '1% 약세'. 1940선",0,0,0,1,0,0,0,0,0,0
2014-01-03,,0,0,0,0,1,0,0,0,0,0
2014-01-03,,0,0,0,0,0,1,0,0,0,0
2014-01-03,,0,0,0,0,0,0,1,0,0,0
2014-01-03,,0,0,0,0,0,0,0,1,0,0
2014-01-03,,0,0,0,0,0,0,0,0,1,0
2014-01-03,,0,0,0,0,0,0,0,0,0,1
2014-01-06,,1,0,0,0,0,0,0,0,0,0
2014-01-06,,0,1,0,0,0,0,0,0,0,0
2014-01-06,LG '말띠해 대박運' 올해도?,0,0,1,0,0,0,0,0,0,0
2014-01-06,"코스피 소폭 상승, 1950 회복 시도…삼성電 반등",0,0,0,1,0,0,0,0,0,0
2014-01-06,"""中 우려"" 코스피 하락전환…1940선",0,0,0,1,0,0,0,0,0,0
2014-01-06,"코스피, 외국인 '사자' 전환에 1950선 회복",0,0,0,1,0,0,0,0,0,0
2014-01-06,"코스피, '새해 급락' 딛고 반등…1950선 회복",0,0,0,1,0,0,0,0,0,0
2014-01-06,,0,0,0,0,1,0,0,0,0,0
2014-01-06,,0,0,0,0,0,1,0,0,0,0
2014-01-06,,0,0,0,0,0,0,1,0,0,0
2014-01-06,,0,0,0,0,0,0,0,1,0,0
2014-01-06,,0,0,0,0,0,0,0,0,1,0
2014-01-06,,0,0,0,0,0,0,0,0,0,1
2014-01-07,,1,0,0,0,0,0,0,0,0,0
2014-01-07,,0,1,0,0,0,0,0,0,0,0
2014-01-07,"박진수 ""질풍경초 자세로 위기 극복""…새해 첫 현장경영",0,0,1,0,0,0,0,0,0,0
2014-01-07,"한상범 LG디스플레이 사장 ""올해 OLED TV 개화할 것""",0,0,1,0,0,0,0,0,0,0
2014-01-07,"코스피, 삼성電 '쇼크' 딛고 2거래일째 상승 마감",0,0,0,1,0,0,0,0,0,0
2014-01-07,"코스피 상승세 지속, 1960선 등락…車↑",0,0,0,1,0,0,0,0,0,0
2014-01-07,"외국인 '사자', 코스피 1960선 안착 시도…삼성電 보합권 등락",0,0,0,1,0,0,0,0,0,0
2014-01-07,"동부證, 8일부터 ELB·ELS 3종 판매",0,0,0,1,0,0,0,0,0,0
2014-01-07,"코스피 1960 회복 시도…""삼성電, 어닝쇼크＜불확실성 제거?""",0,0,0,1,0,0,0,0,0,0
2014-01-07,파주프로젝트 등 초대형 개발 시동…수익형 부동산 '폭발',0,0,0,0,1,0,0,0,0,0
2014-01-07,,0,0,0,0,0,1,0,0,0,0
2014-01-07,,0,0,0,0,0,0,1,0,0,0
2014-01-07,,0,0,0,0,0,0,0,1,0,0
2014-01-07,,0,0,0,0,0,0,0,0,1,0
2014-01-07,,0,0,0,0,0,0,0,0,0,1
2014-01-08,,1,0,0,0,0,0,0,0,0,0
2014-01-08,,0,1,0,0,0,0,0,0,0,0
2014-01-08,,0,0,1,0,0,0,0,0,0,0
2014-01-08,"기관 '팔자' 코스피, 대형주 중심 약세…1950선",0,0,0,1,0,0,0,0,0,0
2014-01-08,코스피 1960 전후 '혼조'…電↓·車↑,0,0,0,1,0,0,0,0,0,0
2014-01-08,"""외국인vs기관""…코스피 1950선 공방, SK하이닉스 3%↑",0,0,0,1,0,0,0,0,0,0
2014-01-08,"""이벤트 앞둔 경계감""…'멈칫'한 코스피, 1950선 마감",0,0,0,1,0,0,0,0,0,0
2014-01-08,,0,0,0,0,1,0,0,0,0,0
2014-01-08,,0,0,0,0,0,1,0,0,0,0
2014-01-08,,0,0,0,0,0,0,1,0,0,0
2014-01-08,,0,0,0,0,0,0,0,1,0,0
2014-01-08,,0,0,0,0,0,0,0,0,1,0
2014-01-08,,0,0,0,0,0,0,0,0,0,1
2014-01-09,,1,0,0,0,0,0,0,0,0,0
2014-01-09,,0,1,0,0,0,0,0,0,0,0
2014-01-09,,0,0,1,0,0,0,0,0,0,0
2014-01-09,코스피 1950선 혼조…기관 팔자,0,0,0,1,0,0,0,0,0,0
2014-01-09,"코스피 약세, 1950선…장 중 변동폭 10p '미미'",0,0,0,1,0,0,0,0,0,0
2014-01-09,"옵션만기일, 동시호가 기관 매물에 '악'…코스피 1950 하회",0,0,0,1,0,0,0,0,0,0
2014-01-09,,0,0,0,0,1,0,0,0,0,0
