Date,Title,politics,economics,IT,finance,realEstate,international,social,life,golf,ent
2014-01-02,,1,0,0,0,0,0,0,0,0,0
2014-01-02,[한국경제리스크]엔저 정기화 中企에 직격탄,0,1,0,0,0,0,0,0,0,0
2014-01-02,,0,0,1,0,0,0,0,0,0,0
2014-01-02,,0,0,0,1,0,0,0,0,0,0
2014-01-02,,0,0,0,0,1,0,0,0,0,0
2014-01-02,,0,0,0,0,0,1,0,0,0,0
2014-01-02,,0,0,0,0,0,0,1,0,0,0
2014-01-02,,0,0,0,0,0,0,0,1,0,0
2014-01-02,,0,0,0,0,0,0,0,0,1,0
2014-01-02,,0,0,0,0,0,0,0,0,0,1
2014-01-03,,1,0,0,0,0,0,0,0,0,0
2014-01-03,,0,1,0,0,0,0,0,0,0,0
2014-01-03,신기술로 앱과 승부한다…'내비의 반격',0,0,1,0,0,0,0,0,0,0
2014-01-03,,0,0,0,1,0,0,0,0,0,0
2014-01-03,,0,0,0,0,1,0,0,0,0,0
2014-01-03,,0,0,0,0,0,1,0,0,0,0
2014-01-03,,0,0,0,0,0,0,1,0,0,0
2014-01-03,,0,0,0,0,0,0,0,1,0,0
2014-01-03,,0,0,0,0,0,0,0,0,1,0
2014-01-03,,0,0,0,0,0,0,0,0,0,1
2014-01-06,,1,0,0,0,0,0,0,0,0,0
2014-01-06,,0,1,0,0,0,0,0,0,0,0
2014-01-06,"현대차, 지난해 美 판매량 72만783대 '사상최다'",0,0,1,0,0,0,0,0,0,0
2014-01-06,"현대기아차, 美서 나홀로 뒷걸음질…점유율 8% 턱걸이",0,0,1,0,0,0,0,0,0,0
2014-01-06,"현대차, 글로벌 생산공장 견학 웹사이트 구축",0,0,1,0,0,0,0,0,0,0
2014-01-06,"獨에 밀리고 日에 치이고…현대기아차, 안팎서 역주행",0,0,1,0,0,0,0,0,0,0
2014-01-06,,0,0,0,1,0,0,0,0,0,0
2014-01-06,,0,0,0,0,1,0,0,0,0,0
2014-01-06,지난해 美 자동차 시장 7.5% 성장,0,0,0,0,0,1,0,0,0,0
2014-01-06,,0,0,0,0,0,0,1,0,0,0
2014-01-06,,0,0,0,0,0,0,0,1,0,0
2014-01-06,,0,0,0,0,0,0,0,0,1,0
2014-01-06,,0,0,0,0,0,0,0,0,0,1
2014-01-07,,1,0,0,0,0,0,0,0,0,0
2014-01-07,,0,1,0,0,0,0,0,0,0,0
2014-01-07,"[글로벌페이스]에어리퀴드 CEO ""수소전지차가 성장 동력원""",0,0,1,0,0,0,0,0,0,0
2014-01-07,IT융합 첨단 자동차도 달린다,0,0,1,0,0,0,0,0,0,0
2014-01-07,,0,0,0,1,0,0,0,0,0,0
2014-01-07,,0,0,0,0,1,0,0,0,0,0
2014-01-07,,0,0,0,0,0,1,0,0,0,0
2014-01-07,,0,0,0,0,0,0,1,0,0,0
2014-01-07,,0,0,0,0,0,0,0,1,0,0
2014-01-07,,0,0,0,0,0,0,0,0,1,0
