Date,Title,politics,economics,IT,finance,realEstate,international,social,life,golf,ent
2014-01-02,,1,0,0,0,0,0,0,0,0,0
2014-01-02,,0,1,0,0,0,0,0,0,0,0
2014-01-02,,0,0,1,0,0,0,0,0,0,0
2014-01-02,,0,0,0,1,0,0,0,0,0,0
2014-01-02,,0,0,0,0,1,0,0,0,0,0
2014-01-02,,0,0,0,0,0,1,0,0,0,0
2014-01-02,,0,0,0,0,0,0,1,0,0,0
2014-01-02,,0,0,0,0,0,0,0,1,0,0
2014-01-02,,0,0,0,0,0,0,0,0,1,0
2014-01-02,,0,0,0,0,0,0,0,0,0,1
2014-01-03,,1,0,0,0,0,0,0,0,0,0
2014-01-03,,0,1,0,0,0,0,0,0,0,0
2014-01-03,쪼그라든 내수 車 시장…현대기아차 목표 달성 실패,0,0,1,0,0,0,0,0,0,0
2014-01-03,새해 벽두부터 최악의 換亂…수출 비상,0,0,1,0,0,0,0,0,0,0
2014-01-03,짧은 신년사는 비명처럼 절박했다,0,0,1,0,0,0,0,0,0,0
2014-01-03,,0,0,0,1,0,0,0,0,0,0
2014-01-03,,0,0,0,0,1,0,0,0,0,0
2014-01-03,,0,0,0,0,0,1,0,0,0,0
2014-01-03,,0,0,0,0,0,0,1,0,0,0
2014-01-03,,0,0,0,0,0,0,0,1,0,0
2014-01-03,,0,0,0,0,0,0,0,0,1,0
2014-01-03,,0,0,0,0,0,0,0,0,0,1
2014-01-06,,1,0,0,0,0,0,0,0,0,0
2014-01-06,,0,1,0,0,0,0,0,0,0,0
2014-01-06,"현대기아차, 美서 나홀로 뒷걸음질…점유율 8% 턱걸이",0,0,1,0,0,0,0,0,0,0
2014-01-06,기아차 2014년형 프라이드 출시…1293만~1701만원,0,0,1,0,0,0,0,0,0,0
2014-01-06,"獨에 밀리고 日에 치이고…현대기아차, 안팎서 역주행",0,0,1,0,0,0,0,0,0,0
2014-01-06,"기아차, 설 귀향차량 250대 무료 렌트",0,0,1,0,0,0,0,0,0,0
2014-01-06,"""中 우려"" 코스피 하락전환…1940선",0,0,0,1,0,0,0,0,0,0
2014-01-06,"[특징주]현대차 3인방, 사흘 만에 소폭 반등",0,0,0,1,0,0,0,0,0,0
2014-01-06,"코스피, '새해 급락' 딛고 반등…1950선 회복",0,0,0,1,0,0,0,0,0,0
2014-01-06,"코스피, 외국인 '사자' 전환에 1950선 회복",0,0,0,1,0,0,0,0,0,0
2014-01-06,,0,0,0,0,1,0,0,0,0,0
2014-01-06,지난해 美 자동차 시장 7.5% 성장,0,0,0,0,0,1,0,0,0,0
2014-01-06,,0,0,0,0,0,0,1,0,0,0
2014-01-06,,0,0,0,0,0,0,0,1,0,0
2014-01-06,,0,0,0,0,0,0,0,0,1,0
2014-01-06,,0,0,0,0,0,0,0,0,0,1
2014-01-07,,1,0,0,0,0,0,0,0,0,0
2014-01-07,,0,1,0,0,0,0,0,0,0,0
2014-01-07,"기아차, 1000만원 쏜다",0,0,1,0,0,0,0,0,0,0
2014-01-07,"기아차, 2014 CES서 전기차 전용 텔레매틱스 첫 선",0,0,1,0,0,0,0,0,0,0
2014-01-07,"코스피 1960 회복 시도…""삼성電, 어닝쇼크＜불확실성 제거?""",0,0,0,1,0,0,0,0,0,0
2014-01-07,"코스피 상승세 지속, 1960선 등락…車↑",0,0,0,1,0,0,0,0,0,0
2014-01-07,"코스피, 삼성電 '쇼크' 딛고 2거래일째 상승 마감",0,0,0,1,0,0,0,0,0,0
2014-01-07,"외국인 '사자', 코스피 1960선 안착 시도…삼성電 보합권 등락",0,0,0,1,0,0,0,0,0,0
2014-01-07,,0,0,0,0,1,0,0,0,0,0
2014-01-07,,0,0,0,0,0,1,0,0,0,0
2014-01-07,,0,0,0,0,0,0,1,0,0,0
2014-01-07,,0,0,0,0,0,0,0,1,0,0
2014-01-07,,0,0,0,0,0,0,0,0,1,0
2014-01-07,,0,0,0,0,0,0,0,0,0,1
2014-01-08,,1,0,0,0,0,0,0,0,0,0
2014-01-08,,0,1,0,0,0,0,0,0,0,0
2014-01-08,"현대차 노조, 민노총 총파업일에 잔업 거부",0,0,1,0,0,0,0,0,0,0
2014-01-08,"新그랜저·K7 하이브리드, 구형엔진 썼다",0,0,1,0,0,0,0,0,0,0
2014-01-08,"""외국인vs기관""…코스피 1950선 공방, SK하이닉스 3%↑",0,0,0,1,0,0,0,0,0,0
2014-01-08,현대·기아차도 목표가 줄하향,0,0,0,1,0,0,0,0,0,0
2014-01-08,코스피 1960 전후 '혼조'…電↓·車↑,0,0,0,1,0,0,0,0,0,0
2014-01-08,"대유신소재, 기아차 스포티지R 스티어링휠 공급",0,0,0,1,0,0,0,0,0,0
2014-01-08,"기관 '팔자' 코스피, 대형주 중심 약세…1950선",0,0,0,1,0,0,0,0,0,0
2014-01-08,"""이벤트 앞둔 경계감""…'멈칫'한 코스피, 1950선 마감",0,0,0,1,0,0,0,0,0,0
2014-01-08,,0,0,0,0,1,0,0,0,0,0
2014-01-08,,0,0,0,0,0,1,0,0,0,0
2014-01-08,,0,0,0,0,0,0,1,0,0,0
2014-01-08,,0,0,0,0,0,0,0,1,0,0
2014-01-08,,0,0,0,0,0,0,0,0,1,0
2014-01-08,,0,0,0,0,0,0,0,0,0,1
