Date,Title,politics,economics,IT,finance,realEstate,international,social,life,golf,ent
2014-01-02,,1,0,0,0,0,0,0,0,0,0
2014-01-02,,0,1,0,0,0,0,0,0,0,0
2014-01-02,,0,0,1,0,0,0,0,0,0,0
2014-01-02,,0,0,0,1,0,0,0,0,0,0
2014-01-02,,0,0,0,0,1,0,0,0,0,0
2014-01-02,,0,0,0,0,0,1,0,0,0,0
2014-01-02,,0,0,0,0,0,0,1,0,0,0
2014-01-02,,0,0,0,0,0,0,0,1,0,0
2014-01-02,,0,0,0,0,0,0,0,0,1,0
2014-01-02,,0,0,0,0,0,0,0,0,0,1
2014-01-03,,1,0,0,0,0,0,0,0,0,0
2014-01-03,,0,1,0,0,0,0,0,0,0,0
2014-01-03,,0,0,1,0,0,0,0,0,0,0
2014-01-03,,0,0,0,1,0,0,0,0,0,0
2014-01-03,,0,0,0,0,1,0,0,0,0,0
2014-01-03,,0,0,0,0,0,1,0,0,0,0
2014-01-03,,0,0,0,0,0,0,1,0,0,0
2014-01-03,,0,0,0,0,0,0,0,1,0,0
2014-01-03,,0,0,0,0,0,0,0,0,1,0
2014-01-03,,0,0,0,0,0,0,0,0,0,1
2014-01-06,,1,0,0,0,0,0,0,0,0,0
2014-01-06,,0,1,0,0,0,0,0,0,0,0
2014-01-06,,0,0,1,0,0,0,0,0,0,0
2014-01-06,,0,0,0,1,0,0,0,0,0,0
2014-01-06,,0,0,0,0,1,0,0,0,0,0
2014-01-06,,0,0,0,0,0,1,0,0,0,0
2014-01-06,,0,0,0,0,0,0,1,0,0,0
2014-01-06,,0,0,0,0,0,0,0,1,0,0
2014-01-06,,0,0,0,0,0,0,0,0,1,0
2014-01-06,"'쇼트 80.60점' 김연아 ""올림픽 무결점 연기 기대""",0,0,0,0,0,0,0,0,0,1
2014-01-06,"'성공 리허설' 김연아 ""이제 정말 1경기만 남았다""",0,0,0,0,0,0,0,0,0,1
2014-01-06,"김연아, 올림픽 2연패 향한 완벽한 소치 리허설",0,0,0,0,0,0,0,0,0,1
2014-01-06,"김연아, 마지막 국내 무대 227.86점 우승…올림픽 2연패 보인다",0,0,0,0,0,0,0,0,0,1
2014-01-06,"'마이 웨이' 김연아, 끝나지 않은 여왕의 진화",0,0,0,0,0,0,0,0,0,1
2014-01-07,,1,0,0,0,0,0,0,0,0,0
2014-01-07,,0,1,0,0,0,0,0,0,0,0
2014-01-07,"박인비, 차움 명예회원 위촉",0,0,1,0,0,0,0,0,0,0
2014-01-07,"코스피 1960 회복 시도…""삼성電, 어닝쇼크＜불확실성 제거?""",0,0,0,1,0,0,0,0,0,0
2014-01-07,"외국인 '사자', 코스피 1960선 안착 시도…삼성電 보합권 등락",0,0,0,1,0,0,0,0,0,0
2014-01-07,"코스피 상승세 지속, 1960선 등락…車↑",0,0,0,1,0,0,0,0,0,0
2014-01-07,"코스피, 삼성電 '쇼크' 딛고 2거래일째 상승 마감",0,0,0,1,0,0,0,0,0,0
2014-01-07,,0,0,0,0,1,0,0,0,0,0
2014-01-07,,0,0,0,0,0,1,0,0,0,0
2014-01-07,,0,0,0,0,0,0,1,0,0,0
2014-01-07,,0,0,0,0,0,0,0,1,0,0
2014-01-07,,0,0,0,0,0,0,0,0,1,0
2014-01-07,,0,0,0,0,0,0,0,0,0,1
2014-01-08,,1,0,0,0,0,0,0,0,0,0
2014-01-08,,0,1,0,0,0,0,0,0,0,0
2014-01-08,,0,0,1,0,0,0,0,0,0,0
2014-01-08,"""은행, 이익 증가세 전환 예상..하나금융·KB금융 최선호주""",0,0,0,1,0,0,0,0,0,0
2014-01-08,"기관 '팔자' 코스피, 대형주 중심 약세…1950선",0,0,0,1,0,0,0,0,0,0
2014-01-08,코스피 1960 전후 '혼조'…電↓·車↑,0,0,0,1,0,0,0,0,0,0
2014-01-08,"""이벤트 앞둔 경계감""…'멈칫'한 코스피, 1950선 마감",0,0,0,1,0,0,0,0,0,0
2014-01-08,"""외국인vs기관""…코스피 1950선 공방, SK하이닉스 3%↑",0,0,0,1,0,0,0,0,0,0
2014-01-08,,0,0,0,0,1,0,0,0,0,0
2014-01-08,,0,0,0,0,0,1,0,0,0,0
2014-01-08,,0,0,0,0,0,0,1,0,0,0
2014-01-08,,0,0,0,0,0,0,0,1,0,0
2014-01-08,,0,0,0,0,0,0,0,0,1,0
2014-01-08,,0,0,0,0,0,0,0,0,0,1
2014-01-09,,1,0,0,0,0,0,0,0,0,0
2014-01-09,,0,1,0,0,0,0,0,0,0,0
2014-01-09,,0,0,1,0,0,0,0,0,0,0
2014-01-09,"코스피 약세, 1950선…장 중 변동폭 10p '미미'",0,0,0,1,0,0,0,0,0,0
2014-01-09,"옵션만기일, 동시호가 기관 매물에 '악'…코스피 1950 하회",0,0,0,1,0,0,0,0,0,0
2014-01-09,,0,0,0,0,1,0,0,0,0,0
2014-01-09,,0,0,0,0,0,1,0,0,0,0
2014-01-09,,0,0,0,0,0,0,1,0,0,0
2014-01-09,,0,0,0,0,0,0,0,1,0,0
2014-01-09,,0,0,0,0,0,0,0,0,1,0
2014-01-09,,0,0,0,0,0,0,0,0,0,1
2014-01-10,,1,0,0,0,0,0,0,0,0,0
2014-01-10,,0,1,0,0,0,0,0,0,0,0
