,Title,Date,Category
0,일반 보도에서 첫 자율주행 로봇·셔틀버스 허용,2019.12.18,2
1,"文대통령, 연설·정상회담 등 메시지만 약 30차례…3박4일 아세안 외교전 마무리",2019.11.27,2
2,"한난, 성남시·SK텔레콤과 '기술개발 생태계 조성을 위한 업무협약' 체결",2019.11.25,2
3,"한-아세안, 개발원조-문화협력-벤처투자 모색",2019.11.25,2
4,"한전, 'BIXPO 2019' 개막…에너지신기술 한눈에",2019.11.06,2
5,한미중 '삼각관계' 화웨이에 달려,2019.06.28,2
6,"정지권 서울시의원 ""서울지하철 공공와이파이 설치 어떻게 되나?""",2019.06.18,2
7,"韓美, 아세안서 '反화웨이' 5G통신 워크숍 개최",2019.05.23,2
8,"청와대 모형에 타격 연습하던 北, 이번엔 '판문점' 모형 건설",2019.04.05,2
9,오늘부터 모든 병사 개인 휴대폰 사용…'기대 속 우려도',2019.04.01,2
10,軍병사 '月3만3000원' 휴대전화 전용 요금제 확정,2019.03.26,2
11,'코리아 5G 데이' 정부만 휘파람,2019.03.22,2
12,"'딸·조카 KT 특혜채용' 김성태 ""정치공작"" 의혹 부인",2019.03.15,2
13,"마감 임박 근로자휴가지원 사업, 신청 10만명 넘을 듯",2019.03.04,2
14,"文대통령 ""CES서 '혁신 한국' 저력 증명…ICT 세계시장 선도""",2019.01.29,2
15,'50·60 댓글 달지 말고 아세안 가라'는 김현철 경제보좌관은 누구,2019.01.29,2
16,"드론분야 첨단 기술·제품의 장, '2019 드론쇼코리아' 개막",2019.01.24,2
17,[부고] 오세훈(전 서울시장)씨 부친상,2019.01.06,2
18,[2018국감] 때마침 해외출장 간 대표들…삼성 등 불출석,2018.10.10,2
19,"KT가 본 회담 ""통신·중계망 이상무""",2018.04.27,2
20,남한은 세계최초 5G..북한은 체제유지 3G,2018.04.27,2
21,남북정상회담 시간…'최고 보안 사항' 이유는?,2018.04.26,2
22,임시국회 첫 날 통과한 경제·금융법안은,2018.01.31,2
23,"이재용 ""독대 때 대통령이 계속 짜증…청탁할 이유도 없다""(종합)",2017.12.27,2
24,"이재용 ""최태원 회장은 카톡 안쓰고 문자 고집""",2017.12.27,2
25,"감사원, 백남기 농민 사인 수정 지체 서울대병원에 주의",2017.11.15,2
26,석달 걸리던 점자책 제작 하루 만에…시각장애인에 '희소식',2017.11.02,2
27,"이상훈 사장, 공정위-5대그룹 간담회 삼성 대표로 참석",2017.11.02,2
28,"[2017국감]""SKT 가입기간 계산시 월 제외…요금할인 낮춰""",2017.10.30,2
29,[2017국감]30대기업 유보금 652조…2년새 2배 늘어,2017.10.27,2
30,"[2017국감]삼성전자 공정위 618회나 방문…""유착 우려""",2017.10.19,2
31,이번에도 기업인 56명 무더기 증언대…재벌총수 빠졌다,2017.10.10,2
32,"정현백 ""첫 과제는 위안부재단 점검""…유영민 ""통신비 부담 인하""",2017.07.04,2
33,"김상조 ""국민 삶 팍팍…기업 되돌아볼 대목 있다""",2017.06.23,2
34,"文 경제팀, 재계와 첫 스킨십 '무슨 말 나올까'",2017.06.23,2
35,김현철 靑 경제보좌관…‘J노믹스' 이론적 토대 제공한 ‘일본통’,2017.06.06,2
36,"""법인세 상위 10대 기업, 세금감면 42% 차지""",2017.06.02,2
37,청와대 경제수석에 김현철 서울대 국제대학원 교수 유력,2017.05.30,2
38,GOP내 무인지상감시센서 깔린다,2017.03.22,2
39,"'출산 지도' 홍역 행자부, '여혐' 이미지 개선 나섰나?",2017.03.06,2
40,서울 지하철 초고속 공공 와이파이 '전면재검토' 되나,2017.02.21,2
