,Title,Date,Category
0,"'DR시장' 개편, 내년 1월 중 시행…자발적 참여 확대·의무절전 부담 최소화",2019.12.22,2
1,'재생에너지 3020' 수립 2년…지속적 성과창출로 본궤도 진입,2019.12.20,2
2,[인사]한국전력,2019.12.17,2
3,"한전, '스마트시티 운영 플랫폼' 혁신도시 우수사례 선정",2019.12.11,2
4,신고리 3·4호기 준공…韓 원전기술 우수성 해외에 홍보,2019.12.06,2
5,"한전, 농어촌상생협력기금 50억원 출연",2019.11.20,2
6,"한전, 베트남에 에너지효율화 추진",2019.11.19,2
7,"한전, 멕시코 태양광발전 착공…해외 신재생 사업 최대 규모",2019.11.18,2
8,원전 25기 중 11기 멈춰…원전이용률 50%대로 '뚝',2019.11.14,2
9,[현장한컷]한전의 석연찮은 해명,2019.11.12,2
10,"한전, 34개 기업과 '에너지밸리 투자협약' 체결",2019.11.12,2
11,"한전, 美 괌에 25년간 전력판매계약 체결…2조3000억 매출 확보",2019.11.11,2
12,"김종갑 한전 사장 ""특례할인, 정부와 협의해 간극 좁히겠다""",2019.11.07,2
13,"한전, 'BIXPO 2019' 개막…에너지신기술 한눈에",2019.11.06,2
14,"한전, '꿈의 기술 초전도 송전' 세계 첫 상용화",2019.11.05,2
15,"성윤모 장관 ""전기요금 할인특례 폐지 적절치 않아""",2019.10.30,2
16,"정유섭 의원 ""산업부, 친여 태양광 조합 요구사항에 굴복""",2019.10.28,2
17,"에너지전환 2년…""정부가 전기요금 인상 요인 인정해야""",2019.10.25,2
18,"한전, 국내 에너지 기업 최초 '원화 지속가능채권' 발행",2019.10.24,2
19,"에너지공단-한전, '재생에너지 사용인정제도' 시범사업 실시계획 공고",2019.10.22,2
20,"한전-신한銀, 中企 수출활성화를 위한 금융지원사업 추진",2019.10.18,2
21,"[2019 국감]어기구 의원 ""송배전선로 지중화 제도개선 방안 마련""",2019.10.17,2
22,"한전, 중동에서 최초로 풍력발전소 준공",2019.10.16,2
23,"[2019 국감]어기구 의원 ""초고압 송전탑, 당진·횡성·정선에 80개 이상 설치""",2019.10.15,2
24,"[2019 국감]에너지공기업, 쌓여있는 불사용자재 156만개…1400억원에 달해",2019.10.14,2
25,"韓 금융기관, 중소기업에 '이자장사'…금융지원은 '0원'",2019.10.14,2
26,"[2019 국감]한전, 5년간 송배전 전력손실 8조2823억원",2019.10.13,2
27,[2019 국감]한전 477억 들여 구매한 '스마트계량기' 64만여대 리콜,2019.10.13,2
28,[2019 국감]내부 제보로 밝혀진 '한전' 백태…여직원 희롱·사내 폭행 심각,2019.10.13,2
29,"[단독/2019 국감] 이훈 의원 ""산업용 경부하 전기요금 원가 76.8%로 조정, 중소기업 812억원 절감""",2019.10.11,2
30,"[2019 국감]한전, 지역인재 채용은 5명 중 1명도 안 돼",2019.10.11,2
31,"[2019 국감]한전, 해외석탄화력 사업 중단은커녕 오히려 신규 추진",2019.10.11,2
32,"[2019 국감]한전, 적자라면서 기관장은 억대 성과급",2019.10.10,2
33,"[2019 국감]한전, 5년간 송배전 전력손실 8조2823억원",2019.10.10,2
34,"[단독/2019 국감]""공기업 적자내놓고…"" 기관장은 수천만원 '성과급 잔치'",2019.10.07,2
35,"[2019 국감]어기구 의원 ""전기·가스요금 감면누락 전체 대상자의 40%""",2019.10.07,2
36,[2019 국감]산업부·중기부 산하기관 출자회사 162곳 만성적자…방만운영 여전,2019.10.07,2
37,"[2019 국감]조배숙 의원 ""전력시장 공정성·투명성 제고 시급""",2019.10.07,2
38,"[2019 국감]MB정권 풀어준 민간석탄화력, 국민 전기요금 부담키워",2019.10.07,2
39,"[2019 국감]산업부, 최근 3년 부패방지 평가 4등급 이하",2019.10.04,2
40,'배전선로'로 인한 정전사고 연간 500여 건…한전 관리소홀·관리감독 필요,2019.10.03,2
41,"한전, '2019 빛가람 국제 전력기술 엑스포' 개최",2019.09.30,2
42,"산업부, 광주·전남·전북지역 '신재생에너지 정책 순회 협의회' 개최",2019.09.27,2
43,"한전, 인공지능 활용한 '가스터빈 감시 시스템' 개발",2019.09.26,2
44,"한전 등 전력기관 7곳, 5년간 사이버공격시도 1000건에 달해",2019.09.26,2
45,"한전, 765kV 신중부변전소 및 송전선로 준공",2019.09.25,2
46,"한전, 제50호 햇살행복 발전소 준공",2019.09.25,2
47,美 인증받은 한국형 원전…한국기술 설계력 '원더풀',2019.09.24,2
48,"한-러, 에너지자원 협력방안 논의…LNG 확대 지속·기술표준화 협력",2019.09.24,2
49,"산업부 산하 공공기관 직원수 5년간 33.5%↑…한전, 7624명 증가",2019.09.23,2
50,"한수원, 'APR1400 원전' 美 원자력규제위원회 설계인증 취득",2019.08.27,2
51,"한전, '2019 전국 중·고교 중·장거리 육상대회' 개최",2019.08.26,2
52,'으뜸효율 가전제품' 환급 사업 23일 개시…한전 복지할인 가구 구매가 10% 환급,2019.08.22,2
53,산업·건물·수송 에너지효율 UP…2030년 에너지소비 14% 감축·일자리 6만9000개 창출,2019.08.21,2
54,"한전 등 5개 공기업, 감사역량강화를 위한 협약 체결",2019.08.14,2
55,"한전, '한전공대' 설립·운영자금으로 600억원 출연",2019.08.08,2
56,"산업부, '제9차 에너지안전전문위원회' 개최…안전 대책 진행상황 점검",2019.07.25,2
57,'재생에너지 3020' 발표 후 설비 4583㎿ 보급…목표치 1.56배,2019.07.25,2
58,한전 등 36개 공공기관 '공기업 청렴사회협약' 체결,2019.07.19,2
59,"""탈원전 정책 중단, 신한울 3·4호기 건설 재개하라""…탈원전 반대 서명 50만명 넘어",2019.07.17,2
60,"'10번째 경제투어' 전남 찾은 文대통령, 지역기업인 만나 애로사항 청취",2019.07.12,2
61,"한전, 온실가스 주범인 SF6가스 정제장치 개발",2019.07.09,2
62,"성윤모 장관 ""이상기후 일상화, 夏 전력수급 안정에 최선 다할 것""",2019.07.08,2
63,"나경원 ""文정권, 절대권력 완성위해 민주주의 악용…친노조·반노동 정부""",2019.07.04,2
64,"[전문]나경원 ""문재인 정부는 틀렸다…야당 경고에 귀 기울여야""",2019.07.04,2
65,"한전, '누진제 완화안' 수용 가닥…오늘 이사회서 재논의",2019.06.28,2
66,"문 대통령, 사우디 왕세자와 에쓰오일 공장 준공식 참석",2019.06.26,2
67,"사우디아라비아 원전 수주, 지원나선 文",2019.06.25,2
68,"원자력학회 ""脫원전 이후 원자력 생태계 지속 악화…'특단 조치' 필요""",2019.06.23,2
69,산업부 공공기관 공직기강 확립·적극행정 활성화 다짐,2019.06.23,2
70,"한전기술, 감사원 '자체감사활동 향상기구' 선정",2019.06.19,2
71,"한전, 美 괌 데데도 200MW급  가스복합 발전소 입찰사업 수주",2019.06.19,2
72,"한전, 고객소유 대용량 산업용 변압기 무상 진단",2019.06.18,2
73,"한전, 그린본드 5억달러 역대 최저금리 발행",2019.06.18,2
74,누진제 개편권고안 확정…여름철 7~8월만 누진구간 확대,2019.06.18,2
75,"'반쪽국회' 우려에…與, 해법은 ""위원장 없는 상임위""",2019.06.18,2
76,"한국형 원전 'APR-1400' 핵심기술, 美·UAE에 유출 의혹",2019.06.18,2
77,"한전, 도미니카에 '에너지관리시스템' 수출",2019.06.17,2
78,우리집 '전기사용량·전기요금' 실시간 확인 가능,2019.06.15,2
79,전기요금 개편안 국민의견 500건 육박…누진제 폐지 지지 우세,2019.06.09,2
80,"한전, 전기車 충전서비스 브랜드 'KEPCO PLUG' 출시",2019.06.07,2
81,"한전, 제1차 사회적가치위원회 개최",2019.05.31,2
82,"한수원, 카자흐스탄 新 원전사업 참여 제안서 제출…중앙아시아 진출 신호탄",2019.05.30,2
83,"한전, 군·관·경 합동 '전력설비 테러·화재대응 실제훈련' 실시",2019.05.30,2
84,"'군기반장' 이해찬, 장관 릴레이 오찬…관료사회 기강해이 정조준",2019.05.30,2
85,"나경원, 당 회의에 차관 불참하자 격분…""靑·與가 불참시켜""",2019.05.29,2
86,"국표원, 2020년부터 '전기車 충전기' 법정계량기로 관리",2019.05.27,2
87,"한수원, 'APR1400 설계인증' 美 NRC 법안 게재",2019.05.22,2
88,거액의 적자에 분노한 한전 소액주주…한달간 릴레이 시위,2019.05.20,2
89,"[기자수첩]""미세먼지 탓 적자""…또 脫원전은 상관없다는 한전",2019.05.15,2
90,脫원전 정책에 탈탈 털리는 한전…'전기요금' 압박 커져,2019.05.14,2
91,"산업부, '제16차 에너지위원회' 개최…3차 에기본 심의",2019.05.10,2
92,"한전, 전기차 충전사업자와 '공용충전기 제공·이용 협약' 체결",2019.05.10,2
93,"산업부, 제7회 공공데이터 활용 비즈니스아이디어 공모전 개최",2019.05.07,2
94,"가스公, 차기 사장 '2파전' 예상…빠르면 6월 말 선임",2019.05.07,2
95,"서부발전, 태안화력서 IoT 센서 실증을 위한 테스트베드 구축",2019.04.30,2
96,"산불 불똥까지 튄 한전, 1분기도 부진의 늪",2019.04.29,2
97,"한전, '윤리준법위원회' 신설…김지형 변호사 등 외부위원 영입",2019.04.26,2
98,"한전, '제2차 전력경제포럼' 개최…전력산업분야 의견 공유",2019.04.25,2
99,"한전기술, 원전 기기공급업체 기기검증 역량강화 지원",2019.04.25,2
100,"김종갑 한전 사장 ""고성·속초 산불, 민사적 책임질 것""",2019.04.24,2
101,"경찰, '한전' 속초·강릉지사 압수수색…산불 원인 본격수사",2019.04.23,2
102,"한전-성균관대, 스마트 에너지 캠퍼스 준공식 개최",2019.04.23,2
103,"한수원, 3조원 UAE 바라카 원전 장기정비계약에 찬물",2019.04.03,2
104,"한전, 중소기업에 유망특허 기술 이전",2019.03.29,2
105,[재산공개]고위공직자 평균 12억…허성주 서울대 치과병원장 '210억' 2년째 1위,2019.03.28,2
106,"정부, '반도체 클러스터' 합동투자지원반 운영…적기 조성 추진",2019.03.27,2
107,"당정청, 공기업 갑질 가이드라인 논의…산자부·국토부 우선 적용할 듯",2019.03.26,2
108,"한전, 지멘스와 '스마트빌딩 실증사업' 업무협약 체결",2019.03.23,2
109,"한수원, '원자력 유관기관 소통·상생 간담회' 개최",2019.03.21,2
110,"시찰 하랬더니 관광만…감사원 ""한전, 밀양 송전탑 사업비 선심성 집행해 주의요구""",2019.03.20,2
111,脫원전·적폐청산에 산업부 산하 공공기관 줄줄이 쓴맛,2019.03.13,2
112,"미세먼지, 태양광 발전량 떨어뜨려…평균 19% 감소",2019.03.13,2
113,脫원전에 발전 5개사 수익구조 악화…서부·중부·동서발전 적자 전환,2019.03.12,2
114,脫원전 정책에 한전-가스公 희비…값싼 '원전' 대신 비싼 'LNG' 사용 탓,2019.03.08,2
115,[인사]한국전력기술,2019.03.05,2
116,[인사]한국전력,2019.03.05,2
117,"한전, 전기공학 장학생에게 장학금 10억원 전달",2019.03.03,2
118,"한전, '2019년 제1차 전력경제포럼' 개최",2019.02.28,2
119,속도 내는 '규제 샌드박스'…전력데이터 공유센터 등 5건 추가 승인,2019.02.27,2
120,"文대통령 ""UAE, '동맹·형제국'…원전사업 100년 바라보고 같이 가자""",2019.02.27,2
121,"文대통령, UAE 왕세제와 정상회담…오찬에 이재용 등 기업인 대거 참석(종합)",2019.02.27,2
122,"文대통령, UAE 왕세제와 정상회담…오찬에 이재용 등 기업인 대거 참석",2019.02.27,2
123,"정부, 규제완화에 속도…규제샌드박스 2호는 '한전 전력데이터 공유센터'",2019.02.25,2
124,"산업부, '민관합동 투자 지원단' 출범…투자 프로젝트 밀착지원",2019.02.12,2
125,"한전, 설 맞아 '사랑의 온기 나눔 행사' 시행",2019.02.01,2
126,"원자력 유관기관, 에너지 취약계층 연탄지원 성금 2억원 전달",2019.01.31,2
127,"한전공대, 전남 나주 부영CC 일원 확정…2022년 3월 개교",2019.01.28,2
128,"한전, 사우디 원전사업 수주 활동 강화",2019.01.24,2
129,"감사원 ""LH·한전, 평택변전소 이전방안 마련해야""",2019.01.23,2
130,"에너지경제硏, 제3차 에기본 권고안 공개세미나 개최",2019.01.16,2
