,Title,Date,Category
0,"文대통령 ""스타트업, 韓-아세안 미래 부흥시킬 것…함께 세계경제 선도""",2019.11.26,2
1,'자율車 표준화 포럼 총회·국제 콘퍼런스' 개최…안전성 기술표준 공조 논의,2019.11.26,2
2,"조코위 대통령, 감천마을 찾아 ""부산의 마추픽추""",2019.11.25,2
3,"이 총리, 경찰 수소전기버스 시승…경찰 기동대원 격려",2019.10.31,2
4,"'미래의 활력' 재생에너지 전환, 韓 획 긋다",2019.10.23,2
5,유승민 “패스트트랙 ‘날치기’…선거법 합의에 의해 고쳐야”,2019.10.16,2
6,"문 대통령 ""2030년 미래차 1등 국가가 목표…세계 시장 점유율 10% 달성""(종합)",2019.10.15,2
7,"문 대통령, 미래차산업 비전·3대 추진 전략 발표",2019.10.15,2
8,"한수원, 국내 최초 '전기車 폐배터리 재활용 ESS사업' 착수",2019.09.27,2
9,"현대차·BMW 등 글로벌10개社, 자율차 국제표준화 논의",2019.09.26,2
10,"민주당, 전경련 방문…文정부 들어 처음",2019.09.25,2
11,"與, 전경련 찾아 기업인과 현안 간담회…文정부 들어 처음",2019.09.25,2
12,"韓日관계 악화에 車도 타격 받을라…""현대차, 일본산 부품 수입 늘려""",2019.09.18,2
13,규제샌드박스 1호 '국회 수소충전소' 준공…수소택시 10대 서울 시범사업 개시,2019.09.10,2
14,"이 총리 ""현대차 임단협 무분규 타결…성숙한 결단 감사""",2019.09.03,2
15,"靑, 대통령 전용차 포함 수소차 5대 도입…文대통령 오늘 첫 승차",2019.08.27,2
16,"4대기업, 민주당에 ""52시간 완화해달라""...양정철 ""즉답 드리기 어려워""",2019.08.13,2
17,"文대통령 ""日 무역보복 조치, '최악 상황'까지 대비…불확실성 여전""(종합)",2019.08.08,2
18,"文대통령 ""日 무역보복 조치, 이율배반적…'승자 없는 게임'""",2019.08.08,2
19,"文대통령, 8일 국민경제자문회의 전체회의 개최…日경제보복 대응 논의",2019.08.06,2
20,"'상황반장' 김상조, 비상대응 체제 가동…""5대 그룹과 日 수출 규제 대책 논의""",2019.08.05,2
21,"'상황 반장' 김상조, 비상대응 체제 가동…4대그룹 부회장들과 회동 추진",2019.08.04,2
22,"양정철, 삼성경제연구소 방문 ""1등 제품 수출기업이 슈퍼 애국자""",2019.07.29,2
23,"민주연구원, 삼성·현대차 등 4대 기업 연구기관 간담회",2019.07.22,2
24,"민주연구원, 삼성·현대차·SK·LG 싱크탱크와 정책 협력 추진",2019.07.21,2
25,"하태경 “현대차, 추가 생산 요구도 직장 내 괴롭힘?…민주노총 악용하지 말라”",2019.07.18,2
26,"한미, '자율車' 산업협력대화…日 수출규제 협조 요청",2019.07.11,2
27,"'日수출규제' 맞닥뜨린 재계, 文대통령 만나 ""긴 호흡으로""…장기전 우려",2019.07.10,2
28,"문 대통령 ""日 수출 규제 장기화 가능성...모든 가능성 대비""",2019.07.10,2
29,"文대통령, 대기업 총수 만나 '日수출규제' 대책논의…5大그룹 포함",2019.07.10,2
30,"문 대통령, '日 수출 규제 대응' 30대 기업 총수 간담회…이재용, 신동빈은 불참(종합)",2019.07.09,2
31,"홍남기·김상조 '경제 투톱', 日수출규제 대응 재계 접촉…靑 ""긴밀한 소통""",2019.07.07,2
32,"文대통령, 10일 주요기업 총수 간담회 검토…日수출규제 논의 주목",2019.07.05,2
33,"트럼프 ""韓 대기업 총수들 매우 훌륭하다""",2019.06.30,2
34,"문 대통령·트럼프, 오늘 한국으로…내일 한미정상회담",2019.06.29,2
35,[프로필]이춘석 기획재정위원장,2019.06.28,2
36,"김현준 ""악의적 체납자 강력 대응…정태수 은낙재산 찾겠다""(종합)",2019.06.26,2
37,"김현준 ""직원 현대차 불법접대 의혹, 송구스러워""",2019.06.26,2
38,"김현준 인사청문회…野 ""국세청이 정권도구로 동원 돼"" 질타",2019.06.26,2
39,[주간전망]생산·소비·투자 경기지표 발표…이주열의 입에 쏠린 눈,2019.06.23,2
40,"""정부, 저공해차 안 만드는 대기업에 패널티 강화 추진""",2019.06.03,2
41,세계 최초 '국회 수소충전소' 착공…8월 완공·시간당 5대 완충 가능,2019.05.30,2
42,4월 車 '생산·수출' 늘고 '내수' 줄고…쌍용車 생산 29.3%↑,2019.05.16,2
43,"국표원, '수소경제' 국제표준화를 위한 민·관 협력체계 마련",2019.05.02,2
44,"한국당 산자위 “박영선 남편, 현대·기아차도 막대한 수임료 추정”",2019.04.07,2
45,'수소충전소 SPC' 공식 출범…가스公·현대車 등 13개 회사 공동 설립,2019.03.10,2
46,"6년 진통 끝 첫걸음…카풀은 '쓴웃음', 택시는 '함박웃음'",2019.03.09,2
47,"수출 포트폴리오 다각화…""6대 新 사업 키운다""",2019.03.04,2
48,"당정청,'상생형 일자리' 확산 ""대기업-중소·중견, 2가지 모델 추진""",2019.02.21,2
49,모디 인도 총리 오늘 방한…22일 文대통령과 정상회담,2019.02.21,2
50,"당·정, '기업 옥죄기' 비판 받아온 전속고발권 폐지 조항 손본다",2019.02.12,2
51,규제 샌드박스 제1호는 '대한민국 국회' 수소車충전소(종합),2019.02.11,2
52,도심 내 수소충전소 설치 승인…첫 '규제 샌드박스' 적용,2019.02.11,2
53,"정태호 靑일자리수석 ""이달 내 지역상생형 일자리 '정부 지원안' 법적근거 마련""",2019.02.08,2
54,"하태경 “文정부, 국민연금 통한 경영권 통제…‘대북투자’가 그 목적”",2019.02.03,2
55,수소차 사랑 빠진 이총리…3일 연속 탑승,2019.02.03,2
56,김경수 리스크…與에 배회하는 '총선 공포' 유령,2019.02.01,2
57,"김수현 靑정책실장, 오늘 대기업 임원들과 비공개 만찬…'정례화' 가능성",2019.01.31,2
58,"하태경, 광주형 일자리 '노조 반발' 비판…“민주노총 어느나라 노총인가”",2019.01.31,2
59,'통상산업포럼' 제1차 회의 개최…매월 정례화·소통 강화,2019.01.23,2
60,"손학규 “손혜원·서영교, 최고권력과 가까운 사람…국민은 지켜볼 것”",2019.01.18,2
61,문 대통령 “정부가 수소경제 시장 창출의 마중물 되겠다”,2019.01.17,2
62,"문 대통령, 호프미팅 땐 ""경제철학 공유"" 타운홀미팅 땐 ""투자와 고용""",2019.01.16,2
63,이재용의 삼성 사업장 방문 요청에 문 대통령 “공장·연구소 만들면 언제든지”,2019.01.15,2
64,"文대통령과 기업인, 양복 상의 벗고 '100분 토론'",2019.01.15,2
65,"홍영표 ""대통령-기업인 만남, 제조업 혁신성장 계기 되길""",2019.01.15,2
66,"정부, 수소충전소 운영비 50% 지원 검토",2019.01.14,2
67,'수소경제 로드맵'에 기업 육성 방안·수소 관련 법령 재정비 담겨,2019.01.14,2
68,"이해찬 ""4월까지 총선룰 마련...유치원3법·광주형 일자리 반드시 처리""(종합)",2019.01.13,2
69,"[일문일답]문재인 대통령, 신년 기자회견…""고용의 양과 질, 함께 높이겠다""",2019.01.10,2
70,"[문 대통령 기자회견 속보] ""현대차 생산라인, 수년간 외국에만...이제 한국에 만들어야""",2019.01.10,2
71,11월 車 내수↓ 수출·생산↑…수소·전기 등 친환경차 약진,2018.12.13,2
72,"성윤모 장관 ""내년 수소車 4000대 보급, 2022년 충전소 310개 구축""",2018.12.11,2
73,"韓美 ""5G·자율주행차·핀테크 함께 키우자""",2018.12.07,2
74,"산업부, '제3차 지능형로봇 기본계획' 수립 추진",2018.12.06,2
75,"與, 광주형 일자리 최후통첩…""공모제 전환 검토""",2018.11.27,2
76,"""서울, 수소버스 달린다""…405번 버스노선에 수소버스 투입",2018.11.21,2
77,"이총리 ""광주형 일자리 반드시 성공해야""",2018.11.13,2
78,"홍영표 ""여야정 상설협의체, 국민 기대 충족시키는 회의 되어야""",2018.11.05,2
79,"이낙연 총리 '울산 경제인 간담회' 주재…""활력 방안 마련할 것""",2018.11.02,2
80,"美 정부, 한국 기업 손바닥처럼 들여다보고 있다",2018.11.02,2
81,"성윤모 장관 ""수소경제 우리의 미래 핵심과제…연내 로드맵 수립""",2018.10.23,2
82,"[전문]문 대통령 ""한반도에 평화 정착되면 더 좋은 투자처 될 것""",2018.10.16,2
83,"문 대통령, 파리에서 현대차 수소전기차 '넥쏘' 시승(종합)",2018.10.15,2
84,"文대통령, 수소경제 외교 행보…佛 현지서 넥쏘 수소전기차 시승",2018.10.15,2
85,"문 대통령, 파리에서 현대차 수소전기차 '넥쏘' 시승",2018.10.14,2
86,"성윤모 산업부 장관 ""대기업과 간담회 곧 마련할 것...현장경영지속""",2018.10.12,2
87,9월 車 생산·내수·수출 모두 감소…秋연휴에 따른 조업일수 감소 탓,2018.10.12,2
88,올해 국감도 기업인 '줄소환'·'무한대기' 반복되나,2018.10.01,2
89,"환노위, 홍장표 국감 참고인 채택…경제인도 10명 넘어",2018.09.20,2
90,"[평양회담] 재계 총수들 ""긴장·묵묵부답""...이재용 부회장 막판까지 임원회의(종합)",2018.09.18,2
91,"[평양회담] 4대그룹 총수, 긴장한 표정으로 수행단 버스 탑승 (상보)",2018.09.18,2
92,"이재용, 최태원, 구광모 '평양행'…현대차는 김용환 부회장(종합)",2018.09.16,2
93,"이재용, 최태원, 구광모 평양행…현대차는 정의선 대신 김용환 부회장",2018.09.16,2
94,"현정은 현대그룹 회장, 최정우 포스코 회장, 김용환 현대차 부회장도 평양행(1보)",2018.09.16,2
95,실무협의단 판문점으로 출발…남북정상회담 방북단·일정 조율,2018.09.14,2
96,"靑 ""4대 그룹 총수에 남북정상회담 동행 제안""…이재용 등 평양 갈 듯",2018.09.13,2
97,"김동연 만나는 삼성, ""잘해봐야 본전"" 막판 준비 열심...100조 투자는 미지수",2018.08.05,2
98,盧·MB도 삼성공장서 경제 신호탄 쐈다...이재용 부회장 오늘 인도 출국,2018.07.06,2
99,"文 대통령, 삼성전자 인도공장 방문…이재용 부회장과 조우할 듯(종합)",2018.07.05,2
100,[e공시 눈에 띄네]코스피-2일,2018.07.03,2
101,"글로벌 경제 위기설, 진원지는 정치",2018.05.31,2
102,"대기업집단 3곳중 2곳, 오너家가 비상장 계열사 주식 20%이상 소유",2018.05.13,2
103,"김상조 ""공정거래법 개정안, 동일인 지정·형벌 조항 개선할것""(종합)",2018.05.10,2
104,"김영주 장관 ""대기업이 중소협력사 근로시간단축 손실 지원해야""",2018.05.02,2
105,"의성·밀양·기장·보은, 신규 스포츠관광 사업 대상 선정",2018.04.30,2
106,美 여야 의원들도 남북정상회담 성공 기원,2018.04.27,2
107,은둔의 지도자 '김정은' 왜 협상장 나서게 됐을까,2018.04.23,2
108,"[박근혜 1심 선고/상보] 포스코 펜싱팀·플레이그라운드 광고, KD코퍼레이션 납품...모두 ""강요죄""",2018.04.06,2
109,"김동연 부총리, 구본준·정의선 이어 최태원 만난다 ""대기업 소통""",2018.03.11,2
110,문 대통령 '태양광' 이어 '자율주행차' 혁신성장 드라이브,2018.02.02,2
111,"문 대통령 ""중소, 경제 중심으로…최저임금 안착 중요 과제""(종합)",2018.01.16,2
112,"민주당 ""근로시간단축法, 기업 의견 반영해 재추진…이견 좁혀나갈것""",2018.01.15,2
113,"박용만 대한상의 회장 ""민주당-경제계 팀플레이 위해 노력하겠다""",2018.01.15,2
114,막판에 또 늘어지는 박근혜 재판...2월 중순 넘길 듯,2018.01.03,2
115,"문 대통령, 신년 화두 '성과'…""평화·안전 소망""(종합)",2018.01.02,2
116,"문 대통령, 현충원 참배…무술년 공식 일정 시작",2018.01.02,2
117,"文 대통령, 내달 2일 청와대서 각계인사 초청 신년인사회",2017.12.29,2
118,[일문일답]김상조 “이재용 부회장 2심결과 바뀌어도 가이드라인 그대로”,2017.12.21,2
119,"문 대통령, 현대차 충칭공장 방문(종합)",2017.12.16,2
120,"문 대통령, 현대차 충칭공장 방문",2017.12.16,2
121,"문 대통령-천민얼, 충칭 광복군 총사령부 터 복원 사업 재개 합의(종합)",2017.12.16,2
122,"문 대통령-천민얼, 충칭 광복군 총사령부 터 복원 사업 재개 합의",2017.12.16,2
123,"현대차·SK 등 대기업, 청년일자리 '고용디딤돌' 사업 중단",2017.12.14,2
124,"문 대통령, 오늘 중국 국빈방문…내일 시진핑과 정상회담",2017.12.13,2
125,"중국 서열 1~3위 만나고 베이징대 연설, 충칭 현대차 공장 방문...숨가쁜 방중 일정",2017.12.12,2
126,문 대통령 중국 방문에 기업인 300여명 동행...역대 최대 규모 경제사절단,2017.12.11,2
127,北 미사일 도발에…文 대통령 중국 방문 무게 중심도 사드 ‘봉인’에서 북한 압박으로 이동,2017.11.30,2
128,"현대차, 사업기간 꼼수 연장…도로부지 18년 무상사용",2017.11.23,2
129,"文 대통령, ‘러시아 2인자’ 메드베데프 총리와 회담…극동개발 등 다양한 사업 추진키로 합의",2017.11.14,2
130,"중국에서 고전하는 현대차, 인도네시아 교두보로 동남아 시장 공략 나서",2017.11.09,2
131,"이상훈 사장, 공정위-5대그룹 간담회 삼성 대표로 참석",2017.11.02,2
132,[2017국감]국토위 증인채택 문제 도마위에 올라,2017.10.31,2
133,"한·불가리아, 자동차·ICT·방위산업 등 협력 확대한다",2017.10.25,2
134,[2017국감]공정거래 법위반 롯데 '최다' 과징금 현대차 '최고',2017.10.19,2
135,이번에도 기업인 56명 무더기 증언대…재벌총수 빠졌다,2017.10.10,2
136,[전문]문재인 대통령 동방경제포럼 기조연설,2017.09.07,2
137,기업 부담 가중?…20대 국회 立法 찬반 논란(종합),2017.09.01,2
138,[입법·행정·사법부에 갇힌 재계]기업 부담 가중시키는 立法 논란,2017.09.01,2
139,[단독]'무용지물' 2억 벤츠 구급차·1000억 헬기…'고가 소방장비 잔혹사',2017.08.29,2
140,이재용 징역 12년 구형 '역대급'…김우중 이후 재벌총수 최대,2017.08.08,2
141,[文-재계 만남 첫날]'화기애애·아슬아슬'…할말 하고 경청했다(종합),2017.07.27,2
142,[文-재계 만남 첫날]160분간 격의 없이 대화…예상보다 두배 길어져,2017.07.27,2
143,"靑, '기업인 호프미팅' 소상공인 수제맥주…임지호 셰프가 안주",2017.07.27,2
144,"문재인 대통령, 27·28일 기업인 초청 간담회 개최",2017.07.23,2
145,10대 기업 일자리 1년새 2317개 사라졌다,2017.07.19,2
146,"권오현 삼성전자 부회장 일자리委서 ""하반기 채용 늘리겠다"" (종합)",2017.07.18,2
147,"이용섭 일자리委 부위원장 ""자산총액대신 고용인원으로 기업평가""",2017.07.18,2
148,"[김상조-삼성, 인연 혹은 악연] '시민 자격' 김상조의 '특별한 증언'",2017.07.17,2
149,"김상조 ""삼성은 집단지성으로 운영…이재용 독단 어렵다""",2017.07.14,2
150,"[6.30 총파업]4만명 모인 총파업, 서울 시내 14곳서 일제 시작",2017.06.30,2
151,"文 경제팀, 재계와 첫 스킨십 '무슨 말 나올까'",2017.06.23,2
152,[창간-지자체특집]민선6기 남은 1년-서울 구청장들 역점 사업 무엇?,2017.06.21,2
153,"한국노총 ""文 일자리정책, 적극 참여""",2017.06.20,2
154,사드국면 반전 앞당긴다…삼성·현대차·SK 對中공략 재시동,2017.05.15,2
155,"재계, '국정농단'재수사에 긴장모드…악몽재연 우려",2017.05.12,2
156,"신기욱 스탠퍼드大 교수 ""文대통령, 워싱턴과 충돌 없을 것""",2017.05.11,2
157,"[5차 TV토론/경제분야]文-沈 손잡고, 安-劉 합리성 강조…洪 '강성노조' 동어 반복(종합)",2017.04.28,2
158,"유승민 ""홍준표, 모든 문제가 강성노조 때문이라고 주장""",2017.04.28,2
159,"[차이나프리즘]북중관계와 한중관계, 그리고 남북관계",2017.04.28,2
160,"'조세 피난' 애플·구글, 법인세는 삼성전자와 비슷",2017.04.26,2
161,"與·경제계, 野 상법개정안 수정안도 반대…투기세력 놀이터된다",2017.03.15,2
162,[대통령 파면]'삼성' 언급안한 헌재…이재용 재판에 어떤 영향?,2017.03.10,2
163,"[朴대통령 파면]英 언론들 ""한국 첫 '탄핵 대통령'…국민 분노 승리""",2017.03.10,2
164,[대선주자 공약검증④]재벌개혁·파격복지…진보도 놀란 좌클릭,2017.03.09,2
165,"[6.30 총파업]4만명 모인 총파업, 서울 시내 14곳서 일제 시작",2017.06.30,2
166,"文 경제팀, 재계와 첫 스킨십 '무슨 말 나올까'",2017.06.23,2
167,[창간-지자체특집]민선6기 남은 1년-서울 구청장들 역점 사업 무엇?,2017.06.21,2
168,"한국노총 ""文 일자리정책, 적극 참여""",2017.06.20,2
169,사드국면 반전 앞당긴다…삼성·현대차·SK 對中공략 재시동,2017.05.15,2
170,"재계, '국정농단'재수사에 긴장모드…악몽재연 우려",2017.05.12,2
171,"신기욱 스탠퍼드大 교수 ""文대통령, 워싱턴과 충돌 없을 것""",2017.05.11,2
172,"[5차 TV토론/경제분야]文-沈 손잡고, 安-劉 합리성 강조…洪 '강성노조' 동어 반복(종합)",2017.04.28,2
173,"유승민 ""홍준표, 모든 문제가 강성노조 때문이라고 주장""",2017.04.28,2
174,"[차이나프리즘]북중관계와 한중관계, 그리고 남북관계",2017.04.28,2
175,"'조세 피난' 애플·구글, 법인세는 삼성전자와 비슷",2017.04.26,2
176,"與·경제계, 野 상법개정안 수정안도 반대…투기세력 놀이터된다",2017.03.15,2
177,[대통령 파면]'삼성' 언급안한 헌재…이재용 재판에 어떤 영향?,2017.03.10,2
178,"[朴대통령 파면]英 언론들 ""한국 첫 '탄핵 대통령'…국민 분노 승리""",2017.03.10,2
179,[대선주자 공약검증④]재벌개혁·파격복지…진보도 놀란 좌클릭,2017.03.09,2
180,中 사드 보복 노골화…커지는 안보·경제위기,2017.03.03,2
181,제51회 납세자의 날…현대차 국세 1조원 탑 수상,2017.03.03,2
182,"35세에 인텔 수석매니저 오른 유웅환 박사, 문재인 캠프에 합류(종합)",2017.02.23,2
183,[삼성 비상체제]총수 구속에 상법 개정안까지…엎친데 덮친 삼성,2017.02.21,2
184,구직자 선호도 공기업·삼성·구글 1위,2017.02.16,2
185,[15차 촛불집회]'1박2일 40리를 걸어'…정경유착·비정규직 문제해결 촉구,2017.02.11,2
186,"김종인 ""'4대가문' 우리나라 재벌…정부가 배려 안 해도 생존""",2017.02.08,2
187,"靑 '관제데모' 집중 지원 보도에 정청래 ""靑, 인간이길 포기한 짐승농장인가""",2017.01.31,2
188,"대선주자 ""네 공약은 내 공약""",2017.01.16,2
189,이재용 옥죄는 특검…횡령·배임까지 조사한다(종합),2017.01.12,2
190,보호대상 아동 자립 위한 지원사업 강화한다,2017.01.09,2
191,"朴, 최순실 지인 회사 특허소송 개입하고 네덜란드 국왕에 납품 민원까지?",2017.01.04,2
192,"'헌재 변론 의식했나'…朴대통령, 새해 첫날 기자간담회 자청",2017.01.01,2
193,"朴대통령 ""최순실-KD코퍼레이션 관계, 보도보고 알았다""",2017.01.01,2
194,"특검, 최순실·김종 동시 소환조사…""대질심문 검토 안해""",2016.12.24,2
195,최순실 특검 출석…고개 숙인 채 묵묵부답(종합),2016.12.24,2
196,모든 혐의 쟁점화 전략…길게 보는 朴,2016.12.19,2
197,[전문]朴대통령 헌재 답변서 요지,2016.12.18,2
198,[최순실 국조특위]모욕과 진상규명 경계선 오가는 청문회(종합),2016.12.07,2
199,[뷰앤비전]박근혜-최순실 스캔들의 경제적 해석,2016.12.07,2
200,"최고령 정몽구 회장, 청문회 도중 병원行…정진행 사장 대리 출석",2016.12.07,2
201,"주진형 前 한화증권 대표, 김승연 회장 곁에서 “재벌들이 조폭과 똑같은 방식으로…”",2016.12.06,2
202,"[재계총수 청문회] 구본무 LG 회장 ""전경련, 美 헤리티지 재단처럼 운영돼야""",2016.12.06,2
203,[재계총수 청문회]28년 만에 열린 판도라의 상자…현장 스케치(종합),2016.12.06,2
204,[재계총수 청문회]재벌회장 '자리 배치'의 비밀은?,2016.12.06,2
205,불붙은 美·中갈등에 대북제재 균열조짐,2016.12.05,2
206,"특검-靑 '중수부 맞대결'…박 특검, 기업수사 잔뼈 굵어",2016.11.30,2
207,"朴대통령 ""특검 수사에 적극 협조하고 직접 조사 응하겠다""",2016.11.30,2
208,[프로필]최순실 특검 후보 박영수·조승식 변호사,2016.11.29,2
209,"'최순실 국조특위', 최순득·정유라·장시호 추가 증인 확정…이재용 부회장 등 24명 증인 채택(종합)",2016.11.23,2
210,[포토]이재용 등 재벌총수 포함된 증인명단,2016.11.23,2
211,김진태 “대통령은 단돈 1원도 챙긴 것 없다…소설쓰지 마라” 검찰 비난,2016.11.21,2
212,"[최순실 게이트]朴대통령 피의자 신분…檢 ""공소장 적시""(종합)",2016.11.20,2
213,[포토]악수 나누는 권오현 삼성·권문식 현대차 부회장,2016.11.07,2
214,'최순실게이트' 사정바람 앞에 다시 선 재계,2016.11.07,2
215,[창조경제 게이트?④]미르·K스포츠는 '창조의 꽃'?…청와대 나서 기업에 '압박모금',2016.11.04,2
216,[이슈추적]현대차 105층 신사옥의 수난,2016.10.27,2
217,아몰랑靑·모르쇠文…침묵은 금이 아니다,2016.10.20,2
218,"새누리, 野 법인세 인상에 반박…""기업 투자 확대해야""",2016.10.19,2
219,보금자리론 규제는 추가 대책 아니라는 靑,2016.10.18,2
220,"이찬우 차관보 ""부동산 과열 일부분…지켜봐야""",2016.10.17,2
221,'경제 大위기 불씨' 커지는데…소방수가 없다,2016.10.17,2
222,"심상정, 17일 전경련 해산촉구 결의안 발의",2016.10.16,2
223,'기업소득▶가계소득'이라던 '가계소득증대세제'…투자 줄고 배당만 늘었다,2016.10.14,2
224,정무위 국감 '기업인 총출동'…미르·K재단 의혹 제기도 계속,2016.10.11,2
225,"""현대차그룹, 공정거래법 위반 과징금 가장 많이 부과받아""",2016.10.09,2
226,"표밭 침수…與, PK민심 복구 비상",2016.10.07,2
227,"野, 미르·K 백남기 특검까지 융단폭격…與 방어 총력",2016.10.06,2
228,"정무위, 권영수 LGU+ 부회장 등 9명 증인 추가채택…'공정위 국감 11일'",2016.10.04,2
229,미르·K스포츠 설립도 해산도 속전속결…장래는 불투명 의혹은 증폭(종합),2016.09.30,2
230,"주형환 ""현대차 파업 생산 9만8000대·수출 13억弗 차질""",2016.09.26,2
231,"코리아세일페스타, 한달간 쇼핑 축제 열린다",2016.09.21,2
232,'1회 충전 서울-부산 주행' 전기차 2020년까지 개발,2016.09.21,2
233,최은영 한진해운 전 회장 국정감사 증인 확정…조양호 한진그룹 회장은 가능성 높아,2016.09.06,2
234,"홍익표 의원 ""국제유가 변화, 전기차·무인차 흐름 바꾸지 못해""",2016.09.01,2
235,"김성식 ""朴대통령, 기재·산자부·한전 불러 누진폭탄 해결해야""",2016.08.11,2
236,"""대·중소기업 힘 합쳐야 과학기술 프로젝트 성공 가능""",2016.08.10,2
237,[르포]울란바토르 시내 쇼핑객·관광객 북적… 외곽에는 아파트 건설 붐,2016.07.18,2
238,"[포토]정의당, 현대차와 광폭 토론회",2016.06.21,2
239,"[포토]현대차-정의당, '한국 제조업의 현재와 미래' 토론회",2016.06.21,2
240,"[포토]심상정 대표, 정진행 현대차 사장 면담",2016.06.21,2
241,[포토]현대차 사장단 만나는 정의당,2016.06.21,2
242,[포토]정의당 찾은 정진행 현대차 사장,2016.06.21,2
243,대기업 사외이사 3명 중 1명은 관료 출신,2016.06.08,2
244,"김안숙 서초구의원, 경품 액센트 받고 사회단체 기부",2016.05.23,2
245,신산업에 1조 펀드 조성…투자위험 줄인다,2016.04.28,2
246,"1%에 운 불사조… 인제 가면 언제 오나, 한끗차 '계룡대첩'",2016.04.15,2
247,"김무성, 한국戰 빗대 ""낙동강벨트에 새누리당 깃발 꽂겠다""",2016.04.04,2
248,"김무성, '삼둥이' 홈타운서 ""민노총 탓에 GDP3만불 달성못해""",2016.04.02,2
249,朴대통령 멕시코 방문 경제사절단 144개사 참여,2016.03.28,2
250,"원희룡 ""저탄소정책 정권마다 오락가락…2~3년내 인프라 완비해야""",2016.03.21,2
251,朴대통령 연이은 경제행보…대전·대구·부산 이어 아산 방문,2016.03.18,2
