,Title,Date,Category
0,,,2.0
1,"애경그룹, 홍대시대 열렸다…6개사 통합사옥 '애경타워' 입주 시작",2018.08.21,3.0
2,"장 종료 후 ""이 공시 눈에 띄네""(코스피-17일)",2016.02.18,3.0
3,"에이케이에스앤디, 18억 영업손실…'적자전환'",2016.02.17,3.0
4,'불황의 늪' 땅 팔아 장사하는 유통업계,2015.12.07,3.0
5,[인사]애경그룹,2015.12.06,3.0
6,"애경그룹, 화학부문 3사 대표이사 신규선임",2015.12.06,3.0
7,[12월 2일]아시아경제 뉴스브리핑,2015.12.02,3.0
8,"AK홀딩스 ""AK플라자 분당점 매각 검토중""",2015.11.02,3.0
9,"AK홀딩스 ""제주항공 상장 결정…신주 350만주 발행""",2015.09.23,3.0
10,"제주항공 유상증자, 구주주 청약률 90.1%…1350억원 확보",2020.08.14,4.0
11,"제주항공, 이스타항공 인수 포기 공식화 ""불확실성 너무 컸다""(종합)",2020.07.23,4.0
12,진실공방 벌어지는 M&A…제주-이스타 대표간 녹취파일 공개돼,2020.07.06,4.0
13,애경그룹 6명 규모 사장단 인사…이석주 AK홀딩스 대표 선임,2020.05.12,4.0
14,"애경그룹, AK켐텍?AMPLUS자산개발 2개사 대표 신규선임",2019.12.09,4.0
15,아시아나 인수戰 양자구도 재편…후보별 强·弱점은,2019.10.22,4.0
16,"애경그룹, 홍대에 국내최대 규모 벽시계 선보여",2018.12.23,4.0
17,"애경산업 이윤규 대표, 부사장 승진…JAS·코스파 신규 대표 선임",2018.12.03,4.0
18,"애경그룹, 장애인 스포츠선수단 출범식",2018.11.08,4.0
19,"'홍대시대' 연 채형석 호 순항…애경산업, 3분기 최대실적(종합)",2018.10.31,4.0
20,"애경그룹, 홍대 신사옥 ‘애경타워’에서 새 시작",2018.08.21,4.0
21,이석주 제주항공 대표 “B737맥스 내년 도입…싱가포르·말레이 진출”,2018.03.29,4.0
22,"AK홀딩스, 채형석의 혁신…""직원에 주식 절반 가격으로""",2018.03.29,4.0
23,"애경그룹, 자사주 15만주 직원들에게 반값 매각",2018.03.24,4.0
24,"애경그룹 직원들, 자사주 반값에 산다",2018.03.23,4.0
25,"안재석 AK홀딩스 대표이사 사장 ""지속 성장 가능 기업으로""",2018.03.23,4.0
