,Title,Date,Category
0,,,2.0
1,"지방 금융지주 3사, 상반기 최악 성적표",2020.07.31,3.0
2,"BNK금융, 실적 하향세 지속…상반기 순이익 3109억 그쳐",2020.07.27,3.0
3,"BNK금융, 긴급재난지원금 기부 동참",2020.05.13,3.0
4,"'실적 쇼크' BNK금융지주, 1분기 순이익 1377억…전년比 22% 급감",2020.04.28,3.0
5,코로나 타격에 '주가 구하기' 나선 금융지주 수장들,2020.04.15,3.0
6,[금융에세이]금융지주 회장님 연봉은 얼마일까,2020.04.04,3.0
7,김지완 BNK금융 회장 연임…계열사 부산·경남은행장도 연임,2020.03.20,3.0
8,"'코로나 패닉'에 금융지주 수장들, 자사주 매입…효과는 '미미'",2020.03.14,3.0
9,"김지완 BNK금융 회장, 자사주 추가 매입",2020.03.11,3.0
10,"김지완 BNK금융 회장, 자사주 매입 카드 꺼내…""주가 부양 올인""",2020.03.04,3.0
11,"부산은행, 차기 행장 후보 3명 압축…빈대인 현 행장 유력",2020.02.27,3.0
12,"BNK벤처투자 출범식…""부·울·경 모험자본 공급 확대""",2020.02.17,3.0
13,"BNK금융, 작년 순이익 5622억…비은행 약진",2020.02.06,3.0
14,김지완 BNK금융 회장 '연임'…계열사 CEO 원샷 인사 예고,2020.02.06,3.0
15,文정부 출범 후 거세진 외풍…'新 관치 금융' 논란(종합),2020.02.06,3.0
16,외풍 시달리는 금융지주사…'新 관치 금융' 논란,2020.02.06,3.0
17,"BNK금융, UCC 공모전…대상 2000만원 상금",2020.02.05,3.0
18,BNK금융 차기 회장 선정 돌입…김지완 회장 연임 도전,2020.01.23,3.0
19,"시중은행 8개사, 4분기 실적은? 순익 2.4조 '양호'",2020.01.11,3.0
20,"[신년인사회]은성수 ""올해 혁신금융과 포용금융 전력 다하겠다""(종합)",2020.01.03,3.0
21,[인사]BNK금융그룹,2019.12.27,3.0
22,"BNK금융, 책임경영 강화위해 조직개편…인사 단행",2019.12.16,3.0
23,[인사]BNK금융그룹,2019.12.16,3.0
24,"BNK금융 경영진 2억5천 활동비, 당국 제재…""지방은행 생존위기""라는데",2019.11.13,3.0
25,"BNK금융, KCGS 지배구조 우수기업 선정",2019.10.22,3.0
26,상반기 금융권 '연봉킹'은 누구?,2019.08.15,3.0
27,애사심에 자사주 샀는데…ㅠㅠ,2019.08.14,3.0
28,[인사]BNK금융지주,2019.07.16,3.0
29,"BNK금융, 하반기 CEO 교체 리스크",2019.07.01,3.0
30,"김지완 BNK금융 회장, 싱가포르·홍콩 IR나서 …하반기엔 미국",2019.05.22,3.0
31,"윤석헌 ""은행 자영업자에 경영컨설팅…실질적 도움될 것""",2019.05.17,3.0
32,지역색 지우는 DGB금융,2019.05.17,3.0
33,"1분기 성적표…부산銀 1등, 제주銀 꼴찌",2019.05.04,3.0
34,3대 지방 금융지주 '호실적',2019.05.03,3.0
35,BNK금융지주 임원들 자사주 수천주씩 매수,2019.04.22,3.0
36,지방 금융지주사 주가부양 열 올리는데…시장은 미지근,2019.04.05,3.0
37,27일 은행권 슈퍼주총…금융지주 회장들 주가하락 해명 '진땀',2019.03.27,3.0
38,"BNK금융 ""글로벌 금융그룹 도약""",2019.03.15,3.0
39,국내 첫 참치양식펀드 출범…욕지도 양식장에 50억원 투자,2019.03.06,3.0
