,Title,Date,Category
0,오뚜기·쿠팡·넷마블 등 고용창출 100대 우수기업,2016.03.17,2
1,"CJ·롯데 스크린독점 조사한 2人, 1월의 공정인",2015.02.16,2
2,스크린·상영기간 몰아주기…영화 대기업 CJ CGV·롯데시네마 '갑질',2014.12.22,2
3,"공정위, '불공정행위 혐의' CJ CGV·롯데쇼핑 처벌 면제요청 거부",2014.12.03,2
4,"'불공정행위' CGV·롯데쇼핑, 공정위 제재 대신 시정방안 내기로",2014.11.24,2
5,"[기업 자금조달]롯데컬처웍스, 신보 지원으로 600억 유동성 확보",2020.08.14,3
6,내수 살리고 사회공헌…'만능' 에너지공단,2020.06.23,3
7,"신보, CJ CGV 등 코로나 피해기업에 1.2조 회사채 발행 지원",2020.05.29,3
8,"CJ기프트카드, 누적 판매액 1000억원 돌파",2020.03.26,3
9,"이베이코리아, '스마일페이' 이용한 '2020 새해선물' 행사 진행",2020.01.13,3
10,"'비상경영' CJ, 내실 위한 인사 단행…K푸드 주역 강신호, 제당 대표이사로",2019.12.30,3
11,[인사]CJ그룹 정기 임원인사,2019.12.30,3
12,"CJ 오쇼핑, 동반성장 협력기업 68社 선정",2019.12.11,3
13,"CJ나눔재단, ""CJ ONE 포인트로 결식아동 도와요""",2019.12.06,3
14,"아모레퍼시픽, 용산지역 민?관?학 연합 봉사활동 참여",2019.12.06,3
15,"[세계가 반한 유통한류②]""고급스런 맛과 친절함에 반해""…美 전역서 단골 만든 파리바게뜨",2019.11.12,3
16,"CJ제일제당 'CJ더마켓', ""추석선물세트 날마다 특가로 준비하세요""",2019.09.05,3
17,"우리카드, ‘CJ ONE 우리카드 체크’ 출시",2019.08.28,3
18,"CJ그룹, 추석 앞두고 협력사 결제금 5천억 조기 지급",2019.08.26,3
19,"우리카드, CJ올리브네트웍스와 업무협약 체결",2019.07.18,3
20,일본 '中企복지센터' 강조한 중기부…달랑 '온라인몰' 오픈,2019.07.03,3
21,"CJ 오쇼핑, '극장판 엉덩이 탐정' 영화관람권 판매",2019.07.02,3
22,"CJ, 인도네시아 중소기업과 동반 성장 나섰다",2019.06.28,3
23,"엘앤피코스메틱, 메디힐 홈런에 '2019 한중경영대상' 기업부문 대상",2019.06.28,3
24,"CJ도너스캠프, 공부방 어린이 문예집 ‘꿈이 자라는 방’ 출간",2019.06.14,3
25,"대교, 7월 'CGV X 키즈잼' 오픈…공동사업 업무협약",2019.05.30,3
26,"CJ제일제당, ""유명 레스토랑에서 올리브유 활용법 배워요""…'올리브 오일 위크' 개최",2019.05.21,3
27,"CU, 넷마블과 손잡고 '모두의 마블' 아이템 7만개 쏜다",2019.05.08,3
28,"CJ나눔재단, 장애인의 날 맞아 ‘발달장애인 사생대회’ 후원",2019.04.24,3
29,"CJ, 글로벌 여성리더 헬렌 클라크와 함께하는 '여성리더십 무비토크' 성료",2019.02.14,3
30,"CJ제일제당 ""설 명절 햇반컵반과 함께 조조영화 즐기세요""",2019.02.01,3
31,[단독]CJ '계절밥상' 새해들어 두 곳 또 폐점…수도권 외 첫 진출 '서면롯데점'도 문 닫았다,2019.01.22,3
32,발길 끊긴 인천 내항에 해양문화지구 들어선다,2019.01.09,3
33,"[신년사]손경식 CJ 회장 ""초격차역량 확보해 국내·글로벌 시장 공격적 확대""",2019.01.02,3
34,[美 심장부 파고든 한류]영화 본고장 '할리우드'가 반한 '한국 영화기술·극장문화',2018.11.19,3
35,"“올리브영, 11월 쇼핑축제”…‘블랙올리브데이’ 연다",2018.11.16,3
36,"이재현 ""그레이트·월드베스트 CJ 진용 갖춰라""…독보적 1등 위한 파격 인사",2018.10.23,3
37,[인사]CJ그룹,2018.10.23,3
38,"CJ그룹, 정기임원인사 단행…지주사 공동 대표이사에 박근희 부회장 내정",2018.10.23,3
39,"신한카드, CJ ONE 체크카드 10만장 돌파",2018.10.04,3
40,"손경식 CJ그룹 회장, 印尼 대통령 면담 “식품·바이오 등 협력 확대”",2018.09.10,3
41,"CJ그룹, 5일 대졸 신입공채 시작…""인공지능 챗봇 서비스로 궁금증 해소""",2018.09.03,3
42,"신한카드, '워라밸 클래스' 론칭…""보드 타는 법 배워보세요""",2018.07.04,3
43,"5월 가정의 달 맞은 카드사…""할인ㆍ포인트 혜택 챙기세요""",2018.05.05,3
44,[최저임금100일]소득 증가보다 훨씬 더 빨라진 물가상승,2018.04.09,3
45,올해 100대 브랜드…삼성·롯데 11개씩 포진 최다 보유,2017.12.14,3
46,"CJ프레시웨이, 전국 1100여개 직장어린이집에 교육지원 프로그램 선봬",2017.12.11,3
47,CJ나눔재단 “CJ ONE 포인트로 겨울방학 결식아동 도와요”,2017.12.08,3
48,"공정위, 결국 현대모비스 동의의결 개시 않기로",2017.11.26,3
49,[인사]CJ그룹,2017.11.24,3
50,[요우커의 귀환④]사드 학습효과…그래도 '포스트차이나' 준비한다,2017.11.16,3
51,"숙원 'CJ컵'까지 끝낸 이재현, 마지막은 인사…11월 '세대교체'",2017.10.31,3
52,"법원 ""CGV 친족회사 부당지원 공정위 과징금 처분 정당""",2017.10.26,3
53,"이재현의 '월드베스트 CJ'…소스공장 계속 짓는다 ""2020년 매출 1000억 목표""",2017.10.23,3
54,"비비고, 미국 전역에 ‘한식의 맛’ 알린다",2017.10.16,3
55,"유명무실한 분쟁조정절차…""소비자원, 조정 할지, 말지 정하는데 10개월""",2017.10.10,3
56,"CJ푸드빌, 추석맞이 프리미엄 선물세트 출시",2017.09.20,3
57,"신한카드, 창립 10주년 기념 사은행사 실시",2017.09.18,3
58,"손경식 CJ 회장, 美 에드 로이스 외교위원장 환담 ""현지 투자·고용 창출 감사""",2017.08.29,3
59,"1억9000만명이 찾은 빕스, 이번에 영화관 안으로…중동소풍점 오픈",2017.07.28,3
60,"이재현 CJ그룹 회장, 일자리 창출 앞장…""3008명 직접 고용""",2017.07.26,3
61,"용산 현대아이파크몰, 유통·문화 실험…컬처플렉스 시대 연다",2017.07.18,3
62,"""대중교통비 최대 30% 할인"" 신한카드-한국스마트카드, 특화 신용카드 2종 출시",2017.07.05,3
63,"訪美 총수들 통큰 선물, SK 1조8천억 포함 14조6천억 對美 투자(종합2보)",2017.06.29,3
64,"방미경제인단, 향후 5년간 128억달러 對美 투자",2017.06.29,3
65,[1인가구가 바꾼 유통세상]나는 왜 혼밥·혼술을 하나…120조 움직이는 '1코노미',2017.06.21,3
66,"이재현 ""글로벌 사업 확대만큼 사회공헌도""…中 소외계층과 ‘CJ꿈키움교실’  개최",2017.05.29,3
67,"[사드 장막 걷히나②]요우커 절벽에 위기 속 면세점, 보릿고개 '종식'되나",2017.05.18,3
68,"HDC신라면세점, 분기 흑자 달성…""사드 악재 불구 성공적 안착""",2017.05.16,3
69,"동부화재, 가족에 마음우체통 캠페인",2017.05.08,3
70,"CJ프레시웨이, '키즈 교육문화체험 서비스' 선봬",2017.04.24,3
71,"'그랜드오픈 1주년' 신라아이파크免 ""고객들, 교통시설·쇼핑혜택 만족""",2017.03.24,3
72,"국내 대기업들, 中사드보복 위험노출",2017.03.15,3
73,옥션 VVIP·신규 회원은 GGV 30% 할인 받는다,2017.02.13,3
74,"500대 기업, 동일 회계법인 붙박이 감사…평균 6.8년",2017.01.25,3
75,"CJ그룹, 청소년-멘토 ‘꿈키움스테이지’ 통해 재능 발산 공연 개최",2017.01.23,3
76,"CJ제일제당, '스팸' 모델로 배우 이서진 선정",2017.01.05,3
77,"[클릭 e종목]CJ CGV, 목표주가 '10만5000→11만5000원' 상향",2017.01.04,3
78,"CJ제일제당, 협업 마케팅으로 '삼호어묵' 수요 확대 나서",2016.11.16,3
79,"CJ제일제당, 햇반으로 영화를 본다?…'햇반 티켓' 이벤트 진행",2016.11.15,3
80,"공정위, CGV 검찰 고발..""이재현 회장 동생 회사에 102억원 부당지원""",2016.09.29,3
81,[인사]CJ그룹,2016.09.12,3
82,"CJ그룹, 3년만에 대규모 '임원승진 인사' 단행",2016.09.12,3
83,"공정위, 'CJ 일감몰아주기' 검찰고발 검토",2016.08.15,3
84,"국민연금, '사드 쇼크'로 한달새 5000억 허공에",2016.08.10,3
85,"CJ 4DPLEX, 美 '리갈 시네마'와 제휴 확대…17개 4DX 추가 설치",2016.08.02,3
86,"CJ그룹, '한류4.0 전략'으로 2020년 글로벌 문화기업 도약 박차",2016.08.01,3
87,"CJ그룹, 미래 문화인재 육성 '꿈키움창의학교' 4기 운영",2016.07.14,3
88,"하나금융, 하나멤버스 500만명 돌파…대만으로 하나멤버스 진출",2016.07.05,3
89,"'제2의 CJ' 건설, 中 대륙 달군다",2016.06.07,3
90,"손경식 CJ 회장, 리우 치바오 中 중앙선전부장 환담",2016.05.22,3
91,'CJ 선봉장' K-컬처밸리 8.7조 경제효과…문화콘텐츠 한류몰이,2016.05.20,3
92,"CJ그룹, 스승의 날 맞아 전국 4000여개 공부방에 선물 지원",2016.05.12,3
93,"LG그룹株펀드, 펀드마다 엇갈린 성적표",2016.04.15,3
94,"손경식 CJ 회장, 왕셴쿠이 中 헤이룽장성 당 서기와 환담",2016.04.11,3
95,"CJ그룹, 중국 공청단과 협약…사회공헌 영토 넓혀",2016.03.31,3
96,"[2016 슈퍼주총]이재현 CJ그룹 회장, 전 계열사 등기이사 사퇴",2016.03.18,3
97,오뚜기·쿠팡·넷마블 등 고용창출 100대 우수기업,2016.03.17,3
98,신격호·이재현 등기이사 사퇴…'세대교체·전문경영인 체제' 본격화(종합),2016.03.07,3
99,"이재현 CJ 회장, 그룹 모든 등기이사 사퇴…""건강 상태 고려""",2016.03.02,3
100,하나금융 '하나멤버스' 석달여 만에 200만 회원 돌파,2016.02.01,3
101,"공정위, CJ그룹 '일감 몰아주기' 조사 착수",2016.01.25,3
102,"하나카드, '새해맞이 하나멤버스 이벤트' 31일까지 진행",2016.01.12,3
103,"[전문]손경식 CJ 회장 신년사 ""그룹 위기상황, 글로벌 성과로 극복""",2016.01.04,3
104,"손경식 CJ 회장, “글로벌 성과 창출로 오너 부재 위기 극복”",2016.01.04,3
105,[인사]CJ그룹,2015.12.23,3
106,"CJ그룹, 정기 임원 인사…기존 임원 승진 보류",2015.12.23,3
107,[12월 23일]아시아경제 뉴스브리핑,2015.12.23,3
108,"공정위, 올해 '최우수 사건처리 전문가'로 조석진 사무관 선정",2015.12.15,3
109,"비비고, 돌솥비빔밥 등 겨울 신메뉴 출시",2015.12.10,3
110,"CJ, 멤버십 카드 출시 5주년 기념 감사 이벤트 진행",2015.11.26,3
111,"식음료업계, 소비자 공략 키워드는 ‘취향저격’",2015.11.14,3
112,[10월 26일]아시아경제 뉴스브리핑,2015.10.26,3
113,"CJ푸드빌, 추석 연휴 기간 풍성한 이벤트와 혜택 제공",2015.09.20,3
114,"CJ푸드빌 더플레이스, 5호점 판교 현대백화점에 오픈",2015.08.28,3
115,"취임 2개월 된 김일천 CJ오쇼핑 대표, 패션으로 상반기 적자 메꾼다(종합)",2015.08.26,3
116,"""롯데쇼핑·이마트·삼성전자, 고용창출 비중 높아""",2015.07.29,3
117,"비비고, ‘비비고 한그릇’ 메뉴 출시",2015.07.03,3
