,Title,Date,Category
0,[2020경제정책]에쓰오일 '울산 석유화학공장'·신세계 '스타필드 청라' 건립 속도,2019.12.19,2
1,"문 대통령, UAE 공식오찬…윤부근 삼성 부회장 등 참석",2018.03.25,2
2,"한전, 항만시설 에너지효율화 사업 첫발",2017.05.22,2
3,"정부, 해운물류업계와 한진해운 후폭풍 대책 논의",2016.09.02,2
4,북극항로 이용 늘어난다,2016.07.15,2
5,"[아시아초대석]""케이피시·크루즈산업, 불황파고 넘을 한국號 새엔진""",2016.04.11,2
6,내년 상반기까지 부산항 북항 4개 터미널 운영사 통합,2015.12.04,2
7,"서울시-민간기업, 장애인·노인 등 취약계층 일자리 늘린다",2015.10.13,2
8,"CJ대한통운, 위탁 부당하게 취소..시정명령",2015.06.11,2
9,5개 도시에 물류단지설치 전자상거래 수출 지원,2015.05.21,2
10,"“코로나19에 더 빛난 사상최대 실적”…CJ제일제당, 영업익 120% 수직 상승",2020.08.11,3
11,"CJ그룹, 스타트업 지원 오픈 이노베이션 플랫폼 ‘오벤터스’ 3기 모집",2020.08.10,3
12,CJ대한통운·한진 등 7개사 포스코 철강재 입찰담합…과징금 460.4억,2020.07.13,3
13,오픈마켓·라이브 커머스…'유통' 집어삼키는 포털,2020.07.13,3
14,'코로나19'에도 2분기 '맑음'…즉석밥 인기로 B2B 타격 피해간 CJ·오뚜기·동원,2020.07.03,3
15,'수소 화물차로 택배 배송' 시범사업…2023년부터 본격 양산,2020.05.20,3
16,"슈완스 파워 본격화…CJ제일제당, 1분기 매출 5조8309억원 달성",2020.05.14,3
17,"산업장관 ""수출지원, 물류에서 무역금융·온라인 마케팅 확대…기업 '유턴' 당부""",2020.04.29,3
18,"정부, 사상 최초로 특별전세기 띄워 수출지원…中 충칭·印尼 자카르타로",2020.04.29,3
19,"환경부, 현대차-물류회사와 MOU…""전기화물차로 전환, 미세먼지 감축""",2020.04.24,3
20,'동방·CJ대한통운·한진' 등 5개사 화물 운송용역 입찰 담합…과징금 5억4000만원,2020.04.12,3
21,"CJ, '코로나19' 피해 극복 위해 성금 10억원 기부",2020.02.27,3
22,"수익성 개선 CJ제일제당, 지난해 매출 22조3525억원…전년比 19.7% 성장",2020.02.12,3
23,"세방 등 8개사, 포스코 발주 철강운송용역 입찰담합…과징금 400.8억원",2020.01.27,3
24,"'동방·글로벌·세방·CJ대한통운·KCTC·한국통운', 현대重 조선부품 입찰답합…과징금 68억원",2020.01.07,3
25,"[2020유통街, 열쇳말은 변화]체질 개선 나선 식품기업들, 내수보다 기대되는 해외 실적",2020.01.01,3
26,"'비상경영' CJ, 내실 위한 인사 단행…K푸드 주역 강신호, 제당 대표이사로",2019.12.30,3
27,[인사]CJ그룹 정기 임원인사,2019.12.30,3
28,[2020경제정책]에쓰오일 '울산 석유화학공장'·신세계 '스타필드 청라' 건립 속도,2019.12.19,3
29,"'비상경영' CJ제일제당, 故 이맹희 회장 살던 '인재원' ENM에 매각한다",2019.12.09,3
30,"""앞으로 몇 년이 생존 갈림길""…비상경영 돌입한 유통공룡들",2019.11.14,3
31,"CJ제일제당, 3분기 매출 5조8581억원…전년比 18.5% '↑'",2019.11.11,3
32,"JDX, 국내 토종 브랜드 전 세계에 알리다",2019.10.22,3
33,"[2019 국감] ""중기부 '의무고발요청제' 소극적…시스템 정비해야""",2019.10.21,3
34,나흘간 4만 7천명 찾은 더CJ컵…전세계 226개국에 CJ 위상 알렸다,2019.10.21,3
35,CJ대한통운 등 18년간 수입현미 운송용역 담합…과징금 127억 부과,2019.10.09,3
36,"CJ그룹, 추석 앞두고 협력사 결제금 5천억 조기 지급",2019.08.26,3
37,"트럼프 만남에 신동빈·손경식·정용진·허영인 '출동'…""미국 사업 확대""(종합)",2019.06.30,3
38,'친절 택배기사' 포상했더니…배송 클레임 11% 줄었다,2019.06.28,3
39,이재현 회장 장남 '3세 이선호' 승계 시동…CJ 지주사 주주명부에 오른다(종합),2019.04.29,3
40,"CJ 대한통운 택배기사, 평균 월 578만원 번다",2019.04.28,3
41,"CJ나눔재단, 장애인의 날 맞아 ‘발달장애인 사생대회’ 후원",2019.04.24,3
42,"대한통운 인프라 등 업은 CJ제일제당, ""밀키트 사업 3년 내 1000억 매출 달성""(종합)",2019.04.23,3
43,"CJ제일제당, '밀키트 시장' 본격 공략…셰프 요리키트 브랜드 '쿡킷' 론칭",2019.04.23,3
44,"CJ, 강원도 산불 재난 구호활동 동참…빵 1만5천개 등 긴급 물품 지원",2019.04.05,3
45,"美→日→美 '강행군'…이재현 ""1~2년 글로벌 성과에 CJ 미래 달려있다""(종합)",2019.04.05,3
46,"日에 번쩍 美에 번쩍…'강행군' 이재현 ""글로벌 현장 경영"" 강화",2019.04.05,3
47,"김홍기 CJ 대표 ""그레이트CJ 넘어 월드베스트CJ…경쟁력 확보 매진""",2019.03.27,3
48,"수은, CGIF와 손잡고 CJ대한통운 싱가포르법인 발행 채권 보증",2019.03.27,3
49,GS25 이어 CU까지 '반값 택배'…'반값'으로 영토 넓히는 편의점(종합),2019.03.26,3
50,'반값 편의점'의 위협…커피·라면 이어 택배까지 '반값',2019.03.26,3
51,"KB국민은행, 명동 옛 사옥 개발 펀드 판매…5.12% 목표",2019.02.08,3
52,"[단독]작년 노사분규 12년 만에 최다, 갈등 커졌다",2019.01.15,3
53,"[신년사]손경식 CJ 회장 ""초격차역량 확보해 국내·글로벌 시장 공격적 확대""",2019.01.02,3
54,"이재현 CJ 회장, 美 경영전략 회의 ""글로벌 영토확장 적극 추진""",2018.12.16,3
55,기업가 주간 맞아 '사랑받는 기업' 포상…CJ·태광비나 등 수상,2018.11.28,3
56,"CJ제일제당, 3분기 매출 전년比 12% 성장…4조9456억원 달성",2018.11.08,3
57,"""집 앞까지 찾아갑니다""…편의점 택배, CU포스트 '홈 택배' 서비스 시행",2018.11.05,3
58,"CJ제일제당, 슈퍼레이스 챔피언십서 ‘CJ올리브마켓’ 팝업스토어 운영",2018.10.28,3
59,"'40년 삼성맨' 박근희, 이재현의 男…""이채욱 바톤 받아 CJ 경영 이끈다""",2018.10.23,3
60,"이재현 ""그레이트·월드베스트 CJ 진용 갖춰라""…독보적 1등 위한 파격 인사",2018.10.23,3
61,[인사]CJ그룹,2018.10.23,3
62,"CJ그룹, 정기임원인사 단행…지주사 공동 대표이사에 박근희 부회장 내정",2018.10.23,3
63,"CJ그룹, '더CJ컵' 통해 소녀교육 캠페인 홍보 나선다",2018.10.19,3
64,올해 화물차 연비왕은 누구…,2018.10.18,3
65,이재현 CJ그룹 회장의 빅딜…美 쉬완스 인수 초읽기(종합),2018.10.12,3
66,'이재현의 빅딜' 막바지…美 전역 마트·슈퍼에 '비비고' 입점,2018.10.12,3
67,[2018 국감]중기부 의무고발요청권 '유명무실' 지적,2018.10.10,3
68,"이용주,""중기부, 대기업 갑질근절 소극적…280건 접수에 6%만 고발요청""",2018.10.07,3
69,"정부, 블록체인 업계 목소리 듣는다…민·관 협동 출발선에",2018.09.20,3
70,추석 상여금도 대기업-중소기업 '부익부 빈익빈',2018.09.16,3
