,Title,Date,Category
0,"성윤모 장관 ""'종합 반도체 강국' 만들어 가자""",2019.10.24,2
1,"문 대통령 ""2030년까지 시스템반도체 파운드리 세계 1위…종합반도체 강국 도약""",2019.04.30,2
2,반도체 수출 1000억 달러 시대…'제11회 반도체의 날' 개최,2018.10.25,2
3,"보험사 오너 2,3세…경영권 승계 준비 '잰걸음'(종합)",2020.08.19,3
4,"보험사 오너 2,3세…경영권 승계 준비 '잰걸음'",2020.08.19,3
5,"DB그룹, 김남호 회장 선임…2세 경영 막올라(종합)",2020.07.01,3
6,"성윤모 장관 ""'종합 반도체 강국' 만들어 가자""",2019.10.24,3
7,"DB그룹 보험사들, 'DB월드' 지분 처분",2019.08.04,3
8,반도체 수출 1000억 달러 시대…'제11회 반도체의 날' 개최,2018.10.25,3
9,"김남호 DB그룹 회장 ""데이터센터가 미래 비즈니스 중심축""",2020.07.30,4
10,[사람人]'基本'꺼내든 준비된 경영인…김남호 DB그룹 회장,2020.07.15,4
11,"DB그룹, 경영진 인사…구교형·최창식·이성택·김정남 부회장 승진",2020.07.13,4
12,"DB그룹, 2세 경영 시대 개막…김남호 회장 선임",2020.07.01,4
13,삼성전자 1분기 파운드리 시장 점유율 15.9% 전망,2020.03.21,4
14,"성윤모 장관 ""'종합 반도체 강국' 만들어 가자""",2019.10.24,4
15,"박성욱 반도체협회장 "" 반도체 산업이 대한민국 경제를 견인하는 힘""",2018.10.25,4
16,반도체 수출 1000억 달러 시대…'제11회 반도체의 날' 개최,2018.10.25,4
17,"DB하이텍, 3분기 영업익 330억원",2017.11.14,4
18,“아직도 추천주를 돈내고 받으세요?”,2020.07.30,5
19,속! 시원하게 말씀드립니다. ‘삼성전자’가 왜 오르는지! 직접 보세요!!,2020.07.29,5
20,“주식카톡방 완전무료 선언” 파격결정,2020.07.29,5
21,"‘이용료 없는 카카오톡 종목추천’, 화제",2020.07.15,5
22,"SK하이닉스, 반도체 대표주(생산) 테마 상승세에 3.02% ↑",2020.06.30,5
23,"[클릭 e종목]원익머트리얼즈, 저평가된 소재 기업…""주가 우상향 전망""",2020.06.29,5
24,주식카톡방 “완전무료 선언” 파격결정,2020.06.22,5
25,도대체 어떻게 해야 ‘상한가 종목’ 살 수 있나요?,2020.06.21,5
26,"현대비앤지스틸우, 커뮤니티 활발... 주가 -2.66%.",2020.06.18,5
27,"DB하이텍1우, 커뮤니티 활발... 주가 19.17%.",2020.06.18,5
28,"삼성전자, 반도체 대표주(생산) 테마 상승세에 2.33% ↑",2020.06.04,5
29,"SK하이닉스, 반도체 대표주(생산) 테마 상승세에 1.44% ↑",2020.06.04,5
30,"하나금융지주, 커뮤니티 활발... 주가 4.3%.",2020.05.26,5
31,"DB하이텍, 커뮤니티 활발... 주가 -1.24%.",2020.05.26,5
32,“카톡방 완전무료 선언” 파격결정,2020.05.26,5
33,"5월 25일 코스피, 24.47p 오른 1994.60 마감(1.24%↑)",2020.05.25,5
34,[e공시 눈에 띄네]코스피-15일,2020.05.18,5
35,[기로의상장사]올해 실적 개선이 필요한 3년 연속 적자 'GV',2020.04.14,5
36,“주식카톡방 완전무료 선언” 파격결정,2020.03.26,5
37,[e공시 눈에 띄네]코스피-10일,2020.02.11,5
38,"DB하이텍, 작년 영업익 1813억…전년비 60.45% 증가",2020.02.10,5
39,"1월 15일 코스피, 7.90p 내린 2230.98 마감(0.35%↓)",2020.01.15,5
40,"1월 3일 코스피, 1.29p 오른 2176.46 마감(0.06%↑)",2020.01.03,5
41,"1월 2일 코스피, 22.50p 내린 2175.17 마감(1.02%↓)",2020.01.02,5
42,"거래소, 내년 단일가매매 적용 저유동성 종목 41개 확정",2019.12.30,5
43,"12월 30일 코스피, 6.54p 내린 2197.67 마감(0.30%↓)",2019.12.30,5
44,"외국인, 2주 연속 순매수 지속…반도체 9000억 사들여",2019.12.22,5
45,"12월 19일 코스피, 1.80p 오른 2196.56 마감(0.08%↑)",2019.12.19,5
46,"코스피, 기관 팔자에 약보합 마감…2020선 탈환 실패",2019.12.18,5
47,"12월 18일 코스피, 0.92p 내린 2194.76 마감(0.04%↓)",2019.12.18,5
48,"12월 17일 코스피, 27.53p 오른 2195.68 마감(1.27%↑)",2019.12.17,5
49,"12월 16일 코스피, 2.10p 내린 2168.15 마감(0.10%↓)",2019.12.16,5
50,"12월 10일 코스피, 9.35p 오른 2098.00 마감(0.45%↑)",2019.12.10,5
51,"12월 9일 코스피, 6.80p 오른 2088.65 마감(0.33%↑)",2019.12.09,5
52,"외국인, 4주 연속 순매도…코스피 팔고 코스닥 사고",2019.12.08,5
53,"12월 6일 코스피, 21.11p 오른 2081.85 마감(1.02%↑)",2019.12.06,5
54,"GV, CB 상환 후 소각않는 배경은",2019.09.27,5
55,"외국인, 2주 연속 '사자'…가장 많이 담은 종목은 '삼성전자'",2019.06.23,5
56,"[클릭 e종목]“DB하이텍, 8인치 파운드리 호황 장기화 수혜 기대”",2019.05.17,5
57,"DB하이텍, 보통주 250원·종류주 300원 현금배당",2019.02.08,5
58,"DB라이텍, 최대주주 프룩투스로 변경",2018.12.05,5
