,Title,Date,Category
0,골프접대·채용비리…여전한 공공기관 비위 백태,2019.10.14,2
1,[2019 국감]“골프 접대 받고 허위보고까지”…공기업 직원들 무더기 징계 드러나,2019.10.10,2
2,"[2019 국감] ""GKL 세븐럭 카지노, VIP고객에 유흥업소 마케팅""",2019.10.10,2
3,"김수민 ""문체부, 부적절한 채용 300건 넘게 발견하고 조치 4건 '솜방망이'""",2018.10.29,2
4,다문화가정도 한마음…DMZ서 기원하는 한반도 평화,2018.08.04,2
5,'영재센터 후원강요' 장시호 1심 판결에 불복해 항소,2017.12.11,2
6,'영재센터 후원강요' 김종 前차관 1심 판결 불복해 항소,2017.12.08,2
7,"'특급도우미'도 피하지 못한 중형…""장시호, 엄중한 처벌 불가피""",2017.12.06,2
8,"감사원, '최순실 국정농단' 방조 공무원 28명 징계 요구",2017.06.13,2
9,"헌재 ""朴, 안종범 통해 GKL 등 스포츠팀 창단하도록 해""(속보)",2017.03.10,2
10,탄핵심판 지연작전 통하나…안봉근 등 증인 무더기 불출석,2017.02.14,2
11,대통령 탄핵심판 ‘증인이 복병’,2017.02.13,2
12,'삼성특혜' 장시호·'문화농단' 김종덕 특검 첫 출석,2016.12.30,2
13,"특검, 최순실·김종 동시 소환조사…""대질심문 검토 안해""",2016.12.24,2
14,"김종 전 차관, 특검 사무실 출석…첫 공개소환 대상(종합)",2016.12.24,2
15,"국조특위, 우병우·崔씨일가 증인채택…주요 기업인들도 무더기 포함",2016.12.12,2
16,"[일문일답]""복합리조트 2곳 개발…한국기업도 최대주주 가능""",2015.01.18,2
17,[2014국감]16개 외국인전용카지노 수조원 외상 도박판,2014.10.14,2
18,"그랜드코리아레저, 2020년 제1차 안전경영위원회 개최",2020.08.11,3
19,"그랜드코리아레저, 헌혈증 609매 서울의료원에 기증",2020.07.29,3
20,"그랜드코리아레저, '노사 갑질근절 공동선언' 발표",2020.07.21,3
21,"그랜드코리아레저, 청렴우수사례 대국민 투표",2020.07.14,3
22,[경제전망]韓 국가경쟁력 순위 발표…공공기관 경영실적 평가 공개,2020.06.14,3
23,"그랜드코리아레저 봉사단, 취약계층에 코로나19 예방 물품 전달",2020.06.04,3
24,"그랜드코리아레저, 카지노 사업장 5월6일까지 휴장 연장",2020.04.19,3
25,"그랜드코리아레저, 카지노 사업장 20일까지 휴장 연장",2020.04.04,3
26,'코로나19' 여파…카지노·경마·경륜 등 사행산업도 문 닫아,2020.02.24,3
27,GKL사회공헌재단 이사장에 나종민 전 문체부 차관,2020.01.31,3
28,"그랜드코리아레저, 서울·부산서 설 맞이 봉사활동",2020.01.22,3
29,"그랜드코리아레저, 강남구 사회공헌 감사패 수상",2019.12.18,3
30,"그랜드코리아레저, 안전경영방침 선포식",2019.12.12,3
31,"그랜드코리아레저, 동반성장 문화 확산 최우수기관 선정",2019.12.10,3
32,"그랜드코리아레저, 소외 이웃에 연탄 나눔 봉사",2019.12.04,3
33,"그랜드코리아레저, '자금세탁방지제도 이행종합평가' 최우수",2019.11.27,3
34,"그랜드코리아레저, 관리자 공공리더십 강화 교육",2019.11.19,3
35,"그랜드코리아레저, 세종학당재단과 한국어 확산 업무협약",2019.11.14,3
36,"그랜드코리아레저, 대만 여행박람회서 외래방문객 유치전",2019.11.08,3
