,Title,Date,Category
0,"솔베이·바스프, 글로벌 헤드쿼터 1호 기업 인정",2015.03.27,2
1,[현장에서] '흡연경고 그림' 누가 지웠나,2015.03.04,2
2,환절기 이너뷰티 관심 '↑'…미용보조식품 판매 '껑충',2019.04.13,3
3,"메디큐어, '헤어살롱 No1 브랜드 기업' 위상을 높이다",2017.02.03,3
4,"고령화사회, 男건강 들여다보니…전립선치료제 시장 비대해져",2016.02.21,3
5,자율준수프로그램 인력 충원…제약사들 공정거래 강화,2016.01.15,3
6,심상찮은 상장 제약사 시가총액…종근당 61%↑,2016.01.10,3
7,女연봉이 더 오른 제약사 딱 '1곳'뿐,2015.12.01,3
8,"JW중외제약 ""주가급등 사유 없다""",2015.04.22,3
9,"JW중외제약 ""표적항암제 후보물질, 중증폐질환에도 효과""",2020.06.30,4
10,"JW중외제약, 차세대 표적항암제 개발 착수",2020.06.22,4
11,"JW중외제약, 코로나19 항바이러스 치료제 개발",2020.06.17,4
12,"JW중외, 아토피 신약후보 임상 1상 마쳐…""안정성·유효용량 확인""",2020.06.16,4
13,"JW그룹, 윤리의 날 맞아 준법경영 실천 다짐",2020.06.02,4
14,"JW홀딩스, 룩셈부르크·남아공에 코로나19 치료목적 항생제 수출",2020.05.14,4
15,"JW중외제약, 국내 최초 피하주사 혈우병치료제 출시",2020.05.06,4
16,"[봄, 건강지킴이] 피로 쌓이고 운동에너지 부족한 직장인·수험생에 좋아",2020.04.23,4
17,"병원서 쓰던 살균소독제, 백화점 등 다중시설로 확대",2020.02.11,4
18,"JW중외제약, JP모건 컨퍼런스서 추가 기술수출 추진",2020.01.02,4
19,신임 동화약품 연구소장에 이마세 전무,2019.12.06,4
20,"JW중외제약, 신성빈혈치료제 日 신약허가 신청",2019.12.02,4
21,"JW중외제약, 베트남 제약사 출범…""아세안 시장 공략""",2019.11.13,4
22,"""대기업 제약사도 기술수출 세제지원해야""..제약바이오 R&D 활성화방안 찾는다",2019.11.07,4
23,제약·바이오 CEO 70여명이 한 데 모이는 까닭은,2019.10.25,4
24,"'발사르탄 사태' 구상금 청구서 받은 제약사들 ""정부와 소송전 불사""",2019.10.02,4
25,"혁신신약 한우물 JW중외제약, 글로벌 기술수출 잇따라 '잭팟'",2019.09.30,4
26,"JW중외제약, 中 심시어에 통풍치료제 기술수출",2019.09.27,4
27,"JW중외제약, 뿌리는 코감기약 '화콜 나잘스프레이' 출시",2019.09.25,4
28,"JW그룹, 제약업계 첫 '장애인표준사업장' 설립 추진",2019.09.17,4
29,[건강지킴이]스트레스 많은 수험생·회식 잦은 직장인에 딱,2019.09.05,4
30,AI 면접관 '깐깐하네',2019.09.04,4
31,"JW중외제약, 베트남 제약사 '유비팜' 인수",2019.09.04,4
32,"'청산도 백발의사' 이강안 원장, 성천상 수상",2019.08.28,4
33,"JW중외제약 ""레오파마, 기술수출한 아토피신약 美 임상 신청""",2019.08.27,4
34,"JW중외제약, Wnt 표적항암제 임상 1상 종료…""안전성 확인""",2019.07.19,4
