,Title,Date,Category
0,,,2.0
1,"JW생명과학, 보통주 395만여주 보호예수 만료",2017.04.24,3.0
2,제약株도 가치주…동아쏘시오홀딩스 담는 신영운용,2016.08.02,3.0
3,"한미사이언스, 올해 주가 상승률 1위…무려 806% ↑",2015.12.09,3.0
4,"JW홀딩스 ""주가급등 사유 없다""",2015.04.22,3.0
5,[제2중동붐]중동 부호 '1천만원 건강검진' 유치 병원 키운다,2015.03.19,3.0
6,"JW바이오사이언스, 세계 최초 패혈증 진단기술 日 특허 취득",2020.07.01,4.0
7,"JW홀딩스, 마스크 1억5000만장 국내외 공급한다",2020.06.18,4.0
8,"JW바이오사이언스 ""패혈증 진단키트, 중증환자 조기예측""",2020.06.15,4.0
9,"JW그룹, 윤리의 날 맞아 준법경영 실천 다짐",2020.06.02,4.0
10,"JW홀딩스, 美 박스터와 영양수액제 공동개발",2020.06.02,4.0
11,"JW바이오사이언스, 세계 최초 패혈증 진단기술 美 특허",2020.05.25,4.0
12,"JW홀딩스, 룩셈부르크에 항생제 수출…코로나19 치료 목적",2020.05.14,4.0
13,"JW홀딩스, 룩셈부르크·남아공에 코로나19 치료목적 항생제 수출",2020.05.14,4.0
14,"JW바이오사이언스, 패혈증 환자 모니터링 시스템 개발 MOU",2019.12.11,4.0
15,"JW홀딩스, 자회사 2개제품 '세계일류상품' 선정",2019.11.22,4.0
16,"JW홀딩스, 유망 중소기업 R&D 투자기금 조성",2019.11.07,4.0
17,제약·바이오 CEO 70여명이 한 데 모이는 까닭은,2019.10.25,4.0
18,"JW그룹, 하반기 120여명 채용 예정",2019.09.16,4.0
19,"JW생명과학, 3세대 종합영양수액제 '피노멜' 유럽 출시",2019.08.20,4.0
20,"JW홀딩스, 췌장암 조기진단 기술 유럽특허 등록 결정",2019.07.16,4.0
21,"JW그룹, 단오 맞이 나눔 봉사활동",2019.06.13,4.0
22,"JW생명과학, 3세대 종합영양수액제 유럽 첫 수출",2019.06.11,4.0
23,"JW홀딩스, 세계 첫 췌장암 조기 진단 기술 中 특허",2019.05.09,4.0
24,"JW그룹, 장애·독거노인과 봄나들이 행사",2019.04.17,4.0
25,"JW홀딩스·그래피, 헬스케어 신소재 개발 협약",2019.04.08,4.0
26,"JW생명과학, 영양수액제 '피노멜주' 아시아 첫 유럽 품목허가",2019.03.27,4.0
27,"이경하 JW그룹 회장 ""올해 경쟁 우위 성과·사회적 가치 창출""",2019.01.02,4.0
28,"JW중외제약, 3Q 영업익 221억…""기술수출 계약금 일시 반영""",2018.11.15,4.0
29,"[제약·바이오 게임체인저⑫]이경하 회장, 혁신신약 '뚝심'",2018.09.03,4.0
30,"JW홀딩스, 서초 사옥 1480억원에 매각",2018.06.20,4.0
31,"JW홀딩스, 세계 첫 췌장암 조기진단 기술 日 특허 획득",2018.06.07,4.0
32,"JW홀딩스, 브라질·인도에 종합영양수액제 수출",2018.05.23,4.0
33,"JW생명과학, 아시아 첫 ‘영양수액제’ 유럽 승인…내년 18개국 수출",2018.04.03,4.0
34,"JW홀딩스 한성권·JW중외제약 전재광 대표 선임…""책임경영 강화""",2018.03.23,4.0
35,"JW홀딩스-연세대, 세계 최초 췌장암 조기 진단키트 개발 나서",2018.03.15,4.0
36,"JW중외제약, '두타스테리드' 알약 개발…""1조원 글로벌 시장 공략""",2018.03.12,4.0
37,"JW그룹, 김포시와 사회공헌 협약…창업주 고향서 나눔 활동",2018.03.05,4.0
38,"JW메디칼, 日 히타치 초음파영상진단장치 '아로카 아리에타 850’ 출시",2018.02.13,4.0
39,"JW중외제약 이경하 회장 ""우수 의약품 공급·개발 역점""",2018.01.02,4.0
40,JW홀딩스 신임 사장에 한성권 JW중외제약 대표,2017.12.06,4.0
41,JW홀딩스 신임 사장에 한성권 JW중외제약 대표,2017.12.04,4.0
42,[건강! 이상품]움직이기 힘든 와상환자 대소변 불편 덜어줘,2017.08.23,4.0
43,"JW그룹, 협력사와 '동반성장 파트너스 데이' 개최",2016.12.15,4.0
44,"[인사] JW그룹, 임원 승진",2016.12.05,4.0
45,"JW홀딩스, 카오리온과 화장품 해외 유통 공급계약 체결",2016.10.24,4.0
46,"JW신약, 탈모 보조치료제 '모나에스캡슐' 출시",2016.10.21,4.0
47,"JW메디칼, 日 히타치 초음파 영상진단장치 독점 판매",2016.10.19,4.0
48,"JW생명과학, 27일 상장…공모가는? ""3만원 결정""",2016.10.15,4.0
49,"JW그룹, 신입ㆍ경력사원 수시채용 실시",2016.10.13,4.0
50,"JW홀딩스, JW중외제약 지분 5.12% 매입",2016.09.12,4.0
51,[부고]이종훈 JW홀딩스 이사 부친상,2016.08.19,4.0
52,"JW중외제약, 상반기 매출 2358억원…8.2%↑",2016.08.17,4.0
53,"JW그룹, 탈북 대학생 기업체험 진행",2016.08.03,4.0
54,JW그룹 공채 100기 신입사원 모집,2016.06.08,4.0
55,"JW중외 상장3社, 1분기 매출 일제히 증가",2016.05.16,4.0
56,JW생명과학 상장 본격화…JW홀딩스 재평가 주목,2016.04.26,4.0
57,"JW중외신약, 'JW신약'으로 사명 변경",2016.03.18,4.0
58,"JW중외신약, 유소아 중이염 치료제 '목사멘틴네오' 출시",2016.01.25,4.0
59,"JW중외그룹, 올해 경영방침 '비전 70+5' 달성",2016.01.04,4.0
60,"JW중외그룹, 다음달 3일까지 경력사원 수시채용",2015.12.23,4.0
61,"JW중외메디칼, 산부인과 검진대 출시",2015.12.22,4.0
62,"JW중외제약, 조직개편 단행…전재광 부사장 승진",2015.12.01,4.0
63,"JW중외신약, 고혈압복합제 '코텐션' 출시",2015.10.14,4.0
64,"JW중외신약, 병원 전용 화장품 시장 진출",2015.09.01,4.0
65,"JW중외제약, 상반기 매출 14.1% 증가",2015.08.17,4.0
66,"JW중외그룹, 임직원에 자사주 18만7850주 지급",2015.07.24,4.0
67,"JW중외그룹, 이경하 회장 승진…3세 경영 본격화",2015.07.21,4.0
68,"JW중외제약, 26일까지 경력·신입 수시채용",2015.05.15,4.0
69,"JW홀딩스, 마약진단의료기기 '원드포' 출시",2015.03.31,4.0
70,"제약업계 CEO ""중동 수출 부풀리기 의혹 이해할 수 없어""",2015.03.10,4.0
71,朴 중동 방문 수혜?…JW중외·보령·BC월드·종근당 사우디 진출,2015.03.04,4.0
72,"JW홀딩스, 사우디에 1억5000만달러 규모 수액공장",2015.03.04,4.0
73,"文 복지장관, 취임후 1년여 만에 제약사 첫 방문",2015.02.23,4.0
74,"JW중외그룹, 비전 70+5 선포식 개최",2015.01.05,4.0
75,"JW중외제약, 차성남 부사장 승진 등 임원 인사",2014.12.22,4.0
76,"[특징주] JW중외제약, 코로나19 치료제 개발 소식에 상승",2020.07.23,5.0
77,"광동제약, 커뮤니티 활발... 주가 7.3%.",2020.05.25,5.0
78,"신한지주, 커뮤니티 활발... 주가 -0.34%.",2020.05.25,5.0
79,"한국프랜지, 커뮤니티 활발... 주가 7.58%.",2020.05.25,5.0
80,"혜인, 커뮤니티 활발... 주가 24.38%.",2020.05.25,5.0
81,"메디톡스, 커뮤니티 활발... 주가 -4.98%.",2020.05.25,5.0
82,"JW홀딩스, 주가 5740원 (0.7%)… 게시판 '북적'",2020.05.25,5.0
83,[e공시 눈에 띄네] 코스피-1일,2020.04.02,5.0
84,"2월 18일 코스피, 33.29p 내린 2208.88 마감(1.48%↓)",2020.02.18,5.0
85,"2월 17일 코스피, 1.42p 내린 2242.17 마감(0.06%↓)",2020.02.17,5.0
86,2020 “세계최초” 임상2상 승인> 3상 준비 중  제2의 셀트리온 공개!,2020.02.17,5.0
87,"참여자 20만 돌파 주식카톡방, ‘평생무료’ 선언!",2019.07.16,5.0
88,"7월 16일 코스피, 9.39p 오른 2091.87 마감(0.45%↑)",2019.07.16,5.0
89,[e 공시 눈에 띄네]코스피-21일,2019.03.22,5.0
90,[e공시 눈에 띄네]코스피-28일,2018.10.01,5.0
91,"[특징주]JW홀딩스, 일본 특허 취득 소식에 4% 상승",2018.06.07,5.0
92,"[특징주] JW생명과학, 유럽 수출 본격화 기대감…강세",2018.04.03,5.0
93,[e공시 눈에 띄네]코스피-22일,2018.03.23,5.0
94,"JW홀딩스, 1주당 75원 현금배당 결정",2018.02.06,5.0
95,KRX300 편입 종목 발표…코스피 237개·코스닥 68개,2018.01.30,5.0
96,[e공시 눈에 띄네]코스피-15일,2017.12.18,5.0
97,"JW홀딩스, 3Q 영업익 15억원…전년比 30.16%↓",2017.11.06,5.0
