,Title,Date,Category
0,지난해 안전관리 1위 건설사는…동부건설,2018.10.11,2
1,벤처式 '남북경협안' 제시한다,2018.05.01,2
2,"김종인 ""'4대가문' 우리나라 재벌…정부가 배려 안 해도 생존""",2017.02.08,2
3,"[재계총수 청문회] '삼성물산 합병' 핵심쟁점…이재용 ""합병비율 임의적 조정 불가능""",2016.12.06,2
4,"박광온 ""대기업 총수 일가 미성년 친족 주식 1019억원 보유""",2016.11.14,2
5,대기업집단 지정기준 5조원→10조원으로 상향,2016.06.09,2
6,"김기식 ""자사주 취득·처분 제한법 발의""",2015.11.15,2
7,"박영선 ""신기술·재무구조 개선시에만 제3자 자사주 매각 허용""",2015.08.03,2
8,대형 국책사업 입찰담합..한화건설 등에 과징금 99억원,2015.04.21,2
9,플랜트 전문인력 양성교육 수료 90% 취업에 성공,2015.03.03,2
10,플라스틱 원료 담합한 다국적기업 5곳에 과징금 114억원,2014.11.23,2
11,"총수일가, 3.6%로 그룹 '주물럭'…""공익법인·해외계열사 우회출자 우려""",2020.08.31,3
12,[주간 저축은행]5년째 청소년 금융교육 하는 OK저축은행 外,2020.08.01,3
13,"KCC건설, '대구 오페라 스위첸' 사이버 견본주택 개관… 다음달 18일 청약",2020.07.31,3
14,"KCC건설, 6월 '서광교 파크 스위첸' 분양",2020.05.25,3
15,'양정 포레힐즈 스위첸' 1순위 청약 마감… 최고 경쟁률 122대 1,2020.05.21,3
16,"KCC ""시원한 개방감""…'주방 전용 시스템 창호' 출시",2020.05.18,3
17,"KCC, 집에서 '셀프 페인팅'…제품 활용 노하우",2020.04.27,3
18,"KCC건설, '스위첸' 디자인 리뉴얼",2020.04.23,3
19,"KCC, 임직원 성금 1000만원 사회복지시설에 기부",2020.04.03,3
20,"KCC, 서초구와 집수리 '반딧불하우스' 업무협약",2020.03.17,3
21,에너지 수입 늘어…대미 무역수지 흑자 한미 FTA 후 '최저',2020.03.15,3
22,[입소문 혼수] KCC 복합창호 '뉴하드윈V9',2020.03.12,3
23,"KCC, 코로나19 극복 성금 10억…""경영진도 사재 출연""",2020.03.02,3
24,"'홈씨씨인테리어' 인천점 리뉴얼…""특수목도 쉽게 구매""",2020.02.20,3
25,"11번가, KCC글라스 단독 입점…창호 '원데이 시공' 30% 할인",2020.02.18,3
26,"KCC글라스, 11번가 입점기념 최대 30% 할인행사",2020.02.18,3
27,"프리미어오토, 인피니티 대표 SUV 모델 특별 프로모션 진행",2020.02.13,3
28,"KCC, 일체형 복합창호 '뉴하드윈V9' 출시",2020.02.12,3
29,홈피 개편에 앱 출시까지…중견기업 고객소통 확대,2020.02.09,3
30,"닛산, ‘알티마’ 특별 프로모션 진행…KCC오토그룹 누적 출고 9만대 기념",2020.02.07,3
31,"KCC, 사랑의열매에 성금 11억5000만원",2020.01.29,3
32,"KCC, 지역사회 돕는 생산공장 사회공헌 '활짝'",2020.01.16,3
33,"대기업집단 채무보증금액, 전년比 60% 감소",2019.12.16,3
34,기지개 켜는 부산 분양시장…청약 경쟁률 '高高',2019.11.29,3
35,"KCC ""젊고 유연한 고객소통""…유튜브 조회수 '훨훨'",2019.11.22,3
36,올라가는 울산 집값… 동구 홀로 곤두박질,2019.11.12,3
37,인지도 개선 시도하는 중견 건설사들…TV광고 '컴백',2019.11.08,3
38,"""강남 전세보다 싸다""… 주말 1만5000명 몰린 '이수 스위첸 포레힐즈'",2019.10.21,3
39,"[르포]""상한제 임박했는데…"" 조바심, 이수 스위첸 포레힐즈 '북적'",2019.10.18,3
40,"KCC, '삼태기 마을' 주거환경개선 봉사활동",2019.10.16,3
41,[예비부부 마음 뺏는 혼수] KCC '사랑받는 인테리어' 3종,2019.09.27,3
42,"KCC, 페이스북 페이지 1주년…""에어팟 2세대 추첨""",2019.09.26,3
43,"KCC ""서울색으로 도시 가치 높여""…페인트 기술력",2019.09.17,3
44,중견기업 하반기 채용문 열렸다,2019.09.16,3
45,"KCC, 유리장섬유 2호기 완공…연간 8만t 생산규모",2019.08.13,3
46,"KCC, 홈씨씨인테리어서 지역 홈퍼니싱 브랜드 협업",2019.08.07,3
47,민관 손잡고 달동네 주거환경 개선 나선다,2019.07.30,3
48,"KCC, 송동근린공원 나무심기 '숲으로 프로젝트'",2019.07.18,3
49,"KCC, 신설법인 KCG 설립…""기업분할, 내년  출범""",2019.07.11,3
50,동반성장지수 中企체감도 '하락'…펫산업 적합업종 '비권고'(종합),2019.06.27,3
51,삼성전자 등 동반성장 '최우수'…中企체감도 '하락',2019.06.27,3
52,KCC 홈씨씨인테리어 '창원시티세븐' 리뉴얼 오픈,2019.06.13,3
53,"KCC, 송파제일어린이집 '쿨루프' 캠페인",2019.06.04,3
54,태양광 보급 확대에만 매달리는 정부…쓰러지는 제조업체들,2019.05.30,3
55,"KCC, '숲 강마루 정·윤' 바닥재 신제품 출시",2019.05.30,3
56,"KCC, 사원증 '스마트 기부'…1000원의 행복",2019.05.28,3
57,"김상조 ""일감 몰아주기·불공정 하도급 거래, 더이상 용납 안 돼""",2019.05.23,3
58,"KCC, 민관사회공헌 워크숍…""좋은 사회, 희망 씨앗""",2019.05.23,3
59,"김상조, 23일 한진·카카오 등 15개 그룹 CEO 만난다",2019.05.20,3
60,"KCC, 민관협력 노후주택 개선사업에 건축자재 기부",2019.05.20,3
61,"KCC, 美 모멘티브 인수완료…""실리콘 신제품 개발 박차""",2019.05.16,3
62,도시 취약지원 지원에 민관 협력,2019.05.15,3
63,"김상조, 재계 11~30위 그룹 대표들과 회동",2019.05.02,3
64,"KCC, '브랜드' 관리체계 강화…신고센터 개설",2019.04.30,3
65,KCC 친환경 페인트…유튜브 조회수 130만뷰 돌파,2019.04.25,3
66,KCC '벤더다원화' 속도낸다…'원료평가팀' 신설,2019.04.18,3
67,"KCC '숲으로' 환경개선…""건강한 생활공간""",2019.04.16,3
68,"KCC, 강원 산불 이재민 돕기 '건축자재' 1억 지원",2019.04.11,3
69,"KCC, 공립형 지역아동센터에 '친환경 건축자재' 지원",2019.04.03,3
70,바닥재 'KCC숲' 4년 연속 1위…'한국산업 브랜드파워' 선정,2019.03.21,3
71,'1000원' 아침식사의 행복…KCC '밥심론',2019.03.19,3
72,"[입소문 난 혼수가구] KCC, 자연·모던·실용 내세운 디자인",2019.03.19,3
73,"수공 ""하루 12만t 산업용수 안정적 공급…해수담수화 시설 구축""",2019.03.17,3
74,'홈씨씨인테리어' 고단열 창호… 최대 12% 할인 이벤트,2019.03.14,3
75,KCC '이동형 창호 전시장' 운영…전국 아파트 방문,2019.03.07,3
76,"KCC건설, 김포에서 파주 간 고속국도 공사 991억원에 수주",2019.02.27,3
77,"KCC ""경쟁력 강화 동반성장""…'우수 대리점' 세미나",2019.02.18,3
78,KCC 입사준비 노하우…2019년 신입사원이 말한다,2019.02.10,3
79,페인트업계 '미세먼지 저감' 한마음…30일 '광촉매 기술' 설명회,2019.01.29,3
80,"KCC ""베트남 친환경 분체도료 시장 공략""…하노이 생산공장 증설",2019.01.28,3
81,"KCC, 사회복지공동모금회에 성금 20억…""나눔문화 확산""",2019.01.15,3
82,"정몽익 ""조직과 시장 선도하는 리더로 성장""…KCC 신입사원 격려",2019.01.11,3
83,"KCC, '셀프 집수리 전문가 과정' 특강…홈씨씨인테리어 인천점",2019.01.07,3
84,'융복합기술 고도화' 속도내는 KCC…초일류기업 도약 원년,2019.01.03,3
85,"'미세먼지' 지수 알리미…KCC, 옥외광고물 설치",2018.12.21,3
86,"KCC ""특별함·평온함·친밀함…내년 인테리어 트렌드""",2018.12.07,3
87,"""취약지역 삶의 질 높인다""…새뜰마을사업 30곳 선정계획 발표",2018.12.04,3
88,"LH, 건설기술 혁신 위한 건설기술 컨퍼런스 개최",2018.12.02,3
89,"KCC, '제44회 국가품질경영대회' 대통령상…""우수 품질분임조 부문 5개팀""",2018.11.29,3
90,"KCC ""저층주거지 환경개선""…'온(溫)동네 사업' 참여",2018.11.15,3
91,"KCC, 3분기 영업익 769억원…전년比 28% 감소",2018.11.05,3
92,"전기안전공사, '부패방지 우수기관' ISO 37001 인증 취득",2018.11.02,3
93,"KCC, 4주만에 '창호' 유튜브 조회수 700만",2018.11.01,3
94,"KCC ""인테리어 상품 최대 60% 할인""…이사철 '집수리 대(大)' 행사",2018.10.23,3
95,"오리온, 프로농구 홈 개막전서 '오!그래놀라 데이' 개최",2018.10.18,3
96,지난해 안전관리 1위 건설사는…동부건설,2018.10.11,3
97,"KCC, 서울대공원 동물원 벽화그리기…""친환경 페인트 제공""",2018.10.04,3
98,독립경영 인정제도 변경 뒤 이용 활발…올해 7개 집단 40개사,2018.10.01,3
99,"KCC, 바닥재 9년 연속 1위…'품질만족지수' 6개 부문 수상",2018.09.20,3
100,[심쿵유발 혼수] 아이들 뛰어도 층간소음 걱정없는 바닥재,2018.09.14,3
101,"KCC, 최장 13년 창호 품질보증제…""구조적 결함시 수리 또는 교환""",2018.08.16,3
102,"KCC 종합연구동, 民官 상생의 결실…향후 100년 대비하는 초석",2018.08.14,3
103,"에너지공단, 도시 시설 유휴부지 활용 '태양광 보급'에 속도",2018.07.31,3
104,"KCC, 용인에 '도시형 태양광발전소' 준공",2018.07.19,3
105,"에너지공단, KCC와 도시형 태양광 발전 준공",2018.07.18,3
106,"KCC ""어린이 건강·복지 지원""…'양산로날드맥도날드하우스'에 친환경 자재 후원",2018.07.17,3
107,[文정부 동반성장지수]협력사에 653억 인센티브·1만5천명 연봉 10% 올려준 기업들,2018.06.27,3
108,"[文정부 동반성장지수]삼성전자 '최우수', 오비맥주 '미흡'(종합)",2018.06.27,3
109,한화發 신호탄…일감몰아주기 해소 재계로 번지나,2018.06.01,3
110,지난해 공정거래 관련법 가장 많이 어긴 그룹은 LS,2018.03.07,3
111,"건설사, 규제 피해 지방서 재건축·재개발 수주戰 본격화",2018.01.24,3
112,"에너지공단, 장애우 복지시설에 '에너지자립 공부방' 열어",2017.12.13,3
113,"삼성물산 ""법원 판결 존중…예상했던 결과""",2017.10.19,3
114,"총수 2세 지분 100% 기업, '내부거래'가 66%",2017.09.21,3
115,CBD를 한번에… 지하철 '황금라인 분양' 눈길,2017.07.09,3
116,"대형건설사, 재건축·재개발 수주 전쟁",2017.06.13,3
117,사각지대 노린 떴다방…정부 투기 단속 예고에 '풍선효과',2017.06.12,3
118,"한국소비자원, 국제거래로 인한 소비자피해 해결 지원 확대",2017.05.25,3
119,"강북 신탁재개발 도봉2구역, 시공사 찾아 삼만리",2017.05.23,3
120,KT&G·하림·한국투자금융·KCC 신규 대기업집단…현대 제외,2017.05.01,3
121,"KCC건설, 350억 규모 채무 보증 결정",2017.04.24,3
122,담합으로 낙찰 최저가 낮춘 현대·KCC건설에 700억 과징금,2017.04.20,3
123,"500대 기업 CEO, SKY 출신이 절반",2017.04.12,3
124,"30대그룹, 지난해 투자 13조원↓",2017.04.04,3
125,감사위원 분리 선출 시 대기업 3곳 중 1곳 해외 기관투자가 영향권,2017.03.29,3
126,30대 그룹 관료 출신 사외이사 비중 절반 가까이 달해,2017.03.22,3
127,"대기업 신용평가, 국내외 괴리 커…4.8등급 차이",2017.02.22,3
128,"[이재용 재소환] 특검 ""합병 특혜 있었다"" VS 삼성 ""혐의 없어""",2017.02.13,3
129,30대 그룹 올 9월 만기 회사채 45조...8.2%↑,2017.02.01,3
130,상장사들 잇따라 GDR 상장폐지 시키는 까닭,2017.01.20,3
131,"롯데칠성 게토레이, KBL 올스타전 이벤트 진행…스포츠마케팅 박차",2017.01.18,3
132,설 연휴 앞둔 분양시장 '숨 고르기'…677가구 분양,2017.01.15,3
133,수도권서 1분기 아파트 2만여가구 쏟아진다,2017.01.04,3
134,"새해 첫달, 전국서 1만7000여가구 분양",2017.01.02,3
135,"[2016년 산업계 10대 뉴스]눈물과 몰락, 사과와 해체…大격랑의 한해(종합)",2016.12.24,3
136,"유니시티코리아, 우리은행 '위비' 여자프로농구단과 후원 협약 체결",2016.12.16,3
137,"롯데칠성, 남자프로농구 '게토레이 베스트 치어리더팀' 선정",2016.12.07,3
138,"유니시티코리아, KCC이지스 프로농구단 후원 협약 체결",2016.11.29,3
139,"檢, 국민연금·삼성 압수수색…1년 전 삼성물산 합병과정은",2016.11.23,3
140,"대기업 총수일가 미성년자 43명, 계열사 주식 1000억원어치 보유",2016.11.14,3
141,"CJ제일제당, 화장품 원료 사업 나서…18조 규모 글로벌 시장 공략",2016.11.08,3
142,"롯데칠성 게토레이, 프로농구 시즌 맞아 스포츠마케팅 펼쳐",2016.10.27,3
143,"재규어랜드로버코리아, 제주 전시장 통합 오픈",2016.10.25,3
144,"오리온, 프로농구 개막전 ‘초코파이情 데이’ 개최",2016.10.21,3
145,[삼성전자 최고가 랠리]돌아온 엘리엇에 정몽진 KCC 회장 '화색',2016.10.07,3
146,KCC오토. 벤츠 1만대 판매 기념 이벤트 실시,2016.10.05,3
147,"""건설현장안전 CEO가 직접 챙겨라""..잇단 사고에 장관 거듭 당부",2016.09.22,3
148,9월 '이사철' 입주물량 ↓…전국 1만6000여가구 집들이,2016.08.17,3
149,8월이 분양 비수기?…전국서 3만2289가구 쏟아져,2016.07.27,3
150,"재벌 총수, 개인지분 줄었지만 계열사 영향력 여전",2016.07.07,3
151,7월 3만9000여가구 분양…역세권·대단지 '알짜단지' 주목,2016.06.27,3
152,대기업집단 지정기준 5조원→10조원으로 상향,2016.06.09,3
153,"롯데건설, 골프장 내 단독주택용지 '청라 더 카운티 2차' 계약률 80% 넘어서",2016.05.31,3
154,"재규어랜드로버코리아, 인증중고차 사업 진출",2016.05.18,3
155,"KCC, 분당 판교에 홈씨씨인테리어 대형 매장 오픈",2016.05.04,3
156,"KCC건설, 씨엔청우홀딩스 240억 규모 채무인수",2016.04.29,3
157,'청라 더 카운티 2차' 28일부터 이틀간 본계약 진행,2016.04.25,3
158,'청라 더 카운티 2차' 사전예약 마감 초읽기,2016.04.22,3
159,"홈씨씨인테리어, 제주 지역 고객 공략 강화",2016.04.14,3
160,"KCC, 고기능성 화장품 원료용 실리콘으로 시장 공략",2016.04.11,3
161,"KCC, 홈씨씨인테리어 신규 TV 광고 방영",2016.04.08,3
162,"서울 전셋값, 연내 집값 80% 넘어서나",2016.03.29,3
163,"오리온, ‘포카칩 토마토파스타맛’ 출시",2016.03.25,3
164,"오리온, 14년 만의 프로농구 우승 도전 ‘초코파이 정 데이’ 개최",2016.03.23,3
165,"KCC, 중국 PVC 바닥재 시장 본격 진출",2016.03.23,3
166,"KCC, 新 교육 시스템 도입 ""영업·교육 모두 잡는다""",2016.03.18,3
167,"친환경 바닥재 'KCC 숲', 2016 브랜드파워 1위 선정",2016.03.14,3
168,[내가 찾던 혼수] 전문가 직접 책임…상담부터 AS까지,2016.03.11,3
169,"KCC, 올해의 컬러로 '세이지 가든' 선정",2016.03.09,3
170,"복합리조트 선정, 인천 1곳만 허가…직접화 효과 '물거품'",2016.02.26,3
171,복합리조트 사업자에 모히건 선·KCC '인스파이어' 선정,2016.02.26,3
172,"복합리조트, 26일 오후 사업자 선정 발표…빅2 급부상",2016.02.26,3
173,"KCC, 국내 최초 아토피 안심 제품 라인업 구축",2016.02.25,3
174,골프장 내 단독주택 '더 카운티 2차' 사전예약,2016.02.24,3
175,"KCC, 서울 수도권 전시판매장 출점 가속화",2016.02.23,3
176,"KCC, 홈씨씨인테리어 신규 TV 광고 방영",2016.04.08,3
177,"서울 전셋값, 연내 집값 80% 넘어서나",2016.03.29,3
178,"오리온, ‘포카칩 토마토파스타맛’ 출시",2016.03.25,3
179,"오리온, 14년 만의 프로농구 우승 도전 ‘초코파이 정 데이’ 개최",2016.03.23,3
180,"KCC, 중국 PVC 바닥재 시장 본격 진출",2016.03.23,3
181,"KCC, 新 교육 시스템 도입 ""영업·교육 모두 잡는다""",2016.03.18,3
182,"친환경 바닥재 'KCC 숲', 2016 브랜드파워 1위 선정",2016.03.14,3
183,[내가 찾던 혼수] 전문가 직접 책임…상담부터 AS까지,2016.03.11,3
184,"KCC, 올해의 컬러로 '세이지 가든' 선정",2016.03.09,3
185,"복합리조트 선정, 인천 1곳만 허가…직접화 효과 '물거품'",2016.02.26,3
186,복합리조트 사업자에 모히건 선·KCC '인스파이어' 선정,2016.02.26,3
187,"복합리조트, 26일 오후 사업자 선정 발표…빅2 급부상",2016.02.26,3
188,"KCC, 국내 최초 아토피 안심 제품 라인업 구축",2016.02.25,3
189,골프장 내 단독주택 '더 카운티 2차' 사전예약,2016.02.24,3
190,"KCC, 서울 수도권 전시판매장 출점 가속화",2016.02.23,3
191,복합리조트 사업자 선정 D-9…'빅2' 급부상,2016.02.18,3
192,"오리온, 프로농구 고양 홈경기에서 '애니메이션 협업 이벤트' 개최",2016.01.22,3
193,"KCC, 홈씨씨인테리어 인테리어 플래너 채용",2016.01.19,3
194,"KCC, 자동차 헤드램프용 도료 '장영실상' 수상",2016.01.14,3
195,"코리아오토글라스, 정몽익 KCC 사장이 400만주 보유",2016.01.06,3
196,"""건강하고 쾌적한 실내, KCC 창호가 지킨다""",2015.12.28,3
197,"KCC, 친환경 불연천장재 '석고텍스' 출시",2015.12.23,3
198,"KCC, 선박용 방청도료 등 '세계일류상품' 7년 연속 선정",2015.12.16,3
199,고맙다 低유가…페인트株 신났다,2015.12.11,3
200,"KCC, 홈씨씨인테리어 전시판매장 경북지역 첫 오픈",2015.12.09,3
201,"LG하우시스, 경기도 주거·공공기관에 고단열 창호 공급",2015.12.08,3
202,"KCC, 경기도 녹색 도시 조성 위해 고효율 창호 공급",2015.12.08,3
203,"KCC 오너家 및 임원들, 청년희망펀드에 32억 기부",2015.12.03,3
204,"KCC 홈씨씨인테리어, '웹어워드코리아' 대상 수상",2015.11.30,3
205,"체리쉬, 지가리조트와 제휴 ""B2B 시장 본격 공략""",2015.11.26,3
206,"KCC, '한강 아름답게 가꾸기' 봉사활동 참여",2015.11.25,3
207,합정 메세나폴리스 아파트분양 받기 전 100% 꼭 알아야 할 정보!,2015.11.24,3
208,정주영 회장 탄생 100주년… YS서거로 추도 분위기,2015.11.23,3
209,"KCC, '대한민국 사랑받는 기업 정부포상' 수상",2015.11.20,3
210,베토벤 '영웅' 들린 정주영 탄생 100주년 음악회,2015.11.18,3
211,"KCC, 골목길 벽화그리기에 친환경 페인트 지원",2015.11.18,3
212,"대한상의, 기업사진 공모전 대상…'아빠는 야근중' 선정",2015.11.11,3
213,"KCC, 전 직원에 온누리상품권 지급 ""전통시장 지원""",2015.11.10,3
214,청라 '베어즈베스트' 단독주택용지 '더 카운티' 계약 돌입,2015.11.06,3
215,"분양하면 완판, 울산대첩",2015.11.05,3
216,"KCC건설, 625억 규모 조건부 채무인수 결정",2015.10.30,3
217,'베어즈베스트 청라' 골프장 내 단독주택 용지 분양,2015.10.13,3
218,'베어즈베스트 청라 CC' 내 단독주택 용지 분양,2015.10.02,3
219,"혼다코리아, 서비스 스킬 콘테스트 개최",2015.09.21,3
220,"KCC, KCC자원개발 흡수합병 결정",2015.09.18,3
221,[골드에이지]'부부 나이차'에 따라 달라지는 은퇴설계,2015.09.14,3
