,Title,Date,Category
0,"文대통령 ""전면등교 차질 불가피…'코로나後' 교육 준비해야""",2020.08.18,2
1,[양낙규의 Defense video]전방 지뢰 없앨 전차는,2020.08.08,2
2,"미국, '미니트맨-3' 발사 장면 공개… 왜?",2020.08.05,2
3,"與, 윤희숙 때리기…""서민 생활 공감능력 부족"" 국민 분노 역풍",2020.08.03,2
4,"LGU+, '6·25 무공훈장 주인공 찾기' 캠페인 동참",2020.06.14,2
5,"손흥민, 무공훈장 수훈자 찾기 운동 동참",2020.06.10,2
6,한국發 입국금지 149개국으로 감소…'코로나19' 봉쇄 불구 12개국서 기업인 5635명 예외 입국,2020.05.23,2
7,"""삼성 기회될 것"" 美 반중 전선에 동맹 동참 촉구",2020.05.22,2
8,"홍남기 부총리, 5대그룹 CEO 만나 '고용유지·투자확대' 요청",2020.05.15,2
9,삼성 계열사·협력사 직원 215명 중국行…한중 '신속통로' 제도 적용,2020.05.10,2
10,韓기업인 등 예외 입국 지원 11개국·5081명…헝가리도 전면 허용,2020.05.08,2
11,기업인 등 '예외입국' 지원 11개국에 5000명 넘었다…한·중 '패스트트랙' 첫 사례 나와,2020.05.07,2
12,"文대통령 ""우리 곁으로 다시 돌아온 야구로 위로 받기를""",2020.05.06,2
13,"우즈베키스탄, 방역 도운 韓전문가에 귀국 항공편 제공",2020.04.23,2
14,[양낙규의 Defense Club]공중급유기 첫 해외연합훈련 투입,2020.04.23,2
15,이낙연 “지역주의 완화로 전 국민께 감동 선사해 달라” TK 찾아 지지 호소,2020.04.13,2
16,"[영남권 民心은] “예산通 김현권, 의외로 선전” vs “박정희 고향, 무조건 김영식”",2020.04.06,2
17,"文대통령 ""구미산단 연대와 협력, 코로나19 극복 모범사례""",2020.04.01,2
18,구자원 LIG그룹 명예회장 별세…향년 86세(종합),2020.03.28,2
19,"文대통령, UAE-이집트 정상과 통화…코로나19 대응, 순방 연기 설명",2020.03.05,2
20,"장석춘 미래통합당 의원, TK서 3번째로 불출마 선언",2020.02.18,2
21,"文대통령 ""코로나19, 경제적 피해 선제 대응""…재계 ""투자 매진""(종합)",2020.02.13,2
22,"文대통령 ""대기업 너무 잘해 주문할 게 별로 없다""",2020.02.13,2
23,"'동선(動線)의 정치학', 文대통령 민생·경제살리기 방점",2020.02.13,2
24,"文대통령 ""코로나19, 머지않아 종식…경제회복 흐름 되살려야""",2020.02.13,2
25,"코이카-LG전자, 방글라데시 에어컨 정비 기술자 양성…기술교육센터 개소",2020.02.03,2
26,"IF, '디지털세' 휴대폰·의류·차동차 기업도 부과 합의",2020.01.31,2
27,"文대통령, 추미애 장관 임명…검찰개혁 속도전 (종합)",2020.01.02,2
28,"남관표 주일대사 ""분위기 이전과 달라, 한일 정상회담서 긍정적 메시지 기대""",2019.12.23,2
29,"""임베디드 소프트웨어 최고 인재들의 경연, 치열한 경기 시작""",2019.12.12,2
30,"국세청 ""세금 신고·신청 안내문, 스마트폰으로 받아보세요""",2019.12.10,2
31,"국표원, '2019년 인공지능 산업 표준화 워크숍' 개최",2019.12.05,2
32,"국표원, 우즈벡 규제당국과 협의회 개최…기술규제 정보 공유",2019.11.27,2
33,"文대통령 ""스타트업, 韓-아세안 미래 부흥시킬 것…함께 세계경제 선도""",2019.11.26,2
34,"성윤모 ""韓日 수출규제 정책대화 열기로 합의""",2019.11.25,2
35,"조코위 대통령, 감천마을 찾아 ""부산의 마추픽추""",2019.11.25,2
36,日 수출규제에도 반도체·디플 생산차질 '제로'…다변화·국산화 노력,2019.11.24,2
37,"에너지공단, '2019년 ESP 성과공유 워크숍' 개최",2019.11.22,2
38,"문 대통령, 25일 한-아세안 환영만찬…이재용·정의선 등 3백여명 초청",2019.11.15,2
39,"에너지공단, '2019년 우수사업장 인증서 수여식' 개최",2019.11.15,2
40,'PVC관 품질개선 세미나' 개최…제조업체 역량 강화키로,2019.11.13,2
41,'제9회 산업기술보호의 날' 개최…보안담당자 500명 참석,2019.11.05,2
42,"서부발전, '청양군 농촌형 스마트타운 개발을 위한 양해각서' 체결",2019.10.25,2
43,"국표원, IEC 총회에서 '4차 산업혁명 국제표준 선점' 본격 시동",2019.10.24,2
44,"한국시리즈 개막식 軍장병 250명 초청…국방부 ""감사""",2019.10.21,2
45,"[2019 국감]대기전력 기준위반 1, 2위 해외제품…美 HP 225개·日 야마하 46개",2019.10.15,2
46,"文대통령 ""차세대 DP에 7년간 4000억 투입""",2019.10.10,2
47,"문 대통령 ""삼성디스플레이 투자협약식, 제조 강국의 출발점""",2019.10.10,2
48,학교·마트 '숨은 위협'…ESS 화재 미스터리 해법은,2019.10.04,2
49,"[2019 국감]성윤모 장관 ""제조업 성장기반 확충…산업구조 혁신 가속화""",2019.10.02,2
50,"민주당, 전경련 방문…文정부 들어 처음",2019.09.25,2
51,"김현준 국세청장 ""모범납세자, 정기세무조사 시기 선택 방안 검토""",2019.09.25,2
52,"與, 전경련 찾아 기업인과 현안 간담회…文정부 들어 처음",2019.09.25,2
53,'조국 증인'으로 싸우는 사이…기업인들만 국감 줄소환,2019.09.24,2
54,"산자위, '조국 펀드' 관련 익성·웰스씨앤티 대표 증인 채택",2019.09.24,2
55,"환노위, 국감 증인 채택…삼성·포스코건설은 빠져",2019.09.20,2
56,"4대기업, 민주당에 ""52시간 완화해달라""...양정철 ""즉답 드리기 어려워""",2019.08.13,2
57,"文대통령 ""日 무역보복 조치, '최악 상황'까지 대비…불확실성 여전""(종합)",2019.08.08,2
58,"文대통령 ""日 무역보복 조치, 이율배반적…'승자 없는 게임'""",2019.08.08,2
59,"文대통령, 8일 국민경제자문회의 전체회의 개최…日경제보복 대응 논의",2019.08.06,2
60,"'상황반장' 김상조, 비상대응 체제 가동…""5대 그룹과 日 수출 규제 대책 논의""",2019.08.05,2
61,"'상황 반장' 김상조, 비상대응 체제 가동…4대그룹 부회장들과 회동 추진",2019.08.04,2
62,"양정철, 삼성경제연구소 방문 ""1등 제품 수출기업이 슈퍼 애국자""",2019.07.29,2
63,"촉진자·신북방·남방정책…문 外治, 무엇하나 쉬운게 없다",2019.07.26,2
64,"文대통령 ""'핵심소재 해외 의존도↓' 국가적 과제…구미형 일자리로 자신감 확인""",2019.07.25,2
65,"美 싱크탱크, 日 수출 규제 비판…""삼성·하이닉스는 화웨이 아냐""",2019.07.25,2
66,"민주연구원, 삼성·현대차 등 4대 기업 연구기관 간담회",2019.07.22,2
67,"민주연구원, 삼성·현대차·SK·LG 싱크탱크와 정책 협력 추진",2019.07.21,2
68,"이해찬 ""소재부품분야, 5년이상 중장기 투자 확대할것""",2019.07.19,2
69,與野 윤석열 대치 속 눈길 끈 '소신발언',2019.07.11,2
70,"'日수출규제' 맞닥뜨린 재계, 文대통령 만나 ""긴 호흡으로""…장기전 우려",2019.07.10,2
71,"문 대통령 ""日 수출 규제 장기화 가능성...모든 가능성 대비""",2019.07.10,2
72,"靑 오찬도 없이 간담회 진행…재계 ""외교로 풀 문제를…""",2019.07.10,2
73,무인이동체 분야 '2019 무인이동체 산업엑스포' 개막,2019.07.10,2
74,"文대통령, 대기업 총수 만나 '日수출규제' 대책논의…5大그룹 포함",2019.07.10,2
75,"문 대통령, '日 수출 규제 대응' 30대 기업 총수 간담회…이재용, 신동빈은 불참(종합)",2019.07.09,2
76,"""삼성·SK, 글로벌 신뢰 잃을 것"" 日언론의 도발",2019.07.09,2
77,선거철만 되면 反韓…믿을 수 없는 아베,2019.07.08,2
78,"홍남기·김상조 '경제 투톱', 日수출규제 대응 재계 접촉…靑 ""긴밀한 소통""",2019.07.07,2
79,"文대통령, 10일 주요기업 총수 간담회 검토…日수출규제 논의 주목",2019.07.05,2
80,"트럼프 ""韓 대기업 총수들 매우 훌륭하다""",2019.06.30,2
81,"문 대통령·트럼프, 오늘 한국으로…내일 한미정상회담",2019.06.29,2
82,한미중 '삼각관계' 화웨이에 달려,2019.06.28,2
83,"文대통령 ""미래 공동번영·상생 기대""…사우디 왕세자 ""韓, '형제의 관계'"" 우호관계 강조(종합)",2019.06.26,2
84,석유왕자 만난 재계총수들,2019.06.26,2
85,"정지권 서울시의원 ""서울지하철 공공와이파이 설치 어떻게 되나?""",2019.06.18,2
86,"에너지공단-세계銀, '남-남 지식교류 프로그램' 개최",2019.06.18,2
87,"글로벌 제약업체 아스트라제네카, 한국에 7500억원 투자키로",2019.06.15,2
