,Title,Date,Category
0,日 수출규제에도 반도체·디플 생산차질 '제로'…다변화·국산화 노력,2019.11.24,2
1,"文대통령 ""차세대 DP에 7년간 4000억 투입""",2019.10.10,2
2,"문 대통령 ""삼성디스플레이 투자협약식, 제조 강국의 출발점""",2019.10.10,2
3,"美 싱크탱크, 日 수출 규제 비판…""삼성·하이닉스는 화웨이 아냐""",2019.07.25,2
4,제2상생형 지역일자리는 '경북 구미' 될 듯…이르면 이번 주 발표,2019.05.20,2
5,"문희상, 임시의정원 100주년 기념사서 ""대통령제·선거제 개혁해야""",2019.04.10,2
6,차세대 반도체·디스플레이 선도를 위한 대·중소 협력의 場마련,2019.03.26,2
7,"KEIT, 핵심원천기술 연구성과 교류회·미래인력 채용설명회 개최",2018.11.02,2
8,한국전자산업대전 개막…729개 기업 4차산업 기술 선봬,2018.10.24,2
9,"문 대통령 ""신제품 막는 규제 풀겠다""…일자리 창출·상생 당부",2018.04.20,2
10,"디스플레이 업계, 산업부 결정에 ""조건 이행 문제 없어""(종합)",2017.12.26,2
11,"조급한 정부, 속타는 대기업…겉도는 일자리 대책",2017.07.19,2
12,10대 기업 일자리 1년새 2317개 사라졌다,2017.07.19,2
13,"삼성 SK ""하반기 채용 늘리겠다""…재계, 일자리 창출 동참(종합)",2017.07.18,2
14,"권오현 삼성전자 부회장 일자리委서 ""하반기 채용 늘리겠다"" (종합)",2017.07.18,2
15,"이용섭 일자리委 부위원장 ""자산총액대신 고용인원으로 기업평가""",2017.07.18,2
16,"일자리위원회, 근로자 많은 15개 기업과 간담회",2017.07.14,2
17,'일자리 많은 기업' 순위 매긴다고?,2017.06.30,2
18,대기업 하청업체 노동자 화학물질 사고 '무방비',2016.12.22,2
19,[30대그룹 투자계획] 돈 풀어 불황 뚫기…재계의 '투자 정공법',2016.03.09,2
20,[30대그룹 투자계획]올 한해 122.7조 투자…정부 총력지원,2016.03.09,2
21,"산업부 장관 ""신기술로 주력산업 고도화해야""",2016.02.09,2
22,'세계시장 점유율 99%' OLED 산업 어디로 가나…포럼 개최,2016.01.28,2
23,전자업계 민관합동 수출상황 점검,2015.12.10,2
24,24일부터 국내 최대 '소재부품산업주간' 개최,2015.11.23,2
25,"중앙부처 김 과장, 휴직하고 삼성으로 출근하는 까닭",2015.11.18,2
26,LG전자-협력사 보안역량 동반성장 협약 체결,2015.10.28,2
27,"디스플레이의 날, 강병주 덕산네오 대표 산업포장 수상",2015.10.08,2
28,"기재부, 개도국 세관공무원 대상 현장교육 진행",2015.10.02,2
29,"4년간 해외서 담합 적발된 국내기업, 과징금만 1조 넘어",2015.09.09,2
30,"""위로금 전달 감사"" 與 사무총장, 구본무 LG회장에게 감사전화",2015.09.04,2
31,"野 윤리심판원, 윤후덕 징계 '각하'결정…""징계시효 2년 지난 일""",2015.08.31,2
32,"변호사 1032명, 윤후덕 '징계요청서' 제출",2015.08.21,2
33,"與 초재선 ""윤후덕, 윤리위 회부해야""…野 정면 비판",2015.08.17,2
34,상장사 일자리 창출능력 4년만에 6분의1 토막,2015.06.09,2
35,"정부, 중남미·아프리카 공무원 초청 관세행정 교육",2015.05.22,2
36,"현대차 등 주요 대기업 21개사, 올 상반기 신입 5749명 뽑는다",2015.03.25,2
37,"윤상직 장관 ""기업투자 어려움 직접 해소할 것""(종합)",2015.02.11,2
38,"윤상직 장관 ""기업투자 어려움 장관이 직접 해소하겠다""",2015.02.11,2
39,"[포토]윤상직 ""34조원 투자프로젝트 차질없이 추진 노력하겠다""",2015.02.11,2
40,삼성電·현대車 등 17개사 국내에 34조원 투자한다,2015.02.11,2
41,"LS산전, 특허·디자인 290건 무상양도",2015.01.27,2
42,한상범 LG디스플레이 사장 등 금탑산업훈장 수여,2014.12.04,2
43,삼성전자 초미세 20나노 D램 기술대상 대통령상 수상,2014.11.13,2
44,"정부, ESS 맞춤형 전기요금 내년 도입",2014.10.24,2
