,Title,Date,Category
0,"LGU+, '6·25 무공훈장 주인공 찾기' 캠페인 동참",2020.06.14,2
1,"손흥민, 무공훈장 수훈자 찾기 운동 동참",2020.06.10,2
2,'조국 증인'으로 싸우는 사이…기업인들만 국감 줄소환,2019.09.24,2
3,"산자위, '조국 펀드' 관련 익성·웰스씨앤티 대표 증인 채택",2019.09.24,2
4,무인이동체 분야 '2019 무인이동체 산업엑스포' 개막,2019.07.10,2
5,한미중 '삼각관계' 화웨이에 달려,2019.06.28,2
6,"정지권 서울시의원 ""서울지하철 공공와이파이 설치 어떻게 되나?""",2019.06.18,2
7,"LGU+, 中企와 손잡고 LTE-R 기술 박차",2019.05.08,2
8,"문 대통령 ""국가 차원 전략 추진해 세계 최고의 5G 생태계 조성""",2019.04.08,2
9,오늘부터 모든 병사 개인 휴대폰 사용…'기대 속 우려도',2019.04.01,2
10,軍병사 '月3만3000원' 휴대전화 전용 요금제 확정,2019.03.26,2
11,'코리아 5G 데이' 정부만 휘파람,2019.03.22,2
12,[2018국감] 때마침 해외출장 간 대표들…삼성 등 불출석,2018.10.10,2
13,"문 대통령 ""신제품 막는 규제 풀겠다""…일자리 창출·상생 당부",2018.04.20,2
14,임시국회 첫 날 통과한 경제·금융법안은,2018.01.31,2
15,"[2017국감]""SKT 가입기간 계산시 월 제외…요금할인 낮춰""",2017.10.30,2
16,"[2017국감]삼성전자 공정위 618회나 방문…""유착 우려""",2017.10.19,2
17,이번에도 기업인 56명 무더기 증언대…재벌총수 빠졌다,2017.10.10,2
18,[이재용 항소심]향후 쟁점은?…'묵시적 청탁'에 맞서 삼성측 '강요' 강조,2017.10.09,2
19,"정현백 ""첫 과제는 위안부재단 점검""…유영민 ""통신비 부담 인하""",2017.07.04,2
20,"제2연평해전 용사 이희완 중령, 프로야구 시구한다",2017.06.22,2
21,제2 콜센터 실습생 사망사고 없앤다,2017.05.08,2
22,서울 지하철 초고속 공공 와이파이 '전면재검토' 되나,2017.02.21,2
23,"""20% 요금할인 안내 안하면 과징금""…고용진 의원, 단통법 개정안 발의 예정",2016.10.26,2
24,[포토]고개숙인 권영수 LG유플러스 부회장,2016.10.18,2
25,[포토]답변하는 권영수 LG유플러스 부회장,2016.10.18,2
26,[포토]답변하는 권영수 LG유플러스 부회장,2016.10.18,2
27,[포토]다단계 영업방식에 제동걸린 LG유플러스,2016.10.18,2
28,[포토]답변하는 권영수 LG유플러스 부회장,2016.10.18,2
29,[포토]굳게 입다문 권영수 LG유플러스 부회장,2016.10.18,2
30,[포토]눈 감은 권영수 LG유플러스 부회장,2016.10.18,2
31,[포토]나란히 앉은 이관순 한미약품 대표·권영수 LG유플러스 부회장,2016.10.18,2
32,[포토]증인선서하는 권영수 LG유플러스 부회장,2016.10.18,2
33,[포토]생각에 잠긴 권영수 LG유플러스 부회장,2016.10.18,2
34,"[포토]권영수 LG유플러스 부회장, 국정감사 증인신분 출석",2016.10.18,2
35,"""편하다고 자꾸 썼더니 눈덩이""…휴대폰 소액결제 올해 5조원",2016.10.14,2
36,"정무위, 기업인들 '모르쇠' 답변에…野 ""증인 재협상"" 발끈",2016.10.11,2
37,[포토]고개숙인 황현식 LG전무,2016.10.11,2
38,"[포토]LG유플러스, 국감 허위 답변 논란",2016.10.11,2
39,[포토]답변하는 황현식 LG전무,2016.10.11,2
40,[포토]굳게 입다문 황현식 LG전무,2016.10.11,2
41,[포토]답변하는 황현식 LG전무,2016.10.11,2
42,[포토]곤혼스런 표정의 황현식 LG전무,2016.10.11,2
43,"[포토]김영주 의원 ""LG는 국회를 능멸하지 마세요""",2016.10.11,2
44,[포토]답변하는 황현식 LG유플러스 본부장,2016.10.11,2
45,정무위 국감 '기업인 총출동'…미르·K재단 의혹 제기도 계속,2016.10.11,2
46,"""이통사 놔두고 유통점만 과징금…방통위, 꼬리자르기""",2016.10.06,2
47,"정무위, 권영수 LGU+ 부회장 등 9명 증인 추가채택…'공정위 국감 11일'",2016.10.04,2
48,"LGU+ '2㎞ 정책'이 뭐길래?…이재정, ""고객 위치정보 무단 수집""",2016.09.04,2
49,"농어촌公, 농업생산기반시설 대국민 서비스 강화",2016.08.23,2
50,"정기석 ""지카 유입 방지할 '스마트 검역시스템' 준비중""",2016.03.23,2
51,"에너지공단, LG유플러스와 에너지절약 우수가구 지원 MOU",2016.03.10,2
