,Title,Date,Category
0,북 미사일 막을 방공망 촘촘해진다,2020.08.19,2
1,[양낙규의 Defence Club]현대중공업이 사상 최대액 수주한 KDDX는,2020.08.12,2
2,영원한 맞수 '한화시스템 VS LIG넥스원',2020.07.25,2
3,‘미니 이지스함 수주戰’에 뛰어는 방산기업들,2020.07.25,2
4,[양낙규의 Defence Club]성능개량 백두정찰기 사업 지연 불가피,2020.06.27,2
5,[양낙규의 Defense Club]김정은 지휘소 정밀타격할 무기 5000발 들여온다,2020.05.31,2
6,"LIG넥스원, 인니에 통신시스템 납품",2020.05.21,2
7,한화시스템 VS LIG넥스원 ‘KDDX 수주전’,2020.04.28,2
8,[양낙규의 Defense Club]한미정찰기 동시 한반도 비행,2020.04.01,2
9,구자원 LIG그룹 명예회장 별세…향년 86세(종합),2020.03.28,2
10,"LIG넥스원, 지난해 수주 잔고 6조원 첫 돌파",2020.03.04,2
11,[양낙규의 Defense Club]UAE 방산수출 얼마나 가능할까,2020.02.29,2
12,"[양낙규의 Defense Club]코로나19, 방산기업도 뚫었다",2020.02.27,2
13,"""한국 갔다면 입국 금지"" 예고 없이 빗장 건 국가 늘어(종합)",2020.02.25,2
14,세계 곳곳 예고 없이 한국인에 '빗장'…국내기업 일정 차질 우려,2020.02.25,2
15,"정경두 국방, 인도와 방산협력 강조",2020.02.06,2
16,[양낙규의 Defence Club]한·인도 방산협력 합의… 주요 공략 무기는,2020.02.05,2
17,정 국방장관 찾아간 인도… 잠수함사업 손 들어줄까,2020.02.03,2
18,[양낙규의 Defence Club]F-35 부품정비 수주 가능성은,2020.01.18,2
19,[양낙규의 Defence Club]궁지몰린 방산기업… 탈출구 없이 허덕,2020.01.16,2
20,[양낙규의 Defence Club]업그레이드 된 우리 군의 정찰능력은,2019.12.23,2
21,한화에어로스 지난해 세계 무기판매 46위…韓방산업체 '껑충',2019.12.09,2
22,성능 향상된 '해상감시레이더-II' 軍 첫 배치…핵심부품 국산화,2019.10.30,2
23,"자주국방의 첫 단추…ADD, 국방 '연구개발' 활성화 방안 논의",2019.10.24,2
24,MADEX 2019 '미니 이지스함' KDDX 수주작전,2019.10.23,2
25,한국형 '아이언맨·타우러스'…韓방산 미래무기 총출동,2019.10.16,2
26,LIG넥스원 'ADEX 2019'서 무인헬기·드론·유도로켓 전시,2019.10.10,2
27,"LIG넥스원, 서울대와 생체모방로봇 연구협력 MOU 체결",2019.09.20,2
28,국내기술로 개발한 방어유도탄 '해궁' 첫 양산단계 돌입,2019.09.10,2
29,"LIG넥스원, 국방 드론 개발 박차…광주시와 업무협약",2019.08.28,2
30,'1발에 15억' 천궁 오발사고 軍정비요원 '정직 1개월',2019.06.24,2
31,"휴니드, 중소기업 최초 'CMMI 레벨 5' 인증 획득",2019.06.18,2
32,韓美 아·적군 식별장치 엇박자‥유사시 전력공백,2019.05.01,2
33,[양낙규의 Defence Club]빨라진 한미일의 한반도 정찰활동,2019.04.22,2
34,항공기 착륙 돕는 '정밀접근레이더' 국내개발…생산유발액 1100억,2019.04.15,2
35,韓-인도네시아 방산협력위…수리온 수출대비 협력 논의,2019.04.09,2
36,"北탐지 힘든 스텔스기 도입…""전쟁억제 역할할 것""",2019.03.29,2
37,"공군 ""천궁 비정상 발사 자폭, 정비요원 실수 탓…송구""",2019.03.21,2
38,'오일머니' 중동 최대 방산전시회 개막…韓 30개 기업 참여,2019.02.17,2
39,"국내 방산업체컨소시엄, 美스텔스기 F-35 정비업체 선정",2019.02.12,2
40,함정 보호하는 방어유도탄 '해궁' 개발 완료…RAM 대체,2018.12.24,2
41,"정경두 국방장관 ""방위산업 어려움 알아…수출지원 강화할 것""",2018.12.14,2
42,방산업계 추락인가 주춤인가… 35년만에 매출 감소,2018.12.14,2
43,"정경두 국방장관, 방위산업체 CEO 간담회…""경쟁력 강화 노력""",2018.12.14,2
44,"로봇산업진흥원, '제3회 테크데이 2018' 개최",2018.12.07,2
45,[양낙규의 Defence Club video]해군이 도입할 첨단 무기들,2018.11.17,2
46,[양낙규의 Defence Club]'국내 29개 방산업체' 동남아 시장 개척 나서,2018.11.07,2
47,"LIG넥스원, 탄두 500g 탑재한 드론 개발한다",2018.11.01,2
48,"김지찬 LIG넥스원 대표, 글로벌품질경영인대상 수상",2018.10.26,2
49,군 장거리 레이더 노후화 심각… 올해 작전중단만 228시간,2018.10.19,2
50,[양낙규의 Defence Club]고전하는 방산주… 이유는,2018.09.08,2
51,"LIG넥스원, 대포병탐지레이더 전력화 된다",2018.09.03,2
52,3000t급 잠수함 '장보고-Ⅲ' 진수식 내달 개최,2018.08.20,2
53,[양낙규의 Defence Club]북이 언급한 우리군 정찰능력은,2018.06.23,2
54,[양낙규의 Defence Club]LIG넥스원의 휴대용 대공미사일 신궁은,2018.06.19,2
