,Title,Date,Category
0,"[평양회담] 재계 총수들 ""긴장·묵묵부답""...이재용 부회장 막판까지 임원회의(종합)",2018.09.18,2
1,막판에 또 늘어지는 박근혜 재판...2월 중순 넘길 듯,2018.01.03,2
2,"박광온 ""대기업 총수 일가 미성년 친족 주식 1019억원 보유""",2016.11.14,2
3,"[2015 국감]무보, SLS조선에 보험금 1조원 지급",2015.10.04,2
4,장병완 의원 “LS그룹의 ‘통큰 광주투자’ 이끌어 내”,2015.09.02,2
5,4월 기준 대기업 계열사 1707개…한달새 11개 증가,2015.05.01,2
6,"[2014국감]민병두 ""LS, 불공정거래 1위 기업""",2014.10.17,2
7,"文 ""한·일 경제 가교 역할 높이 평가""…신격호 빈소, 정·재계 조문 행렬",2020.01.21,3
8,"""전설적인 기업인""…신격호 빈소, 이재용·손경식·박용만 등 각계 조문",2020.01.20,3
9,'뉴트로' 날개 단 프로스펙스…올 여름 어글리 뮬·샌들로 '승부수',2019.05.31,3
10,"공정위, 작년 최우수 심결사례로 '철근업계 담합 적발' 선정",2019.01.09,3
11,무너진 소득주도성장·고용참사 등 올해 10대 경제뉴스,2018.12.27,3
12,"구자은 LS엠트론 부회장, 회장으로 승진...3년후 그룹 총수맡을듯(종합)",2018.11.27,3
13,"구자은 LS엠트론 부회장, LS그룹 회장으로 승진...""디지털 혁신 주력""",2018.11.27,3
14,"구자열 회장 ""LS가 북방경협 핵심역할할것...방북계획은 아직 없어""",2018.11.19,3
15,"구자열 LS 회장, 중국 국제수입박람회 참관...中사업기회 모색",2018.11.08,3
16,"[평양회담] 재계 총수들 ""긴장·묵묵부답""...이재용 부회장 막판까지 임원회의(종합)",2018.09.18,3
17,"LS산전, 추석 앞두고 협력사 납품대금 400억원 조기지급",2018.09.12,3
18,"세계 최초, 세계 유일 '희귀 자전거' 전시회 열린다",2018.07.27,3
19,"LS엠트론, 4년 연속 북미 최고 트랙터 업체로 선정",2018.06.20,3
20,"공정위, '통행세' 혐의로 LS 제재…LS ""통행세 아냐, 법적 검토""(종합)",2018.06.18,3
21,'통행세'로 총수 일가 배 불려온 LS 검찰 고발,2018.06.18,3
22,"구자열 LS그룹 회장 ""4차산업 선점해야...스마트 R&D 집중하자""",2018.06.07,3
23,"LS산전, 5월 한달간 500억원 규모의 ESS 사업 수주",2018.05.23,3
24,[구본무 LG회장 별세] 비공개 무색...밤 늦게까지 조문 이어져(종합),2018.05.21,3
25,"[구본무 LG 회장 별세] 한상범 부회장 등 고위 임원, 단체 조문",2018.05.21,3
26,[구본무 LG회장 별세] 이재용 이어 최태원·정의선도 조문,2018.05.21,3
27,"비공개 가족장에도 조문객 잇따라…LG 직원들 ""자랑스러웠던 오너""",2018.05.21,3
28,[위크리뷰]경협 열기 타오르는데…수출은 18개월만에 꺾여,2018.05.06,3
29,"LS그룹, 세르비아에 권선 공장 마련...유럽 시장 공략",2018.03.15,3
30,"CES 찾은 구자열 LS그룹 회장 ""중국이 한국 추월…투자·파트너십 확대해야""",2018.01.15,3
31,"박용만 대한상의 회장 ""기업에 주어진 시대적 과제 수행할 것""(종합)",2018.01.03,3
32,"박용만 대한상의 회장 ""기업에 주어진 시대적 과제 수행하겠다""",2018.01.03,3
33,"LS산전 임직원 봉사단, 재가 장애인 외부활동 지원",2017.11.24,3
34,"한전, 日 홋카이도 28MW 치토세 태양광발전소 준공",2017.10.27,3
35,"[보수공개] 구자열 LS그룹 회장, 상반기 보수 17.6억원",2017.08.14,3
36,"LS그룹, 계열사 소유 안양 토지 353억원에 매입",2017.08.11,3
37,"LS그룹, 교육사회공헌 활동 지속…과학 캠프·해외봉사단 운영",2017.08.10,3
38,"구자열 회장, 亞비즈니스 서밋 참가…미얀마 진출 집중 논의",2017.07.25,3
39,"구자열 LS 회장, 비즈니스 서밋서 ""미얀마 진출 속도낼것""",2017.07.24,3
40,"송강음악회 직접 챙기는 구자열 LS그룹 회장…""클래식 대중화""",2017.06.30,3
41,"訪美 총수들 통큰 선물, SK 1조8천억 포함 14조6천억 對美 투자(종합2보)",2017.06.29,3
42,"방미경제인단, 향후 5년간 128억달러 對美 투자",2017.06.29,3
43,"[보수공개] 구자열 LS 회장, 지난해 연봉 23억원",2017.03.31,3
44,"[슈퍼주총] LS ""제조업→4차산업에 역량 집중""",2017.03.24,3
45,기활법 승인기업에 5곳 추가…누적 24곳,2017.02.28,3
46,"구자열 회장, 베트남서 벽화 그리기 등 봉사활동",2017.01.22,3
47,"[재계,정공법인사]오너가 책임경영 vs 전문경영인 50대·부회장 전성시대",2017.01.09,3
48,"LS그룹, 불우이웃돕기 성금 20억원 기탁",2017.01.05,3
49,[프로필] 이익희 LS글로벌 대표이사·부사장,2016.11.29,3
50,[프로필] 윤재인 가온전선 대표이사·부사장,2016.11.29,3
51,[프로필] 김연수 LS엠트론 대표이사·부사장,2016.11.29,3
52,[프로필] 명노현 LS전선 대표이사·부사장,2016.11.29,3
53,[프로필] 도석구 LS-Nikko동제련 대표이사·사장,2016.11.29,3
54,[프로필] 이학성 ㈜LS 기술전략부문장·사장,2016.11.29,3
55,"구자열 회장 ""LS그룹, 디지털 역량 확보해야""",2016.10.12,3
56,"구자열 LS 회장 ""테슬라 같은 기업 되어야""",2016.09.26,3
57,이부진·박성경과 포브스에 실린 둥 회장이 한국 온 까닭은,2016.06.10,3
58,[구태회 별세]조문 사흘째…구본무 회장 이틀째 조문(종합),2016.05.09,3
59,"[구태회 별세]나경원 의원 ""정치계의 큰 어른""",2016.05.09,3
60,"[구태회 별세]조양호 회장 ""오늘 마지막으로 뵈러 왔다""",2016.05.09,3
61,[구태회 별세]조문 이틀째…LG 오너 일가 등 각계 인사 빈소 찾아(종합),2016.05.08,3
62,"[구태회 별세]심재철 의원 ""LS는 안양에서 굉장히 중요한 기업""",2016.05.08,3
63,[구태회 별세]구태회 LS전선 명예회장 숙환으로 별세(2보),2016.05.07,3
64,"최태원·노소영 부부, 이틀째 노순애 여사 빈소 찾아",2016.01.30,3
65,故 노순애 여사 애도물결…박용만·이서현 조문(상보),2016.01.29,3
66,간듯 안간듯…재계 총수 조용한 여름휴가,2015.07.08,3
67,"구자용 E1회장, 가스안전 공로로 금탑산업훈장",2015.06.24,3
68,무박 50시간 발명마라톤 최고 승자 ‘스마트안전랜턴’,2015.05.12,3
69,"[오너&리더]구자홍 LS니꼬 회장, 경영복귀 후 역동적 행보",2015.04.27,3
70,"구자홍 LS니꼬 회장, 칠레서 현장 경영",2015.04.26,3
71,"특허청-LS그룹, ‘특허 해커톤대회’ 연다",2015.04.07,3
72,[프로필]이광원 LS엠트론 COO 사장,2014.12.11,3
73,[프로필]이광우 (주)LS 대표이사 CEO 부회장,2014.12.11,3
74,[프로필]구자은 엠트론 사업부문 부회장,2014.12.11,3
75,[프로필]구자균 산전 사업부문 회장,2014.12.11,3
76,"[창조경영 주인공]LS그룹, 해저케이블·스마트그리드 국산화 투자",2014.10.29,3
77,"[2014국감]농협, LS엠트론에 물량 밀어주기 의혹(상보)",2014.10.23,3
78,비인기부터 효자종목까지… 인천AG ‘기업’이 돕는다,2014.09.17,3
79,"“지능형 전력망, 특허분쟁 선제 대응 절실”",2014.09.16,3
80,수해 피해 지원 관심도 '이재용 부회장' 최다…'최태원·구광모 순,2020.08.16,4
