,Title,Date,Category
0,"무역위, 中·인도 PET 필름 덤핑방지관세 부과 연장 건의",2019.06.20,2
1,에너지 혁신 체험의 장 '2018 대한민국 에너지대전' 개막,2018.10.02,2
2,전자회로기판 기술 한자리에…국제전자회로산업전 개최,2017.04.24,2
3,"김대훈 LG CNS 대표, 2015 에너지대전 은탑산업훈장 수상",2015.11.17,2
4,"[2015 국감]정무위, 기업지배구조 핵심 쟁점",2015.09.14,2
5,일감몰아주기 '총수 일가 지분 20%' 규제 강화法 나와,2015.08.25,2
6,"'방산비리 혐의'이규태 회장, 법원에 구속집행정지 신청 내",2015.07.18,2
7,'전·현직 장성 대거 연루' 방산비리 혈세 1조원 날렸다(종합),2015.07.15,2
8,최신원 SKC회장 해병대에 이번엔 2억 기부,2015.07.10,2
9,'이규태 방산비리 공모 혐의'前 SK C&C 대표 기소,2015.07.05,2
10,"합수단, '이규태 방산비리 연루' SK C&C 前 사장 피의자 신분 소환",2015.06.26,2
11,'이규태 방산비리에 편의' 방사청 중령 구속 기소,2015.06.21,2
12,"합수단, 일광공영 납품비리 공범 前 SKC&C 부장 등 영장청구",2015.04.23,2
13,"합수단, '500억원대 군납사기' 이규태 회장 구속 기소",2015.03.31,2
14,[단독]이규태 일광 회장 400억대 세금 회피 의혹,2015.03.24,2
15,"합수단, '거물 로비스트' 이규태 일광 회장에 오늘 영장",2015.03.12,2
16,KF-16 성능개량업체 ‘BAE시스템스에서 록히드마틴으로’,2014.12.17,2
17,군장병 위문품 변천사 ‘드럼세탁기부터 런닝머신까지’,2014.12.13,2
18,노사문화 대상에 신원·현대오일뱅크,2014.09.30,2
19,"현대백화점그룹, 천연 화장품 원료 1위 SK바이오랜드 인수",2020.08.18,3
20,'소부장 스타트업' 후보 60개 선정…3개월간 멘토링,2020.07.27,3
21,"화장품에 꽂힌 정지선 회장, SK바이오랜드 인수 한다",2020.05.28,3
22,다음달로 넘어간 두산重 정상화 방안…매각대상 놓고 이견,2020.05.27,3
23,"SKC, 日수입 의존했던 '블랭크마스크' 하반기 양산…""공급 안정 기대""",2020.04.20,3
24,"美사모운용사 KKR, 아시아투자 1.5조 PEF 조성",2020.02.03,3
