,Title,Date,Category
0,"박천규 차관 ""가습기 살균제 피해, SK케미칼·애경산업도 책임져야""",2018.10.29,2
1,올해 국감도 기업인 '줄소환'·'무한대기' 반복되나,2018.10.01,2
2,"환노위, 홍장표 국감 참고인 채택…경제인도 10명 넘어",2018.09.20,2
3,"SK디스커버리, 전자투표제 도입 결정",2020.02.11,3
4,'일감 몰아주기' 규제받는 10대 그룹 계열사 33개→114개로,2018.08.26,3
5,"공정위, '제2의 디스커버리 사태' 막는다…피심인 확인 매뉴얼 마련",2018.03.05,3
6,[위크리뷰] 美 통상압박 속 근로시간 단축까지…'기업하기 어렵네',2018.03.03,3
7,'꼼꼼하지 못한' 공정위 일처리…뒤늦게 처분 대상 회사 추가,2018.02.26,3
8,"SK디스커버리, 3875억 규모 일반공모 증자 결정",2018.02.22,3
9,"한일시멘트 전근식 대표, 코로나19 극복위한 '덕분에 챌린지' 동참",2020.08.31,4
10,'백신노장' SK케미칼 형제들,2020.07.27,4
11,"최태원 회장 ""시장과 사회로부터 신뢰받는 기업가치 스토리 써야""",2020.06.23,4
12,'코로나 시대' 최태원式 경영전략은?,2020.06.23,4
13,SK그룹 바이오 계열사 분석‥'미래사업'에 칸막이는 없다,2020.05.27,4
14,"최태원 '바이오 뚝심' 30년, SK '포스트 코로나' 30년 이끈다",2020.05.27,4
15,"SK디스커버리, 박찬중 대표 신규 선임",2019.12.19,4
16,"최태원 SK 회장 ""CEO들 '수석 디자이너' 돼야""…딥 체인지 가속화 주문",2019.10.18,4
17,최태원 SK회장의 '행복경영',2019.06.30,4
18,"최태원 SK회장 ""구성원 전체의 행복 기여도가 평가·보상 기준될 것""",2019.06.25,4
19,SK디스커버리 지주회사 체제 전환…SK건설 지분 전량 매각,2019.06.22,4
20,뺄셈의 경영학…재계 총수들의 '내려놓기',2019.03.06,4
21,"Choi's Way, 최태원 회장의 남다른 행보",2019.02.21,4
22,"최태원 SK 회장 ""구성원들 '관리'보다 '행복'에 초점""…사회적가치 비중 50%까지 늘린다",2019.01.02,4
23,[인사]SK그룹,2018.12.06,4
24,SK家 4형제 잠실 야구장에 모인 까닭은?,2018.11.13,4
25,SK왕조 재건과 최창원의 각별한 야구 사랑,2018.11.13,4
26,손 대면 터진다…'행복' SK스포츠 혁신의 힘,2018.11.13,4
27,"최태원 SK회장 ""사회적 가치 추구로 비즈니스 모델 혁신해야""",2018.10.19,4
28,SK그룹 17~19일 제주도에서 CEO 세미나,2018.10.16,4
29,"故 최종현 회장 홀로그램으로 등장 ""태원아 잘 하고 있어 고맙다""",2018.08.24,4
30,"최태원 SK 회장 ""선대 회장 뜻 이어받아 최종현 학술원 설립""",2018.08.24,4
31,"최종현 SK회장 20주기 사진전 개막…최태원 회장 ""더 좋은 SK 만들겠다""",2018.08.14,4
32,"최태원 회장 ""글로벌에서도 사회적 가치 추구해야""",2018.06.26,4
33,SK케미칼 'SK바이오사이언스' 신설…백신사업 날개다나(종합),2018.05.02,4
34,"SK, 65년 그룹 역사 담은 기념관 만든다",2018.04.09,4
35,"SK케미칼 ""인문학 공부하고 와라"" 특명",2018.02.19,4
36,[인사]SK그룹,2017.12.07,4
37,SK케미칼 지주회사 ‘SK디스커버리’ 1일 공식 출범,2017.12.01,4
38,"SK케미칼, 화학·제약바이오 딴 살림 차리나",2017.11.29,4
39,"두산중공업, 커뮤니티 활발... 주가 1.02%.",2020.08.19,5
40,"SK디스커버리우, 커뮤니티 활발... 주가 2.45%.",2020.08.19,5
41,"SK케미칼, 주가 40만 1000원 (5.8%)… 게시판 '북적'",2020.08.19,5
42,"동화약품, 주가 2만 2550원 (2.5%)… 게시판 '북적'",2020.08.19,5
43,"SK디스커버리, 커뮤니티 활발... 주가 1.97%.",2020.08.19,5
44,"SK디스커버리, 검색 상위 랭킹... 주가 -3.0%",2020.08.18,5
45,"두산중공업, 커뮤니티 활발... 주가 4.99%.",2020.08.14,5
46,"SK디스커버리, 주가 8만 1500원 (1.88%)… 게시판 '북적'",2020.08.14,5
47,"SK디스커버리우, 커뮤니티 활발... 주가 7.14%.",2020.08.14,5
48,"알에프텍, 커뮤니티 활발... 주가 4.62%.",2020.08.14,5
49,"JW중외제약2우B, 커뮤니티 활발... 주가 7.69%.",2020.08.14,5
50,"우리들제약, 커뮤니티 활발... 주가 -6.02%.",2020.08.14,5
51,"인지컨트롤스, 주가 8590원 (11.41%)… 게시판 '북적'",2020.08.14,5
52,"휴맥스, 커뮤니티 활발... 주가 15.83%.",2020.08.14,5
53,"SK디스커버리우, 주가 7만 2000원 (-2.57%)… 게시판 '북적'",2020.08.13,5
54,"HMM, 커뮤니티 활발... 주가 2.98%.",2020.08.13,5
55,"삼성물산, 커뮤니티 활발... 주가 7.11%.",2020.08.13,5
56,"대한항공우, 주가 2만 5050원 (-3.28%)… 게시판 '북적'",2020.08.13,5
57,"동화약품, 주가 2만 3800원 (-4.61%)… 게시판 '북적'",2020.08.13,5
58,"SK디스커버리, 검색 상위 랭킹... 주가 -4.18%",2020.08.13,5
59,"SK디스커버리우, 커뮤니티 활발... 주가 6.71%.",2020.08.12,5
60,"SK디스커버리, 외국인 4000주 순매도… 주가 6.21%",2020.08.12,5
