,Title,Date,Category
0,"에너지공단, '2019년 ESP 성과공유 워크숍' 개최",2019.11.22,2
1,"박천규 차관 ""가습기 살균제 피해, SK케미칼·애경산업도 책임져야""",2018.10.29,2
2,"[6·13 지방선거를 말한다]김광림 ""경제·일자리 도지사 자신""",2018.02.26,2
3,"공정위, ‘가습기 살균제’ 관련 SK케미칼·애경 고발 검토",2017.12.18,2
4,"환노위, '가습기살균제 피해구제법' 통과",2016.12.29,2
5,"""국민연금, 가습기 살균제 관련 기업에 3조 투자""",2016.10.10,2
6,"가습기 청문회서 기업들 ""피해자 기금 조성 협조""…SK케미칼 집중 질타",2016.08.30,2
7,"與野, '가습기 살균제' 청문회서 SK케미칼 책임 질타",2016.08.30,2
8,[포토]가습기청문회,2016.08.30,2
9,"[포토]가습기청문회, 롯데마트 등 출섯",2016.08.30,2
10,[포토]증인선서하는 김철 SK케미칼 대표,2016.08.30,2
11,"野 가습기특위 ""공정위 대기업 면죄부…감사청구·檢 고발 검토""",2016.08.24,2
12,"이정미 ""가습기살균제, 기존에 안 알려진 독성물질 DCMIT 확인""",2016.07.27,2
13,"가습기살균제 특위, 옥시·SK케미칼·애경 등 주요 가해기업 현장조사",2016.07.27,2
14,"우원식, ""영국 현지 옥시 본사 국정조사 대상""",2016.07.07,2
15,[아시아 어프로치]신격호를 통해 본 상장 vs 비상장…득과 실,2020.01.21,3
16,"에너지공단, '2019년 ESP 성과공유 워크숍' 개최",2019.11.22,3
17,'가습기 살균제' 단순 유통업체도 책임 물어야 하나…논란 증폭,2019.03.29,3
18,"공정위, '제2의 디스커버리 사태' 막는다…피심인 확인 매뉴얼 마련",2018.03.05,3
19,[위크리뷰] 美 통상압박 속 근로시간 단축까지…'기업하기 어렵네',2018.03.03,3
20,'꼼꼼하지 못한' 공정위 일처리…뒤늦게 처분 대상 회사 추가,2018.02.26,3
21,"또 한 번 사과한 김상조…""공정위, 국민 생명·안전 못 지켰다""",2018.02.12,3
22,7년만에 가습기 살균제 결론낸 공정위…과징금 단 1억3400만원,2018.02.12,3
23,"""4대기업 중 삼성만 지배구조 개편안 無""…압박수위 높이는 김상조(종합)",2018.02.05,3
24,"공정위의 압박…""4대그룹 중 삼성만 지배구조 개편안 발표 안해""",2018.02.05,3
25,"가습기 살균제, 2012년 아닌 2016년이 잘못…TF 결론 이유는",2017.12.19,3
26,"SK, 2차 협력사 채용까지 챙긴다…울산서 채용박람회",2017.11.26,3
27,공정위 대기업 공익법인 전수조사…교각살우 우려 3題,2017.11.03,3
28,"[2017국감]공정위, 재조사 줄줄이…가습기살균제·생리대",2017.10.19,3
29,"SK케미칼, 박만훈 대표이사 신규 선임",2017.03.24,3
30,4분기 실적 눈높이 상향…보험·디스플레이·반도체株 반짝,2016.12.14,3
31,청문회 그 후…'밀린 숙제'하는 재계,2016.12.08,3
32,"공정위원장 ""가습기살균제 광고법 위반 혐의 재심의 검토""",2016.10.17,3
33,"'유해성 숨기고 판매' 애경·이마트 가습기살균제에 공정위 ""무혐의""",2016.08.24,3
34,"4년전 공정위 조사 ""옥시, 유해성 알고 판매""",2016.05.16,3
35,최신원 SKC회장의 SK家 교류경영,2016.02.23,3
36,제약업계 규제개선 요구 '봇물'…규제 대못 뽑힐까,2016.02.19,3
37,"""수출동력 창출 필요…제약산업 신인도 높인다""",2016.02.19,3
38,"'소액기부의 힘'…SK 임직원, 지난해 총 56억 기부",2016.02.14,3
39,"SK케미칼, 교육 통해 마케팅 실행력 제고 나서",2016.02.12,3
