,Title,Date,Category
0,"[2019 국감]""차명주식 실명전환 10년간 1조…과징금 부과는 0원""",2019.10.11,2
1,'조국 증인'으로 싸우는 사이…기업인들만 국감 줄소환,2019.09.24,2
2,"산자위, '조국 펀드' 관련 익성·웰스씨앤티 대표 증인 채택",2019.09.24,2
3,"법원, 남양유업 '갑질' 2심서 배상액 대폭 줄여",2017.07.17,2
4,[프로필]우원식 민주당 신임 원내대표,2017.05.16,2
5,"을지로委 우원식 ""이제 민생 챙기는 원내대표 되겠다""",2016.04.29,2
6,"[도전! 총선]곽경택 감독 동생, 곽규택 검사의 여의도 도전기",2016.01.10,2
7,"일몰시한 D-2, 정무위 與野 또다시 충돌",2015.12.30,2
8,대부업법 일몰시한 도래…살인적 고금리 되살아나나,2015.12.27,2
9,美 금리인상했는데…일몰시한 불과 열흘 남은 기촉법,2015.12.20,2
10,법안 논의 올스톱…예산·법안 연계 후폭풍,2015.12.06,2
11,[포토]꽃다발 받은 문재인 대표,2015.12.04,2
12,5개 쟁점법안 본회의 통과…상임위는 없었다,2015.12.03,2
13,"與野, 관광진흥법 등 5개 쟁점법안 '연계' 처리",2015.12.03,2
14,대리점 밀어내기 판매 금지 ‘대리점법’ 국회 통과(상보),2015.12.03,2
15,"'물량 밀어내기 금지' 대리점거래공정화법, 정무위 통과",2015.12.02,2
16,여야 합의 반나절도 안돼 '흔들'…상임위서 잇달아 제동,2015.12.02,2
17,법사위원장의 반발…與野 경제·민생법안 처리에 '빨간불',2015.12.02,2
18,노동개혁 미룬 여야…갈등의 불씨 남겨,2015.12.02,2
19,정무위 법안소위 또 다시 무산…6일째 개점휴업,2015.12.01,2
20,"[기자수첩]'개점휴업' 정무위, 법안통과 '0'건",2015.12.01,2
21,[朴 촉구한 법안 뽀개기]경제활성화법 VS 경제민주화법,2015.11.29,2
22,본회의 하루 앞두고 긴박한 여야…상임위 간사까지 총출동,2015.11.29,2
23,"[2015 국감]국회 정무위, 신동빈 등 증인 41명 확정…기업인 대거 포함(상보)",2015.09.10,2
24,협상 진척 11개 경제활성화법…4대 쟁점 포인트는,2015.02.26,2
25,"법원, 남양유업 과징금 124억 중 119억 취소",2015.01.31,2
26,"정무위 법안소위, 남양유업방지법 의견 접근…'法적용 범위 좁히기로'",2015.01.07,2
27,"국회 정무위 법안소위, 징벌적 손해배상제 등 심의",2015.01.07,2
28,"통신사 '갑질' 애플 잠정안 발표…""광고비 분담·1000억 상생기금""",2020.08.24,3
29,"오뚜기·LG유플 등 7개사에 과태료 부과…""대리점계약서 법 위반""",2020.08.18,3
