,Title,Date,Category
0,"이낙연 ""코로나19 치료제, 올 하반기 이내에 상용화될 것""",2020.04.03,2
1,"이낙연 ""1주택자 종부세 감면 주장 일리 있어…필요시 법개정도 해야""",2020.04.02,2
2,"유명희 본부장 ""의약품·의료기기 수출지원 강화…4월 종합대책 발표""",2019.03.14,2
3,"신정·구정, 감사한 분들에게 보내는 선물 미리 준비하세요",2018.12.30,2
4,[국정농단 재판 2막②]최순실 귀국 후 1년…검찰·특검 '판정승',2017.10.09,2
5,"'수사종료' 특검, 비선의료 의혹 김영재 등 6인 무더기 기소",2017.02.28,2
6,"김기춘 출국금지 처분…특검, 다음주 압수수색·소환 나설 듯",2016.12.15,2
7,'崔 게이트' 분수령 맞나…국조특위 '세월호 7시간' 집중 추궁,2016.12.12,2
8,국내 백신 유엔 납품시 WHO 현장실사 면제,2016.12.08,2
9,"美 연수 '세월호 7시간' 간호장교 ""朴대통령 미용시술 없었다""",2016.12.01,2
10,'비선의사' 입에서 '세월호 7시간' 단서 나올까,2016.11.23,2
11,"靑, 태반주사 8개월간 150개 사들여…지나치게 많은 구매수량 왜?",2016.11.22,2
12,朴대통령 대리 진료 의혹받는 의사 “세월호 당일 대통령 진료? 기억나지 않는다”,2016.11.22,2
13,"[단독]'비선 의사' 김상만 원장, 검찰 고발에 결국 사의 표명",2016.11.21,2
14,"복지부, '대리처방' 김 원장 형사고발…차움 수사 의뢰",2016.11.16,2
15,오뚜기·쿠팡·넷마블 등 고용창출 100대 우수기업,2016.03.17,2
16,한상범 LG디스플레이 사장 등 금탑산업훈장 수여,2014.12.04,2
17,삼성전자 초미세 20나노 D램 기술대상 대통령상 수상,2014.11.13,2
18,"롭스, 화정점 ‘건강기능식 특화 매장’으로 새단장",2020.08.28,3
19,"[위기의 한국 금융]보험료 '0%성장' 먹구름, 매물도 안 팔린다",2020.06.19,3
20,올해 '소부장 스타트업' 20개 선정…최대 155억 지원,2020.04.05,3
21,"수출입銀-녹십자, 북미시장서 바이오 한류 시동 건다",2020.02.13,3
22,[2020 아시아소비자대상]위 건강 지키는 특화 발효유 '불가리스 위쎈',2020.01.30,3
23,"홈플러스, 새해 몸짱 위한 '건강박람회'…건강식품 112종 다모아",2020.01.03,3
24,"공정위, 혈액백 입찰 담합한 2개 사에 과징금 78억 부과",2019.07.17,3
25,"유명희 본부장 ""의약품·의료기기 수출지원 강화…4월 종합대책 발표""",2019.03.14,3
26,"""소중한 분께 호흡기 건강 선물하세요""…홈플러스, 미세먼지 예방 선물세트",2019.01.24,3
27,"[포토]""새해 선물 준비하세요""…홈플러스, 건강 제품 최대 30% 할인",2018.12.28,3
28,"""설 선물 미리 준비하세요"" 홈플러스, 설 선물세트 사전 예약 판매",2018.12.05,3
29,"[B·플레이그라운드]""운동 콘텐츠 등 확보…블록체인 보상 활용""",2018.10.16,3
30,"현대라이프생명, '푸본현대생명'으로 재탄생...3천억 유증 완료",2018.09.14,3
31,[김종화의 Aging스토리]보험사 망하면…내 보험은?,2018.07.26,3
32,"KB금융, 노후시장 공략 강화",2018.03.23,3
33,"에너지공단, '2017년 에너지진단 컨퍼런스' 개최",2017.12.14,3
34,"눈에 좋은 루테인, 제품마다 8배 가격 차이…""캡슐 1개당 163원에서 1333원까지""",2017.10.11,3
35,"[100년 장수먹거리]위산 프로젝트, 이제 위에는 ‘위쎈’",2017.08.18,3
36,"위산 프로젝트, 이제 위에는 ‘위쎈’",2017.06.30,3
37,"KOTRA, 한미정상회담 맞춰 '한미 글로벌 비즈니스 파트너링' 개최",2017.06.29,3
38,"2016 보건산업 수출 11조9000억…""화장품이 효자!""",2017.06.29,3
39,"남양유업, 위 전문 특화 발효유 '위쎈' 출시",2017.06.27,3
40,"KB국민은행, ‘골든라이프 행복건강 서비스’ 앱 선보여",2017.03.30,3
41,"종근당홀딩스, 이병건 대표이사 신규 선임",2017.03.17,3
42,트럼프 탠트럼에 증시 출렁…낙폭과대株 속 '알짜진주' 찾아라,2016.11.24,3
43,"""불안하다 불안해"" 화장품·제약주 던지는 외인",2016.11.03,3
44,'한의사에 의료기기 못 팔도록 방해' 의사단체들 적발..공정위 제재,2016.10.23,3
45,"KB국민은행, 시니어 고객 대상 'KB골든라이프 행복건강 서비스' 출시",2016.08.31,3
46,보험硏 “생보사 M&A 활발해 질 것”,2016.07.24,3
47,내 몸에 필요한 기능 인증 받은 '개별인정 건기식' 주목,2016.04.23,3
48,오뚜기·쿠팡·넷마블 등 고용창출 100대 우수기업,2016.03.17,3
49,"녹십자, 헌혈증 기부로 사랑나눔 실천",2016.02.25,3
50,제약업계 규제개선 요구 '봇물'…규제 대못 뽑힐까,2016.02.19,3
51,"""수출동력 창출 필요…제약산업 신인도 높인다""",2016.02.19,3
52,"녹십자, 바이오신약 'GC1118' 논문 국제학술지에 소개",2016.02.16,3
53,"노발락, '우리아기 다독다독' 이벤트 진행",2016.02.12,3
54,[공시+] 녹십자셀 지난해 흑자전환…'이뮨셀-엘씨' 성과 확인,2016.02.03,3
55,"녹십자셀, 작년 영업익 18억…전년 대비 72%↑",2016.02.03,3
56,"녹십자엠에스, 대표이사 길원섭→김영필 변경",2016.01.28,3
57,"녹십자엠에스, 임시주총서 사내이사 김영필 선임의 건 가결",2016.01.28,3
58,"녹십자, 겨울철 혈액 부족 '사랑의 헌혈'로 채우다",2016.01.26,3
59,녹십자 美진출 첫 단추…면역글로불린 FDA 예비심사 통과,2016.01.26,3
