,Title,Date,Category
0,,,2.0
1,"수출입銀-녹십자, 북미시장서 바이오 한류 시동 건다",2020.02.13,3.0
2,"종근당홀딩스, 이병건 대표이사 신규 선임",2017.03.17,3.0
3,"녹십자, 세계 최대 투자행사 참가…글로벌 전략 소개",2016.01.14,3.0
4,심상찮은 상장 제약사 시가총액…종근당 61%↑,2016.01.10,3.0
5,상장 제약사 시가총액 12% 감소…8조1666억원 규모,2015.12.16,3.0
6,"녹십자, 환경·안전보건경영시스템 국제 인증 취득",2015.12.02,3.0
7,"포스코건설, 녹십자와 손잡고 기흥역세권 개발",2014.12.07,3.0
8,"""오너십 강화해 시멘트 불황 넘겠다"" 이병무 회장 승부수",2014.10.13,3.0
9,"녹십자홀딩스, 주한 중국대사와 한중기술교류 논의",2020.07.30,4.0
10,"녹십자, 북미 혈액제제 계열사 5520억원에 해외업체 매각",2020.07.20,4.0
11,"GC녹십자셀, 국내 최대 세포치료제 생산시설 GMP 허가",2020.05.20,4.0
12,"GC녹십자, 창립 52주년 기념식",2019.10.01,4.0
13,"GC녹십자, 셀센터 준공…세포치료 R&D 기지 마련",2018.10.08,4.0
14,"[제약·바이오 게임체인저①] 허은철 사장 ""실패해도 계속 도전하자""",2018.07.02,4.0
15,"SCM생명과학, 이병건 前 종근당 부회장 새 대표로 선임",2018.05.10,4.0
16,"녹십자, 'GC'로 새 출발…사명 변경",2018.01.02,4.0
17,복잡해진 녹십자 후계구도…향배에 주목,2017.12.04,4.0
18,"녹십자, 하반기 신입사원 공채 실시",2017.09.13,4.0
19,"종근당홀딩스, 이병건 대표이사 신규 선임",2017.03.17,4.0
20,"[인사] 녹십자, 임원 승진",2016.12.01,4.0
21,'최순실 대리처방'에 불똥 튄 녹십자,2016.11.16,4.0
22,"허일섭 녹십자 회장 ""혁신과 新사고로 글로벌 시장 확대""",2016.10.05,4.0
23,"녹십자, 하반기 신입사원 공채 실시",2016.09.20,4.0
24,녹십자 임직원 180여명 사랑의 헌혈 동참,2016.07.26,4.0
25,"녹십자, 사랑의 헌혈에 임직원 170여명 참여",2016.04.19,4.0
26,"녹십자, 지카바이러스 백신개발 나선다",2016.04.19,4.0
27,"녹십자, 상반기 신입 공채",2016.04.01,4.0
28,[인사]녹십자,2015.12.01,4.0
29,"녹십자, 일동제약 지분 전량 매도",2015.05.29,4.0
30,"녹십자, 유전자치료제 개발 美 벤처에 투자",2015.05.14,4.0
31,"녹십자, 中서 세포치료 제 생산시설 건립",2015.04.29,4.0
32,㈜녹십자 용인에 1200억투자 공장증설 나선다,2015.04.27,4.0
33,"[슈퍼주총]녹십자홀딩스, 허일섭·박용태 이사 재선임",2015.03.20,4.0
34,녹십자-일동제약 경영권 분쟁 재발 가능성,2015.02.09,4.0
35,녹십자엠에스 덕에 허일섭 녹십자 회장 대박나나,2014.12.29,4.0
36,'녹십자 제2기' 여는 42세 CEO의 칼,2014.12.08,4.0
37,"녹십자, 허은철 대표이사로 승진…'2세 경영' 돌입",2014.12.02,4.0
38,"""오너십 강화해 시멘트 불황 넘겠다"" 이병무 회장 승부수",2014.10.13,4.0
39,"녹십자, 창립 47주년 기념 행사 개최",2014.10.06,4.0
40,韓日합작 제약사 10돌… 태반제제 '라이넥' 25개국 수출,2014.09.19,4.0
41,"한국비엔씨, 주가 5660원 (0.71%)… 게시판 '북적'",2020.08.28,5.0
42,"동방, 커뮤니티 활발... 주가 12.15%.",2020.08.28,5.0
43,"녹십자홀딩스2우, 커뮤니티 활발... 주가 8.75%.",2020.08.28,5.0
44,"녹십자홀딩스2우, 주가 17만 5000원 (-9.33%)… 게시판 '북적'",2020.08.26,5.0
45,"한올바이오파마, 커뮤니티 활발... 주가 0.58%.",2020.08.26,5.0
46,"녹십자홀딩스2우, 커뮤니티 활발... 주가 -1.03%.",2020.08.19,5.0
47,"티비씨, 주가 1015원 (12.78%)… 게시판 '북적'",2020.08.19,5.0
48,"엔에스, 커뮤니티 활발... 주가 20.28%.",2020.08.19,5.0
49,"삼성SDI, 주가 44만 5500원 (-5.41%)… 게시판 '북적'",2020.08.14,5.0
50,"잇츠한불, 주가 3만 1300원 (4.51%)… 게시판 '북적'",2020.08.14,5.0
51,"오리엔트바이오, 주가 1215원 (29.81%)… 게시판 '북적'",2020.08.14,5.0
52,"녹십자홀딩스2우, 커뮤니티 활발... 주가 -5.82%.",2020.08.14,5.0
53,"인지컨트롤스, 주가 8590원 (11.41%)… 게시판 '북적'",2020.08.14,5.0
54,"한국비엔씨, 주가 4210원 (0.12%)… 게시판 '북적'",2020.08.13,5.0
55,"삼성물산우B, 주가 11만 8000원 (14.56%)… 게시판 '북적'",2020.08.13,5.0
56,"에이스테크, 커뮤니티 활발... 주가 -2.39%.",2020.08.13,5.0
57,"녹십자홀딩스2우, 커뮤니티 활발... 주가 -6.32%.",2020.08.13,5.0
58,"나인테크, 주가 3170원 (13.42%)… 게시판 '북적'",2020.08.13,5.0
59,"한온시스템, 커뮤니티 활발... 주가 8.33%.",2020.08.13,5.0
60,"솔브레인홀딩스, 주가 6만 1600원 (-4.2%)… 게시판 '북적'",2020.08.12,5.0
61,"CJ제일제당, 주가 42만 5500원 (-4.06%)… 게시판 '북적'",2020.08.12,5.0
62,"녹십자홀딩스2우, 주가 24만 원 (-3.61%)… 게시판 '북적'",2020.08.12,5.0
63,"녹십자홀딩스2우, 커뮤니티 활발... 주가 10.0%.",2020.08.11,5.0
64,"JW중외제약, 주가 4만 100원 (4.29%)… 게시판 '북적'",2020.08.06,5.0
65,"녹십자홀딩스2우, 커뮤니티 활발... 주가 26.24%.",2020.08.06,5.0
66,"아이엠이연이, 주가 3535원 (-0.7%)… 게시판 '북적'",2020.08.06,5.0
67,"녹십자홀딩스, 커뮤니티 활발... 주가 -3.99%.",2020.08.06,5.0
68,"한미사이언스, 주가 6만 6100원 (-6.77%)… 게시판 '북적'",2020.08.06,5.0
69,美 FDA 승인이 얼마나 중요한지 아시죠? 승인! 가능성 보여드립니다!,2020.08.06,5.0
70,"명문제약, 커뮤니티 활발... 주가 6.0%.",2020.08.05,5.0
71,"녹십자홀딩스2우, 주가 22만 1000원 (30.0%)… 게시판 '북적'",2020.08.05,5.0
72,"녹십자홀딩스2우, 주가 16만 4000원 (25.19%)… 게시판 '북적'",2020.08.04,5.0
73,코로나19 백신 기대감에 장중 2220선 '껑충'…코스닥 0.6%↑,2020.07.21,5.0
74,"7월 16일 코스피, 18.12p 내린 2183.76 마감(0.82%↓)",2020.07.16,5.0
75,"녹십자홀딩스2우, 커뮤니티 활발... 주가 22.19%.",2020.07.16,5.0
76,"동국S&C, 커뮤니티 활발... 주가 1.35%.",2020.07.15,5.0
77,"녹십자홀딩스2우, 주가 3만 7850원 (-7.68%)… 게시판 '북적'",2020.07.15,5.0
78,"7월 14일 코스피, 2.45p 내린 2183.61 마감(0.11%↓)",2020.07.14,5.0
79,"7월 13일 코스피, 35.81p 오른 2186.06 마감(1.67%↑)",2020.07.13,5.0
80,"태영건설우, 커뮤니티 활발... 주가 2.96%.",2020.07.13,5.0
81,"녹십자홀딩스2우, 주가 3만 1550원 (29.84%)… 게시판 '북적'",2020.07.13,5.0
82,"녹십자홀딩스, 종속사 842억 규모 유상증자 결정",2020.06.26,5.0
83,[e공시 눈에 띄네] 코스피-5일,2020.06.08,5.0
84,"녹십자헬스케어, 930억원 유상증자",2020.06.05,5.0
85,"GC녹십자셀, 국내 최대 규모 세포치료제 GMP 허가 완료",2020.05.20,5.0
86,"녹십자홀딩스, U-Healthcare(원격진료) 테마 상승세에 7.79% ↑",2020.05.15,5.0
87,"녹십자헬스케어, 789억 규모 유상증자 결정",2020.04.14,5.0
88,"녹십자홀딩스, 지난해 영업익 304억원…전년比 38% 감소",2020.02.12,5.0
89,"녹십자헬스케어, 유비케어 주식 2089억원에 취득…지분율 52.7%",2020.02.07,5.0
90,"허일섭 회장, 안은억 녹십자엠에스 대표에게 주식 증여",2019.12.30,5.0
91,"거래소, 내년 단일가매매 적용 저유동성 종목 41개 확정",2019.12.30,5.0
92,"10월 25일 코스피, 2.23p 오른 2087.89 마감(0.11%↑)",2019.10.25,5.0
93,"10월 14일 코스피, 22.79p 오른 2067.40 마감(1.11%↑)",2019.10.14,5.0
94,"10월 11일 코스피, 16.46p 오른 2044.61 마감(0.81%↑)",2019.10.11,5.0
95,"녹십자홀딩스, 종속사 녹십자엠에스 528억원 규모 유상증자 결정",2019.08.22,5.0
96,"코스피 200 등 지수 정기변경…""내달 14일부터 적용""",2019.05.21,5.0
97,"녹십자홀딩스 ""종속사, 750억 규모 유상증자 결정""",2018.12.06,5.0
98,"김동수 케어랩스 대표 ""No.1 헬스케어 토탈 솔루션 기업으로 도약”",2018.03.13,5.0
99,KRX300 편입 종목 발표…코스피 237개·코스닥 68개,2018.01.30,5.0
100,"NH투자증권, QV ETN 정기 종목 변경 실시",2017.12.14,5.0
101,"케어랩스, 코스닥 상장 예비심사 청구서 제출",2017.11.27,5.0
