,Title,Date,Category
0,"에너지공단, '2019년 ESP 성과공유 워크숍' 개최",2019.11.22,2
1,"한국당 ""WTO 개도국 지위 포기, 농업포기 선언한 것""",2019.10.25,2
2,"농심·오뚜기 ""美 라면 가격담합 소송서 승소""",2019.01.14,2
3,"[아시아초대석]김병원 농협회장 ""농협, 농민 곁으로""",2017.08.07,2
4,각양각색 새 장관 취임식 '장관은 솔직담백 좌중은 좌불안석',2017.07.12,2
5,"농협, 가뭄피해 농가 일손돕기 임직원 총동원",2017.05.31,2
6,"文 대통령 ""물 부족 지역, 가뭄대책비 조기 집행""(종합)",2017.05.29,2
7,"文 대통령 ""물 부족 지역, 가뭄대책비 조기 집행""(상보)",2017.05.29,2
8,지주출범 5개월…끝나지 않는 농협법 논란,2017.05.06,2
9,"농협상호금융, 홍천 장전평마을과 자매결연 맺어",2017.04.27,2
10,"김재수 장관, 베트남·태국 농식품 수출사절단 동행 지원",2017.04.24,2
11,"농협경제지주, 권역별 열정토크 개최",2017.04.20,2
12,"농협중앙회 ""농업 현장이라면 어디든 갑니다""",2017.04.17,2
13,"농협 경제지주 사장단 ""농가소득 5000만원 시대 첨병 되겠다""",2017.03.20,2
14,"김병원 농협회장 ""연내 농협 의료법인 설립 추진""(상보)",2017.03.07,2
15,"김병원 농협회장 ""2020년 농가소득 5000만원 달성 역량 결집""",2017.03.07,2
16,공정위 패소 과징금 환급 1500억 돌파,2017.03.05,2
17,"[막말러 톱8] 이계진 - 백남기씨 정말 농민인지, 시위만 했다는 느낌",2017.01.25,2
18,"순실 굿판에 끼어든, 종편 막말러들의 '혓바닥 배틀'",2017.01.25,2
19,"[신년사]김병원 농협회장 ""농가소득 5000만원 비전 선포""",2016.12.30,2
20,"농협, 농가소득 5000만원 시대 연다",2016.12.19,2
21,"김기춘, 농심 법률고문에서 물러난다…전직 靑비서실장 처신 논란 의식했나",2016.11.24,2
22,"공정위, '조삼모사' 할인으로 소비자 우롱한 대형마트들 제재",2016.11.08,2
23,지난해 식품산업 생산실적 70조4000억…연 평균 5%씩 성장,2016.09.27,2
24,김재수 농심품부 장관 해임건의안 가결…재적 170 찬성 160 반대 7 무효 3(속보),2016.09.24,2
25,"새누리 ""김재수 해임 건의 시도, 농심에 대한 정치테러""",2016.09.23,2
26,'2016 대한민국 식품대전' 내달 1일 개최,2016.08.29,2
27,"농협, 충남·호남 조합장 컨퍼런스 개최",2016.08.25,2
28,식도락 즐기기 좋은 농촌관광코스 10선,2016.08.25,2
29,[포토]열 받은 농민들,2016.07.21,2
30,"[포토]""김영란법은 수입농산물 소비촉진법""",2016.07.21,2
31,[포토]성난 농심,2016.07.21,2
32,김병원 농협 회장 직원들과 소통 나서,2016.06.16,2
33,농협중앙회 '農心회복' 밤샘 토론회 가져,2016.05.01,2
34,"""농협 하나로마트 농산물 판매혁신 추진""",2016.04.25,2
35,"농협 회장 ""농협이념중앙교육원은 협동조합 가치 공유 센터""",2016.03.14,2
36,'한중 FTA 2년차' 음료·비슷킷 관세인하 혜택 기대,2016.02.17,2
37,농협중앙회장 선거 D-1…342조 살림 쥐락펴락·연봉 7억에 막강권한,2016.01.11,2
38,풍작일 수록 나라가 괴로워지는 '농사의 역설',2015.11.13,2
39,"새누리, 가뭄대책 논의…""다음주 당정열어 가뭄 대책 발표""",2015.11.06,2
40,식품산업 157조..10년간 71% 성장,2015.08.07,2
41,"與 ""국회 보이콧 피해 국민께"" 野 ""국민도 안전도 없다""",2015.06.28,2
42,"野, ‘메르스·가뭄’ 맞춤형 추경 촉구···제도적 근거도",2015.06.20,2
43,[진화하는 농촌]기술 대주고 생산물 사주고…1조원 씨뿌리는 기업 重農主義,2015.06.05,2
44,"정부, 쌀값 하락 막는다…내달 7만7000t 수매 결정(종합)",2015.04.24,2
45,"어제의 동지가 오늘의 선배로? 공정위 ""전관예우는 오해""",2015.03.10,2
46,"농심, 특약점들에 슈퍼甲 행세..과징금 5억원",2015.03.08,2
47,"이동필 ""식품업체-국산농산물 사용 인센티브 마련""",2015.02.05,2
48,한국 1인당 라면소비 세계 1위…1인당 연간 74봉지 먹어,2014.12.19,2
49,"공정위, 라면·과자 가격인상 담합 정황 포착",2014.10.23,2
50,"라면 수출, 4년 만에 3배 육박…중국 수출 압도적 1위",2020.08.25,3
51,"aT, 중국 공동구매 1위 플랫폼에 한국관 개설",2020.08.24,3
52,‘코로나19로 세계는 집콕’…미국도 한국도 집에서 신라면 먹었다,2020.08.22,3
53,"코로나19 집콕 ""너도 나도 신라면·짜파게티 먹었다""…라면 사상최대 매출",2020.08.20,3
54,식을 줄 모르는 깡 열풍에…농심 ‘깡 스낵’ 매출 껑충,2020.08.12,3
55,"‘구호 지원 프로세스’ 갖춘 농심, 수해지역 긴급 구호 나서…라면·생수 지원",2020.08.05,3
56,"농심 신라면배 결승, 온라인 대국으로 펼쳐진다",2020.08.03,3
57,"G마켓 스마일배송관, 7개 브랜드사 ‘깨끗한 생수’ 할인 프로모션",2020.07.24,3
58,"""미 전역 평정한 '신라면 블랙'""…농심, 상반기 미국서 사상 최대실적 기록",2020.07.13,3
59,'갓' 쓰고 말춤 춘 회장님…中 213만명 韓호텔 상품 봤다,2020.07.02,3
60,"GS25, 기상청 등과 폭염 취약계층 돕는 '진심 해피해피 '캠페인",2020.06.30,3
61,"NH농협은행 감사부, 청주서 농촌일손돕기 봉사활동",2020.06.14,3
62,수입과자에 밀렸던 국내 제과시장 부활한다…수입 줄고 수출 '껑충',2020.06.08,3
63,"백종원, '농가 키다리 아저씨'로 정용진 이어 함영준 오뚜기 회장 지목",2020.06.05,3
64,"'짜파구리' 인기에 다시마 사용량 '↑'…농심, 완도 햇다시마 구매 돌입",2020.06.01,3
65,"농심, 3배 매운 ‘앵그리 너구리’ 정식 출시한다",2020.05.25,3
66,비빔면 고정관념 깬 ‘농심 칼빔면’,2020.05.22,3
67,이베이코리아 '빅스마일데이' 오픈…첫날 '아디다스' 할인,2020.05.19,3
68,'역대급 더위' 예고에…식음료업계 뜨거운 여름별미 대전 시작됐다,2020.05.09,3
69,"""위기를 기회로""…식품·유통家, '코로나19' 악재에 오히려 웃었다(종합)",2020.05.04,3
70,"""햇반·테라 불티나게 팔려""…식품업계, '코로나19' 악재에 오히려 웃었다",2020.05.04,3
