,Title,Date,Category
0,"포천 미군 장갑차 추돌 사고, 주한미군 ""희생자 애도…훈련 일시 중단""",2020.08.31,2
1,전공의 고발에 의대교수 잇따른 성명……醫-政 갈등 격화(종합),2020.08.29,2
2,[민주 全大] 이낙연 '정권 재창출'·김부겸 '책임 정당'·박주민 '개혁 완수',2020.08.29,2
3,"진중권 ""'조국흑서' 출간해보니 3억 필요 없어…말이 되는 소릴 해라""",2020.08.27,2
4,"文대통령 ""코로나 방역성과 무너질 위기…종교가 모범 돼 달라""",2020.08.20,2
5,"진중권 ""추미애, 정권 망치는 인물 1위""…'추미애 탄핵' 靑 청원 20만 돌파",2020.08.14,2
6,"서울 도로 곳곳 통제에 월요일 출근 대란 우려…""대중교통 이용해달라""",2020.08.09,2
7,"진중권 ""윤희숙, 뒷구멍으로 부동산 부자 대변하면 연설 의의 깎아 먹을 것""",2020.08.05,2
8,"진중권 ""김부겸 처남 왜 문제? 조선시대도 아니고""",2020.08.04,2
9,"박주민, 봉하마을 참배…""민주당의 시대전환 이뤄내겠다""",2020.07.31,2
10,"강경화 장관, 브루나이 외교장관과 통화…필수인력 이동 보장 등 논의",2020.07.30,2
11,"당 대표 출마한 박주민에 진중권 ""꼴에 권력욕 있네""",2020.07.22,2
12,[시시비비] 이낙연·김부겸에 바란다,2020.07.20,2
13,"정의당, 다시 민주당 2중대?…심상정 '조문 거부' 사과 후폭풍",2020.07.14,2
14,"진중권 ""심상정 사과, 어이가 없다…진보정치 세대교체 필요""",2020.07.14,2
15,"포천 미군 장갑차 추돌 사고, 주한미군 ""희생자 애도…훈련 일시 중단""",2020.08.31,2
16,전공의 고발에 의대교수 잇따른 성명……醫-政 갈등 격화(종합),2020.08.29,2
17,[민주 全大] 이낙연 '정권 재창출'·김부겸 '책임 정당'·박주민 '개혁 완수',2020.08.29,2
18,"진중권 ""'조국흑서' 출간해보니 3억 필요 없어…말이 되는 소릴 해라""",2020.08.27,2
19,"文대통령 ""코로나 방역성과 무너질 위기…종교가 모범 돼 달라""",2020.08.20,2
20,"진중권 ""추미애, 정권 망치는 인물 1위""…'추미애 탄핵' 靑 청원 20만 돌파",2020.08.14,2
21,"서울 도로 곳곳 통제에 월요일 출근 대란 우려…""대중교통 이용해달라""",2020.08.09,2
22,"진중권 ""윤희숙, 뒷구멍으로 부동산 부자 대변하면 연설 의의 깎아 먹을 것""",2020.08.05,2
23,"진중권 ""김부겸 처남 왜 문제? 조선시대도 아니고""",2020.08.04,2
24,"박주민, 봉하마을 참배…""민주당의 시대전환 이뤄내겠다""",2020.07.31,2
25,"강경화 장관, 브루나이 외교장관과 통화…필수인력 이동 보장 등 논의",2020.07.30,2
26,"당 대표 출마한 박주민에 진중권 ""꼴에 권력욕 있네""",2020.07.22,2
27,[시시비비] 이낙연·김부겸에 바란다,2020.07.20,2
28,"정의당, 다시 민주당 2중대?…심상정 '조문 거부' 사과 후폭풍",2020.07.14,2
29,"진중권 ""심상정 사과, 어이가 없다…진보정치 세대교체 필요""",2020.07.14,2
30,"포천 미군 장갑차 추돌 사고, 주한미군 ""희생자 애도…훈련 일시 중단""",2020.08.31,2
31,전공의 고발에 의대교수 잇따른 성명……醫-政 갈등 격화(종합),2020.08.29,2
32,[민주 全大] 이낙연 '정권 재창출'·김부겸 '책임 정당'·박주민 '개혁 완수',2020.08.29,2
33,"진중권 ""'조국흑서' 출간해보니 3억 필요 없어…말이 되는 소릴 해라""",2020.08.27,2
34,"文대통령 ""코로나 방역성과 무너질 위기…종교가 모범 돼 달라""",2020.08.20,2
35,"진중권 ""추미애, 정권 망치는 인물 1위""…'추미애 탄핵' 靑 청원 20만 돌파",2020.08.14,2
36,"서울 도로 곳곳 통제에 월요일 출근 대란 우려…""대중교통 이용해달라""",2020.08.09,2
37,"진중권 ""윤희숙, 뒷구멍으로 부동산 부자 대변하면 연설 의의 깎아 먹을 것""",2020.08.05,2
38,"진중권 ""김부겸 처남 왜 문제? 조선시대도 아니고""",2020.08.04,2
39,"박주민, 봉하마을 참배…""민주당의 시대전환 이뤄내겠다""",2020.07.31,2
40,"강경화 장관, 브루나이 외교장관과 통화…필수인력 이동 보장 등 논의",2020.07.30,2
41,"당 대표 출마한 박주민에 진중권 ""꼴에 권력욕 있네""",2020.07.22,2
42,[시시비비] 이낙연·김부겸에 바란다,2020.07.20,2
43,"정의당, 다시 민주당 2중대?…심상정 '조문 거부' 사과 후폭풍",2020.07.14,2
44,"진중권 ""심상정 사과, 어이가 없다…진보정치 세대교체 필요""",2020.07.14,2
45,"포천 미군 장갑차 추돌 사고, 주한미군 ""희생자 애도…훈련 일시 중단""",2020.08.31,2
46,전공의 고발에 의대교수 잇따른 성명……醫-政 갈등 격화(종합),2020.08.29,2
47,[민주 全大] 이낙연 '정권 재창출'·김부겸 '책임 정당'·박주민 '개혁 완수',2020.08.29,2
48,"진중권 ""'조국흑서' 출간해보니 3억 필요 없어…말이 되는 소릴 해라""",2020.08.27,2
49,"文대통령 ""코로나 방역성과 무너질 위기…종교가 모범 돼 달라""",2020.08.20,2
50,"진중권 ""추미애, 정권 망치는 인물 1위""…'추미애 탄핵' 靑 청원 20만 돌파",2020.08.14,2
