,Title,Date,Category
0,,,2.0
1,"대상그룹, 2회 E.T.필름 페스티벌’ 성료…3개국 문화교류의 장",2020.01.21,3.0
2,"대상그룹, ‘제2회 E.T. 필름 페스티벌’ 참가자 모집",2019.11.11,3.0
3,"대상그룹, 매거진 기분 좋은 만남의 이벤트…제품 증정",2019.07.29,3.0
4,"대상그룹, ‘휴가 전 헌혈 먼저’ 캠페인 진행",2019.07.10,3.0
5,"청정원 요리한수, 출시 2달 만에 50만 개 판매 돌파",2019.06.27,3.0
6,"제2의 동양 사태 막겠다는 통합감독, '삼성 뇌관' 피해간다",2019.05.09,3.0
7,'제1회 대상그룹 한-인도네시아 대학생 스마트폰 영화제' 성료,2019.02.25,3.0
8,"대상문화재단, 2019년도 장학증서 수여식…1년간 11억 장학금 지원",2019.02.22,3.0
9,"대상문화재단, 장학증서 수여식 개최…383명에 11억 지원",2018.02.23,3.0
10,"대상그룹, ‘2017 사랑나눔 바자회’ 개최… 최대 80% 할인 혜택",2017.10.23,3.0
11,두유왕·카레 전도사·조미료의 아버지·…韓 식품산업의 선구자 큰 별 지다(종합),2017.10.10,3.0
12,"공정위, 대림 '일감 몰아주기' 현장조사",2017.09.04,3.0
13,"대상그룹, 휴가 전 헌혈 먼저 캠페인",2017.07.12,3.0
14,"[단독]오리온·대상, '욜로' 상표권 출원…""욜로족 겨냥 맞춤 브랜드 만든다""",2017.06.30,3.0
15,유통·식품 '노익장' 1세대들의 잇따른 퇴장…'지는 별' 명예로운 은퇴 준비,2017.06.26,3.0
16,[대한민국 집부자]200억짜리 주택 최초 등장… 집주인 '이건희',2017.04.27,3.0
17,[대한민국 집부자]벌어지는 빈부격차… 비싼 집이 더 올랐다,2017.04.27,3.0
18,대상베스트코로 간 박용주·초록마을로 온 유태환,2017.04.25,3.0
19,"대상베스트코-본푸드서비스, 식자재공급 업무협약 체결",2016.11.24,3.0
20,"대상, 임세령·상민 자매 전무 승진…이상철·정홍언 사장 선임…",2016.11.17,3.0
21,'야속한 세월' 역사의 뒤안길로 떠나는 식품업계 오너들,2016.09.24,3.0
22,"임대홍 대상그룹 창업주, 향년 97세 일기로 별세",2016.04.06,3.0
23,임상민 대상 상무 28일 결혼… 그룹 후계구도 관심,2015.12.29,3.0
24,"임상민 대상그룹 상무, 5살 연하 금융인과 비공개 결혼",2015.12.29,3.0
25,"대상, 발효조미료 ‘미원’ 세계일류상품 선정",2015.12.16,3.0
26,"[빅테크,빅체인지]식품·패션 '온라인' 둥지…네이버·카카오 동침도 불사",2020.07.22,4.0
27,대상그룹과 함께 헌혈…'2020 레드챌린지' 진행,2020.07.16,4.0
28,"대상 청정원 집으로ON, 3분 완성 ‘간편양념육’ 3종 선보여",2019.08.19,4.0
29,젊은 회장님 늘었다…40대 이하 오너가(家) 임원 130명,2019.01.28,4.0
30,"대상그룹, ‘2017 사랑나눔 바자회’ 개최… 최대 80% 할인 혜택",2017.10.23,4.0
31,두유왕·카레 전도사·조미료의 아버지·…韓 식품산업의 선구자 큰 별 지다(종합),2017.10.10,4.0
32,"대상그룹, 휴가 전 헌혈 먼저 캠페인",2017.07.12,4.0
33,"[단독]오리온·대상, '욜로' 상표권 출원…""욜로족 겨냥 맞춤 브랜드 만든다""",2017.06.30,4.0
34,유통·식품 '노익장' 1세대들의 잇따른 퇴장…'지는 별' 명예로운 은퇴 준비,2017.06.26,4.0
35,"대상문화재단, 중고생 300명에 7.2억 장학금 지원",2017.05.28,4.0
36,대상베스트코로 간 박용주·초록마을로 온 유태환,2017.04.25,4.0
37,"대상, 식품BU장에 임정배 전무 선임",2017.03.07,4.0
38,"[포토]대상문화재단, 장학증서 수여식 개최…연간 총 10억원 장학금 지원",2017.02.16,4.0
39,"대상문화재단, '장학증서 수여식' 개최…연간 총 10억원 장학금 지원",2017.02.16,4.0
40,"""젊은 피가 움직인다""…유통업계 2·3세 약진, 몸 낮춘 리더십으로 더 높이 뛴다",2017.01.23,4.0
41,"대상베스트코-본푸드서비스, 식자재공급 업무협약 체결",2016.11.24,4.0
42,"대상, 임세령·상민 자매 전무 승진…이상철·정홍언 사장 선임…",2016.11.17,4.0
43,"'빼빼 마르자' 주고받던 막대과자, 당류 함량 높아…먹다보면 '뚱보'",2016.11.10,4.0
44,'야속한 세월' 역사의 뒤안길로 떠나는 식품업계 오너들,2016.09.24,4.0
45,"상호출자제한 해제 기업들 ""일자리 창출, SSM진출 자제""",2016.07.11,4.0
46,"이정재 임세령 커플, 데이트 현장 포착 ""잘 만나고 있어요""",2016.05.16,4.0
47,"임대홍 대상그룹 창업주, 향년 97세 일기로 별세",2016.04.06,4.0
48,"베트남, 수입산 화학조미료에 세이프가드발동…현지韓기업엔 호재",2016.03.21,4.0
49,1인가구·집밥 열풍에 먹거리 패권다품 '온라인속으로',2016.01.19,4.0
50,임상민 대상 상무 28일 결혼… 그룹 후계구도 관심,2015.12.29,4.0
51,"임상민 대상그룹 상무, 5살 연하 금융인과 비공개 결혼",2015.12.29,4.0
52,"대상, 발효조미료 ‘미원’ 세계일류상품 선정",2015.12.16,4.0
53,"박삼구, 주요그룹 잇단 백기사 영입.. NEW금호플랜 가동",2015.11.06,4.0
54,"대상 차녀 임상민 상무, 금융계 회사원과 결혼전제 만남",2015.09.01,4.0
55,"최근 10년간 기업인 특별사면, 누가 있나",2015.08.11,4.0
56,10억 20억 '億소리'가 자연스런 임원들,2015.03.31,4.0
57,"대상문화재단, 380명에게 1년간 8억원 장학금 지원",2015.02.25,4.0
58,"대상, 상암커뮤니케이션즈 사장에 주홍 전무 선임",2014.10.31,4.0
59,"정홍언 대상 대표 ""변화와 혁신으로 미래 성장동력 창출할 것""",2018.03.23,5.0
60,"신송그룹, 사업구조 재편 ""책임경영체제로 '제2의 창업'""",2017.07.31,5.0
61,2016년 '원숭이 해'에 태어난 재계 인물들은 누구일까,2015.12.21,5.0
62,"대상리코, 2015 해외투자 우수기업 선정",2015.11.29,5.0
63,단기 폭등 플레이위드 들여다보니,2015.07.31,5.0
64,[단독]중국 게임사 '룽투게임즈' 한국 업체 또 산다,2015.07.23,5.0
65,"[집중취재]간통죄 폐지, 스마트하게 이혼하는 법",2015.03.13,5.0
66,'주가 38.8%↓'…대주주 '팔자' 리스크에 개미들 '울상',2014.11.25,5.0
67,[집값공개]서울서 가장 비싼 주택 누가 소유했나,2017.05.03,6.0
68,"[대한민국 집부자]100억 넘는 서울 주택 8채…""누가 가졌나?""",2017.04.27,6.0
69,[대한민국 집부자]200억짜리 주택 최초 등장… 집주인 '이건희',2017.04.27,6.0
70,[대한민국 집부자]벌어지는 빈부격차… 비싼 집이 더 올랐다,2017.04.27,6.0
71,송도국제도시포스코더샵 그린스퀘어 특별지원혜택.. 파격입주중,2014.10.22,6.0
72,'송도호반베르디움' 9.1부동산정책과 아시안게임 효과로 계약문의 급증,2014.09.19,6.0
73,,,7.0
74,'미공개 정보 주식거래' 임창욱 대상그룹 회장 벌금형 선고,2019.06.15,8.0
75,"“이부진, 임우재에 86억 원 지급”…역대 재벌가들 이혼에 얼마 냈나",2017.07.21,8.0
76,"'우병우-이석수' 수사 윤갑근, 金총장 신임 두터운 특수통",2016.08.23,8.0
77,"'이혼거부' 임우재, 이부진과의 결혼 사진 화제",2015.08.07,8.0
78,"이정재 임세령 커플, 데이트 현장 포착 ""잘 만나고 있어요""",2016.05.16,9.0
79,"박삼구, 주요그룹 잇단 백기사 영입.. NEW금호플랜 가동",2015.11.06,9.0
80,"'연말 결혼설' 이정재, 공식입장 밝혀 ""허위 보도 법적 대응할 것""",2015.11.04,9.0
81,"'임세령 연인' 이정재, 사는 집도 '상위 0.1%' 럭셔리하우스",2015.03.17,9.0
82,"최윤영 아나 ""임세령, 어린 시절 굉장히 착하고 예뻤다""",2015.01.26,9.0
83,"정우성 열애설 해명 ""30대 초반 재미교포? 친한 지인일 뿐""",2015.01.09,9.0
84,"YG측, 탑 자택이 이정재·임세령 '사랑방'?…""황당하고 억울해""",2015.01.08,9.0
85,"'임세령과 열애' 이정재, '내 여자' 만드는 법 정우성에게 배웠다?…과거 발언 보니",2015.01.07,9.0
86,"임세령, 스펙 '끝판왕'?…이정재, 집안 알아보니 '만만치 않네'",2015.01.07,9.0
87,"임세령·이정재, '황금 인맥' 그야말로 대한민국 1%",2015.01.07,9.0
88,'임세령 연인' 이정재가 산다는 삼성동 라테라스 보니…,2015.01.06,9.0
89,"'임세령과 열애' 이정재 ""김민희 소개로 만났다? 사실은…""",2015.01.06,9.0
90,"'임세령과 열애' 이정재 ""필리핀 여행·라테라스 전부…""",2015.01.05,9.0
91,[짜장뉴스]임세령 옷값의 진실은?,2015.01.05,9.0
92,"'임세령과 열애' 이정재, 과거 이상형 보니 ""센스 있고 예의바른 여자""",2015.01.05,9.0
93,"임세령, 스펙 끝판왕?…이정재 집안도 '만만치 않네'",2015.01.05,9.0
94,"'임세령과 열애' 이정재 ""김민희가 소개? 사실은…""",2015.01.05,9.0
95,"임세령 대상그룹 상무와 열애하는 이정재, 집안 알아보니…",2015.01.05,9.0
96,"임세령, 이정재 커플 집안 알아보니…""고가 미술품 수집 사실 아니다""",2015.01.04,9.0
97,"'임세령과 열애' 이정재 ""파파라치 사진 찍힌다면…"" 과거발언 '눈길'",2015.01.02,9.0
98,"'이정재와 열애' 임세령, 대상그룹 어떤 곳인가 봤더니",2015.01.02,9.0
99,"대상그룹 임세령, 이정재 데이트룩…롱코트 가격이 '무려'",2015.01.02,9.0
100,"이정재, 임세령 열애사실, 대상그룹 후계구도 바뀌나…",2015.01.02,9.0
101,"'이정재와 열애' 임세령, 데이트 복장보니…서민 전셋값과 맞먹는 수준?",2015.01.02,9.0
102,"이정재·임세령 이어준 '포르쉐 911 카레라', 가격이 무려…",2015.01.02,9.0
103,"이정재의 그녀 임세령, 재벌 2세 '대상그룹 장녀…후계 구도 변하나?'",2015.01.02,9.0
104,"'임세령 열애설', 이정재가 산다는 삼성동 라테라스 어떤가 보니…",2015.01.02,9.0
105,"2015년 첫 열애설 '이정재-임세령' ""지나친 사생활 침해 말아 달라""",2015.01.02,9.0
106,"'임세령 열애' 이정재 이상형은?…""예의 바르고 센스 있는 여자""",2015.01.02,9.0
107,"임세령, 이정재 만날 때 애용하는 '포르쉐911 카레라' 어떤 차? 가격보니…",2015.01.01,9.0
108,"'임세령 열애설' 이정재 공식입장 ""조심스럽게 만남 시작""(전문)",2015.01.01,9.0
109,"이정재 임세령 열애, 연애관 발언 눈길 ""파파라치 사진 찍힌다면…""",2015.01.01,9.0
110,"이정재 임세령 열애설, 이정재 前여친 김민희가 '연결고리'?",2015.01.01,9.0
111,"이정재 열애, 임세령 누구?…",2015.01.01,9.0
112,"이정재, 임세령과 또다시 열애설…첫 만남은?",2015.01.01,9.0
113,,,10.0
114,"이정재♥임세령, 나란히 출국…애정전선 이상 無",2019.11.01,11.0
115,"'야구 여신' 이향 아나운서, 대상그룹 며느리 된다",2019.05.09,11.0
116,"이정재·임세령, 홍콩서 데이트 즐겨…배우 정우성도 포착",2019.04.05,11.0
117,이정재 연인 임세령의 의상 가격은? “코트 3200만원 대” 재조명,2018.04.09,11.0
118,"이정재♥임세령, 배우 김민희가 소개?…“사실 아니다”",2018.04.09,11.0
119,"최윤영 “임세령, 재벌가 딸이라는 것 몰랐다…예쁘고 착했다”",2018.04.09,11.0
120,"임세령·이정재, 데이트 목격담 이어져…홍석천 “함께 있는 모습 많이 봤다” 재조명",2018.04.09,11.0
121,이정재 “결혼은 아직…임세령 사생활 침해 막고싶어”,2018.04.09,11.0
122,"이정재♥임세령, 여전히 핑크빛 ‘주말 레스토랑 데이트’ 포착",2018.04.08,11.0
123,"이정재♥임세령, 대략 알려진 재산만 합쳐도 '엄청나네'",2017.08.06,11.0
124,"임세령,이정재 연인 보다 더 관심 끄는 타이틀은 따로 있다…'이재용 부회장 전 부인''삼성그룹 전 며느리'",2017.08.04,11.0
125,"홍석천 “임세령과 동네 주민…이정재와의 만남 알고 있었다""",2016.05.16,11.0
126,"이정재 임세령 커플, 데이트 현장 포착 ""잘 만나고 있어요""",2016.05.16,11.0
127,"이정재, 악성 댓글 네티즌 고소…소속사 ""강력 조치할 것""",2016.01.09,11.0
128,"'연말 결혼설' 이정재, 공식입장 밝혀 ""허위 보도 법적 대응할 것""",2015.11.04,11.0
129,"'임세령 연인' 이정재, 사는 집도 '상위 0.1%' 럭셔리하우스",2015.03.17,11.0
130,"최윤영 아나 ""임세령, 어린 시절 굉장히 착하고 예뻤다""",2015.01.26,11.0
131,"정우성 열애? ""단지 친한 지인일 뿐"" VS  ""정우성은 자상한 남자친구""",2015.01.09,11.0
132,"정우성 열애설 해명 ""30대 초반 재미교포? 친한 지인일 뿐""",2015.01.09,11.0
133,"YG측, 탑 자택이 이정재·임세령 '사랑방'?…""황당하고 억울해""",2015.01.08,11.0
134,"'임세령과 열애' 이정재, '내 여자' 만드는 법 정우성에게 배웠다?…과거 발언 보니",2015.01.07,11.0
135,'임세령 연인' 이정재가 산다는 삼성동 라테라스 보니…,2015.01.06,11.0
136,"'임세령과 열애' 이정재 ""김민희 소개로 만났다? 사실은…""",2015.01.06,11.0
137,"이정재 소속사 관계자, 임세령과 '금전 관계' 언급…뭐라고 했나 봤더니",2015.01.05,11.0
138,"'임세령과 열애' 이정재 ""필리핀 여행·라테라스 전부…""",2015.01.05,11.0
139,[짜장뉴스]임세령 옷값의 진실은?,2015.01.05,11.0
140,"'임세령과 열애' 이정재, 과거 이상형 보니 ""센스 있고 예의바른 여자""",2015.01.05,11.0
141,"임세령, 스펙 끝판왕?…이정재 집안도 '만만치 않네'",2015.01.05,11.0
142,"'임세령과 열애' 이정재 ""김민희가 소개? 사실은…""",2015.01.05,11.0
143,"대상그룹 임세령 상무와 열애중인 이정재, 집안 살펴보니…",2015.01.04,11.0
144,"스펙 '끝판왕' 임세령 ""이정재도 만만치 않네""",2015.01.04,11.0
145,"임세령 대상그룹 상무와 열애하는 이정재, 집안 알고보니…",2015.01.04,11.0
146,임세령 스펙·집안 끝판왕? 알고보니 이정재도 '괜찮은 집안' 출신,2015.01.04,11.0
147,"이정재♡임세령, 데이트 때 탔던 임세령 '세컨드카' 봤더니…가격이 무려",2015.01.03,11.0
148,임세령 대상그룹 상무 스펙·집안 어떤가 봤더니,2015.01.03,11.0
149,"이정재의 그녀, 임세령 스펙·집안 어떤가 봤더니",2015.01.03,11.0
150,"이정재 측 ""임세령과의 열애, 김민희가 소개했다고? 사실은…""",2015.01.03,11.0
151,"이정재 측 각종 '설'에 입 열었다 ""김민희 소개·필리핀 여행·라테라스 전부…""",2015.01.03,11.0
152,"이정재의 그녀, 임세령의 '대상그룹' 어떤 기업인지 봤더니",2015.01.03,11.0
153,"'임세령과 열애' 이정재 ""파파라치 사진 찍힌다면…"" 과거발언 '눈길'",2015.01.02,11.0
154,"이정재 연인 임세령 상무, 대상그룹 후계구도 판도 바꾸나",2015.01.02,11.0
