,Title,Date,Category
0,,,2.0
1,"환경부, SK·LG 등 석유화학 기업 6곳과 6000억 환경투자 협약",2020.05.26,3.0
2,"석유화학 업계 ""부지·용수 확보 어려움""…홍남기 ""상당부분 진전""",2019.06.13,3.0
3,"정부, 석유화학 사업재편 점검…TPA 간담회 개최",2016.12.23,3.0
4,"""대기업 女근로자 임금, 男 65% 수준""",2016.10.13,3.0
5,20주년 맞은 안전점검의 날,2016.04.06,3.0
6,어닝쇼크 종목 담는 청개구리 투자,2016.01.26,3.0
7,재고 쌓여 불꺼지는 프로필렌 공장,2015.11.13,3.0
8,"석화업계, 자발적 사업재편 착수…협의체 구성",2015.08.24,3.0
9,산유국 '치킨게임'에 벼랑 끝 몰린 수출코리아,2020.03.10,4.0
10,삼성전자 사상 첫 900억달러 수출 탑 '쾌거'…무역의 날 수상,2018.12.06,4.0
11,중소형 화학사 2분기 실적 '탄탄',2018.08.08,4.0
12,"석유화학업계, 에틸렌 증산 레이스 씽씽",2018.07.18,4.0
13,"500대기업, 실적 증가에도 기부금 13% 줄여…삼성전자는 40%↓",2017.11.29,4.0
14,"정부, 석유화학 사업재편 점검…TPA 간담회 개최",2016.12.23,4.0
15,"""대기업 女근로자 임금, 男 65% 수준""",2016.10.13,4.0
16,"대한유화, 최대주주 측 지분율 1.14% 감소",2016.03.21,4.0
17,재고 쌓여 불꺼지는 프로필렌 공장,2015.11.13,4.0
18,100대 기업 최고령·최연소 임원은?,2015.09.22,4.0
19,"석화업계, 자발적 사업재편 착수…협의체 구성",2015.08.24,4.0
20,"석유화학업계, 화평법 공동 대응 위한 컨소시엄 발족",2015.07.10,4.0
21,상장사 1분기 실적희비…10곳 중 6곳 웃고 4곳은 울고,2015.05.03,4.0
22,후보들 '손사래'…석화협회 회장 인선 난항,2015.03.06,4.0
23,[e공시 눈에 띄네] 코스피-28일,2020.07.29,5.0
24,"국민연금, 2분기 화학·경기방어주 샀다",2020.05.26,5.0
25,"대한유화, 1분기 영업손실 457억원…전년比 적자 전환",2020.04.27,5.0
26,원유감산 결렬… 정유·화학·조선株까지 강타,2020.03.10,5.0
27,국민연금 '배당 압박' 통할까,2020.02.21,5.0
28,"대한유화, 보통주당 2500원 현금배당 결정",2020.02.17,5.0
29,"[클릭 e종목]""대한유화, 에틸렌 가격 반등으로 최악 시황 지나""",2020.01.29,5.0
30,"S-Oil, 1조1600억원 규모 납사 공급계약 체결",2020.01.07,5.0
31,"대한유화, 3Q 영업익 608억원…전년비 30.57% 감소",2019.10.30,5.0
32,[e공시 눈에 띄네]코스피-9일,2019.09.10,5.0
33,"대한유화, SM생산시설에 3000억원 투자",2019.09.09,5.0
34,"대한유화, SM생산시설 신설에 3000억원 투자",2019.09.09,5.0
35,에틸렌값 회복…화학株 반등 불씨되나,2019.09.02,5.0
36,"대한유화, 2분기 영업손실 157억…적자전환",2019.07.24,5.0
37,"[특징주]풍국주정, 수소로 전 세계 에너지 수요량 20%…현대차 수소 올인",2019.06.17,5.0
38,"대한유화, 1Q 영업익 569억원…전년비 45.14% 감소",2019.04.30,5.0
39,"[굿모닝 증시] ""싸 보이는 주식을 살 수 있는 용기가 필요한 때""",2019.04.15,5.0
40,"대한유화, 정기보수로 전체 사업장 생산중단",2019.04.04,5.0
41,미중 정상회담 무산에 '화학주' 빨간불,2019.02.10,5.0
42,"에쓰오일, 8990억 규모 납사 공급계약",2018.12.28,5.0
43,"[특징주]풍국주정, 수소 에너지 성장 수혜 기대감에 강세",2018.12.10,5.0
