,Title,Date,Category
0,"박창진, 정의당 당대표 출마 선언…""국민께 과감한 변화 모습 보여야""",2020.08.31,2
1,2023년 ‘북 미사일’ 감시할 통제기는,2020.08.15,2
2,‘김정은의 레이더’ 파괴할 전자전기 개발 착수,2020.07.25,2
3,차세대 기동헬기 ‘수리온 도입 VS UH-60 개량’,2020.07.08,2
4,"김태년 국회판 목요대화 ‘허심탄회’ 연다…""첫 임무는 경제""",2020.06.25,2
5,[양낙규의 Defense Club]감시·정찰전력 개발 줄줄이 지연,2020.06.10,2
6,"강경화 장관, 日 모테기 외무상에 서한…""백혈병 어린이 귀국 협조 사의""",2020.05.08,2
7,"한-체코 외교장관 통화…"" 코로나19 예방접종·치료제 개발 국제협력 필요""",2020.05.04,2
8,"터키에 두번째 임시항공편, 재외국민 120명 귀국길…터키 내 코로나19 확진자 11만명",2020.05.01,2
9,143개 기업 필수인력 340명 베트남 '특별입국'…중소·중견기업 비중 82% (상보),2020.04.28,2
10,"'코로나19 팬데믹' 정부, 전 세계 '특별여행주의보' 한달 연장",2020.04.21,2
11,"'코로나19' 재외국민 귀국길, 한·일 협력 사례 잇달아",2020.04.15,2
12,'진단키트' 코로나19 위기에 외교 촉매 역할 톡톡,2020.04.14,2
13,인도 뉴델리 재외국민 220여명 특별기로 귀국…2차 특별기 운항 추진,2020.04.06,2
14,"외교부 ""화물기→여객기 '허가 변경', 러시아 재외국민 귀국 지원 추진""",2020.04.02,2
15,"이탈리아 투입, 2차 정부 전세기 귀국길…재외국민 등 514명 이송 작전 마무리",2020.04.02,2
16,[양낙규의 Defense Club]한미정찰기 동시 한반도 비행,2020.04.01,2
17,올해 항공기사업 관전포인트 (2)- 우리 군도 전자전기 도입하나,2020.03.21,2
18,"""귀국 희망 필리핀 재외국민 1200여명""…대형 항공기 투입·증편 등 방안 강구",2020.03.18,2
19,"세계 곳곳 봉쇄 조치, 재외국민 철수 잇따르나",2020.03.18,2
20,"외교부, 전세계에 여행경보 '1단계 여행유의' 발령 검토(종합)",2020.03.17,2
21,"외교부, 전세계에 여행경보 '1단계 여행유의' 발령 검토",2020.03.17,2
22,"정부, '코로나19 확산' 이란서 교민·주재원 철수 방안 추진",2020.03.08,2
23,"'격리 한국인 지원' 외교부, 3개팀·12명 신속대응팀 베트남에 파견한다",2020.03.04,2
24,"채이배 ""대한항공, 최근까지 항공기 리베이트 관행 지속""",2020.03.04,2
25,"격리된 국민 지원, 외교부 신속대응팀 파견 검토…중국·베트남 등에 1200여명 격리",2020.03.03,2
26,미국 가려면 출발 전 '의료 검사' 받는다…입국제한은 87개국으로 늘어,2020.03.03,2
27,"정부, 출국 前 미국행 항공기 탑승자 '증상 확인' 강화한다…베트남 대사는 초치해 항의",2020.03.01,2
28,"입국금지·격리 이어 주요 공항 착륙 막은 베트남…韓정부, 엄중 항의 무색",2020.02.29,2
29,"이스라엘서 발묶인 韓관광객 400여명 1,2차 전세기로 귀국길…1차 전세기 밤 11시 출발",2020.02.24,2
30,"외교부, 이스라엘에 유감 표명…사전 협의 없이 한국인 입국 금지",2020.02.23,2
31,"中우한에 화물기 투입, 지자체·기업·민간단체 구호물품 수송",2020.02.19,2
32,日크루즈 한국인 등 5명 구출…대통령 전용기 오늘 뜬다(종합),2020.02.18,2
33,[양낙규의 Defense Club]일본에 대통령 전용기 첫 투입,2020.02.18,2
34,교민·가족 170명 태울 '3차 전세기' 인천 출발…12일 오전 김포 도착 예정,2020.02.11,2
35,170여명 태울 '3차 전세기' 오늘 인천 출발…중국인 가족까지 태워온다,2020.02.11,2
36,"귀국 우한 교민 701명, 외교부 ""추가 귀국 희망 교민 없어""…'발열' 격리 교민도 입국(종합2보)",2020.02.01,2
37,[양낙규의 Defence Club]한중일 지금 무인헬기 개발戰,2020.02.01,2
38,"우한 교민 태운 '2차 전세기', 中 우한 출발…오전 8시 김포공항 도착 예정",2020.02.01,2
39,우한 교민 태울 2차 전세기 김포공항 출발…1일 새벽 도착 예정,2020.01.31,2
40,"외교부 ""중국측과 2차 전세기 운항 협의""",2020.01.31,2
41,"새보수당 ""우한폐렴 '가짜뉴스' 진원지는 정부""",2020.01.31,2
42,"외교부 ""교민 367명 태운 전세기, 중국 우한공항서 출발""",2020.01.31,2
43,"우한 교민 태울 전세기 출발 지연, 1대로 수송…외교부 ""오늘 저녁 출발, 중국측과 협의 총력""(종합)",2020.01.30,2
44,"우한 교민 태울 전세기 출발 지연, 정부 ""저녁 출발 목표, 협의 총력""(상보)",2020.01.30,2
45,"한국당 ""중국 관광객 입국 금지해야"" 민주당 ""정치적 행위 자제""",2020.01.30,2
46,"정부, 中 우한에 대한항공 전세기 4편 투입…""귀국 희망 국민 700여명""",2020.01.28,2
47,"'땅콩 회항' 박창진, 총선 출마 선언 ""노동자 방패막이 되겠다""",2020.01.22,2
48,[양낙규의 Defence Club]서북도서 무인기사업 10년째 ‘진행 중’,2020.01.20,2
49,[양낙규의 Defence Club]F-35 부품정비 수주 가능성은,2020.01.18,2
50,애물단지된 대통령전용기 ‘공군 2호기’ [양낙규의 Defence Club],2020.01.18,2
51,[포토]새해 인천공항 화물터미널 찾은 성윤모 장관,2020.01.01,2
52,"日료칸 주인 ""28년 동안 이런 한일 관계 처음""…가고시마현은 한인 관광객 65% 급감",2019.12.26,2
53,[양낙규의 Defence Club]업그레이드 된 우리 군의 정찰능력은,2019.12.23,2
54,"테러지원국 북한, '테러로부터 안전한 곳' 평가 받아",2019.11.27,2
55,"日 G20 외교장관회의, 韓참석자 여전히 미정…지소미아 촉각",2019.11.22,2
56,"北 ""북미대화의 문 좁아지고 있다"" 테러지원국 재지정 반발",2019.11.05,2
57,"'버닝썬' 김상교 ""진보단체 인사, '제2국정농단' 만들자고 제안""",2019.10.25,2
58,"[2019 국감] ""年100억 이상…출국납부금, 항공사만 배불린다""",2019.10.03,2
59,"韓관광객 감소에 급해진 日 각료들 ""국민·인적 교류 필요""(종합)",2019.08.22,2
60,"日, 韓관광객 감소에 '신음'…외무상 ""국민 교류 적극적으로 해야""",2019.08.22,2
61,"채이배, ‘물컵 갑질’ 조현민 복귀에…한진그룹 방지법 촉구",2019.06.11,2
