,Title,Date,Category
0,동아에스티 산업부 장관상 수상,2015.12.04,2
1,동아에스티 항암제 신약 개발에 ‘올인’,2018.05.29,3
2,"""제약기업 지금이 기회다""…동아쏘시오홀딩스 2017 하반기 리더십 특강",2017.11.14,3
3,"직접보고 '느끼자', 동아쏘시오홀딩스 연구소 '견학프로그램' 진행",2017.08.03,3
4,"공정위-소비자원, CCM 인증 13개 기업 수여식",2017.06.30,3
5,"동아쏘시오홀딩스, 인재양성의 산실 인재개발원",2017.06.27,3
6,"동아ST, '오픈이노베이션'으로 미래 먹거리 발굴",2017.04.15,3
7,"동아에스티, 영업익 148억원…전년비 73%↓",2017.02.23,3
8,트럼프 탠트럼에 증시 출렁…낙폭과대株 속 '알짜진주' 찾아라,2016.11.24,3
9,"한국무역협회, 창립 70주년 기념행사 개최",2016.07.17,3
10,중국서 역대 최대 한류상품박람회…위너·엑소 등 한류스타도 지원,2016.05.11,3
11,"동아ST, 당뇨병치료제 '슈가논 정' 신약개발상 대상 수상",2016.02.23,3
12,"고령화사회, 男건강 들여다보니…전립선치료제 시장 비대해져",2016.02.21,3
13,"세뱃돈, 여기에 묻어株…증권사들 '강추, 이 종목'",2016.02.05,3
14,"국민연금, 지난해 제약·바이오주 집중 투자",2016.01.22,3
15,"[신년사]민장성 동아오츠카 대표, '능동적 자세·창의적 사고' 강조",2016.01.05,3
16,"강신호 동아쏘시오그룹 회장 ""매출 50% 이상을 해외에서""",2016.01.04,3
17,상장 제약사 시가총액 12% 감소…8조1666억원 규모,2015.12.16,3
18,또 고개 든 삼성 지주사 전환說,2015.11.12,3
19,[11월 10일]아시아경제 뉴스브리핑,2015.11.10,3
20,"동아ST, 상반기 영업익 436억원…전년比 44%↑",2020.07.29,4
21,"동아에스티, 2년 연속 부패방지경영시스템 '적합'",2020.06.29,4
22,"동아ST, 의료지원재단과 저소득 암환자 약제비 지원 업무협약",2020.06.22,4
23,"한종현 동아쏘시오 사장 ""정도 지키기 위해 노력해야""",2020.01.02,4
24,"한경연, 20년 이상 무분규 기업의 공통점은 '신뢰·소통·상생'",2019.12.18,4
25,"동아쏘시오그룹, 가마솥 정신 담은 '장수 사회공헌'",2019.11.29,4
26,"""대기업 제약사도 기술수출 세제지원해야""..제약바이오 R&D 활성화방안 찾는다",2019.11.07,4
27,"동아에스티, 3Q 영업이익 215억원…전년比 163.4%↑",2019.10.30,4
28,"동아쏘시오그룹, 벽화 그리기 봉사활동 실시",2019.10.11,4
29,"동아에스티, 미세 관절내시경 '트로이' 출시",2019.09.25,4
30,"동아에스티, 기술수출한 빈혈 바이오시밀러 日 허가",2019.09.23,4
