,Title,Date,Category
0,"진중권 ""與 회생 가망 없고, 野 차기 안보여""",2020.08.31,2
1,"안철수·진중권 '철권토크' 3탄, 친문 비판…""대통령 눈도장만 받으려 해""",2020.08.30,2
2,"차명진 ""진중권, 무식해"" vs 진중권 ""철 좀 들어라"" 온라인 설전 이어져",2020.08.27,2
3,"진중권 ""홍준표·차명진·민경욱, 전광훈·주옥순과 새 당 만들어라""",2020.08.27,2
4,"홍준표, 진중권 겨냥해 ""관종병 환자…사람이 개를 물 수도 없고 난처해""",2020.08.27,2
5,"진중권 ""'조국흑서' 출간해보니 3억 필요 없어…말이 되는 소릴 해라""",2020.08.27,2
6,"차명진 ""진중권 가볍고 무식해, 독자들은 더 무식"" 맹비난",2020.08.26,2
7,"[종합]""잘못된 집회 허가"" 정부·여당 연일 '법원 때리기' 통합당 ""사법부 독립 침해 우려""",2020.08.26,2
8,"진중권 ""박근혜가 왜 세월호 침몰시키나"" 배현진 ""조국 덕에 우동사리 회복했나""",2020.08.25,2
9,"진중권 ""'박형순 금지법' 남이 하면 사법농단, 내가 하면 사법개혁인가""",2020.08.24,2
10,박원순 與 대응에…安 “말과 행동 달라” 진중권 “운동권 평등은 출세 위한 상징자본”,2020.08.23,2
11,"하태경에 원희룡도 ""극우 손절""…통합당, 완전한 이별 가능할까",2020.08.21,2
12,"""민주당에게는 성추행이 문화"" 진중권, 성추행 외교관 옹호 발언 송영길 비판",2020.08.20,2
13,"'이해찬 전기 만화' 출간 소식에 진중권 ""위인인가? 해괴하다""",2020.08.19,2
14,"설훈 ""與 문화가 조폭? …안철수·진중권 더 조폭 같아""",2020.08.18,2
15,"진중권 ""다 망한 정권, 정은경 혼자 지탱 중""",2020.08.18,2
16,"설훈 ""통합당이 광복절 집회 독려…대국민 사과문내야""",2020.08.18,2
17,"안철수 ""文정부, 불어난 나랏빚 다음 세대로 떠넘겨…패륜적""",2020.08.18,2
18,"""조폭 문화"", ""유사 파시즘"" 안철수·진중권, 文 정부에 성토 목소리",2020.08.17,2
19,"안철수 ""정부·여당, 조폭 문화 생각나…노무현 버전2 아냐""",2020.08.17,2
20,"진중권 ""광복절 집회? 정치도 종교도 아닌 그냥 광기""",2020.08.14,2
21,"진중권 ""추미애, 정권 망치는 인물 1위""…'추미애 탄핵' 靑 청원 20만 돌파",2020.08.14,2
22,지지율 '빨간불'에 당권주자들 “정신 바짝 차려야” 쓴소리,2020.08.14,2
23,"진중권 ""민주당, '기풍쇄신' 불가능…쇄신 주체 없다""",2020.08.14,2
24,"""文정부서 권력형 비리 사라져"" 靑 떠나는 윤도한에…진중권 ""어이가 없네""",2020.08.13,2
25,"진중권 ""민주당 지지도 하락? 피드백 시스템 망가졌다""",2020.08.13,2
26,"진중권 ""통합당, 친박·친이 못 버리면 말짱 도루묵""",2020.08.12,2
27,"진중권 ""강남 집값 계속 오른다는 진단"" 靑 떠난 김조원 비판",2020.08.11,2
28,"진중권 ""공수처에 목숨 거는 이유 모르겠다""",2020.08.10,2
29,"野 ""4대강 없었으면 어쩔 뻔"" vs 與 ""어처구니 없다""",2020.08.10,2
30,"진중권 ""대통령 얘기…부들부들"" vs 이원욱·신동근 ""오로지 적개심…통탄하고 애석""",2020.08.10,2
31,"[종합]조국 ""울산사건 검찰수사 대통령 탄핵 위한 밑자락"" 진중권 ""완전히 실성했다""",2020.08.10,2
32,"[종합] 진중권 ""文에게 세 번 뜨악"" 신동근 ""오로지 조국 악감정""",2020.08.09,2
33,"신동근 ""진중권, 친구 '꾸기'에 대한 적개심뿐…세상 제대로 보일리 없다""",2020.08.09,2
34,"이원욱, 진중권에 ""뇌가 없는데 어떻게 말해…생각없이 지껄여"" 일침",2020.08.09,2
35,"진중권 ""추미애, 고작 강요미수에 수사지휘권 발동…책임지고 옷 벗어야""",2020.08.07,2
36,"류호정 원피스가 불러온 홍준표 꽃셔츠…진중권 ""이 정도는 돼야 얘기거리""",2020.08.06,2
37,"김웅 ""국회는 '작업복' 필요한곳…정장입었다고 정치 잘했나""",2020.08.06,2
38,"김두관 ""윤석열 해임해야""…진중권 ""적반하장으로 덤벼드네""",2020.08.06,2
39,"""성추행은 민주당 전통문화"" 진중권, 류호정 성희롱한 與 지지자 비판",2020.08.06,2
