,Title,Date,Category
0,,,2.0
1,다음달로 넘어간 두산重 정상화 방안…매각대상 놓고 이견,2020.05.27,3.0
2,"인프라코어·밥캣 분리 여부, 두산重 자구안 핵심될 듯",2020.03.31,3.0
3,"산업은행 ""두산중공업, 정책적 자금지원 결정 불가피""(종합)",2020.03.27,3.0
4,"산업은행 ""두산중공업, 정책적 자금지원 결정 불가피""",2020.03.27,3.0
5,"자금난 두산重 1조 긴급 수혈…채권은행 ""그룹 고강도 자구책 필요""",2020.03.27,3.0
6,"S&P, 두산밥캣 신용등급 'BB-' → 'BB' 상향조정",2019.08.09,3.0
7,농기계도 '자율주행' 시대…국내 1위 대동공업 가보니,2019.02.26,3.0
8,감사위원 분리 선출 시 대기업 3곳 중 1곳 해외 기관투자가 영향권,2017.03.29,3.0
9,반전 노리는 IPO시장,2017.01.25,3.0
10,"[신년사]유상호 한국투자증권 사장 ""올해 금융투자업계 경쟁 가속화 불가피""",2017.01.02,3.0
11,"두산밥캣, 벨기에 법인이 체코 법인에 사업권 양도 결정",2016.12.16,3.0
12,"상반기 회사채 위축, IPO 5년래 최대…대신證, IPO 1위",2016.07.01,3.0
13,"""대어 낚자"" 공모주펀드 들썩",2016.04.06,3.0
14,"[재계, 4세 리더십 개막]'두산 새 수장' 박정원 회장의 결정적 순간들",2016.03.03,3.0
15,"미국 주택시장 회복…두산밥캣, 3분기 실적에서 웃나",2020.08.29,4.0
16,"소형 굴착기 중국 생산…두산인프라코어그룹, 점유율 확장에 '단비'",2020.08.08,4.0
17,"두산밥캣, 中 소형 굴착기 시장 공략 본격화…현지서 직접 생산",2020.08.05,4.0
18,"두산인프라코어, 2분기 영업이익 1543억원…전년比 48.1%↓",2020.07.24,4.0
19,"두산밥캣,'코로나 직격탄' 2분기 영업이익 643억원…전년比 59.1%↓",2020.07.24,4.0
20,"두산중공업, CFO에 박상현 두산밥캣 부사장 선임…최형희 CFO는 사임",2020.07.22,4.0
21,"두산인프라코어, 중국서 굴착기 판매량 껑충…2분기 실적 방어에 단비",2020.07.17,4.0
22,'구조조정 모범생' 두산…연내 2조원 마련 가능성,2020.07.10,4.0
23,친환경 에너지 외 정리?‥채권단 압박에 속타는 두산,2020.06.23,4.0
24,"‘구조조정 우등생’ 두산, 이번에도 별명 지키나",2020.06.20,4.0
25,"두산밥캣, 북미서 콤팩트 트랙터 1400대 판매…'시장 조기 안착'",2020.06.18,4.0
26,"두산, 저조한 계열사 매각 흥행에 인프라코어·건설 매각 추진",2020.06.16,4.0
27,"[포스트코로나전략]두산그룹, 협동로봇·휴대폰 원격 장비 개발",2020.06.15,4.0
28,"두산, '경영정상화' 매각 절차 고군분투… 결과는 아직 ‘깜깜'",2020.06.07,4.0
29,"두산중공업, 올해 1분기 영업이익 565억원…전년比 82%↓",2020.05.15,4.0
30,"두산중공업, 이르면 21일 유휴인력 휴업…""명예퇴직 결과 보고 결정할 것""",2020.05.15,4.0
31,"㈜두산, 1분기 영업익 909억원…전년比 74.4%↓(종합)",2020.05.14,4.0
32,두산 '3조 자구안' 돌입…자산매각 1호 '두타',2020.05.12,4.0
33,"두산인프라코어, 1분기 영업이익 1810억원…코로나로 전년比 27.6%↓",2020.04.29,4.0
34,중공업-인프라-밥캣 '뼈대' 지켜낸 두산…자구안 이행 속도 관건,2020.04.28,4.0
35,"두산, 솔루스 매각 방안 급부상",2020.04.08,4.0
36,임원급여 삭감에 채권단 파견…두산重 구조조정 본격화,2020.04.04,4.0
37,"두산밥캣, 美 일부 공장 가동중단…""코로나19 확산 방지 차원""",2020.04.02,4.0
38,"두산重 급한 불 껐지만, '연내상환 4兆 부채' 자구책 절실",2020.03.27,4.0
39,"주요건설기계업체, 코로나19사태에 美'콘엑스포' 국내 임직원 참가 최소화",2020.03.10,4.0
40,"'효자 계열사' 두산밥캣, 올해도 신제품·신모델로 해외시장 공략 집중",2020.02.16,4.0
41,두산밥캣 원격조종 기술 '맥스 컨트롤' 북미 전문지 최고혁신제품상,2020.01.29,4.0
42,"'우한 리스크' 커진 韓기업, 직원 귀국·출장 금지…中사업 차질 우려(종합)",2020.01.28,4.0
43,"'우한 리스크' 커진 韓기업, 직원 귀국·출장 금지…中사업 차질 우려",2020.01.28,4.0
44,車·통신·중공업까지…CES 총출동하는 CEO,2019.12.20,4.0
45,[인사] 두산그룹,2019.12.19,4.0
46,"두산, CES 첫 참가…""두산이 지향하는 미래 선보일 것""",2019.12.19,4.0
47,"두산인프라코어 신형 휠로더, '핀업 디자인' 최고상 수상",2019.12.18,4.0
48,"두산그룹, 전방 군부대에 '사랑의 차(茶)' 전달",2019.12.17,4.0
49,"두산밥캣, 북미사업 강화…농업·조경장비 시장 진출",2019.12.07,4.0
50,"두산밥캣, 8200만달러 규모 북미 조경장비 사업 인수",2019.12.03,4.0
51,"두산밥캣, 장기차입금 이자율 하향 조정…연간 170만달러 절감",2019.12.01,4.0
52,"두산밥캣, 美 미네소타에 '글로벌 협업센터' 설립",2019.11.17,4.0
53,"두산인프라코어, 3Q 영업익 19.3%↓…신흥시장 침체 원인",2019.10.30,4.0
54,"두산밥캣, 3Q 영업익 1104억…전년比 6.9%↑(1보)",2019.10.30,4.0
55,"두산밥캣, 체코에 신사옥 개소...유럽·중동시장 강화",2019.10.13,4.0
56,"두산밥캣, 소형건설장비 이어 트랙터 시장 연착륙할까",2019.10.12,4.0
57,"두산인프라코어, 칠레 건설기계 전시회 참가…남미시장 확대",2019.10.01,4.0
58,"두산밥캣, 브랜드 상징 '흰색' 사용하는 이유",2019.09.12,4.0
59,"두산밥캣, 북미 '콤팩트 트랙터' 농기계 시장 진출",2019.09.10,4.0
60,"기계업계, 해외사업 강화…新시장 개척 집중",2019.08.31,4.0
61,"두산밥캣, 인도 생산공장 준공…중동·동남아 진출 잰걸음",2019.08.29,4.0
62,"박지원 두산그룹 부회장 ""제품·기술 근원적 경쟁력 확보 우선""",2019.08.22,4.0
63,"두산그룹 총수일가, 상반기 연봉 1위는?",2019.08.15,4.0
64,"두산밥캣, 재무구조 강화…차입금 1억 달러 조기 상환",2019.08.03,4.0
65,"두산밥캣, 차입금 1억 달러 조기 상환",2019.08.02,4.0
66,"3년차 박정원 회장의 성과…두산, 2분기 실적 양호",2019.07.26,4.0
67,"두산, 전 계열사 고른 성장…2분기 영업익 전년比 4.2%↑",2019.07.25,4.0
68,"두산, 10년째 '디 오픈 챔피언십' 후원…디지털 전환 소개",2019.07.17,4.0
69,"두산, 'MLB 올스타 위크'에서 브랜드 알린다",2019.07.04,4.0
70,"두산밥캣, 차입금 1억5000만달러 조기상환…재무 건전성↑",2019.06.20,4.0
71,"두산밥캣, 올해 배당 1200원 지급",2019.06.03,4.0
72,"두산밥캣 ""5년 내 동남아서 소형굴착기 年1000대 판매목표""",2019.05.12,4.0
73,"㈜두산, 1분기 영업이익 3548억원…""자회사 실적호조 덕분""",2019.04.25,4.0
74,"두산重, 2019년 1분기 영업익 3223억원…""자회사 실적 호조""",2019.04.25,4.0
75,"두산, 獨서 5G로 8500km 떨어진 굴삭기 조종",2019.04.09,4.0
76,"두산, '하노버 메세 2019' 참관…""미래 먹거리 발굴 박차""",2019.04.04,4.0
77,"박정원 두산 회장, 취임 3년…과제는?",2019.03.31,4.0
78,"두산, 獨 최대 건설장비전서 신제품 출시‥""유럽시장 선점""",2019.03.28,4.0
79,"두산, 美 MLB 3년째 후원…""북미 시장 입지 강화""",2019.03.28,4.0
80,"현대건설기계, 제품군·유통망 확대 ""북미 시장 공략 수위 높인다""",2019.03.21,4.0
81,"두산, 지게차·굴삭기 독일 'iF 디자인상' 수상",2019.03.14,4.0
82,"두산밥캣, 북미 딜러 미팅…""발상의 전환으로 시장 주도해야""",2019.03.03,4.0
83,농기계도 '자율주행' 시대…국내 1위 대동공업 가보니,2019.02.26,4.0
84,"두산, 獨 최대 건설장비전시회 참가…""유럽 시장 점유율 높인다""",2019.02.19,4.0
85,"두산건설기계, 북미시장서 유지관리 비용 최우수제품으로 선정",2019.02.17,4.0
86,"두산, 2년 연속 영업익 1조원 달성…""두산인프라코어 실적 덕분""",2019.02.13,4.0
87,"두산인프라코어, 지난해 영업이익 8481억원…사상 최대",2019.02.12,4.0
88,"두산밥캣, 인도서 콘퍼런스 개최…인도 시장 공략 확대",2019.01.27,4.0
89,"박지원 두산 부회장, 'CES 2019' 참관…""신사업기회 모색""",2019.01.06,4.0
90,[인사]두산그룹,2018.12.24,4.0
91,"김명우 두산重 사장 사임…""두산, 지혜와 뚝심으로 위기 극복할 것""",2018.12.11,4.0
92,"두산그룹, 전방 부대에 '사랑의 차(茶)' 전달",2018.12.05,4.0
93,두산인프라 中건설기계 전시회 참가…880km 떨어진 인천 굴삭기 원격조종 시연,2018.11.25,4.0
94,건설기계업계 3Q 실적 희비…두산 '웃음' 현대 '울상',2018.11.04,4.0
95,"중후장대 실적 희비…철강·기계 웃고, 조선 울고",2018.11.01,4.0
96,"두산, 2년 연속 영업익 '1조 클럽'…3분기 누적 1조503억원",2018.10.31,4.0
97,"두산인프라코어, 3분기 누계 영업익 7061억원…사상 최대",2018.10.30,4.0
98,"두산밥캣, 美성장 힘입어 3Q 영업익 1229억원…전년比 45.4%↑",2018.10.30,4.0
99,"두산밥캣, 美스타트업과 파트너십…IoT 기술 적용",2018.10.26,4.0
100,"두산인프라코어, 실적개선에 회사채 흥행…경쟁률 5.63:1",2018.10.24,4.0
101,[인사] 두산밥캣,2018.10.15,4.0
102,"두산그룹, 인도네시아 지진피해 복구에 100만달러 상당 장비지원",2018.10.15,4.0
103,"두산밥캣, 독일에 건설기계 부품공급센터 오픈",2018.10.11,4.0
104,"두산, 美메이저리그 NLDS 공식 후원",2018.10.03,4.0
105,"두산밥캣 미니 굴삭기, 업계 최초 美 디자인공모전 IDEA 본선 입상",2018.09.20,4.0
106,"두산건설기계, 북미시장에서 '올해의 우수신제품' 선정",2018.09.16,4.0
107,"두산인프라, 독일 엔진 부품공급센터 열어…한국·미국 이어 세번째",2018.08.30,4.0
108,'두산테크포럼 2018' 개막…임직원 1천여명 참석 '기술 교류의 장',2018.08.23,4.0
109,"'알짜 자회사 덕' 두산, 2Q 영업익 4383억원…전년比 14% 증가(상보)",2018.07.26,4.0
110,'미운오리서 백조로' 두산 호실적 이끄는 쌍두마차,2018.07.26,4.0
111,"두산인프라코어, 中굴착기 판매호조에 2분기 영업익 27%↑",2018.07.25,4.0
112,"두산밥캣, 2분기 영업익 1389억원…전년比 10.8%↑",2018.07.25,4.0
113,"두산밥캣, '콤팩트 트랙터' 개발로 美 농기계 시장 본격 진출",2018.07.25,4.0
114,"'재무 개선' 두산밥캣, 차입금 1.5억弗 조기 상환…올 들어 두번째",2018.07.24,4.0
115,"두산인프라코어, 소형엔진 시동거는 中",2018.06.22,4.0
116,"건설기계업계 ""인도시장 공략 가속화""",2018.06.10,4.0
117,두산밥캣 주주친화정책 강화 '분기배당 도입',2018.06.07,4.0
118,"두산밥캣, 인도 백호로더 공장 개소…""5년 내 인도시장 3위 목표""",2018.06.05,4.0
119,"두산밥캣, 차입금 1억달러 조기상환",2018.05.15,4.0
