,Title,Date,Category
0,'수출 1호' UAE 원전 가동…다음은 체코,2020.08.04,2
1,"文대통령 ""해상풍력 연구발전, 두산중공업에 특별히 감사"" (종합)",2020.07.17,2
2,文대통령 그린뉴딜 첫 발걸음…전북 해상풍력 단지,2020.07.17,2
3,더디지만 '한국發 입국제한' 완화…네덜란드 등 9개국 해제,2020.07.04,2
4,"외교부, 중동 진출 기업 대상 '코로나19' 방역대책·지원방안 논의",2020.06.02,2
5,"[속보] 정부, 관계장관회의…두산중공업 경영정상화 진행상황 논의",2020.05.29,2
6,"文대통령 ""특수고용노동자 내년 고용보험 시행하도록 노력""",2020.05.28,2
7,"주호영, 文대통령 '코로나 조치' 요청에 ""靑-與, 협치준비 돼있나""…MB·朴 사면 얘긴 안 해",2020.05.28,2
8,창원·당진·삼척 등에 '디지털그린 특구' 제안…GS는 '풍력 주주 운동',2020.05.19,2
9,"미래통합당 ""신한울 3·4호기 건설 재개…원자력 이용해 전기요금 인상 막을 것""",2020.04.12,2
10,"심재철 ""정부, 하루 속히 마스크 정책 바꿔야…특별공급방식 촉구""",2020.03.27,2
11,"통합당 ""文정권 '탈원전'에 대기업이 나락으로…GM대우 이후 첫 사례""",2020.03.12,2
12,"통합당 ""두산중공업 구조조정…文 탈원전 재앙의 서막""",2020.02.19,2
13,"한수원, 폴란드 신규원전 수주활동 본격 추진",2019.12.06,2
14,"한수원, 두산重과 풍력사업 공동개발 업무협약 체결",2019.12.04,2
15,"[文정부 반환점]이미지 바꿀 인재수혈·현역물갈이…與野, 인물전쟁",2019.11.08,2
16,박찬주 영입 보류…상처 난 한국당 인적쇄신,2019.10.31,2
17,"황교안, 내일 첫 인재영입 발표…박찬주·이진숙 등 포함될 듯",2019.10.30,2
18,[2019 국감]신한울 3·4호기 중단 시 두산重 공장가동률 10% 미만으로 뚝,2019.10.19,2
19,"[2019 국감]김삼화 의원 ""정부·발전사가 외면하면 국내 기술 사장될 우려 커""",2019.10.14,2
20,"[2019 국감]김성환 의원 ""무보, 부정의한 석탄대출 앞장…석탄금융 중단 선언해야""",2019.10.10,2
21,"산자위, '조국 펀드' 관련 익성·웰스씨앤티 대표 증인 채택",2019.09.24,2
22,美 인증받은 한국형 원전…한국기술 설계력 '원더풀',2019.09.24,2
23,"두산重 한울1,2호기 원자력전용품목 전범기업에 발주",2019.09.24,2
24,"한수원, 'APR1400 원전' 美 원자력규제위원회 설계인증 취득",2019.08.27,2
25,원전 후행주기 분야 육성 본격시동 추진…정부지원 의지 강조,2019.07.24,2
26,"사우디아라비아 원전 수주, 지원나선 文",2019.06.25,2
27,"韓, 'UAE 원전' 장기정비계약 체결 …계약기간 5년·향후 연장 가능",2019.06.24,2
28,"한수원, 카자흐스탄 新 원전사업 참여 제안서 제출…중앙아시아 진출 신호탄",2019.05.30,2
29,"중부발전, 중진공 전북서부지부 등과 상생 공동 업무협약 체결",2019.05.14,2
30,"지역난방公, 두산重과 '전기흡착식 탈염화 기술 실증' 협정 체결",2019.05.09,2
31,"한수원, 협력회사 대상 품질교육 시행",2019.04.25,2
32,"한전기술, 원전 기기공급업체 기기검증 역량강화 지원",2019.04.25,2
33,[프로필] 여영국 창원성산 국회의원 당선자…노회찬의 길을 따르다,2019.04.04,2
34,"한수원, '원자력 유관기관 소통·상생 간담회' 개최",2019.03.21,2
35,"광주 잊은 黃, 4·3 보궐선거 앞두고 또 창원行",2019.03.11,2
36,"산업부, 원전해체산업 육성전략 마련 본격착수",2018.12.27,2
37,"韓 혁신성장의 열쇠, '산업지능' 구현 방안 모색",2018.12.07,2
38,"체코 총리 만난 문 대통령 '원전 세일즈'…""40년 무사고""",2018.11.29,2
39,"성윤모 장관, 원전산업계 지원 및 소통 강화…'원전기업지원센터' 개소식",2018.11.22,2
40,"중부발전, 해외동반진출 'K-장보고 프로젝트' 추진 동력 가동",2018.11.19,2
41,"중부발전, '1000㎿급 석탄화력 기술교류회' 개최",2018.11.02,2
42,"남동발전, 태안군과 신재생에너지 사업개발 업무협약",2018.10.27,2
43,"신남방특위, 아세안 진출 기업과 간담회…""기업 목소리 정책에 반영""",2018.10.04,2
44,"문 대통령, UAE 왕세제와 바라카 원전 찾아...중동 원전시장 진출 발판",2018.03.26,2
45,"문 대통령 ""추경 편성해 '일자리 만들기' 최선 다할 것""",2018.03.23,2
46,'3조5000억대' LNG탱크 담합 건설사·임직원…전원 '벌금형',2017.11.14,2
47,"신고리 5,6호기, 문재인 정부 '막대한 손실 전망'...국무회의 '어떨까'",2017.10.20,2
48,"이낙연 또 '노련한 응수'…""원전부지매입 노무현"" ""구체적인건 이명박""",2017.09.13,2
49,"3조5000억대 LNG탱크 담합 건설사들, 첫 재판서 '공소사실 인정'",2017.09.05,2
50,"[文-기업인 만남 첫날]재계, '일자리 창출·상생협력' 한목소리",2017.07.27,2
51,[文-재계 만남 첫날]'화기애애·아슬아슬'…할말 하고 경청했다(종합),2017.07.27,2
52,"중부발전, 건설사와 동반성장 업무협약 체결",2017.05.25,2
53,"정부, 이란과 경제발전 경험 공유사업 MOU 체결",2017.01.19,2
54,"박광온 ""대기업 총수 일가 미성년 친족 주식 1019억원 보유""",2016.11.14,2
55,'최순실 게이트'…세법개정 논의 개점휴업,2016.11.13,2
56,[포토]답변하는 정지택 두산중공업 부회장,2016.10.18,2
57,[포토]해명하는 정지택 두산중공업 부회장,2016.10.18,2
58,[포토]답변하는 정지택 두산중공업 부회장,2016.10.18,2
59,[포토]증인선서하는 권영수 LG유플러스 부회장,2016.10.18,2
60,"정무위, 기업인들 '모르쇠' 답변에…野 ""증인 재협상"" 발끈",2016.10.11,2
61,[포토]국정감사에 불려나온 기업인들,2016.10.11,2
62,[포토]국감장에 불려온 기업인들,2016.10.11,2
63,정무위 국감 '기업인 총출동'…미르·K재단 의혹 제기도 계속,2016.10.11,2
64,"정무위, 권영수 LGU+ 부회장 등 9명 증인 추가채택…'공정위 국감 11일'",2016.10.04,2
65,"""대·중소기업 힘 합쳐야 과학기술 프로젝트 성공 가능""",2016.08.10,2
66,"신한울 1,2호기 원자로냉각펌프 등 핵심설비 국산화",2016.07.12,2
67,[격전지-⑫경남 창원성산]강기윤 '재선'vs노회찬 '재기'…야권 단일화 변수,2016.03.02,2
68,이란 합작투자 늘린다…패키지 진출도 지원,2016.02.12,2
69,"중앙부처 김 과장, 휴직하고 삼성으로 출근하는 까닭",2015.11.18,2
70,"한국경제 빨간불…신용등급 강등 기업, 외환위기 이후 최대",2015.11.08,2
