,Title,Date,Category
0,"하태경 ""민노총 9곳·한노총 3곳, 사업장 단협에 '고용세습' 조항 유지""",2018.10.24,2
1,'비상경영' 롯데 인사 3大 키워드는…'50대·원톱·글로벌',2019.12.19,3
2,[인사]롯데그룹 정기 임원인사,2019.12.19,3
3,"""좋은 기업이라는 '공감' 얻어내려면""…롯데, 2019 마케팅 포럼",2019.11.28,3
4,"전국 소방관과 함께 가는 친구, 롯데! 월트디즈니 <데케이드 인 콘서트>에 소방관 가족 초청해",2019.11.27,3
5,태양광 보급 확대에만 매달리는 정부…쓰러지는 제조업체들,2019.05.30,3
6,"롯데, '화재 피해' 울산 농수산물시장 상인 지원에 2억원 기탁",2019.01.28,3
7,[프로필]오성엽 롯데지주 커뮤니케이션실장,2018.12.19,3
8,"지주사 '롯데', 브랜드 로열티 연간 천억 웃돌아…LG·SK 이어 세번째 전망(종합)",2017.10.11,3
9,"롯데지주, '이름값' 받는다…브랜드 사용로 50억원 이상 내는 계열사만 16곳",2017.10.11,3
10,[굿모닝 증시]지수 추가하락 제한적… 조정 때 '비중확대' 고려,2017.04.20,3
11,"[포토]롯데, 소래포구 재래 어시장 화재 복구 성금 2억원 전달",2017.03.24,3
12,"롯데, 소래포구 재래 어시장 화재 복구 성금 2억원 전달",2017.03.24,3
13,30대 그룹 관료 출신 사외이사 비중 절반 가까이 달해,2017.03.22,3
14,[베일벗은 뉴롯데]이재혁·이원준 부회장 '파격' 승진…여성임원 5명 나왔다(종합),2017.02.22,3
15,"롯데, 1만5000포기 김장 나눔 행사 진행",2016.12.15,3
16,상장사 2분기 성적표…뿌린대로 거두었다,2016.07.27,3
17,롯데정밀화학 2분기 영업이익 339억원…전년비 35.1%↓,2020.07.29,4
18,"롯데케미칼, 쇼와덴코 지분 장내 인수 왜?",2020.05.22,4
19,"롯데정밀화학, 정경문 대표 신규 선임",2019.12.19,4
20,"롯데정밀화학, 3분기 영업익 514억…전년比 5.1% ↑",2019.10.31,4
21,"롯데정밀화학, 2019년 2Q 영업익 522억원…전년比 28.6% ↓",2019.07.25,4
22,"롯데케미칼, 2030년까지 매출 50조원·세계 7위 글로벌 화학사 도약",2019.05.27,4
23,롯데그룹 화학4사 '차이나플라스 2019' 동반 참가,2019.05.21,4
24,"치어리더 박기량, 롯데정밀화학 요소수 브랜드 '유록스' 모델로 발탁",2019.05.20,4
25,"롯데정밀화학, 1150억원 투자해 메틸셀룰로스 공장 증설",2019.04.29,4
26,"롯데정밀화학, 2019년 1Q 영업익 377억원…전년比 24.3%↓",2019.04.26,4
27,"임병연 롯데케미칼 신임 대표, 취임 첫 일정으로 여수공장 방문",2019.01.04,4
28,"롯데케미칼, 글로벌 M&A 최전선에 서나",2018.10.24,4
29,롯데정밀화학 2분기 영업이익 전년比 두 배로,2018.07.26,4
30,"'비상경영 석달' 롯데, '워크숍·해외투자설명회'로 글로벌 사업 강화 나서",2018.05.13,4
31,"롯데그룹 화학4사, '차이나플라스 2018' 참가",2018.04.23,4
32,"롯데정밀화학, 1분기 영업이익 498억원…전년比 125.3%↑",2018.04.20,4
33,"롯데, '워라밸' 확산…황각규 부회장 이메일 공개 ""직접 조치""",2018.04.08,4
34,"[단독]사드 보복, 롯데케미칼도 당했다 …'中 선전 영업장 폐쇄'(종합)",2018.03.12,4
35,[단독]롯데마트 이어 롯데케미칼도 당했다 …'中 선전 영업장 폐쇄',2018.03.12,4
36,"""10대 그룹 상장사 사외이사 35%가 권력기관 출신""",2018.03.12,4
37,[신동빈 구속]롯데 新사업 '올스톱'…경영공백 불가피,2018.02.13,4
38,年 1000억원…'롯데' 브랜드 이름값 '날개',2018.02.01,4
39,[인사]롯데그룹 2018 정기 임원 인사,2018.01.10,4
40,"[롯데 정기인사]이홍열 롯데정밀화학 대표, 사장 승진…여성임원 28명",2018.01.10,4
41,"지주사 '롯데', 브랜드 로열티 연간 천억 웃돌아…LG·SK 이어 세번째 전망(종합)",2017.10.11,4
42,"롯데지주, '이름값' 받는다…브랜드 사용로 50억원 이상 내는 계열사만 16곳",2017.10.11,4
43,화학 '빅2' 엇갈린 R&D 투자…LG화학 1위·롯데켐 꼴찌,2017.08.16,4
44,30대그룹 관료 출신 사외이사 43%…4년새 최고치,2017.08.09,4
45,롯데정밀화학 2Q 영업익 336억원…전년동기比 37.1% 증가,2017.07.27,4
46,"삼성 떠난 화학계열사, 한화·롯데 '실적 복덩이'로",2017.05.17,4
47,롯데화학4사 아시아 최대 석유화학전시회 '차이나플러스 2017' 참석,2017.05.12,4
48,"롯데정밀화학, 수용성 페인트 첨가제 9000t 증설",2017.04.28,4
49,롯데정밀화학 1분기 영업익 221억원…전년동기比 흑자전환,2017.04.28,4
50,[반세기 역사 쓴 롯데-표]식품회사에서 유통·화학 대기업,2017.04.03,4
51,"[포토]롯데, 소래포구 재래 어시장 화재 복구 성금 2억원 전달",2017.03.24,4
52,"롯데, 소래포구 재래 어시장 화재 복구 성금 2억원 전달",2017.03.24,4
53,30대 그룹 관료 출신 사외이사 비중 43%…전년比 1.8%p↑,2017.03.22,4
54,"허수영 롯데 화학BU장, 석유화학협회장 연임",2017.03.16,4
55,[베일벗은 뉴롯데]이재혁·이원준 부회장 '파격' 승진…여성임원 5명 나왔다(종합),2017.02.22,4
56,[베일벗은 뉴롯데]신동빈 친정체제 구축…황각규 경영혁신실장 선임(종합),2017.02.21,4
57,[베일벗은 뉴롯데]롯데케미칼 새 수장에 김교현 대표,2017.02.21,4
58,[베일벗은 뉴롯데]'현장형 CEO 전면 배치' 원칙 고스란히 반영,2017.02.21,4
59,[베일벗은 뉴롯데]황각규 경영혁신실장·소진세 사회공헌위원장,2017.02.21,4
60,"한화 간 삼성임원 40% 퇴직…""롯데와 대조적""",2016.12.27,4
61,"롯데, 1만5000포기 김장 나눔 행사 진행",2016.12.15,4
