,Title,Date,Category
0,"환노위, 홍장표 국감 참고인 채택…경제인도 10명 넘어",2018.09.20,2
1,[양낙규의 Defence Club]中사드반발 적반하장인 3가지 이유,2017.03.04,2
2,지난해 식품산업 생산실적 70조4000억…연 평균 5%씩 성장,2016.09.27,2
3,신영자 서영교…모계율(母系律)사회 등장? 어찌하오리까,2016.07.01,2
4,경부고속도로 서울 도심구간 지하화 논의 본격화,2015.11.17,2
5,릴레이 기업탐방으로 구직청년과 지역기업 연결,2015.11.11,2
6,식품산업 157조..10년간 71% 성장,2015.08.07,2
7,"野 ""롯데 지배구조 개선, 국민연금이 나서라""",2015.08.05,2
8,오렌지주스 2잔이면 '당류 과다섭취' 우려,2015.01.19,2
9,[단독]소주 공용병 재사용 자율협약 결국 백지화…투명병·초록병 1대1 맞교환,2020.08.25,3
10,"롯데칠성  ‘오’가닉, 누적 판매량 2600만개 돌파",2020.08.18,3
11,"롯데칠성 '팔리니 리몬첼로', 젤라또로 즐긴다",2020.08.17,3
12,‘클라우드 생 드래프트’와 함께 직장인 공감 웹예능…‘괜찮아 다 그래’ 시즌4,2020.08.11,3
13,웰빙 트렌드에 코로나19 염려까지…'부담 줄인 술' 뜬다,2020.08.08,3
14,‘박서준의 초신선함’ 클라우드 생 드래프트 조용한 돌풍…기세 몰아 케그 생맥주 진격,2020.08.06,3
15,대한민국이 '캠핑 폴딩박스'에 홀렸다…던킨·롯데리아·칠성까지 합류,2020.08.01,3
16,롯데家 지분 상속…故신격호의 선택은 신동빈,2020.07.31,3
17,"신격호 유산 1조원, 자녀 4명이 분할 상속…상속세만 4500억원",2020.07.29,3
18,"G마켓 스마일배송관, 7개 브랜드사 ‘깨끗한 생수’ 할인 프로모션",2020.07.24,3
19,병맥주가 사라져간다…'외식보다 홈술'로 캔맥주만 인기,2020.07.22,3
20,"롯데칠성, 고창·순창 복분자로 만든 '미남은 복분자를 좋아해' 출시",2020.07.20,3
21,"롯데칠성, '포스트 코로나' 대비해 ‘디지털 전환’ 가속화",2020.07.13,3
22,'클라우드 클리어 제로' 패키지 새 옷 입었다,2020.06.25,3
23,"롯데칠성 '칸타타' 패키지, 간결하고 세련돼졌다",2020.06.24,3
24,빈지노와 '마운틴듀' 만났다,2020.06.19,3
25,"롯데 신동빈 회장, 올해 첫 공식석상은 '시그니엘 부산'(종합)",2020.06.17,3
26,"롯데 신동빈 회장, 올해 첫 공식석상은 '시그니엘 부산'",2020.06.17,3
27,"[포스트 코로나 전략]롯데마트, '1일 1그린' 친환경 매장 구축",2020.06.16,3
28,옐로우 테일 와인 신제품 ‘옐로우 테일 제미 레드 루’ 나왔다,2020.06.15,3
29,"롯데칠성, AI 디자인 스타트업과 소상공인 대상 홍보물 무료 인쇄 서비스",2020.06.12,3
30,"롯데칠성음료, ‘처음처럼 플렉스 미니어처’ 패키지 출시",2020.06.10,3
31,"유통·식품업계, 친환경 정책 '强 드라이브'",2020.06.08,3
32,"롯데마트, 2025년까지 비닐·플라스틱 50% 줄인다",2020.06.08,3
33,'포스트 코로나 대비하라'…신동빈·정용진 현장 행보 가속화,2020.06.07,3
34,"롯데칠성, 無 라벨 생수 제품군 강화한다",2020.06.05,3
35,[아경 히트상품]세월이 흘러도 변함없는 맑고 깨끗함 '칠성사이다',2020.05.26,3
36,[아경 히트상품] ‘부드러운 소주’의 선구자 ‘처음처럼’,2020.05.26,3
37,신선함 더하고 가격 거품 쏙…‘클라우드 생 드래프트’ 나왔다,2020.05.18,3
38,"롯데호텔 글로벌 체인, 코로나19 피해 해결 돕는다",2020.05.15,3
39,"롯데칠성 샤롯데봉사단, 어린이날 맞아 '촉각도서'·'친환경 비누' 기부",2020.05.04,3
40,[아시아톱브랜드] 부드러운 소주의 선구자 ‘처음처럼’,2020.04.27,3
41,"[아시아톱브랜드]핑크빛 밀키스, 카카오프렌즈와 만났다",2020.04.27,3
42,"롯데칠성음료, 서울시와 18개 버스정류장 녹색 쉼터로 탈바꿈",2020.04.01,3
43,"롯데마트, 전국 모든 점포서 '유기견 입양 캠페인' 진행",2020.03.24,3
44,"홈플러스, 역발상·이색 상품으로 코로나19 극복 나선다",2020.03.15,3
45,"'솔의 눈'을 사탕으로…세븐일레븐, ‘세븐셀렉트 미니캔디’ 출시",2020.03.05,3
46,"롯데칠성음료, 수출 전용 ‘순하리 애플망고’ 출시…호주·동남아 시장 공략",2020.03.04,3
47,음료·주류도 '친환경' 열풍 따른다,2020.02.15,3
48,[2020 아시아소비자대상]반세기 넘게 사랑 받은 국민 음료 '칠성사이다',2020.01.30,3
49,라벨 없는 생수 나왔다…롯데칠성 '아이시스8.0 ECO' 출시,2020.01.29,3
50,화해 제스처 취하는 신동빈·동주…'형제의 난' 재발할까,2020.01.21,3
51,[아시아 어프로치]신격호를 통해 본 상장 vs 비상장…득과 실,2020.01.21,3
52,"文 ""한·일 경제 가교 역할 높이 평가""…신격호 빈소, 정·재계 조문 행렬",2020.01.21,3
53,"황각규 롯데지주 부회장 ""생전 고인의 뜻, 가족이 더 잘 알 것""(종합)",2020.01.20,3
54,개인 자산만 1조원 이상…신격호 별세에 '상속' 관심도 '↑',2020.01.20,3
55,[신격호 별세]롯데 주식·부동산 등 1兆 유산…향배 관심,2020.01.19,3
56,[신격호 별세] 연보,2020.01.19,3
57,[신격호 별세] 맨손에서 롯데 일궈낸 1세대 기업인,2020.01.19,3
58,"유통업계, 실적악화에도 '납품대금 조기 지급' 동반성장 나서",2020.01.18,3
59,"롯데, 설 맞아 파트너사 납품대금 8200억원 앞당겨 지급",2020.01.08,3
60,"롯데칠성, 종량세 적용…'클라우드'·'피츠' 출고가 인하",2020.01.02,3
61,송년회 쏟아지는 연말…온라인서 불티나게 팔리는 '숙취해소제',2019.12.26,3
62,"GS리테일, 중증질환 소아 환아 쉼터 ‘RMHC하우스’에 1억3000만원 기부",2019.12.24,3
63,"칠성사이다, 35년만에 초록 페트병에서 투명으로 옷 바꿔 입는다",2019.12.23,3
64,마켓 4.0시대 대응하는 유통 3社…컨설팅사 출신 CEO도 구원투수 등판(종합),2019.12.21,3
65,10살 이상 어려진 유통가 수장들…롯데도 '쇄신' 물결 합류,2019.12.20,3
66,'비상경영' 롯데 인사 3大 키워드는…'50대·원톱·글로벌',2019.12.19,3
67,[인사]롯데그룹 정기 임원인사,2019.12.19,3
68,롯데도 칼 빼들었다…'비상경영' CJ에 쏠리는 눈,2019.12.18,3
69,"롯데칠성음료, 인공지능 디자인 스타트업 ‘브랜뉴테크’와 협약",2019.12.13,3
70,"롯데칠성음료, 탄산 숙취해소음료 ‘깨수깡’ 출시",2019.12.09,3
71,"""좋은 기업이라는 '공감' 얻어내려면""…롯데, 2019 마케팅 포럼",2019.11.28,3
72,"롯데칠성음료, 임직원 위한 지능형 챗봇 서비스 '샬롯' 도입",2019.11.26,3
73,출시 12년 만에 원두캔커피 1위 된 롯데칠성음료 '칸타타',2019.11.22,3
74,"롯데칠성음료, '데일리C 아트워터 스누피 에디션' 출시",2019.11.22,3
75,"'크리스마스 분위기 물씬'…롯데칠성, 칸타타 겨울 패키지",2019.11.14,3
76,지난해 국민 1인당 생수 36ℓ 마셨다…소매점 음료 판매량 1위,2019.11.11,3
77,'강남 럭셔리 아파트'에 관심 폭발…견본주택 사전예약에 '우르르',2019.11.05,3
78,"전자레인지에 돌려서 따뜻하게…롯데칠성, 새로운 칸타타 출시",2019.10.29,3
79,"롯데칠성음료, 환경부 주관 '2019 대한민국 친환경대전' 참가",2019.10.25,3
80,"롯데칠성음료, ""홍대서 핫식스와 함께 핼러윈 오싹함 느껴보세요""",2019.10.22,3
81,"롯데칠성음료, '나만의 마운틴듀' 디자인 공모전 우승작 한정판 제품으로 출시",2019.10.16,3
82,"롯데칠성음료, 오싹함 가득 '핫식스 핼러윈 스페셜 에디션' 출시",2019.10.10,3
83,"롯데, 장애에 대한 편견의 벽 허물기 위한 '슈퍼블루마라톤' 개최",2019.10.06,3
84,"""일본 아사히가 지분 갖고 있다?"" 롯데주류, 日관련 허위사실 법적대응(종합)",2019.10.02,3
85,"롯데칠성음료, ""'가용비' 강점 페트병 커피, 두자릿수 성장세""",2019.09.24,3
86,"막 올린 대형마트 '생수전쟁', 앞으로도 쭉 이어진다(종합)",2019.09.19,3
87,"홈플러스도 생수전쟁 참전…""대형마트 3사 중 최저가""",2019.09.19,3
88,"롯데칠성음료, 과립주스 ‘델몬트 말랑피치’ 출시",2019.09.18,3
89,"롯데백화점, 뉴트로 바람…'어글리 슈즈' 팝업스토어 연다",2019.09.08,3
90,"롯데칠성음료, '서울 3X3 농구 챌린저'에 공식 타이틀 스폰서로 참여",2019.09.05,3
91,"롯데그룹, '2019년 하반기 신입사원 공개채용'",2019.09.01,3
92,대형마트의 상생…추석 협력사 대금 '조기 지급' 나섰다(종합),2019.08.23,3
93,"""협력사 자금난 없도록""…유통가, 추석 납품대금 조기지급 줄이어(종합)",2019.08.22,3
94,"롯데, 명절 앞두고 납품대금 7400억원 조기지급",2019.08.22,3
95,"롯데칠성음료-롯데주류, 소외계층 산모 위한 '애착인형 만들기' 봉사활동",2019.08.08,3
96,"""믹스커피 비켜!"" 액상커피 전성시대…편의점·오픈마켓 매출 모두 '껑충'(종합)",2019.08.05,3
97,"나날이 뜨거워지는 액상커피 인기…편의점 이어 오픈마켓서도 ""잘 나가네""",2019.08.05,3
98,"""원산지 코드까지 확인한다""…일본산 재료 사용 식품 리스트에 '발동동'",2019.07.31,3
99,"롯데칠성음료, 진짜 수박 과육 담은 과립주스 ‘사각사각 수박’ 출시",2019.07.29,3
100,"신동빈 ""고객으로부터 '좋은 일 하는 기업'이라는 공감 얻어야""",2019.07.21,3
101,무더위에 '파우치 커피' 판매량 급증…'칸타타' 보름만에 500만개 팔렸다,2019.07.19,3
102,"롯데칠성음료, ‘립톤 아이스티 복숭아’ 패키지 날씬하게 바꿨다",2019.07.17,3
103,日서 돌아온 신동빈…16일부터 5일간 '사장단 회의'(종합),2019.07.15,3
104,"돌아온 신동빈, 사장들 한 데 모아 日 해법 마련할까…내일 사장단회의 주목",2019.07.15,3
105,"롯데칠성음료, 부산에 IoT 분리수거함 설치…""다 마신 음료캔 사이다로 교환""",2019.07.09,3
106,여름 분양시장 개막 초읽기… 전국 7곳 2101가구 청약,2019.07.06,3
107,"롯데칠성음료, 500㎖ ‘칸타타 콘트라베이스 콜드브루 스위트블랙’ 출시",2019.07.05,3
108,"""자동화 시스템 전 계열사 도입""…롯데지주, 기업문화위 정기회의",2019.07.04,3
109,"롯데칠성음료, 2019 에피어워드 코리아 시상식에서 올해의 마케터 포함 총 6관왕 수상",2019.06.25,3
110,"롯데칠성음료, 무더위 앞두고 ‘립톤 아이스티’ 1리터 페트 출시",2019.06.20,3
111,"롯데칠성음료, 상큼 달콤한 '요랄라 요구르트맛 스파클링' 출시",2019.06.20,3
112,"롯데그룹, 상반기 신입사원 환영행사",2019.06.18,3
113,'내 몸에 딱 맞는 물'로 소비心 홀린 롯데칠성 '아이시스 8.0',2019.06.17,3
114,"재계 5위 롯데그룹 CEO들이 요즘 푹 빠진 것은…""플라스틱 프리""",2019.06.16,3
115,"롯데건설 하석주 대표이사, 임직원과 플라스틱 프리 챌린지 동참",2019.06.13,3
116,"조경수 롯데푸드 대표이사, 임직원과 함께 '플라스틱 프리 챌린지' 동참",2019.06.13,3
117,"이영구 롯데칠성 대표의 '플라스틱 프리 챌린지'…""페트병 경량화 힘쓸것""",2019.06.11,3
118,"옥션, 던킨 싱글세트 반값…'싱글데이' 프로모션",2019.06.11,3
119,"설 자리 없어진 종이컵, 사라진 비닐봉지…'친환경' 유통가 풍경",2019.06.09,3
120,"이영호 롯데그룹 식품BU장, ‘플라스틱 프리 챌린지’ 동참",2019.06.07,3
121,"롯데칠성음료, ""환경보호 동참 도와요"" 먹는샘물에 에코탭 라벨 적용",2019.06.05,3
122,"민명기 롯데제과 대표, 루게릭 환자 돕기 '아이스버킷 챌린지' 동참",2019.06.05,3
123,"세븐일레븐 ""호국보훈의 달, 나라사랑 이벤트 참여하세요""",2019.06.04,3
124,"롯데칠성음료, 소외이웃 돕기 위한 '드림북 캠페인' 협약",2019.05.28,3
125,"탄산음료·생수, 소용량이 잘 나가네…미니 사이다·콜라 매출 폭발",2019.05.21,3
126,"롯데칠성음료, 박재범 등 아티스트와 협업 '마운틴듀' 한정판 에디션 출시",2019.05.16,3
127,‘게토레이’ 5년만에 변신…패키지 디자인 리뉴얼,2019.05.03,3
128,"롯데칠성음료, 세계 유명 아티스트 감성 담은 ‘데일리C 아트워터’ 출시",2019.04.29,3
129,"""편의점에 건담이 뜬다""…CU, 롯데칠성과 손잡고 '건프라' 단독 판매",2019.04.29,3
130,[브랜드 대상]대한민국 캔커피 '레쓰비'…매년 4억캔 팔린다,2019.04.18,3
131,"달콤상큼한 진짜 복숭아가 입안으로 쏙…롯데칠성, ‘사각사각 복숭아’ 출시",2019.04.18,3
132,"롯데, 펩시콜라 한정판 '사계절 러브 에디션' 출시",2019.04.11,3
133,"롯데, 한정판 ‘꿈을 전하는 칠성사이다’ 출시",2019.04.09,3
134,'배' 음료 시장 성장세 '↑'…롯데칠성 '사각사각 꿀배'도 판매량 쑥쑥,2019.04.02,3
135,'사이다는 칠성사이다'…나홀로 매출 '↑',2019.03.29,3
136,"롯데칠성·주류, 국내 음료ㆍ주류업계 최초 ‘ISO37001’ 인증",2019.03.29,3
137,'조양호 쇼크' 속 조용히 넘어가는 롯데 주총,2019.03.28,3
138,"롯데칠성, ‘핑크퐁 루이보스보리차’ 출시",2019.03.27,3
139,"델몬트주스, 21년 연속 ‘한국산업의 브랜드파워’ 주스부문 1위 선정",2019.03.21,3
140,조용히 마무리된 신세계그룹 주총…월말 롯데 주총으로 쏠리는 눈,2019.03.16,3
141,"롯데칠성음료, 베트남·타이완 커피 국내서도…'레쓰비 연유커피'·'솔트커피' 출시",2019.03.15,3
142,"롯데칠성음료, 보행장애 아동 위해 국제구호개발단체와 캠페인 협약",2019.03.07,3
143,"롯데칠성음료, '밀키스' 출시 30주년 기념 패키지 리뉴얼",2019.02.28,3
144,"롯데칠성음료, 영재아동 위한 ‘장학 캠페인’ 협약식 체결",2019.02.26,3
145,[단독]자동판매기도 '생계형 적합업종' 신청,2019.02.18,3
146,"롯데칠성음료, 전국천사무료급식소에 ‘나눔저금통’ 성금 전달",2019.02.18,3
147,"롯데제과, 미얀마 제과회사 메이슨 인수 완료…현지 제과사업 본격 개시",2019.01.31,3
148,'물류비 논란' 껄끄러웠나…'기자들 없는 길' 택한 문영표 롯데마트 대표,2019.01.23,3
149,롯데그룹 오늘 사장단회의…'신동빈의 입' 주목,2019.01.23,3
150,"롯데칠성, ""미세먼지로 지친 목 상쾌하게""…‘목단비 국화차’ 출시",2019.01.17,3
151,"롯데칠성음료, ""'가용비' 트렌드에 대용량 커피 인기 '대박'""",2019.01.15,3
152,"롯데칠성음료, '노사문화대상 국무총리상' 수상…대기업 식품회사 유일",2018.12.26,3
153,"내년에 가격 인상하는 식품…떡볶이·우유·콜라·라면·소주 ""죄다 오르네""",2018.12.23,3
154,내년에도 식품 물가 쓰나미…방판우유도 올라·콜라도 들썩(종합),2018.12.21,3
155,내년부터 방판 우유·콜라 가격도 오른다,2018.12.21,3
156,"[2018 히트상품]칸타타 출시 11년, 원두캔커피 1위 브랜드로 성장",2018.12.20,3
