,Title,Date,Category
0,"'인보사 사태'도 삼킨 '조국사태'…복지위, 병리학회지 공방 오갈듯",2019.09.25,2
1,"국회 복지위, 병리학회지 관련 국감증인 채택…부산의료원장은 제외",2019.09.24,2
2,신영자 서영교…모계율(母系律)사회 등장? 어찌하오리까,2016.07.01,2
3,"野 ""롯데 지배구조 개선, 국민연금이 나서라""",2015.08.05,2
4,"농식품부, 농업-기업 상생협력 설명회 개최",2015.07.20,2
5,한국식품마이스터고 개교…식품기업과 채용 약정 체결,2015.04.02,2
6,"롯데푸드, 식물성 대체육류 ‘제로미트’ 이마트 21개점 채식주의존 입점",2020.08.19,3
7,"롯데마트, 황금 연휴 맞이 '통큰절' 진행…최대 반값 할인",2020.08.12,3
8,"롯데푸드, '떠먹는 쾌변' 토마토·망고 출시",2020.08.03,3
9,"""나 혼자 먹고 잔다""…‘혼캠핑족’ 위한 간편 식재료 인기 '↑'",2020.07.25,3
10,"롯데푸드, 식물성 대체육류 ‘제로미트’ 라인업 확대…‘함박스테이크’ 2종 출시",2020.07.20,3
11,"식탁 위, 3D프린팅으로 만든 고기ㆍ생선 오른다",2020.07.10,3
12,"롯데푸드 파스퇴르, 쾌변 리뉴얼 및 쾌변 콜라겐 출시",2020.07.09,3
13,"롯데푸드, 오븐과 직화로 두 번 구운 ‘의성마늘 직화양념구이’ 출시",2020.07.08,3
14,"동행세일 이어…롯데마트, '통큰절' 행사서 최대 50% 세일",2020.07.02,3
15,"""직화구이 판매 2250% 껑충"" 이른 더위에 맥주 안주 불티나게 팔린다",2020.06.26,3
16,"롯데푸드, 국내 최초로 싱가포르에 ‘캔햄’ 수출한다",2020.06.25,3
17,"롯데푸드, 315kcal 이하 건강덮밥 ‘쉐푸드 세븐데이즈 플랜’ 시리즈 출시",2020.06.23,3
18,"롯데 신동빈 회장, 올해 첫 공식석상은 '시그니엘 부산'(종합)",2020.06.17,3
19,"롯데 신동빈 회장, 올해 첫 공식석상은 '시그니엘 부산'",2020.06.17,3
20,"롯데 신동빈, '아픈손가락' 호텔 직접 챙긴다…17일 부산행",2020.06.16,3
21,"롯데푸드, ‘구구콘 마다가스카르 바닐라’ 출시…구구콘 3총사 완성",2020.06.16,3
22,"롯데푸드, 산 모양 아이스바 '마운틴 아이스 2종' 출시",2020.06.04,3
23,"롯데푸드, ‘파스퇴르 케어푸드’로 케어푸드 사업 본격 진출한다",2020.06.03,3
24,"세븐일레븐, '시그니처 김치볶음밥' 출시",2020.06.03,3
25,"롯데푸드, 자회사형 장애인 표준사업장 ‘푸드위드’ 개소",2020.06.02,3
26,"[포스트코로나, 간편식 떴다]롯데푸드, 급속냉동 기술로 손맛 살려",2020.05.29,3
27,"롯데푸드 파스퇴르, 장 건강 유산균 음료 ‘상쾌화이버’ 출시",2020.05.14,3
