,Title,Date,Category
0,"정의당 “롯데하이마트, ‘불법파견’ 의혹…뿌리 뽑아야”(종합)",2018.10.11,2
1,"野 ""롯데 지배구조 개선, 국민연금이 나서라""",2015.08.05,2
2,"황각규 롯데 부회장 ""작년 말 사임 표명…후진에 기회 줄 시점""",2020.08.25,3
3,"롯데하이마트 온라인쇼핑몰, ‘LG전자 그랜드 페스타’ 기획전 실시",2020.08.24,3
4,[프로필]황영근 신임 롯데하이마트 대표이사,2020.08.13,3
5,'롯데 2인자' 황각규 부회장 사임…경영 일선에서 물러난다,2020.08.13,3
6,"롯데하이마트, ‘삼성 브랜드위크’ 특별 기획전 진행",2020.07.13,3
7,"롯데하이마트, 7월 '맘편한 하이드림' 나눔 프로젝트 진행",2020.06.30,3
8,제조업 BSI 5개월만에 개선…고효율 가전제품 환급 등 영향,2020.06.30,3
9,"롯데하이마트, 독거노인 위한 선풍기 및 코로나19 예방 위생키트 기증",2020.06.29,3
10,세일 큰장 섰다…대형마트는 의무휴업 '울상',2020.06.26,3
11,"롯데하이마트, '메가스토어 안산선부점' 오픈",2020.06.26,3
12,"수면 전문 브랜드 시몬스 침대, ‘시몬스 맨션 평택점’ 오픈",2020.06.22,3
13,"시몬스 침대, ‘시몬스 맨션 서대구점’ 오픈",2020.06.16,3
14,"""이른 무더위에 에어컨 매출 전년比 35%↑""",2020.06.10,3
15,"롯데하이마트, '맞춤형 냉장고' 비스포크 3도어 최초 출시",2020.06.01,3
16,"농협은행, 주택도시기금대출 신규 고객 이벤트",2020.05.29,3
17,"롯데하이마트, 메가스토어 2호점 수원점…구매·상담·AS 한번에",2020.05.27,3
18,"롯데하이마트, 인테리어 상담 중개 서비스 플랫폼 론칭",2020.05.22,3
19,"롯데하이마트, 가전유통업계 최초 '보이는 ARS' 도입",2020.05.18,3
20,"롯데쇼핑, 코로나 충격 속 체질개선 지속…구조조정 탄력 전망",2020.05.15,3
21,"시몬스 침대, ‘시몬스 맨션 강릉점’ 개점…“다양한 제품을 한자리에”",2020.05.14,3
22,"롯데월드타워, '사회적 거리두기' 안전히 마친 고객 위한 '힐링 여행' 선보여",2020.05.08,3
