,Title,Date,Category
0,"보령제약, 고혈압 복합제 '듀카브' 런칭심포지엄 개최",2016.08.21,2
1,"황교안 ""바이오산업 가로막는 규제 개혁할 것""",2016.03.31,2
2,금탑산업훈장에 이재하 삼보모터스 회장·손동창 퍼시스 회장,2016.03.16,2
3,'朴 미국 방문' 166명 경제사절단 동행,2015.10.11,2
4,일본 불매운동에 국산 토종 대체 상품 뜬다,2019.07.29,3
5,"보령메디앙스, 중국 천진법인 확대ㆍ이전",2017.02.21,3
6,"""불안하다 불안해"" 화장품·제약주 던지는 외인",2016.11.03,3
7,"주형환,""하반기 수출 플러스전환…수출구조 근본적 개편추진""",2016.07.21,3
8,금탑산업훈장에 이재하 삼보모터스 회장·손동창 퍼시스 회장,2016.03.16,3
9,[르포]달아오른 베이비페어…'아가시장' 잡기 혈전,2016.02.21,3
10,"보령제대혈은행, 18~21일 '베이비페어' 참가",2016.02.17,3
11,"보령제약, 고혈압 신약 '카나브' 월매출 30억원 돌파",2016.01.18,3
12,자율준수프로그램 인력 충원…제약사들 공정거래 강화,2016.01.15,3
13,[특징주]의약품업종 선방…유한양행 7.47% 상승,2016.01.15,3
14,"라파스-보령제약, 공동연구 기반 MOU 체결",2016.01.12,3
15,"보령중보재단, 소아암 어린이 위해 헌혈증·기부금 전달",2015.12.24,3
16,"국민 위장약 '겔포스', 15년만에 옷 갈아입었다",2015.12.23,3
17,"보령제약, '15회 보령암학술상' 공모",2015.12.21,3
18,"보령제약, 페니실린 cGMP공장 준공",2015.12.16,3
19,"돈 받고 블로그로 제품 홍보, 법원서 철퇴…블로거지 '사라질까'",2015.11.13,3
20,"바이럴마케팅, ‘블로거지’에서 ‘인스타거지’로 옮겨 타",2015.11.13,3
21,"서울디지털대학교, 소비자가 선정한 품질만족대상 수상 '6년 개근'",2015.07.01,3
22,[포토]한국 무역협회 제29대 회장단 출범식 개최,2015.03.25,3
23,[제2중동붐]중동 부호 '1천만원 건강검진' 유치 병원 키운다,2015.03.19,3
24,'제4회 지식재산 대상'에 LG디스플레이 IP담당,2014.10.06,3
25,"로지스팟, 보령제약 의약제품·원재료 운송 업무 디지털화",2020.07.23,4
26,"보령제약 ""소세포폐암 신약, 희귀의약품 지정 신청""",2020.07.13,4
27,"보령제약, 다발성골수종 치료제 코로나19 치료제로 개발",2020.07.02,4
28,"""AI로 신약개발 기간 단축"" 보령제약·파미노젠 협약",2020.06.25,4
29,"국내 14개 제약사, MIT 산학연계 가입",2020.06.12,4
30,안전약 수요 증가…보령제약 '스토가' 위장약시장서 주목,2020.05.27,4
31,"[봄, 건강지킴이] 목·코 호흡기 건강 필수품…물없이 복용해야 효과",2020.04.23,4
32,"보령, 고혈압 복합치료제 듀카로 출시",2020.02.28,4
33,보령제약 예산캠퍼스 가동 시작…'스토가' 첫 생산,2020.01.20,4
34,"안재현 보령제약 대표 ""과감한 투자로 신수종 사업 발굴""",2020.01.02,4
35,"'실적 대박' 제약업계, 최장 9일 연말 휴가잔치",2019.12.23,4
36,제약사 '1兆클럽'보다 힘든 '5000억 장벽' 줄줄이 깬다,2019.12.19,4
37,젊어진 제약업계…오너 2·3세 경영 본격화,2019.12.12,4
38,보령홀딩스 3세 경영 시동…신임 대표이사에 김정균씨,2019.12.11,4
39,보령의사수필문학상 대상에 남궁인 이대목동병원 조교수,2019.12.05,4
40,"바이젠셀 면역항암제, '개발단계 희귀의약품' 지정",2019.11.04,4
41,"보령제약 ""위장약 '스토가' NDMA 불검출""",2019.10.21,4
42,[2019 국감]지난해 혁신형 제약기업에 922억 지원…LG화학 1위,2019.10.15,4
43,올해 '독감백신 전쟁' 막 올랐다,2019.09.18,4
44,"보령제약, 표적항암신약 美 임상 1상 승인",2019.08.27,4
45,"보령제약, 카나브 복합제 '듀카브' 멕시코 발매",2019.08.19,4
46,"99개 제약·바이오기업, 올해 5304명 신규 채용",2019.08.14,4
47,보령의사수필문학상 9월 말까지 공모,2019.08.06,4
48,눈 세포호흡 활성화…眼 질환에도 효과적,2019.07.24,4
49,약국으로 번진 日 불매운동…약사 유튜버 일본약 공개,2019.07.18,4
50,"보령컨슈머, GSK 출신 김수경 대표 선임",2019.07.18,4
51,"제약바이오산업 채용박람회, 56개사 신청",2019.07.10,4
52,"제약바이오협회, 사우디와 제약산업 교류 강화",2019.06.27,4
53,[가족건강지킴이] 눈의 세포호흡 활성화로 피로개선 탁월,2019.06.20,4
54,강한 자외선에 기미치료제 '트란시노2' 인기,2019.05.29,4
55,"보령제약, 충남대 약대에 장학금 1700만원 전달",2019.05.24,4
56,"보령바이오파마, 전용관 전무 영입",2019.05.23,4
57,"제약·바이오업계, 유럽 수출 간소화에 '반색'…""선진시장 진출 가속화""",2019.05.15,4
58,"보령제약, 가정의 달 맞아 예산군 지역아동에 선물 전달",2019.05.03,4
59,"보령제약, 필리핀서 '카나브' 발매…해외시장 공략 속도",2019.05.01,4
60,"보령제약 예산 생산단지 준공…""글로벌 공략 가속화""",2019.04.24,4
61,"보령제약, 충남 예산 생산단지 준공식…""글로벌 진출 핵심시설""",2019.04.23,4
62,"보령제약 관계사 바이젠셀 ""기술특례상장으로 2020년 코스닥 입성""",2019.04.22,4
63,보령암학술상에 최일주 국립암센터 교수,2019.04.18,4
64,보령의료봉사상 대상에 이석로 원장,2019.03.20,4
65,"혁신형 제약기업, 신약 R&D에 1조7617억 투자…전년比 23%↑",2019.02.13,4
66,"""제약업계, 반부패경영시스템 도입 3년 후 기업문화로 정착""",2019.01.30,4
67,[인사]보령그룹,2019.01.02,4
68,보령·이연·하나제약도 불법 리베이트 혐의,2018.12.18,4
69,"보령제약, 제18회 보령암학술상 공모",2018.12.17,4
70,14회 보령의사수필문학상 대상에 김대현 과장,2018.12.11,4
71,화이자-국산 복제약 재격돌,2018.11.27,4
72,"보령제약, 고혈압약 '카나브' 제품군 월 처방액 60억 돌파",2018.11.16,4
73,"보령제약, 배민제·소재일 상무 영입",2018.11.01,4
74,"보령제약, 하반기 신입사원 공채…내달 7일까지 접수",2018.10.30,4
75,"보령제약-GC녹십자, 호중구감소증치료제 '뉴라펙' 공동 판매",2018.10.25,4
76,"보령제약, 필리핀에 항암제 4종 수출",2018.10.12,4
77,"보령제약 안산공장, 안전보건경영시스템 인증",2018.10.02,4
78,"보령제약그룹, 창립 61주년…""라이프타임 케어 컴퍼니 도약""",2018.10.01,4
79,"보령제약 자회사 바이젠셀, 면역항암제 개발 속도낸다",2018.09.21,4
80,"보령제약, 안재현·이삼수 대표 선임…내년 3월 이후 전환",2018.09.17,4
81,"보령제약-쿄와하코기린, 만성신장병 환자 치료제 공동 판매",2018.08.30,4
82,2분기 제약사 실적 '선방'…R&D 투자 늘어,2018.08.01,4
83,"보령제약, 고혈압 신약 '카나브' 싱가포르 발매",2018.07.30,4
84,"상반기 제약사 3286명 신규 채용…""10년간 연평균 2.7% 고용 확대""",2018.07.27,4
85,"보령제약, 상반기 영업익 130억…전년比 131% ↑",2018.07.24,4
86,복지부 장관-제약업계 대표 간담회…고용 확대 방안 논의,2018.07.12,4
87,"혁신형 제약기업 31곳, 2021년까지 인증 연장",2018.06.19,4
88,"[건강도우미]보령제약 '듀오덤', 상처에 적정한 습윤상태 유지",2018.06.18,4
89,"보령제약 ""고혈압 신약 카나브, 경쟁약 대비 효과 우월""",2018.06.11,4
90,"제약協 ""반부패 인증 순조롭게 진행…6월 내 9곳 인증 완료""",2018.05.16,4
91,[위기의 신약-하]신약개발하고도 낮은 藥價에 수출 '쓴맛',2018.04.27,4
92,미세먼지 개운히 씻는 '기쁨의 눈물',2018.04.26,4
93,미세먼지 농도 따라 색깔 변하는 종로 보령빌딩 '화제',2018.03.26,4
94,"보령제약, 제34회 보령의료봉사상 대상에 김임 원장",2018.03.20,4
95,편의점에선 왜 갤포스를 팔지 못하나?,2018.03.10,4
96,"매출 덩치 키운 제약사, 실적은 '약골'",2018.03.05,4
97,[설연휴 건강지킴이]강추위에 미세먼지…호흡기 건강관리 탁월,2018.02.06,4
98,"LG화학 '제미글로', 국내 신약 최초 매출 700억 돌파",2018.01.29,4
99,"보령중보재단, 예비 중학생 날개달기 캠프",2018.01.08,4
100,"보령제약그룹, 해맞이 및 CI점등식…""글로벌 도약 원년""",2018.01.01,4
101,"보령제약, 보령의사수필문학상 시상식 개최",2017.12.14,4
102,"보령제약, 보령암학술상 내년 1월까지 공모",2017.12.07,4
103,편의점 약 '고래싸움'에 숨죽인 제약사,2017.12.07,4
104,"김은정 보령메디앙스 부회장, 주한 콜롬비아 명예영사 임명",2017.12.04,4
105,"보령제약, 구매부문 파트너사 초청 상생협력 간담회 개최",2017.11.15,4
106,"녹십자엠에스 ""3Q 영업익 흑자전환…수출 성장세""",2017.10.31,4
107,"창업 60주년 보령제약 ""글로벌 라이프타임케어 기업 도약""",2017.10.10,4
108,장수기업 많은 제약업계 美로 뛴다,2017.09.26,4
109,"[알면藥모르면毒]습윤밴드 ""연고 바르고 붙이면 안돼요""",2017.09.19,4
110,제약업계 1980년대생 오너家 자제들 광폭 행보…젊은 피 수혈,2017.09.12,4
111,"말 아낀 백운규 장관, 금호타이어 매각 관련 노코멘트",2017.09.05,4
112,"김인호 무역협회장 ""아마존 같은 기업 나오려면 과감한 규제개혁 필요""",2017.09.05,4
113,"보령제약, 2Q 영업익 8억원…전년동기比 60.66% ↓",2017.07.28,4
114,"보령메디앙스, '올곧은 나눔장터' 통해 6년째 수익금 전액 기부",2017.05.29,4
115,경제허리 '알짜 일터' 집합…대기업 안부럽네,2017.05.25,4
116,"김은정 보령메디앙스 부회장 ""육아라이프스타일 주도하는 트렌드 만들 것""",2017.04.28,4
117,"보령메디앙스, 중국 천진법인 확대ㆍ이전",2017.02.21,4
118,"제이비케이랩, 보령제약그룹 계열사와 제품공급 제휴",2017.01.12,4
119,"보령제약그룹, 창업 60주년 시무식 ""라이프타임 케어 컴퍼니로 도약""",2017.01.02,4
120,"""건기식 잘 나가네"" 제약사의 이유 있는 외도?",2016.12.31,4
121,"보령제약, 830억 규모 항고혈압제 수출계약 체결",2016.12.29,4
122,"보령제약, 제16회 '보령암학술상' 공모",2016.12.13,4
123,"보령제약그룹, 중남미 15개국 대사 초청 '송년의 밤' 진행",2016.12.06,4
124,"보령제약, 습윤밴드 '듀오덤 플러스 CGF' 출시",2016.12.06,4
125,[환절기 약손]日 2회 복용으로 간편한 '먹는 기미치료제',2016.11.24,4
126,제12회 보령의사수필문학상 대상에 홍범식 교수,2016.11.22,4
127,"보령제약, 스팀 아이 마스크 '아이스파' 출시",2016.11.21,4
128,"보령제약, 먹는 기미 치료제 '트란시노2' 출시",2016.11.14,4
129,"보령제약, 카나브 고지혈증복합제 '투베로' 4종 발매",2016.11.01,4
130,금연치료제 복제약 특허戰 불붙었다,2016.10.28,4
131,"보령제약, 협력사 상생 위한 '사회적책임 실천 협약' 체결",2016.10.21,4
132,"보령중보재단, 안산시 다문화 이웃에 구급함 지원",2016.10.20,4
133,"보령중보재단, '행복한 문화예술 페스티벌' 후원",2016.10.18,4
134,"보령제약, 옛 안양공장 부지 1004억 원에 매각",2016.10.17,4
135,1조4000억 고혈압약시장 잡아라,2016.10.07,4
136,"보령제약, 개그우먼 김승혜 모델 '로토' 광고 영상 공개",2016.10.07,4
137,"보령제약, 스페인 제약사서 다발 골수종 치료제 기술도입",2016.10.04,4
138,"김승호 보령제약그룹 회장 ""도전적 사고로 창업 60년 준비""",2016.09.30,4
139,"보령제약, 중남미에 300억원 기술수출",2016.09.27,4
140,"보령제약, 중남미에 카나브 복합제 300억 기술수출 계약",2016.09.26,4
141,"보령제약, 중남미 10개국 주한대사 본사 및 공장 방문",2016.09.21,4
142,보령제약 '카나브' 러·中 출격,2016.09.21,4
143,"보령제약, 세계고혈압학회 학술대회 메인 스폰서 참여",2016.09.20,4
144,"보령제약 ""목 관리엔 황·미·용만 기억하세요""",2016.09.12,4
145,"보령바이오파마, 산전·후 유전자검사 신의료기술 공식 인정",2016.09.05,4
146,"보령제약, 고혈압 신약 '투베로' 허가 ""11월 발매""",2016.09.01,4
147,"보령제약, '제12회 보령의사수필문학상' 공모",2016.08.29,4
148,"알파비앤에이치, 크릴새우 오메가-3 추출 기술로 세계시장 노크",2016.08.19,4
149,"보령제약 고혈압신약 카나브, 국내 50대 의약품 첫 진입",2016.08.08,4
150,"보령제약, 고혈압복합제 '듀카브' 출시",2016.08.08,4
151,"보령제약, 바이젠셀 지분 투자…바이오신약 진출",2016.07.28,4
152,"비알네트콤, 스마트폰 연동 대기오염 등 유해물질 측정키트 개발",2016.07.25,4
153,"주형환,""하반기 수출 플러스전환…수출구조 근본적 개편추진""",2016.07.21,4
