,Title,Date,Category
0,10개 업체·149종 치약서 '가습기살균제' 성분 검출(종합),2016.09.30,2
1,"부광약품, 덴마크 '바이오유럽' 컨퍼런스 참석",2018.11.02,3
2,147종 치약에서 '가습기살균제' 성분 검출,2016.09.30,3
3,오늘 읽어야 할 아경 종합뉴스 Top10,2016.09.30,3
4,"부광약품, 표적항암제 '아파티닙' 개발단계 희귀의약품 지정",2016.02.15,3
5,"부광약품, 위염·위궤양 치료제 '셀벡스 캡슐' 독점 판매 계약 체결",2016.01.08,3
6,"부광약품, 제2형 당뇨병 치료 신약 전기 2상 임상시험 완료",2015.12.15,3
7,"부광약품, LID치료제 'JM-010', 남아공서 임상시험 완료",2015.11.16,3
8,"상반기 펀드왕, 국내 주식형은 '헬스케어·중소형株' 대세",2015.06.23,3
9,"OCI, 신사업 승부수 띄운다",2020.05.12,4
10,"정부 ""코로나19 치료제, 이르면 올해 말 출시""(종합)",2020.05.08,4
11,'장기처방약 사두기' 제약사 1분기 선방 예고,2020.04.24,4
12,"부광약품 항바이러스제, 코로나19 치료제 임상시험 승인",2020.04.14,4
13,"유희원 부광약품 사장 ""내년 매출액 2000억 달성 목표""",2019.11.07,4
14,"부광약품, 아슬란과 면역항암제 개발 위한 합작법인 설립",2019.09.30,4
15,"부광약품 자회사 콘테라파마, 30억 유치…""임상 2상 가속화""",2019.07.10,4
16,"부광약품, 'JM-010' 유럽 2상 글로벌 연구자 모임 성료",2019.04.29,4
17,"부광약품 ""대규모 글로벌 오픈이노베이션 추진""",2019.02.08,4
18,"OCI, 국내 바이오벤처에 50억 투자…항암제 시장 진출",2019.01.21,4
19,"부광약품, 당뇨병 신약 후기 임상2상 종료",2018.12.17,4
20,"부광약품, 캐나다서 기능성 치약 '시린메드' 본격 판매",2018.11.01,4
21,"부광약품 ""美 에이서테라퓨틱스 '에드시보' 신약 허가 신청""",2018.10.31,4
22,"부광약품, 파킨슨병 운동장애 신약 'JM-010' 유럽 임상2상 승인",2018.10.22,4
23,"부광약품, 안트로젠 주식 40만주 408억원에 양도",2018.08.24,4
24,[재계 뉴웨이브] 신사업으로 역량 입증 나선 3·4세,2018.08.14,4
25,"부광약품, 안전보건 경영시스템 국제표준 인증",2018.06.25,4
26,"혁신형 제약기업 31곳, 2021년까지 인증 연장",2018.06.19,4
27,"OCI, 부광약품과 손잡고 제약·바이오 사업 진출",2018.05.30,4
28,"부광약품 ""바이오벤처 투자로 330억 투자 수익 예상""",2018.05.15,4
29,"부광약품, 저용량 해열진통소염제 출시…""과다복용 방지""",2018.05.10,4
30,"부광약품 김동연 회장, 장남 등 세자녀에 400만주 증여",2018.04.19,4
31,"[2018 주총]현대車 지배구조 개선 질문에 ""…""",2018.03.16,4
32,"부광약품, 개량신약 '덱시드정' 동남아 수출 본격화",2018.03.06,4
33,"부광약품, 이상운동증 치료제 'JM-010' 특허 등록",2018.01.31,4
34,"'갑질 논란' 남양유업, 배당도 찔끔",2017.04.21,4
35,"부광약품, LID치료제 개발단계 희귀의약품 지정",2017.01.05,4
36,"부광약품, 당뇨병 신약 'MLR-1023' 후기 2상 임상시험 신청",2016.12.19,4
37,"부광약품, 無보존제·색소 '뉴 시린메드' 치약 출시",2016.12.06,4
38,제약업계 '스카우트 전쟁',2016.11.25,4
39,"녹십자, 의학본부장에 김진 전무 영입",2016.11.22,4
40,"부광약품, 환경·안전보건 경영시스템 국제 인증 획득",2016.11.17,4
41,'파라벤'에 이어 '살균제 '…치약 수난시대,2016.10.02,4
42,10개 업체·149종 치약서 '가습기살균제' 성분 검출(종합),2016.09.30,4
43,"부광약품, LID 치료제 임상서 유효성·안전성 입증",2016.09.07,4
44,"부광약품 ""당뇨병 신약후보 임상서 효과 입증""",2016.06.13,4
45,"부광약품 프로바둑팀, 한국여자바둑리그 통합챔피언 등극",2016.06.03,4
46,"부광약품, 美제약사 지분 인수",2016.05.20,4
47,한갑현 의약품광고심의위원장 재선임,2016.05.04,4
48,상장제약사 CEO 4명 중 1명은 서울대…약학 전공자 많아,2016.03.25,4
49,"제약업계 미성년자 3세, 억대 '금수저' 배당금",2016.03.21,4
50,녹십자 독감백신 승승장구…수출 신기록,2016.03.10,4
51,"부광약품, 자체 개발 개량신약 '덱시드정' 동남아 수출 계약",2016.03.09,4
52,"부광약품, 현저한 시황변동 관련 조회공시 요구",2016.01.20,4
53,바라크루드 '제네릭 大戰'…부광약품 '신승',2015.12.17,4
54,"부광약품, 국내 첫 치아교정기 세척제 '피티덴트' 허가",2015.11.26,4
55,"부광약품, 신약 LID치료제 JM-010 미국내 특허 취득",2015.11.11,4
56,부광약품 'TVM 캐피탈 아시아 컨퍼런스' 개최,2015.10.30,4
57,"부광약품, 아이진 주식 5만8000주 임직원에 무상 지급",2015.10.20,4
58,"부광약품, 간염치료제 바라크루드 제네릭 출시",2015.10.01,4
59,"부광약품 ""無 파라벤 치약 선물하세요""",2015.09.17,4
60,"부광약품, 기억력 개선효과 '아이큐플러스정' 발매",2015.09.09,4
61,"부광약품, 美 희귀약개발 바이오벤처에 200만달러 투자",2015.07.22,4
62,[여름건강지킴이]부광약품 잇몸치료제 '부광탁스',2015.07.21,4
63,제약서 36곳 혁신형 제약 인증 연장,2015.06.26,4
64,"부광약품, 잇몸 전용 치약 '부광탁스 프리미엄' 발매",2015.04.22,4
65,[슈퍼주총]국내 제약업계 최초 여성 CEO 탄생,2015.03.20,4
66,"부광약품, 당뇨병 신약물질 글로벌 임상 돌입",2015.02.23,4
67,"부광약품, 전문 사업부제로 전격 조직 개편",2015.02.10,4
68,"부광약품 , 한국여자바둑리그 부광탁스팀 창단",2014.12.05,4
69,"미래부, 국내 최대 공개SW 개발자대회 최종 수상자 확정",2014.12.01,4
70,"부광약품, 덴마크 바이오벤처 인수",2014.11.25,4
71,부광약품 '제 1회 TVM 캐피탈 아시아 컨퍼런스' 개최,2014.10.31,4
72,후계 경영 활발한 제약사 어디,2014.09.29,4
73,"부광약품, 유럽 중추신경계 전문 바이오벤처 인수",2014.09.23,4
74,"부광약품, 새 기전 당뇨병 치료제 임상 승인",2014.09.16,4
75,렘데시비르 랑 병용 하면 효과는 UP 사망률은 DOWN!!,2020.08.31,5
76,여름철 제초작업 조심하셔야 합니다! 미리 준비합니다!,2020.08.29,5
77,내수시장 말고 이제는 수출이 답입니다! 항원신속진단키트 수출!,2020.08.28,5
78,“첨단재생바이오법” 세부사항 마련! 지금 훨훨 날아가는 종목은?,2020.08.26,5
79,본격적으로 국산화 시작합니다! 제대로 터졌다!!,2020.08.25,5
80,렘데시비르! 미국 FDA긴급사용승인 유일하게 받았습니다!,2020.08.21,5
81,말씀드렸죠? 전파력이 6배 라고! GH형 大 유행!,2020.08.20,5
82,우리가 먼저 간다! 항체치료제 및 DNA백신 효능결과 확인!,2020.08.19,5
83,언제 종식이 찾아올까? 신규확진자 100명대 급증!!,2020.08.18,5
84,‘ㅇㅇ약품’ 비임상 실험 완료 성공여부는?!,2020.08.14,5
85,이제는 특허 전쟁 ‘ㅇㅇ약품’ 치료 특허 등록 완료!!,2020.08.13,5
