,Title,Date,Category
0,한국發 입국금지 149개국으로 감소…'코로나19' 봉쇄 불구 12개국서 기업인 5635명 예외 입국,2020.05.23,2
1,삼성 계열사·협력사 직원 215명 중국行…한중 '신속통로' 제도 적용,2020.05.10,2
2,"외국인, 보름간 韓 주식 2.4兆 매수…반도체가 절반",2019.04.17,2
3,"삼성 고위 경영진, 이재용 행보에 조심스러운 태도 ""묵묵부답""",2018.02.07,2
4,"法 ""이부진 부부 이혼…임우재에 86억 분할하라""",2017.07.20,2
5,[한주뉴스]이인제·김문수 '탄핵 반대 태극기 집회' 참석,2017.02.05,2
6,'정유라 특혜대출 의혹' 하나은행 임원…최순실 혐의 캘 키맨될까,2017.02.02,2
7,특검에 두번째 붙잡혀온 최순실…'알선수재 혐의' 조사,2017.02.01,2
8,"특검, '알선수재 혐의' 최순실 두번째 체포영장 집행",2017.02.01,2
9,"법원, 최순실 알선수재 혐의 체포영장 발부…이르면 내일 집행",2017.01.31,2
10,"특검, 최순실 알선수재 혐의로 체포영장 청구",2017.01.31,2
11,유재경 미얀마 대사 “대사면접 있는지 몰라”…삼성전기 30년 근무 영업맨,2017.01.31,2
12,추천인 모른다던 유재경 대사…특검서는 최순실 만남·추천 인정,2017.01.31,2
13,駐미얀마 대사에 '삼성맨' 유재경...'경제외교' 염두,2016.05.23,2
14,24일부터 국내 최대 '소재부품산업주간' 개최,2015.11.23,2
15,전자회로기판 산업 연간 15조…세계 3위 규모 성장,2015.04.22,2
16,"삼성, 국내 20만 임직원 '분산휴가' 권고…코로나 확산방지·내수 활성화",2020.07.12,3
17,"에너지공단, KT 등 15개사와 대·중소기업 동반성장 업무협약",2020.06.26,3
18,"WTO 사무총장선거 본격화…韓 ""국익·당선여부 검토해 결정""",2020.06.21,3
19,동반성장지수 中企체감도 '하락'…펫산업 적합업종 '비권고'(종합),2019.06.27,3
20,삼성전자 등 동반성장 '최우수'…中企체감도 '하락',2019.06.27,3
21,“나들이엔 역시 본도시락”…5월 매출 껑충,2019.05.24,3
22,"삼성 백혈병 피해보상 담당할 보상위, 12월 사무국 개설...올해안 보상 시작",2018.11.25,3
23,"삼성 “노력부족 인정, 보상에 최선다할것”…반올림 “계열사까지 적용해야”(종합)",2018.11.23,3
24,"전자업계 고용도 실적따라...""삼성전자 1년만에 임직원 3000명 증가""",2018.11.18,3
25,"삼성전기, 김장김치 1만포기 담궈 이웃과 나눈다",2018.11.14,3
26,"'초격차' 주도한 前 삼성 부회장 3인의 당부 ""안주하지않는 퍼스트무버되라""",2018.11.02,3
27,"김기남 삼성전자 사장 ""외풍에 흔들리지 않는 사업 기반 만들자""",2018.11.01,3
28,"이윤태 대표 ""세계적인 부품사로 성장한 삼성전기, 2.0 준비해야""",2018.11.01,3
29,"사상최대실적 낸 삼성전기 ""MLCC 가격 계속 오른다...고점 논란 일축""",2018.10.31,3
30,"삼성전기, 3분기 사상 최대 실적...연간 영업이익 신기록 세운다(종합)",2018.10.31,3
31,"삼성전기, MLCC 호황으로 사상 최대 영업이익...어닝서프라이즈(상보)",2018.10.31,3
32,"삼성전기 3분기 매출액 2조3663억원, 영업이익 4050억원(2보)",2018.10.31,3
33,삼성전기 3분기 영업이익 4050억원...전년比 292.5% 증가·분기 사상최대(1보),2018.10.31,3
34,"이재용 부회장 ""베트남 투자 규모 확대할것...기업하기 좋은 나라""",2018.10.31,3
35,"""반도체 없어도""...삼성전기 신기록 경신·LGD 흑자전환, 부품업계 실적주간",2018.10.22,3
36,"이윤태 삼성전기 대표 ""전장사업 주목...부품사 전성시대 온다""",2018.10.11,3
37,부품업계 3분기 실적 '파란불'...사상최대 영업익 삼성전기·흑자전환 LGD,2018.09.30,3
