,Title,Date,Category
0,[단독] 한일의원연맹 도쿄올림픽 지원특위…재계 인사 영입 고려,2019.11.01,2
1,安 인재영입 3호 '시·구의원 도전자' 발표,2018.03.25,2
2,동물사료 업체들도 가격 짬짜미..과징금 773억원 부과,2015.07.02,2
3,'친일기업' 오명쓸까 '불매운동' 타깃될까…한일축제한마당 후원기업 '전전긍긍',2019.07.26,3
4,JB금융 최대주주 '삼양사' 영향력 더 커졌다,2019.04.17,3
5,"삼양그룹 정기 임원인사…윤재엽 삼양홀딩스 부사장, 사장 승진",2018.12.04,3
6,"전경련, 日 자민당 니카이 간사장 방한단과 만나",2018.08.02,3
7,[슈퍼주총]김윤 삼양홀딩스 대표이사 회장·김량 부회장 재선임,2017.03.24,3
8,축하하는 자린데 걱정이 앞선다…씁쓸한 상공의 날,2017.03.15,3
9,금탑산업훈장에 김원 삼양홀딩스 부회장·변종문 지엠비코리아 대표,2017.03.15,3
10,[전경련 허창수 유임]재계의 신사와 꼼꼼한 싸움닭…'뉴 전경련'시동,2017.02.24,3
11,"[전경련 허창수 유임]허창수의 결자해지 ""유착근절·투명경영·싱크탱크 3대 혁신추진""(종합)",2017.02.24,3
12,"허창수 전경련 회장 연임"" 정경유착 근절""…상근부회장 권태신(상보)",2017.02.24,3
13,"삼양그룹, 사회복지공동모금회에 이웃돕기 성금 3억 원 전달",2016.12.28,3
14,[인사]삼양그룹,2016.11.24,3
15,"[수퍼주총]삼양홀딩스, 보통주 1500원 배당",2016.03.25,3
16,'원샷법' 통과 지주사 재평가 기대…'공급과잉' 자회사 보유 지주사에 주목,2016.02.06,3
17,"국민연금, 지난해 제약·바이오주 집중 투자",2016.01.22,3
18,"삼양사, 주가 13% 급락 이유는 합병 신주 상장 때문",2016.01.22,3
19,"삼양사, 지주사 전환 후 5년만의 첫 세무조사",2016.01.21,3
20,[인사]삼양그룹,2015.11.30,3
21,[포토]황교안 국무총리-전경련 회장잔 만찬,2015.11.19,3
22,"[포토]황교안 국무총리, 전경련 회장단 만찬",2015.11.19,3
23,"韓·中·日 경제계 ""제조업 출혈경쟁 보다 협업 필요해""",2015.11.01,3
24,"도쿄에 모습 드러낸 신동빈 회장 ""오늘은 노코멘트""",2015.10.26,3
25,"日 경제계 ""한국 TPP 참여 기대""",2015.10.26,3
26,"한일 재계 ""양국 갈등, 산업협력으로 풀자""",2015.10.26,3
27,"삼양사, 삼양홀딩스 계열사 삼양제넥스 흡수합병",2015.09.11,3
28,"""新 경제협력 구축하자""…韓·日 경제인 공동성명 채택(종합)",2015.05.14,3
29,"""新 경제협력 구축하자""…韓·日 경제인 공동성명 채택",2015.05.14,3
30,"박용만 대한상의 회장 ""법·제도 바꿔 새로운 기회 열어달라""",2020.01.03,4
31,김우중 빈소 이틀째 조문행렬…최태원·허창수 등 총 7000여명 다녀가,2019.12.11,4
32,"최태원 SK 회장 ""글로벌 현안 대응 위해 아시아 리더십 강화해야""",2019.12.06,4
33,"갈등 풀자, 한일재계가 나섰다",2019.11.15,4
34,한일 갈등 해결 나선 허창수 전경련 회장,2019.11.14,4
35,"김윤 전경련 부회장, 'Business at OECD 이사회' 참석",2019.10.01,4
36,"한일경제인회의, 진통 끝 9월 개최…교류 지속",2019.07.30,4
37,'친일기업' 오명쓸까 '불매운동' 타깃될까…한일축제한마당 후원기업 '전전긍긍',2019.07.26,4
38,"전경련, 디지털 경제시대 OECD 동향과 규제 세미나 개최",2019.05.09,4
39,허창수 전경련 회장 4연임,2019.02.27,4
40,"文 ""한·중·일 혁신성장으로 세계 경제질서 주도하자""",2018.05.09,4
41,韓·日·中 비즈니스 서밋…3국 대표 기업인 50여명 참석,2018.05.07,4
42,"삼양홀딩스, 김윤 대표이사 체제로 변경",2018.03.23,4
43,오늘 식품 '슈퍼주총데이'…오너家 전진배치·미래 먹거리 발굴,2018.03.23,4
44,"'구직난' 한국-'구인난' 일본, 청년교류로 돌파구 찾는다",2017.10.20,4
45,"한일 경제계, 청년인재 교류로 돌파구 모색",2017.10.20,4
46,"허창수 회장 ""아시아가 세계경제 성장을 선도할 것""",2017.07.25,4
47,"전경련, 24~25일 아시아비즈니스 서밋 개최",2017.07.06,4
48,"김윤 삼양홀딩스 회장, 韓 경제계 대표로 BIAC 총회 참가",2017.06.06,4
