,Title,Date,Category
0,"이집트, 한국산 차량용 축전지 수입규제 조치 해제",2015.12.14,2
1,"한전, 20개 국내외 기업과 에너지밸리 투자협약 체결",2015.11.17,2
2,"[포토]성윤모 장관, UAE서 정상순방 후속조치 점검·지상사 간담회",2019.01.15,3
3,[文정부 동반성장지수]협력사에 653억 인센티브·1만5천명 연봉 10% 올려준 기업들,2018.06.27,3
4,불안장세 끄떡없는 '저PBR 펀드'…믿을 건 현금·자산,2016.11.28,3
5,"""大기업 벗어나니 新사업이 보이더라""",2016.03.23,3
6,"안충영 동반위원장 ""저성장·양극화 해법은 동반성장""",2015.12.17,3
7,"한전, 20개 국내외 기업과 에너지밸리 투자협약 체결",2015.11.17,3
8,[文정부 동반성장지수]협력사에 653억 인센티브·1만5천명 연봉 10% 올려준 기업들,2018.06.27,4
9,[文정부 동반성장지수] 쿠쿠전자·오비맥주 등 '미흡' 15개사,2018.06.27,4
10,"""大기업 벗어나니 新사업이 보이더라""",2016.03.23,4
11,"안충영 동반위원장 ""저성장·양극화 해법은 동반성장""",2015.12.17,4
12,"이집트, 한국산 차량용 축전지 수입규제 조치 해제",2015.12.14,4
13,"나라엠앤디, 2차전지 테마 상승세에 7.0% ↑",2020.08.06,5
14,"후성, 2차전지 테마 상승세에 7.11% ↑",2020.08.06,5
15,"상신이디피, 2차전지 테마 상승세에 9.09% ↑",2020.08.06,5
16,"코스모화학, 2차전지 테마 상승세에 12.53% ↑",2020.08.06,5
17,"윌링스, 전력저장장치(ESS) 테마 상승세에 7.62% ↑",2020.06.01,5
18,"신성이엔지, 전력저장장치(ESS) 테마 상승세에 15.92% ↑",2020.06.01,5
19,"엘앤에프, 2차전지 테마 상승세에 1.15% ↑",2020.05.26,5
20,"에코프로비엠, 2차전지 테마 상승세에 3.4% ↑",2020.05.26,5
21,"후성, 2차전지 테마 상승세에 1.4% ↑",2020.05.26,5
22,"삼성SDI, 2차전지 테마 상승세에 3.06% ↑",2020.05.26,5
23,"삼진엘앤디, 2차전지 테마 상승세에 5.38% ↑",2020.05.26,5
24,"코스모신소재, 2차전지 테마 상승세에 3.08% ↑",2020.05.26,5
25,"씨아이에스, 2차전지 테마 상승세에 2.64% ↑",2020.05.26,5
26,"SKC, 2차전지 테마 상승세에 1.8% ↑",2020.05.26,5
27,"상신이디피, 2차전지 테마 상승세에 3.57% ↑",2020.05.26,5
28,"피엔티, 2차전지 테마 상승세에 2.3% ↑",2020.05.26,5
29,"LG화학, 2차전지 테마 상승세에 2.26% ↑",2020.05.26,5
30,"세방전지, 지난해 연결 영업익 1113억원…전년比 59.3%↑",2019.01.31,5
31,[e공시 눈에 띄네]코스피-17일,2017.05.18,5
32,"세방전지, 50억원 규모 자기주식 신탁계약 해지",2017.05.17,5
33,"[클릭 e종목]""세방전지, 납 가격 상승+연비규제 수혜 기대""",2017.04.07,5
34,[e공시 눈에 띄네]코스피-16일,2017.03.17,5
35,불안장세 끄떡없는 '저PBR 펀드'…믿을 건 현금·자산,2016.11.28,5
36,"세방, 세방전지에 420억원 규모 유형자산 처분",2016.07.01,5
37,'Bye 코리아' 25일만에 멈췄다,2015.09.09,5
38,"外人 셀 코리아, 25거래일만에 스톱…1900선 회복",2015.09.09,5
39,"템플턴자산운용, 세방전지 지분율 7.98%로 증가",2015.08.27,5
40,"세방전지, 임원 박광희 씨 254주 장내매수",2015.06.24,5
41,증시 활황에 신예 황제·귀족주도 늘었다,2015.04.17,5
42,세방전지 각자대표 체제로,2015.03.13,5
43,[굿모닝증시]달라진 2000선의 무게감,2015.03.09,5
44,"장 종료 후 ""이 공시 눈에 띄네"" (코스피-23일)",2015.02.24,5
45,"템플턴운용, 세방전지 보유지분 6.04%로 늘어",2014.12.10,5
46,,,6.0
47,,,7.0
48,"중국 초위그룹, 광주시와 전기차 협력 의사 밝혀",2017.11.16,8
49,제1회 아시아경제 호남·남구협회장기 배드민턴 대회 성료,2017.07.10,8
50,"세방전지 광주공장, 광주 광산구에 이웃돕기 쌀 205포 전달",2017.02.21,8
51,"광주광산소방서, 대형화재취약대상 훈련 실시",2017.01.10,8
52,"광주시, 수소차 글로벌 허브도시 추진 가속화",2016.07.13,8
53,"[포토]윤장현 광주시장, 세방전지(주) 방문",2016.06.03,8
54,"㈜세방전지 광주공장 임직원,투게더 광산에 이웃돕기 물품 전달",2016.03.18,8
55,"전남도, 한전·광주시와 20개 기업 투자협약",2015.11.17,8
56,"이웃이 발굴하고, 민·관은 돕고",2015.04.21,8
57,,,9.0
58,,,10.0
59,,,11.0
