,Title,Date,Category
0,"""애완용 검사들 득세하는 세상"" vs ""검사가 정권 애완용 취급""",2020.08.10,2
1,"""나라가 영·호남으로 갈라졌다"" 4.15 총선, 깊어지는 지역갈등",2020.04.17,2
2,"김종인 ""미래통합당, 기회 주신다면 유능한 야당으로 거침없이 개정""",2020.04.14,2
3,[2020경제정책]에쓰오일 '울산 석유화학공장'·신세계 '스타필드 청라' 건립 속도,2019.12.19,2
4,"文대통령, 말레이시아 총리와 정상회담…""경제협력 확대…FTA체결 노력""",2019.11.28,2
5,"[2019 국감]""차명주식 실명전환 10년간 1조…과징금 부과는 0원""",2019.10.11,2
6,"산자위, '조국 펀드' 관련 익성·웰스씨앤티 대표 증인 채택",2019.09.24,2
7,"유승민 “文대통령, 정상이 아냐…국민 저항권으로 끝장내야”",2019.09.10,2
8,외식가격 상승에 '간편식 삼계탕' 잘 나가네,2019.07.13,2
9,"'日수출규제' 맞닥뜨린 재계, 文대통령 만나 ""긴 호흡으로""…장기전 우려",2019.07.10,2
10,"靑 오찬도 없이 간담회 진행…재계 ""외교로 풀 문제를…""",2019.07.10,2
11,"'강제노역설' 김영철, 건재 확인…김정은과 예술공연 관람(종합)",2019.06.03,2
12,'강제노역설' 김영철 건재 확인…김정은과 함께 군 예술공연 관람,2019.06.03,2
13,"이언주 “민주노총, 조폭보다 더한 이권단체 해산돼야”",2019.01.29,2
14,"문 대통령, 호프미팅 땐 ""경제철학 공유"" 타운홀미팅 땐 ""투자와 고용""",2019.01.16,2
15,"황금 돼지해, '진짜 황금' 준비한 유통가",2019.01.01,2
16,"박영선 ""대기업이 면세점 매출액 99% 차지""",2018.09.26,2
17,"김정훈 ""공정위 소비자중심경영 인증기업 24%는 행정조치 처분기업""",2018.09.25,2
18,2018년 코리아세일페스타 2주 앞으로…'할인과 혜택' 동시에,2018.09.14,2
19,"김동연 만나는 삼성, ""잘해봐야 본전"" 막판 준비 열심...100조 투자는 미지수",2018.08.05,2
20,인천시장 공식 선거운동 첫날…박남춘 '세월호 추모' vs 유정복 '출정식',2018.05.31,2
21,"김상조 ""공정거래법 개정안, 동일인 지정·형벌 조항 개선할것""(종합)",2018.05.10,2
