,Title,Date,Category
0,"[단독]文 캠프 출신 '올드보이', 금융 낙하산 못탄다",2017.11.23,2
1,"은성수-5대 금융지주 회장, 4개월 만 회동…""빅테크와 역차별 해소해야""(종합)",2020.07.23,3
2,"신한지주, 국내 금융지주사 최초 외화 소셜본드 5억달러 발행 성공",2020.07.07,3
3,"신한지주 편입 1년 된 아시아신탁, 사업다각화 추진",2020.05.30,3
4,1분기 금융지주 실적에 엇갈린 시각 '선방' vs '충격 시작',2020.05.02,3
5,"1분기 금융지주 실적…신한·하나 웃고, KB·우리 울상(종합)",2020.04.27,3
6,코로나 쇼크 반영도 안됐는데…실적 빨간불 켜진 4대 금융지주,2020.04.27,3
7,'역대 최악 위기' 보험업계…보험사 매물은 나오면 팔려(종합),2020.04.13,3
8,보험업황 최악인데…보험사 인수전 급물살 탄 까닭,2020.04.13,3
9,막오른 금융권 주총…'우리지주 회장 연임' 최대 이슈,2020.03.19,3
10,"신한금융, 신규 사외이사 2명 추천…여성 사외이사 포함",2020.03.05,3
11,"코로나19·라임에 은행株, 이젠 '천원대'…4대 지주 순익 11조 무색",2020.02.25,3
12,주가 부양 시급한데…코로나19에 '해외 IR' 발묶인 금융지주 CEO,2020.02.13,3
13,[괴물된 GA]③보험대리점 잘못 팔았으면 책임져야…법 개정 절실(종합),2020.02.12,3
14,[괴물된 GA]③권한만큼 책임지는 시대로…제조·판매 분리해야,2020.02.12,3
15,"라임 수습, 키코 배상…2기 체제 들어선 '조용병號' 첫 시험대(종합)",2020.01.28,3
16,"신한금융, 최근 이사회 열어 '라임 사태' 논의",2020.01.27,3
17,"오렌지라이프 주주, '신한금융 완전자회사 반대' 4% 불과(종합)",2020.01.13,3
18,오렌지라이프 신한금융 완전자회사…'반대 4%' 불과,2020.01.13,3
19,"시중은행 8개사, 4분기 실적은? 순익 2.4조 '양호'",2020.01.11,3
20,"[포토]조용병 회장 ""신뢰·개방성·혁신으로 '일류신한' 도약""",2020.01.02,3
21,임영진·정문국 연임…신한금융 자회사 인사 '안정' 택했다,2019.12.19,3
22,"조용병, 오렌지라이프·아시아신탁 빅딜로 협상대상 수상",2019.12.19,3
23,조용병 회장 연임됐지만 숨돌릴 틈없이 바쁜 연말,2019.12.17,3
24,"재신임 받은 조용병 ""사회나 주주로부터 신뢰받는 금융 될 것""",2019.12.13,3
25,"신한금융 차기 회장 후보 결정…조용병 ""원점에서 준비""",2019.12.13,3
26,"신한금융, 차기 회장 후보군 조용병·진옥동 등 5명 확정",2019.12.04,3
27,"금감원, 신한금융에 조용병 회장 재판 리스크 우려 전달",2019.12.04,3
28,'알짜' 푸르덴셜 매각 추진...생보 M&A시장 술렁,2019.11.29,3
29,"신한희망재단, 10만 소상공인 사업장에 경영 지원 팔걷어",2019.11.21,3
30,"신한금융 직원 30명, CEO와 정기모임하는 이유는?",2019.11.18,3
31,"신한금융, 오렌지라이프 완전자회사로…생명과 통합 탄력",2019.11.15,3
32,내달 '왓소축제' 참석차 조용병·진옥동 일본行,2019.10.30,3
33,"신한금융, 3Q 순익 9816억…명실상부 '리딩뱅크'",2019.10.25,3
34,"신한생명-오렌지라이프, 통합작업 가속도",2019.10.22,3
35,"신한금융, 퓨처스랩 기업과 간담회서 발전방안 모색",2019.10.15,3
36,[소프트M]'2020프로젝트' 마무리…조용병 회장 다음 수는?,2019.10.15,3
37,[금융에세이]11조…4대 금융지주 역대 최대 실적 전망,2019.10.13,3
38,신한·KB '리딩뱅크' 타이틀 경쟁,2019.10.11,3
39,"신한금융, 印尼서도 '외국계 1위' 작전",2019.10.07,3
40,"일자리위 ""4차산업혁명시대 금융일자리 창출 포럼 개최""",2019.09.26,3
41,"임기 반년 남은 조용병, 내실·혁신 잡았다",2019.09.05,3
42,"신한 ""일본 여파 환율 급등 우려"" 하나 ""실질적 피해 제한적""",2019.08.20,3
43,신한생명·오렌지라이프 '한지붕 라이벌',2019.08.06,3
44,"신한금융지주, 5억불 규모 외화 지속가능채권 발행",2019.07.30,3
45,신한금융지주 상반기 순익 1조9144억…'리딩뱅크 수성',2019.07.25,3
46,"신한금융, 의식 잃은 마라톤 참가자 구한 배병윤씨 희망영웅 선정",2019.06.11,3
47,조용병 해외투자 노크…호주 원정길,2019.06.03,3
48,"신한금융, S&P 신용 'A등급' 획득…""대내외 신인도 향상""",2019.05.29,3
49,"신한금융, 국내외 투자자·애널리스트와 베트남 진출 성과 확인",2019.05.28,3
50,신한 찾는 해외 큰손들…조용병의 '뚜벅이 경영' 통했다,2019.05.24,3
51,'은행업 PBR 0.4배'…주가 부진에 속 태우는 금융지주,2019.05.17,3
52,"신한지주, 신한금융투자에 6600억 출자 결정…""초대형 IB 육성""",2019.05.10,3
53,"[디지털빅뱅①]아마존 카드발급 척척…은행, IT DNA 이식부터",2019.05.08,3
54,"신한금융, 1분기 순이익 9184억…전년비 7.1%↑",2019.04.25,3
55,"신한금융, 스마트 프로젝트 2단계…'사업부문 고도화' 방점",2019.04.18,3
56,"금융위, 신한지주 아시아신탁 자회사 편입 승인",2019.04.17,3
57,"신한, 1분기 리딩뱅크 수성 유력…하나·우리는 3위 접전",2019.04.16,3
58,"금감원, 신한·JB·수협銀 종합검사…보험사 첫 타자는 한화생명",2019.04.08,3
59,"주가부양 플랜 들고…금융지주 CEO, '해외 IR' 플라잉~",2019.03.27,3
60,일사천리로 마무리된 우리은행 주총,2019.03.27,3
61,1세대 인터넷銀 두돌…'새로운 메기' 토스·키움뱅크 등판,2019.03.20,3
62,'미래 유니콘'에 돈 푸는 은행들…실리콘밸리 모험자본化,2019.03.18,3
63,"금융권, 27일 슈퍼주총…조용한 주총 속 '배당금 파티'",2019.03.13,3
64,"신한금융, 이윤재·변양호·성재호·허용학 사외이사 추천",2019.02.26,3
65,종합검사 부활 금감원…칼잡이 검사역 450명 연수 '심기일전',2019.02.26,3
66,"신한지주, IMM PE와 7500억 전환우선주 인수계약 체결",2019.02.25,3
67,임기만료 앞둔 위성호 신한은행장의 '험로',2019.02.22,3
68,'실적 악화' 보험사…최대주주는 '돈방석',2019.02.19,3
69,"금융지주사는 외국계?…지분율 70%, 1조4000억 해외로",2019.02.13,3
70,"신한금융, 7500억 유상증자 결정…""신성장 위한 자본 확보""",2019.02.12,3
71,"신한금융, 순이익 3조1567억…그룹 창립 이후 최대 실적",2019.02.12,3
72,신한생명 신임 대표에 성대규 전 보험개발원장,2019.02.12,3
73,윤종규 vs 조용병…'리딩금융' 타이틀 놓고 접전,2019.01.31,3
74,신한금융 '지속가능 100대 기업' 7년 연속 선정,2019.01.22,3
75,'리딩뱅크' 신한…3개 기둥 '대출·비은행·디지털',2019.01.22,3
76,"신한금융, 블룸버그 '성평등 우수기업' 선정",2019.01.17,3
77,"오렌지라이프 품은 신한지주…조용병 ""업계 톱3 도약""",2019.01.16,3
78,[금주의 금융소식]파업에 구속까지...'다사다난' 은행권,2019.01.13,3
79,이광구 前 행장 구속…신한·하나 채용비리 재판 영향은,2019.01.10,3
80,"조용병 신한지주 회장 ""5년간 글로벌 인재 1000명 육성""",2019.01.07,3
81,"신한금융, 주주가 추천하는 사외이사 공모제 시행",2019.01.07,3
82,"조용병 ""'원 신한' 최고의 가치…아시아 리딩금융그룹 도약""",2019.01.06,3
83,"조용병 신한지주 회장 ""CEO 인사…세대교체 가장 중요""",2018.12.21,3
84,"진옥동 신한금융지주 부사장, 신한은행장에 내정",2018.12.21,3
85,"조용병 신한지주 회장, 신입직원에게 '초심·협업·으뜸' 당부",2018.12.18,3
86,"금융권 수장, 인도네시아 총집결 배경은",2018.10.07,3
87,윤종규式 '계열사 수술'...국민카드 첫 신호탄,2018.09.12,3
88,금융권 CEO '보수킹' 22억 정태영...2위는 20억 유상호,2018.08.15,3
89,[부고]소재광(전 신한금융지주 부사장)씨 부친상,2018.08.09,3
90,"신한금융지주, 외화 상각형 조건부자본증권 5억달러 발행 성공",2018.08.08,3
91,신한금융지주 상반기 순이익 1조7956억 기록,2018.07.24,3
92,M&A업계가 주목하는 조용병 신한지주 회장,2018.06.04,3
93,생보사 M&A '우리'가 베팅액 높일까,2018.05.23,3
94,"조용병 회장, '국제신용등급' 날개 달았다",2018.05.15,3
95,신한 '금융 보물섬' 열린다,2018.03.26,3
96,"신한, 경영리더 기르는 선구안…'인재론' 조용병의 고견",2018.03.16,3
97,신한금융그룹 경영진 인사…신한생명 이병찬 사장 연임,2018.03.06,3
98,작년 금융권 사외이사 '연봉킹'은 KB금융지주,2018.03.05,3
99,금호타이어 위험노출자산 많은 은행은…산업銀＞우리銀＞하나銀,2018.03.02,3
100,"신한은행, 5377억 상각형 조건부자본증권 발행 결정",2018.02.22,3
101,지난해 외국인 투자자 배당금 9조원,2018.02.18,3
102,"금융지주, ""국내 보험사 인수 마땅찮네""",2018.02.12,3
103,"신한금융지주, 2017년 순익 2조9719억 '4년 연속 증가세'",2018.02.07,3
104,"[금융그룹 뉴경영전략]신한금융, ‘리딩 금융’ 속도 올린다",2018.01.30,3
105,신한금융지주 상반기 인사 통해 부서장 평균 연령 '40대'로,2018.01.24,3
106,"조용병 신한금융 회장, M&A포문",2018.01.24,3
107,하나금융지주 셀프인사 의혹 방지 유효경쟁,2018.01.17,3
108,하나금융 쇼트리스트 확정…김정태ㆍ최범수ㆍ김한조 '3파전'(종합),2018.01.16,3
109,하나금융 쇼트리스트 확정…김정태ㆍ최범수ㆍ김한조 '3파전',2018.01.16,3
110,"신한금융, 자회사 경영진 후보 추천…그룹 투자운용사업부문 신설",2017.12.26,3
111,"신한금융, 2700억 규모 사회공헌…소외계층·中企 지원",2017.12.12,3
112,"우리은행장, '한일銀 vs 상업銀', '호남 vs TK'",2017.11.27,3
113,"신한금융, '韓 사랑받는 기업 정부포상' 대통령 표창 수상",2017.11.13,3
114,"신한금융-서울대 기술지주社, '유망 스타트업 발굴·투자' MOU 체결",2017.11.01,3
115,"KB금융, 지주설립 이래 첫 1위…올해 3兆 달성할 듯",2017.10.31,3
116,"신한금융, 3분기 누적 손익 2.7兆…작년 연간실적 육박",2017.10.30,3
