,Title,Date,Category
0,"軍복무 중 가습기살균제 피해자 찾는다…국방부 ""지원센터 운영""",2019.09.09,2
1,"국방부 ""軍, 가습기살균제 피해 확인 안돼…실태조사 할 것""",2019.08.19,2
2,"박천규 차관 ""가습기 살균제 피해, SK케미칼·애경산업도 책임져야""",2018.10.29,2
3,"김정훈 ""공정위 소비자중심경영 인증기업 24%는 행정조치 처분기업""",2018.09.25,2
4,"환노위, 홍장표 국감 참고인 채택…경제인도 10명 넘어",2018.09.20,2
5,"농협, 협력사와 5억 기부물품 전달",2015.12.23,2
6,공정위 '소비자중심경영' 14개사에 인증서 수여,2015.06.19,2
7,선물 세트에 '위생용품 세트' 첫 등장…코로나가 바꾼 추석 대목,2020.08.24,3
8,"AK플라자, 추석 선물 사전예약 판매 개시",2020.08.21,3
9,"삼양식품 불닭 캐릭터 ‘호치’, 다양한 굿즈로 만난다",2020.06.24,3
10,"촌스럽다, 끌린다…'복고 감성' 왜 통할까",2020.06.10,3
11,"한우·삼겹살 싸게 판다…AK플라자, 66주년 기념 '육육마켓' 실시",2020.05.25,3
12,약사·편의점주도 '마스크 대란'에 난색…'사스 효과' 김치·양파 특수,2020.01.31,3
13,"애경산업 스니키, '귀차니즘' 남성 위한 '리얼 올인원 데이 앤 나잇'",2019.12.16,3
14,"케라시스, 퍼퓸 출시 7주년 기념 '데빌스 퍼퓸 에디션' 출시",2019.12.09,3
15,K-뷰티 육성한다면서…규제 리스크 노출된 中企 화장품(종합),2019.12.06,3
16,'포장 용기 바꿔라' 자원재활용법에 날벼락…中企 화장품 소외,2019.12.06,3
17,"애경산업, '사랑의 연탄 나눔 봉사활동' 진행",2019.12.06,3
18,"루나, 홀리데이 에디션 '글로우가즘 에디션' 출시",2019.12.02,3
19,"애경산업, 16번째 사랑의 김장 나눔 행사 진행",2019.11.28,3
20,"아이솔브, 히알루론산 담은 '유스 비타카로틴 인텐스 아이크림' 출시",2019.11.25,3
21,"루나, '1분에 4천번' 두드림 모듈 적용한 신개념 '터치 팩트' 출시",2019.11.22,3
22,"애경산업, 서울시와 함께 소외계층 3천 가구에 11억원 상당 선물 전달",2019.11.21,3
