,Title,Date,Category
0,지진 때 야외 대피용 천막 13개 시·도에 배분,2017.02.03,2
1,아프리카 동서부 경제사절단 31개 기업 파견,2015.11.29,2
2,(주)아이넷방송 박준희 회장 서울대학교 발전위원회 협력위원으로 위촉,2019.12.24,3
3,"노스페이스, 7년 연속 의류·패션 브랜드 1위 '굳건'",2019.12.10,3
4,"""내가 제일 잘나가~""…해외서 '깜짝실적' 낸 우리銀·KB캐피탈",2019.02.18,3
5,"섬유패션산업, 첨단산업으로 재도약 다짐",2017.11.10,3
6,"성기학 섬산련 회장, '텍스리스 인디아 2017' 개막식서 기조연설",2017.06.30,3
7,"""회사는 적자 내는데""…수십억 보수 받는 등기임원들",2017.04.09,3
8,"섬산련 장학재단, 장학금 4억6500만원 지급",2017.02.28,3
9,지진 때 야외 대피용 천막 13개 시·도에 배분,2017.02.03,3
10,"노스페이스, 명동 직영점 프리오픈",2017.01.24,3
11,"G마켓ㆍ옥션, 타키 브랜드 위크 대전 진행…최대 57%↓",2016.11.07,3
12,"[포커스人]오픈마켓의 변신, 사령관이 뛴다",2016.08.17,3
13,[벼랑끝에 선 패션業]의류 OEM업체 마진의 핵심은 인건비,2016.08.03,3
14,"[구태회 별세]조양호 회장 ""오늘 마지막으로 뵈러 왔다""",2016.05.09,3
15,[구태회 별세]조문 이틀째…LG 오너 일가 등 각계 인사 빈소 찾아(종합),2016.05.08,3
16,"[구태회 별세] 이병기 대통령 비서실장 ""1세대 기업인들 역사 뒤안길로, 허망한 마음 뿐""",2016.05.08,3
17,"[구태회 별세]구본준 부회장 ""회사 기틀 만드는데 크게 기여하신 분…안타깝다""",2016.05.08,3
18,"[구태회 별세]심재철 의원 ""LS는 안양에서 굉장히 중요한 기업""",2016.05.08,3
19,"[구태회 별세]구본무 LG그룹 회장 ""애통하다""",2016.05.08,3
20,[구태회 별세]허창수 GS회장·이기권 고용부 장관 등 조문,2016.05.08,3
21,"이베이코리아·영원무역, 온라인 판매 강화 '맞손'",2016.04.11,3
22,"유진證 ""제이에스코퍼레이션, 안정적 성장 기대되는 글로벌 핸드백 ODM""",2016.01.21,3
23,"영원무역, KT와 2018평창동계올림픽 업무협약 체결",2015.04.22,3
24,[오너&리더]성기학 영원무역 회장 '글로벌 경영'…2분기엔 빛보나(종합),2015.04.21,3
25,'노스페이스' 주춤한 영원무역…'스캇'으로 효과보나,2015.04.21,3
26,내수 불황에 수입 브랜드 공격…국내 의류업체들의 비명,2015.03.18,3
27,[3월 16일]아시아경제 오늘의 한줄뉴스,2015.03.16,3
