,Title,Date,Category
0,"""금수저는 있었다""…미취학 어린이들 주식 2조8000억 보유",2016.09.20,2
1,"[골든파워] 인화의 LG, ""전문경영인 부회장 5명이 이끈다""",2018.04.12,3
2,"[특징주]영진약품, 신약 후보물질 美 임상2상 결과 수취…장 초반 강세",2017.08.02,3
3,오늘 읽어야 할 아경 종합뉴스 Top10,2016.04.27,3
4,"제약바이오산업 채용박람회, 56개사 신청",2019.07.10,4
5,'차의 질주' 14년간 22개 품었다…차석용이 쓰는 'M&A·실적 신화'(종합),2019.04.26,4
6,"'차의 질주' 14년간 22개 품었다…올해만 3개 ""사상 최대 실적 경영""",2019.04.26,4
7,"""올해 제약·바이오산업 육성에 4779억원 투입""",2019.04.09,4
8,"""제약업계, 반부패경영시스템 도입 3년 후 기업문화로 정착""",2019.01.30,4
9,지난해 제약·바이오 기술수출 5조3000억원 규모,2019.01.22,4
10,알보젠코리아 신임 대표에 이준수,2018.12.07,4
11,"복지부, 리베이트 적발 11개 제약사 340개 약가 인하",2018.03.26,4
12,지난해 의약품 수출 늘었는데 기술 수출은 30% 감소,2018.03.07,4
13,"위상 되찾은 무역인 잔칫날, 文 참석해 업계 격려",2017.12.05,4
14,[투자활성화]바이오시밀러·국산신약 몸값 오른다,2016.07.07,4
15,"'유명무실' 혁신형 제약기업, 지원책 늘어난다",2016.07.07,4
16,"영진약품, 잠실 국민연금 사옥에 새둥지",2016.07.04,4
17,"화장품 키운 '차석용 마법', 의약품에도 걸었다",2016.05.30,4
18,"영진약품, 작년 영업익 50.5억..전년비 27.6%↓",2016.01.19,4
19,"동아쏘시오홀딩스-KT&G그룹, 음료·의약품 등 사업제휴",2015.11.12,4
20,"해태음료, 피로회복제 '영진 구론산 바몬드' 출시",2015.06.24,4
21,"KT&G, 네팔 대지진 피해복구 성금 2억원 전달",2015.04.29,4
22,[인사]영진약품,2015.04.09,4
23,리베이트 투아웃제 시행 5개월…중소 제약사만 웃었다,2014.11.20,4
24,"영진약품공업, 3Q 영업이익 11억…전년比 46.6%↓",2014.10.16,4
25,미리 알려드릴게요! 그만 속으세요! 러시아 9월경 두번째 백신 준비!,2020.08.28,5
26,美 FDA의 긴급 승인! 혈장치료제 잘 보셨죠? 지금도 좋아요!,2020.08.26,5
27,미 FDA에 임상 2상 승인! 치료제 본계약 협의!,2020.08.25,5
28,계속되는 임상3상 확대!! 전세계적으로 나갑니다! 지금 잡지 못하면…!,2020.08.24,5
29,재확산은 더 빠르게 간다! 지난 4월보다 전파력이 6배!,2020.08.19,5
30,수차례 말씀드렸죠? ‘나파모스타트’ 국제학술지에 게재 합니다!!,2020.08.14,5
31,최종 임상 진행 中! 생산시설까지 승인이 났다!??,2020.08.07,5
32,【증권가이슈】 전기차 판매 폭발적 성장! '관련주' 주목하라,2020.08.06,5
33,이제는 국책 과제로 선정되었습니다! 그만 망설이세요!,2020.08.06,5
34,"삼성SDI, 주가 45만 4500원 (9.25%)… 게시판 '북적'",2020.08.05,5
35,"영진약품, 주가 6760원 (3.21%)… 게시판 '북적'",2020.08.05,5
36,"파인테크닉스, 주가 5120원 (4.49%)… 게시판 '북적'",2020.08.05,5
37,"키움증권, 커뮤니티 활발... 주가 2.5%.",2020.08.05,5
38,"종근당홀딩스, 주가 13만 7500원 (-1.08%)… 게시판 '북적'",2020.08.05,5
39,"알서포트, 주가 1만 550원 (8.09%)… 게시판 '북적'",2020.08.04,5
40,"영진약품, 주가 6430원 (1.74%)… 게시판 '북적'",2020.08.04,5
41,꽁꽁! 얼어있던 中국 시장! 사르르 녹아내리나?,2020.08.03,5
42,"단, 한번의 접종으로 면역까지? 인체 시험만 남았다!",2020.08.03,5
43,장기지속형 주사제 개발속도UP! 제대로 밀어붙여!!,2020.08.03,5
44,100%! 무증상 감염도 제대로 판정한다! 역시 대한민국!,2020.08.03,5
45,속! 시원하게 말씀드렸습니다. ‘삼성전자’가 왜 오르는지! 확인!!,2020.08.02,5
46,가는 건 계속갑니다! 대기업간의 빅딜성사 다시한번 더 드립니다!!,2020.08.01,5
47,백신 얼마 안남았습니다! 최종 임상진입! 대장株 공개!,2020.07.31,5
48,긴급! “BTS” 빅히트 무슨 문제인가? 예비심사 기한 넘긴다!,2020.07.31,5
49,비싼 진단키트 이제 그만! 직접 눈으로 확실하게 본다!,2020.07.31,5
50,"우리나라 정말 대단한 나라입니다! 복제는 막고, 면역력은 회복까지!",2020.07.31,5
