,Title,Date,Category
0,"국세청, 오리온 비정기 세무조사 착수",2019.05.17,2
1,비용구조 다 뜯어 고쳐라 '감원·유통구조 혁신'…中 사업 재정비 나선 오리온,2018.03.15,2
2,"[中 금한령 6개월-①]""버틸만큼 버텼다""…中 진출 韓 유통기업 초토화",2017.09.11,2
3,"김병원 농협회장 ""연내 농협 의료법인 설립 추진""(상보)",2017.03.07,2
4,"김병원 농협회장 ""2020년 농가소득 5000만원 달성 역량 결집""",2017.03.07,2
5,한반도는 지금 불붙은 화약고,2017.02.15,2
6,농협-오리온 합작법인 케이푸드 식품공장 착공,2016.12.16,2
7,지난해 식품산업 생산실적 70조4000억…연 평균 5%씩 성장,2016.09.27,2
8,"[단독]여권 핵심관계자, ""8·15 광복절 특사에 유력 경제인 포함""",2016.07.22,2
9,"정부 ""北도발, 결코 이롭지 못해""",2016.03.18,2
10,[부고] 공로명 전 외교부장관 부인상,2015.09.27,2
11,"국감 신동빈 롯데회장에 ""한·일전 누구 응원하나"" 황당 질문",2015.09.18,2
12,"오리온, '마이구미' 등 젤리 중국·베트남서 5000만개 판매 돌파",2020.08.27,3
13,"오리온, 공룡 모양 스낵 ‘공룡알’ 출시",2020.08.25,3
14,"오리온, ‘초코파이 바나나’ 맛과 포장 다 바꿨다",2020.08.19,3
15,오랜 장마로 길어진 '집콕'…우울한 기분 날리는 달콤한 식음료 인기,2020.08.16,3
16,"오리온 ‘마켓오 감자톡’, 출시 한 달 만에 150만봉 넘게 팔렸다",2020.08.11,3
17,"제주용암수, 중국·베트남 이어 러시아에 첫 수출한다",2020.08.06,3
18,"오리온, '코로나19' 장기화에 비대면 사회공헌활동 실시",2020.08.04,3
19,"오리온, 닥터유 단백질바?에너지바 중국에서 판다",2020.07.28,3
20,"G마켓 스마일배송관, 7개 브랜드사 ‘깨끗한 생수’ 할인 프로모션",2020.07.24,3
21,"오리온, 온라인 전용 브랜드 3종 출시 한 달 만에 2만 5천 세트 판매 돌파",2020.07.15,3
22,"오리온, 패스트푸드점 감자튀김 맛 구현 ‘케이준 눈을감자’ 출시",2020.07.13,3
23,"제주용암수, 온?오프라인 전 채널 입점 한 달 만에 150만병 판매 돌파",2020.07.09,3
24,"오리온, ‘디저트 초코파이 티라미수’ 출시",2020.07.07,3
25,김치볶음밥+계란프라이맛 '포카칩' 나왔다,2020.07.03,3
26,"오리온, ‘오!감자 미니별’ 출시",2020.07.02,3
27,"오리온, 감자 원재료 식감 살린 ‘마켓오 감자톡’ 출시",2020.06.25,3
28,"오리온, 음료사업 본격 진출…'닥터유 드링크' 출시",2020.06.17,3
29,"오리온, ‘오리온젤리 사워꿈틀이’ 출시",2020.06.11,3
30,수입과자에 밀렸던 국내 제과시장 부활한다…수입 줄고 수출 '껑충',2020.06.08,3
31,"대형마트 3사, 이번 주말 파격 할인 행사 실시",2020.06.04,3
32,"대형마트, 이번 주말 대규모 할인행사 실시",2020.06.04,3
33,"""마스크 착용으로 답답한 목 상쾌하게"" 오리온, ‘유칼립.톨’ 캔디 출시",2020.06.04,3
34,"오리온, 글로벌 제과 전 공장 식품안전경영시스템 'FSSC 22000' 인증 획득",2020.06.02,3
35,"오리온, ‘젤리데이’ 가격 변동 없이 양 29% 늘렸다",2020.05.28,3
36,"오리온그룹, 제주도와 상생협약 및 원수 공급계약 체결",2020.05.23,3
37,"오리온, ""익산 공장 여직원 사망사건 조사 적극 협조…책임 감수할 것""",2020.05.21,3
38,"오리온, 온라인 전용 ‘오리온#간식이필요해’ 시리즈 3종 출시",2020.05.21,3
39,"오리온, 도도한 나쵸 미니 버전 ‘도도한 미니미나쵸’ 출시",2020.05.19,3
40,"오리온 양산빵 ‘쎄봉’, 베트남서 인기몰이…1년 만에 누적판매량 3500만개 돌파",2020.05.12,3
41,"오리온, 마켓오 네이처 ‘오!그래놀라 단백질’ 출시",2020.05.07,3
42,울산 원전해체 클러스터 조성 움직임…해체산업 가속화,2020.05.05,3
43,"""위기를 기회로""…식품·유통家, '코로나19' 악재에 오히려 웃었다(종합)",2020.05.04,3
44,"""햇반·테라 불티나게 팔려""…식품업계, '코로나19' 악재에 오히려 웃었다",2020.05.04,3
45,"오리온, 1000원 실속 스낵 ‘감자속감자’ 출시",2020.05.04,3
46,오리온 ‘꼬북칩’ 인기 전 세계서 통했다…1분기 글로벌 매출 전년比 10% '↑',2020.04.29,3
47,"오리온, 스낵 매출 '훨훨'…3월 한·중·베 매출 전년比 82% '↑'",2020.04.21,3
48,"오리온, 양파 원물 넣어 담백함 살린 ‘예감 볶은양파맛’ 출시",2020.03.31,3
49,"오리온, 치킨 식감 살린 과자 ‘치즈뿌린 치킨팝’ 출시",2020.03.17,3
50,한국도 중국도…'코로나19' 불안심리 커지며 '힐링식품' 매출 '훨훨',2020.03.14,3
51,"오리온, 봄 한정판 ‘초코파이情 딸기블라썸’ 출시",2020.03.12,3
52,"오리온, 글로벌 제과전문지서 톱 14위 올랐다",2020.03.09,3
53,"오리온, ‘찰 초코파이’ 등 전통 맛 입힌 제품 인기 매출 급증",2020.03.05,3
54,"오리온, '제주용암수' 성산항 통해 베트남으로 첫 수출",2020.03.03,3
55,"오리온, 마켓오 네이처 ‘오!그래놀라바 카카오&유산균볼’ 출시",2020.02.27,3
56,"오리온 ‘초코파이’, 현지화로 글로벌 입맛 사로잡았다",2020.02.25,3
57,"""강렬한 상쾌함으로 나른함 아웃""…오리온, '열려라 잠깨껌' 출시",2020.02.20,3
58,"오리온 '제주용암수', 독일 iF 디자인 어워드 패키지 부문 본상 수상",2020.02.17,3
59,"오리온, 지난해 영업익 3273억…창사 이래 최대",2020.02.05,3
60,"오리온 ‘찰 초코파이情’, 쫄깃한 맛 통했다…누적판매량 1000만개 돌파",2020.01.30,3
61,"오리온 ‘참붕어빵’, 여름·겨울 특수 다 누렸다…지난해 누적매출액 13% 성장",2020.01.28,3
62,"포장재 개선한 오리온, 지난해 잉크 사용량 24% 절감했다",2020.01.22,3
63,"오리온, '오!그래놀라' 활용한 브런치 카페 열었다",2020.01.20,3
64,"오리온, '파이' 제품으로 중국인 입맛 홀렸다",2020.01.09,3
65,"오리온 ‘꼬북칩’, 국내 누적매출액 1천억 원 돌파",2019.12.30,3
66,이달 식품 상장기업 브랜드평판 1위는 '오리온',2019.12.28,3
67,"오리온, 서울우유와 협업…'비요뜨 오!그래놀라' 선봬",2019.12.26,3
68,"오리온그룹, 정기 임원인사 및 조직개편 단행",2019.12.23,3
69,"오리온, 초콜릿 ‘투유’ 리뉴얼 출시",2019.12.19,3
70,"오리온, 中서 '사회적 책임' 최고 등급상 받았다",2019.12.17,3
71,"오리온, 크기 1.5배 키운 ‘생크림파이 1.5’ 출시",2019.12.10,3
72,"아모레퍼시픽, 용산지역 민?관?학 연합 봉사활동 참여",2019.12.06,3
73,"4년 준비한 오리온 제주용암수, 출발부터 좌초위기…제주도 ""염지하수 공급 안해""",2019.12.05,3
74,"오리온, '제주용암수' 공장 준공식 개최…본격 생산 나선다",2019.12.03,3
75,"오리온 ‘초코파이情’, 배스킨라빈스와 컬래버 메뉴 선보인다",2019.12.02,3
76,"오리온, 초코파이 45주년 맞아 '찰 초코파이情' 선봬",2019.11.28,3
77,"오리온, 글로벌 최고 함량 미네랄 담아낸 '제주 용암수' 공개…""글로벌 생수시장 1위 노린다""",2019.11.26,3
78,"오리온, 작지만 탱글한 ‘오리온젤리 더 탱글 마이구미’ 출시",2019.11.21,3
79,"[르포]비비고 만두, 허니버터칩 먹는 미국인…K푸드의 '美친 존재감'(종합)",2019.11.20,3
80,"[르포]신라면·불닭부터 꼬북칩, 메로나까지…美 마트 점령한 K푸드",2019.11.20,3
81,"오리온, 고소한 콩가루 더한 ‘꼬북칩 달콩인절미맛’ 출시",2019.11.19,3
82,"오리온, 베트남 옌풍 공장 식품의약품안전처 ‘우수 수입업소’ 등록",2019.11.14,3
83,"“덜 맵게 해주세요”…식품업계, 소비자 취향 반영 '나심비' 제품 출시 봇물",2019.11.13,3
84,"오리온, 뉴트리션 바 3종 한 달간 680만개 팔렸다…사상 최대 월 판매량 기록",2019.11.12,3
85,"오리온, 회오리 모양으로 식감·재미 살린 ‘트위스트 오!감자’ 출시",2019.11.07,3
86,"오리온, 가성비 甲 900원 ‘오리온 웨하스’ 출시",2019.11.05,3
87,"오리온, 법인 분할 후 영업익 1천억 첫 돌파…최대 실적 달성",2019.11.01,3
88,"오리온, 中 최대 커피 체인에 '제주용암수·고소미' 수출 계약",2019.10.31,3
89,"봄 한정판 업그레이드…오리온, '후레쉬베리 복숭아' 출시",2019.10.29,3
90,"오리온, 중국 ‘종합 브랜드 가치 경영대상’ 3년 연속 1위 수상",2019.10.24,3
91,"오리온, 추억의 과자 ‘배배’ 7년 만에 재출시한다",2019.10.22,3
92,"오리온 ‘치킨팝’, 재출시 7개월 만에 누적판매량 2000만봉 돌파",2019.10.17,3
93,"오리온, 4배 커진 왕젤리 ‘오리온젤리 대왕젤리밥’ 리뉴얼 출시",2019.10.16,3
94,"오리온, 4년 연속 ‘베트남 고향감자 지원 프로젝트’ 실시",2019.10.14,3
95,"오리온, 'ITF 제주용암수배 창원국제남자테니스 투어 대회' 후원",2019.10.11,3
96,"오리온, 태국 김스낵 전문기업 ‘타오케노이’ 통해 중국 독점 판매 나선다",2019.10.10,3
97,"오리온, 2019년 하반기 대졸신입사원 공개채용",2019.10.08,3
98,"오리온, 한정판 '포카칩 구운마늘맛' 등 2종 정식 출시",2019.10.01,3
99,"오리온, '고래밥' 신제품 '공룡밥'으로 중국?베트남 시장 동시 공략",2019.09.26,3
100,"오리온, ‘닥터유 단백질바 미니’ 출시…브랜드 라인업 확장",2019.09.24,3
101,불경기에는 '가잼비'가 대세…다시 부는 '모디슈머' 열풍,2019.09.21,3
102,"오리온, 국군의 날 맞아 국군장병에 특별 선물세트 1만 상자 후원",2019.09.19,3
103,"오리온 '오!그래놀라', 농식품부 '초등학교 아침간편식 지원사업' 메뉴로 선정",2019.09.18,3
104,"오리온, 젤리 통합브랜드 ‘오리온젤리’ 론칭",2019.09.16,3
105,"오리온, 마켓오 네이처 ‘오!그래놀라 딸기’ 출시",2019.09.10,3
106,"오리온 '참붕어빵', 여름에도 통했다…7~8월 매출 40% 성장",2019.09.05,3
107,"오리온, 고속도로 휴게소 판매량 1위 '오징어땅콩' 추석 시즌 공급량 늘린다",2019.09.03,3
108,"오리온 '착한포장 프로젝트', 중국·베트남서도 통했다…매출 성장 '쭉쭉'",2019.08.27,3
109,"""웰빙이 대세"" 식품업계, 차세대 먹거리 사업 '건기식'으로 몰린다(종합)",2019.08.12,3
110,4조 '건기식' 시장 본격 진출하는 식품기업들…빙그레 이어 CJ 자체 브랜드 론칭,2019.08.12,3
111,"오리온, '촉촉한 초코칩' 등 인기과자 10종 환경친화적 포장재로 바꾼다",2019.08.01,3
112,"""원산지 코드까지 확인한다""…일본산 재료 사용 식품 리스트에 '발동동'",2019.07.31,3
113,"10대 해수욕장 인기 오리온 과자는 ‘포카칩’…""'과맥' 트렌드 따른 것""",2019.07.30,3
114,"일본맥주 갈 곳 없네…발주 중단 대형마트, 행사 중단 편의점(종합)",2019.07.26,3
115,"코글플래닛, 애니메이션 캐릭터 ‘에비츄’ 중국 캐릭터시장 넘본다",2019.07.26,3
116,"오리온 초코파이 하우스, 쫀득하고 고소한 ‘초코파이 마카롱’ 출시",2019.07.25,3
117,"오리온 ‘교실에서 찾은 희망’ 캠페인, 중국·베트남으로 확대",2019.07.23,3
118,"오리온 초코파이情, ""초코파이 사면 영화 '봉오동 전투' 관람권 드려요""",2019.07.18,3
119,"[유통 빅블러]캐릭터·공유오피스까지, '불황' 옷 입은 식품의 이유있는 영역파괴",2019.07.16,3
120,"오리온, 화덕에 구워 바삭한 ‘예감 화덕칩’ 출시",2019.07.16,3
121,"G마켓, '슈퍼프라이데이' 진행…라면·즉석밥 10% 싸게 산다",2019.07.12,3
122,다이제로 만든 빙수…오리온의 이색 ‘과자 아이스 레시피’ 인기,2019.07.11,3
123,"오리온, ‘포카칩 햇감자 한정판’ 3종 출시",2019.07.01,3
124,"오리온, 품질안전 관리 강화…해충 방제용 ‘페로몬트랩’ 무상 배포",2019.06.25,3
125,호텔과 손잡은 식품업계…객실서 룸서비스 아닌 '스낵'·'파스타' 먹는다(종합),2019.06.24,3
126,"""값비싼 룸서비스 대신 간편한 스낵""…호텔+식품업계 컬래버 ""잘 나가네""",2019.06.24,3
127,"오리온 ‘태양의 맛 썬’, 재출시 후 누적판매량 3000만봉 돌파",2019.06.20,3
128,"오리온, 친환경 경영 가속화…포장재 잉크 사용량 줄이고 패키지 간소화",2019.06.19,3
129,"오리온 '닥터유 쌀쿠키', '꼬마히어로 슈퍼잭'과 손 잡았다",2019.06.13,3
130,인천공항 면세점서 만나는 오리온의 초코파이 하우스 ‘디저트 초코파이’,2019.06.11,3
131,"오리온, 가격 낮춘 '마켓오 파스타칩' 리뉴얼 출시",2019.06.04,3
132,"오리온 '닥터유 단백질바', 출시 6주 만에 100만개 판매 돌파",2019.05.27,3
133,"오리온, 초코파이 하우스 ‘디저트 초코파이’ 패키지 디자인 공모전",2019.05.23,3
134,"오리온, ‘태양의 맛 썬 갈릭바게트맛’ 출시",2019.05.21,3
135,"국세청, 오리온 비정기 세무조사 착수",2019.05.17,3
136,"얇아진 지갑에 '미니어처 향수', '마라탕' 찾는 소비자들…불황이 만든 新소비트렌드(종합)",2019.05.16,3
137,"오리온, '상어밥 매콤한맛' 출시",2019.05.16,3
138,"오리온 꼬북칩, 중국 ‘최고 스낵식품상’ 수상",2019.05.14,3
139,"오리온, 얇아서 더욱 바삭한 ‘닥터유 다이제 씬’ 출시",2019.05.07,3
140,"레트로 식품, 더 매운 비빔면…유통업계, ""신제품에 소비자 요구 적극 반영""",2019.05.02,3
141,"오리온, 오래 씹어도 부드러운 껌 '더자일리톨 소프트' 출시",2019.05.02,3
142,"오리온 ‘섬섬옥수수’, 출시 한 달 만에 200만 개 돌파",2019.04.30,3
143,"오리온 마켓오 네이처 ‘오!그래놀라’, 출시 9개월 만에 1천만개 돌파",2019.04.25,3
144,"오리온, 어린이날 맞아 온라인 전용 한정판 종합선물세트 2종 출시",2019.04.23,3
145,"오리온, 프랑스 정통 디저트 ‘마켓오 다쿠아즈’ 재출시",2019.04.18,3
146,"오리온 초코파이, 4년 연속 '중국 브랜드 파워 지수' 1위",2019.04.16,3
147,[부고]이규홍(오리온 중국법인 대표)씨 모친상,2019.04.12,3
148,“유행보다 취향존중의 시대”…내 입맛대로 즐기는 샌드위치·피자(종합),2019.04.11,3
149,한철 ‘유행’ 보다 ‘소비자 취향’ 중시…식품도 외식도 “취향존중의 시대”,2019.04.11,3
150,"오리온, 한 개만 먹어도 든든한 '닥터유 단백질바' 출시",2019.04.11,3
151,오리온 ‘치킨팝’ 열풍…7주 만에 누적판매량 300만개 돌파,2019.04.10,3
152,"오리온, 초코송이 과자 본 뜬 ‘송이젤리’ 출시",2019.04.08,3
153,"오리온, 극세 옥수수칩 ‘섬섬옥수수’ 신제품 출시",2019.04.04,3
154,"오리온, ‘감자엔 소스닷 청양데리야끼소스맛’ 출시",2019.04.02,3
155,"오리온, 초코파이情 글로벌 누적매출 5조 돌파",2019.03.28,3
156,"오리온, ‘마켓오 디저트 生모찌슈’ 2종 출시",2019.03.25,3
157,"오리온, ""올 봄 대세는 딸기""…'마이구미 딸기' 등 제품 3종 판매 호조",2019.03.19,3
158,유튜브로 듣는 골뱅이탕 ASMR…이제는 '콘텐츠'로 소비心 겨냥(종합),2019.03.18,3
159,"""'유튜브 먹방' 보는 1020 소비자 잡아라"" 식품업계 진화하는 SNS마케팅",2019.03.18,3
160,"젤리명가 오리온, 곤약젤리 신제품 ‘닥터유 젤리’ 출시",2019.03.05,3
161,"‘10돌’ 오리온 닥터유 에너지바, 1억7천만개 판매 돌파",2019.02.28,3
162,오리온 ‘촉촉한초코칩’ 증량효과 지속…5개월 연속 14% 매출 상승,2019.02.26,3
163,"오리온, 신제품 호조로 지난달 매출 '훨훨'…해외법인 영업이익률 두자릿수 달성",2019.02.22,3
164,"오리온, 지난해 영업이익 2822억…전년比 77% 성장",2019.02.14,3
165,"오리온, 초코파이 등 대표 파이 3종 '봄봄 한정판 컬렉션' 출시",2019.02.12,3
166,대형 초콜릿집부터 식사권까지…밸런타인데이 여심 공략(종합),2019.02.10,3
167,"홈플러스 ""초콜릿 구매하고 마블 담요 받아가세요""",2019.02.10,3
168,"설 명절 귀성·귀경길에 불티나는 간식…""도로교통 상황에 따라 서포트 스낵""",2019.02.03,3
169,"오리온그룹, '착한 포장 프로젝트' 등 윤리경영 실행력 대폭 강화한다",2019.02.01,3
170,"CJ 캔햄 '스팸', 누적 매출 4조원 돌파…장수 히트식품 대열 올라섰다",2019.01.22,3
171,"오리온, '투유'에 바삭함 더한 초콜릿 '투유 크런치' 출시",2019.01.10,3
172,"오리온 '아이셔' 역대 최고 성장률 기록…""신제품 뜨거운 인기 덕분""",2019.01.08,3
173,"GS25 ""편의점 와인  키워드는 '30대·남성·토요일·치즈'""",2019.01.03,3
174,"오리온, '마켓오 네이처 오!그래놀라' 가격 변동 없이 10% 증량",2019.01.03,3
175,"'황금돼지해', ""‘PIGGY’를 알면 식품 트렌드가 보인다""",2019.01.01,3
176,[인사] 오리온그룹,2018.12.27,3
177,오리온 ‘촉촉한초코칩’ 증량효과 지속…5개월 연속 14% 매출 상승,2019.02.26,3
178,"오리온, 신제품 호조로 지난달 매출 '훨훨'…해외법인 영업이익률 두자릿수 달성",2019.02.22,3
179,"오리온, 지난해 영업이익 2822억…전년比 77% 성장",2019.02.14,3
180,"오리온, 초코파이 등 대표 파이 3종 '봄봄 한정판 컬렉션' 출시",2019.02.12,3
181,대형 초콜릿집부터 식사권까지…밸런타인데이 여심 공략(종합),2019.02.10,3
182,"홈플러스 ""초콜릿 구매하고 마블 담요 받아가세요""",2019.02.10,3
183,"설 명절 귀성·귀경길에 불티나는 간식…""도로교통 상황에 따라 서포트 스낵""",2019.02.03,3
184,"오리온그룹, '착한 포장 프로젝트' 등 윤리경영 실행력 대폭 강화한다",2019.02.01,3
185,"CJ 캔햄 '스팸', 누적 매출 4조원 돌파…장수 히트식품 대열 올라섰다",2019.01.22,3
186,"오리온, '투유'에 바삭함 더한 초콜릿 '투유 크런치' 출시",2019.01.10,3
187,"오리온 '아이셔' 역대 최고 성장률 기록…""신제품 뜨거운 인기 덕분""",2019.01.08,3
188,"GS25 ""편의점 와인  키워드는 '30대·남성·토요일·치즈'""",2019.01.03,3
189,"오리온, '마켓오 네이처 오!그래놀라' 가격 변동 없이 10% 증량",2019.01.03,3
190,"'황금돼지해', ""‘PIGGY’를 알면 식품 트렌드가 보인다""",2019.01.01,3
191,[인사] 오리온그룹,2018.12.27,3
192,"오리온, 국군장병에 농구공 1000개 전달…체육활동 지원 나서",2018.12.27,3
193,"NH농협은행, 강원도 청성부대 위문품 전달",2018.12.23,3
194,'중국 사드 완전 극복' 오리온…중국 포함 4개 법인 영업익 33% 성장,2018.12.18,3
195,"오리온, '중국 종합 브랜드가치 경영대상' 2년 연속 수상",2018.12.13,3
196,대세는 '뉴트로'…'그때 그 시절' 감성 담은 과자 잇달아 등장,2018.12.06,3
197,"오리온, 연말 맞이 임직원 '정 나눔' 릴레이 봉사",2018.12.06,3
198,"오리온 ‘꼬북칩’, 한·중 양국서 뜨거운 인기…합산 누적판매량 1억봉 돌파",2018.12.04,3
199,"오리온 '초코파이 하우스', 스타필드 고양·하남·코엑스몰점 오픈",2018.11.29,3
200,"오리온, 상어밥보다 세 배 큰 '왕상어밥 새우버거맛' 출시",2018.11.27,3
201,"오리온, 1~3분기 누적 영업익 72.9% 성장…'사드 악몽' 벗었다",2018.11.14,3
202,"오리온, ‘2018 농업과 기업 간 상생협력 경진대회’  농림부 장관상 대상 수상",2018.11.14,3
203,"오리온·제주구좌농협, 농업-기업 상생협력경진대회 대상 수상",2018.11.14,3
204,"농식품부, 농업-기업 상생협력 독려…경진대회 개최",2018.11.14,3
205,"오리온, 신개념 원물요리간식 '마켓오 네이처 파스타칩' 2종 출시",2018.11.13,3
