,Title,Date,Category
0,,,2.0
1,"오리온그룹, 제주도와 상생협약 및 원수 공급계약 체결",2020.05.23,3.0
2,"오리온, 1~3분기 누적 영업익 72.9% 성장…'사드 악몽' 벗었다",2018.11.14,3.0
3,"‘사드 극복’ 오리온, 내년 중국에 신제품 20개 쏟아낸다",2017.12.27,3.0
4,꺾일 줄 모르는 '신용대출'…또 최대폭 늘었다,2017.12.13,3.0
5,"'사드 극복' 오리온, 중국 법인 흑자전환은 성공…3분기 영업익 전년비 5%↓",2017.11.14,3.0
6,中 200억 적자에 승부수 띄운 오리온…기능성 음료 시장 진출,2017.09.15,3.0
7,"[中 금한령 6개월-③]기회의 땅에서 무덤으로…식품기업, 적자전환 속출",2017.09.11,3.0
8,사드발 적자수렁·인원감축…곡소리 나는 식품업계,2017.09.10,3.0
9,"[단독]오리온, 中 법인 인력 20% 구조조정…'사드發 쇼크'",2017.09.07,3.0
10,"'사드' 직격탄 오리온, 영업익 '64% 뚝'…중국법인 '매출 역신장'",2017.08.14,3.0
11,"[2017 유통 하반기 전망④]영역확장 나선 식품업계 ""새 먹거리 발굴 최우선""",2017.06.22,3.0
12,오리온 '기업분할' 반등카드 되나,2016.11.23,3.0
13,식음료업계에 부는 '지주회사 체제' 전환 바람…'오리온·매일유업'도 동참(종합),2016.11.22,3.0
14,"오리온, 지주회사 체제 전환 및 보통주 액면분할 결정",2016.11.22,3.0
15,"오리온, 펄펄 끓는 '1조 물 전쟁'에 뛰어든다…중국도 진출(종합)",2019.08.01,4.0
16,"펄펄 끓는 '1조' 물 전쟁…오리온의 야심찬 도전장 ""물 만날까""",2019.08.01,4.0
17,"中 과자 시장에 올인한 허인철 ""싹 다 바꾼다""…생수 승부수도(종합)",2019.07.08,4.0
18,"中 과자 시장에 올인한 허인철 ""품질·가격경쟁력 싹 다 바꿔라""",2019.07.08,4.0
19,허인철의 야심작 '마켓오 네이처 1000억 브랜드 도약'…종합식품기업 박차,2018.07.03,4.0
20,농협과 오리온의 합작품 '간편대용식 마켓오 네이처'…허인철의 미래 먹거리,2018.07.03,4.0
21,"'사드 극복' 오리온, 중국 법인 흑자전환은 성공…3분기 영업익 전년비 5%↓",2017.11.14,4.0
22,中 200억 적자에 승부수 띄운 오리온…기능성 음료 시장 진출,2017.09.15,4.0
23,"[무너진 차이나드림]롯데마저 손 들었다…韓 기업, '차이나 엑소더스'",2017.09.15,4.0
24,"[中 금한령 6개월-③]기회의 땅에서 무덤으로…식품기업, 적자전환 속출",2017.09.11,4.0
25,사드발 적자수렁·인원감축…곡소리 나는 식품업계,2017.09.10,4.0
26,"[단독]오리온, 中 법인 인력 20% 구조조정…'사드發 쇼크'",2017.09.07,4.0
27,"'사드' 직격탄 오리온, 영업익 '64% 뚝'…중국법인 '매출 역신장'",2017.08.14,4.0
28,"[2017 유통 하반기 전망④]영역확장 나선 식품업계 ""새 먹거리 발굴 최우선""",2017.06.22,4.0
29,"식품업계, '지주사' 체제 전환 봇물…오리온·크라운해태·매일유업 등 잇달아(종합)",2017.03.02,4.0
30,식음료업계에 부는 '지주회사 체제' 전환 바람…'오리온·매일유업'도 동참(종합),2016.11.22,4.0
31,"오리온, 지주회사 체제 전환 및 보통주 액면분할 결정",2016.11.22,4.0
32,"""오리온, 코로나19 중국 시장 점유율 확대 기회될 것""",2020.04.30,5.0
33,코로나 여파 주식시장 돌파구! 최우선주는?,2020.03.13,5.0
34,"11월 4일 코스피, 30.04p 오른 2130.24 마감(1.43%↑)",2019.11.04,5.0
35,주가 하락 틈타 자사주 매입 나선 경영진,2019.08.16,5.0
36,'거래액 반토막'…2018 IPO시장 '흥행참패',2018.12.21,5.0
37,"[특징주]오리온, 오너 리스크에 하락세",2018.09.10,5.0
38,"코스피, '반도체 충격'에 하락출발…장중 2270선 붕괴",2018.09.07,5.0
39,지난해 국내 500대 기업 중 45곳 교체…영업이익은 223조 전년比 30%↑,2018.06.13,5.0
40,"두산밥캣·대우조선해양·하이마트, 코스피200 편입",2018.05.24,5.0
41,"ESG 등급 떨어진 기업, 주가도 시원찮네",2018.03.16,5.0
42,"[클릭 e종목]지수 변경…""중형주로 낮아지는 종목에 기회""",2018.03.07,5.0
43,"코스피, 2400선 회복…시총 상위주 '강세'",2018.02.14,5.0
44,"오리온홀딩스, 작년 영업익 51억…흑자전환",2018.02.13,5.0
45,"오리온, 5년만에 국내 매출 성장…중국은 '사드發' 역신장",2018.02.13,5.0
46,"오리온홀딩스, 주당 600원 현금배당",2018.02.13,5.0
47,KRX300 편입 종목 발표…코스피 237개·코스닥 68개,2018.01.30,5.0
48,2017 IPO 시장 활활…거래액 26%↑,2018.01.02,5.0
49,[e공시 눈에 띄네]코스피-27일,2017.10.30,5.0
50,"오리온홀딩스, ""법원, 최대주주에 집행유예 2년""",2017.10.27,5.0
51,"[클릭 e종목]오리온, 3Q 실적 컨센서스 부합…'해외 성장률이 관건'",2017.09.28,5.0
52,[e공시 눈에 띄네]코스피-27일,2017.09.28,5.0
53,"오리온홀딩스, 9652억원 규모 유상증자 결정",2017.09.27,5.0
54,사드 추가 배치…울고 싶은 데 뺨맞는 중국 소비株,2017.09.07,5.0
55,상장사 횡령·배임사건 꾸준히 증가…올들어 15개사·3799억 규모,2017.08.22,5.0
56,[e공시 눈에띄네]코스피-27일,2017.07.27,5.0
57,"오리온홀딩스, 최대주주 횡령 혐의 발생",2017.07.26,5.0
58,"오리온홀딩스 ""이화경 부회장, 업무상 횡령 협의로 기소""",2017.07.19,5.0
59,오리온 인적분할 재상장후 폭락…中 리스크?,2017.07.10,5.0
60,"오리온 분할 후 재상장, 기대에 못 미친 성적 왜?",2017.07.10,5.0
61,[특징주]재상장 첫날 오리온 12%↓…'중국 사업부진',2017.07.07,5.0
62,"[클릭 e종목]오리온, 분할 후 재상장 ""중국사업 회복이 관건""",2017.07.07,5.0
63,"[클릭 e종목]오리온, 단기 주가 모멘텀 제한적",2017.07.07,5.0
64,[文랠리 6주]달라지는 기업들 자사주 소각…증시는 웃는다,2017.06.22,5.0
65,"오리온, 회사 분할에 따라 허인철 대표 신규 선임",2017.06.01,5.0
66,"""매일유업·오리온 지주사 전환, 오너·투자자에 긍정적""",2017.03.06,5.0
