,Title,Date,Category
0,"문승욱 차장 ""에듀테크 발전으로 원격교육 품질 제고·학습격차 해소해야""",2020.08.06,2
1,"유시민 ""범여 180석 가능"" vs 박형준 ""친문패권세력 국가 장악""",2020.04.12,2
2,"손학규 “정부, 대구·경북에 마스크 무상 배급해야”",2020.02.25,2
3,"성윤모 장관 ""산업지능화는 전 산업 생존 전략""",2019.12.19,2
4,'2019 초소형 전기차 로드쇼' 개최…서울 등 4개 지역 순회,2019.11.27,2
5,'조국 증인'으로 싸우는 사이…기업인들만 국감 줄소환,2019.09.24,2
6,"산자위, '조국 펀드' 관련 익성·웰스씨앤티 대표 증인 채택",2019.09.24,2
7,"해수부, 가격안정용 수산물 6939t 방출…추석 물가 관리",2019.08.21,2
8,"프랑스 간 문체부 장관, 女월드컵 유치 지원·국가대표 격려",2019.06.07,2
9,"[전문]홍영표 ""노동시장 유연성·안정성 높이는 사회적 대타협 해야""",2019.03.11,2
10,"문 대통령 만난 백종원 ""을도 잘 보살펴 달라"" 상생 강조",2018.11.09,2
11,"문 대통령, 협력이익공유제 중요성 강조 “함께 지속적으로 멀리 가야”",2018.11.09,2
12,"정의당 “롯데하이마트, ‘불법파견’ 의혹…뿌리 뽑아야”(종합)",2018.10.11,2
13,2018년 코리아세일페스타 2주 앞으로…'할인과 혜택' 동시에,2018.09.14,2
14,공식 선거운동 첫 주말…여야 전국 누비며 '표심' 공략,2018.06.02,2
15,"김수영 양천구청장 후보, 공식선거운동 첫 일정 신정차량기지 찾아",2018.05.31,2
16,식당 '울상' 소매점 '무덤덤'…청탁금지법 개정에 엇갈린 유통가 표정,2017.12.12,2
17,"노영민 ""이마트·롯데 철수는 '사드' 때문 아니다""",2017.09.29,2
18,"靑, '中 사드 보복' WTO 제소 안 한다(종합)",2017.09.14,2
19,"[中 금한령 6개월-①]""버틸만큼 버텼다""…中 진출 韓 유통기업 초토화",2017.09.11,2
20,"법원 ""대형마트, 1+1 행사하며 가격인상…과장광고 아니야""",2017.08.18,2
21,"수협·대형마트, '대풍' 제주 갈치 할인판매",2017.07.26,2
