,Title,Date,Category
0,"'부실' 욕먹던 광물자원公, 멕시코 볼레오 생산돌입",2015.01.28,2
1,일본에서 세계로…소재부품장비 핵심품목 '100개→338개',2020.05.11,3
2,"""고맙다 폭스바겐""…폭스바겐 사태 최대 수혜株는",2015.09.28,3
3,[기민한 전자이야기] 두산솔루스 매각설에 주목받는 소재 '동박',2020.05.05,4
4,"일진머티리얼즈 말레이시아 법인, 6000억 투자 유치",2019.11.13,4
5,"日은 후발주자 죽이기, 대기업은 외면…中企의 악전고투",2019.07.24,4
6,"일진머티리얼즈, 3000억 투입해 말레이시아 공장 증설",2019.03.07,4
7,"일진그룹, 말레이시아 공장 준공…해외 첫 일렉포일 양산 시작",2019.01.27,4
8,"일진그룹, 황수 일진전기 대표 등 22명 임원 인사",2018.12.26,4
9,"일진그룹, 2018년도 하반기 공개채용",2018.10.24,4
10,류진 29억 최양하 25억…중견 오너ㆍCEO 거액보수 눈길,2018.04.05,4
11,"허정석 일진홀딩스 대표, 부회장 승진…일진그룹 2018년 임원인사",2017.12.19,4
12,"일진머티리얼즈, 말레이시아 일렉포일 공장 신설…1500억원 투자",2017.11.08,4
13,"일진머티리얼즈, 차세대 전기車용 일렉포일 'I2S' 개발",2017.08.16,4
14,'사장님들의 특강 선생님' 모셔오기…부담됐지만 뿌듯,2017.06.01,4
15,"일진그룹, 2017년 정기인사…이교진 일진제강 대표 신규 선임",2016.12.26,4
16,"일진그룹, 2015년 하반기 신입·경력사원 공개 채용",2015.10.06,4
17,"일진그룹, 계열사 신입·경력 상반기 채용 실시",2015.04.21,4
18,일진그룹 임원인사…김희수 COO 사장 승진,2014.12.29,4
19,[e공시 눈에 띄네]코스피-25일,2020.08.26,5
20,"일진머티리얼즈, 허재명·양점식 각자 대표 체제 전환",2020.08.25,5
21,제가 말씀드렸죠? 전기차 배터리 정말 끝도 없이 간다고!,2020.08.05,5
22,[e공시 눈에 띄네] 코스피-24일,2020.06.25,5
23,"일진머티리얼즈, 4000억원 규모 공급계약 체결",2020.06.24,5
24,"일진머티리얼즈, 말레이시아 자회사 3000억 규모 신규투자",2020.06.24,5
25,“대기업 간의 뉴딜” 주목! 1000% 터질 ‘전기차배터리 날아올라! 종목 大공개!,2020.05.29,5
26,주도주로 주목받는 2차전지,2020.05.26,5
27,"일진머티리얼즈, 2차전지 테마 상승세에 1.8% ↑",2020.05.26,5
28,"[특징주]삼성SDI, 이재용·정의선 전기차 배터리 기술 논의 소식에 8% 강세",2020.05.13,5
29,[특징주]2차전지株 업황회복 전망…LG화학·삼성SDI '급등',2020.04.17,5
30,"[클릭 e종목]""2차전지, 코로나19 이후 전기차 성장성 재차 주목…유럽선 공급부족""",2020.04.07,5
31,코로나에 요동친 3월 증시…가장 많이 앓은 테마는?,2020.04.05,5
32,[특징주] 테슬라 급등에 LG화학·삼성SDI 4%대 동반 상승,2020.03.03,5
33,"외국인, 3주 연속 '팔자'…3조6000억 매도",2020.03.01,5
34,"매도 폭탄 외국인, 그래도 산 종목은?",2020.02.28,5
35,"""2차전지, 저점 다지고 있어…내년부터 성장 예상""",2019.12.22,5
36,"12월 4일 코스피, 15.18p 내린 2068.89 마감(0.73%↓)",2019.12.04,5
37,"일진머티리얼즈, 말레이시아 종속사 6000억원 신종자본증권 발행예정",2019.11.28,5
38,"일진머티리얼즈, 말레이시아 자회사 주식 806억원어치 추가 취득",2019.11.27,5
39,▶ 삼성SDI '잭팟'...급등 임박 2차전지주,2019.11.22,5
40,중국 전기차 목표치 상향 소식에 관련주 성장전망 '쑥',2019.09.12,5
41,[주간증시전망] 짙어진 관망세…인내가 필요한 시점,2019.03.10,5
42,"[클릭 e종목]""천보, 2차전지 전해질 사업 성장 기대""",2019.03.06,5
43,"[e공모]천보, 공모가 고평가 논란 극복할까",2019.01.21,5
44,"[특징주]일진머티리얼즈, 사상최대 이익 전망에 강세",2019.01.07,5
45,"[특징주]전기차배터리株, EU 완성車기업 이산화탄소 규제수혜 ↑",2018.12.19,5
46,"[클릭 e종목]""EU 완성車기업 이산화탄소 규제…배터리株 수혜""",2018.12.19,5
47,"[특징주]일진머티리얼즈, 기관·외인 동반 순매도에 약세",2018.11.28,5
48,"[클릭 e종목]""연말까진 호실적 중형주 GS건설·휠라코리아 등 주목""",2018.10.01,5
49,"[특징주]일진머티리얼즈, 2차전지 수요 확대 기대감에 상승",2018.09.27,5
50,"[클릭 e종목] ""일진머티리얼즈, 출하량 증가에 3분기 실적 호조 기대""",2018.09.19,5
51,"2차전지株, 상승은 지속된다",2018.09.18,5
52,"[특징주]2차전지株, 전기차 수요 증가로 실적 호조 전망에 상승세",2018.09.11,5
53,"[특징주]일진머티리얼즈, 음극집전체 글로벌 선두 업체로 실적 기대 전망에 강세",2018.09.11,5
54,"코스피, 제약·바이오주 강세에 상승 마감",2018.09.04,5
55,"[특징주]일진머티리얼즈, 수요 증가 전망에 4% 가까이 상승",2018.09.04,5
56,"[특징주]일진머티리얼즈, 최대주주 지분 매각 소식에 약세",2018.08.31,5
57,"[클릭 e종목]""두산, 전지박과 연료전지 성장성 커…목표가↑""",2018.08.29,5
58,"코스피, 기관·외국인 매도에 2270선 내려앉으며 출발",2018.08.24,5
59,"[특징주]일진머티리얼즈, 8000억 규모 공급계약에 '급등'",2018.08.24,5
60,[e공시 눈에 띄네]코스닥-23일,2018.08.24,5
61,"일진머티리얼즈, 2차전지용 일렉포일 공급계약 체결",2018.08.23,5
62,"일진머티리얼즈, 2차전지용 일렉포일 증설…“시장 우위 효과” ↑",2018.07.19,5
63,"[특징주]일진머티리얼즈, 생산능력 증설로 실적 개선 전망에 52주 신고가",2018.07.16,5
64,10대 주식 부호 올들어 8조 시세 손실,2018.07.10,5
65,‘中 배터리 규제 개선’ 국내 수혜주는?,2018.06.25,5
66,2차전지 상승 사이클 진입…증설 수혜주는?,2018.05.30,5
67,[e공시 눈에띄네]코스닥-15일,2018.03.16,5
68,"일진머티리얼즈, 주당 650원 현금배당",2018.03.15,5
69,[e공시 눈에 띄네]코스피-9일,2018.03.12,5
70,"일진머티리얼즈, 지난해 영업익 495억…전년 比 70.6% ↑",2018.03.09,5
71,"""독일 디젤차 운행금지로 배터리株 수혜""",2018.03.03,5
72,KRX300 편입 종목 발표…코스피 237개·코스닥 68개,2018.01.30,5
73,"코스닥, 혁신성장 제4차 산업혁명 관련주 수혜 예상",2018.01.14,5
74,[바이 2017]박스피 뚫고 3000 시대 여는 발판 역할,2017.12.18,5
75,[바이 2017]③시총 상위 자리다툼 '치열'…삼성·하이닉스 100조 증가,2017.12.18,5
76,"[클릭 e종목]브이원텍, 목표주가 6만2000원으로 상향",2017.12.13,5
77,[증시결산]올해 제일 높이 뛴 신라젠…연초 대비 주가 7배 점프,2017.12.11,5
78,[IR컨퍼런스] 이정기 하나금융투자 스몰캡 팀장 “내년은 신정부 정책 수혜”,2017.11.22,5
79,[e공시 눈에 띄네]코스피-20일,2017.11.21,5
80,올해 유상증자 20% 증가…절반은 3자배정 방식 선택,2017.11.06,5
81,[특징주]전기·전자株 강세…외국인 이틀째 '순매수',2017.10.31,5
82,9월 기업 주식·회사채 발행 15.5조…42% 이상 급증,2017.10.30,5
83,자동차에 비치는 서광…최악은 지났다?,2017.10.16,5
84,"[똑똑, 코스피3000]4차 산업혁명 종합대책…""버블도 나쁘지 않다""",2017.10.06,5
85,"IPO시장, 반도체서 2차전지로 지각변동",2017.09.20,5
86,[굿모닝 증시]글로벌시장 호조·국내기업 증익…코스피 더 달린다,2017.09.20,5
87,"일진머티리얼즈, ""구주주와 우리사주조합 유상증자 청약률 91.29%""",2017.08.31,5
88,[e공시 눈에 띄네]코스피-24일,2017.08.25,5
89,"일진머티리얼즈, 유상증자 신주발행가액 2만9550원",2017.08.24,5
90,"주도주 IT, 악재 벗어나 돌아올까? 긍정적 신호 찾아보니",2017.08.16,5
91,코스닥 주도설의 배경과 관련 섹터 살펴보니?,2017.07.24,5
92,"2차전지 소재주, 연일 최고가 릴레이",2017.07.18,5
93,전기차시대 가속도…시동 걸린 수혜주,2017.07.10,5
94,"[특징주]일진머티리얼즈, 獨전기차 판매 급증에 강세",2017.06.21,5
95,"미국발 기술주 급락, 테슬라 상대적 강세?",2017.06.16,5
96,中 전기차 의무판매제로 중소형 수혜株 주목,2017.06.16,5
97,"<아경TV> 삼성SDI 52주 신고가, 급부상하는 2차전지 관련주 찾아보니?",2017.05.29,5
98,"인도, 전기차 판매비중 100% 계획…배터리社 수혜",2017.05.02,5
99,주요 종목 1분기 실적 뽀개기 - LG화학,2017.04.20,5
100,"[전기차]GM마저 넘었다…테슬라, 美 자동차 시총 1위 등극 국내 300%급등 관심종목 공개",2017.04.12,5
101,'약발' 떨어진 트럼프…전기차株 '방긋',2017.03.29,5
102,"불붙은 반도체, 남다른 실적을 기록하고 3월 말 200% 급등할 반도체 株는?",2017.03.19,5
103,"전기차, 美 연비규제 완화해도 성장 전망…수혜주는?",2017.03.19,5
104,<아경TV> 다음주 유망업종과 투자전략,2017.03.17,5
105,"17일 코스피, 14.50p 오른 2164.58 마감(0.67%↑)",2017.03.17,5
106,"일진머티리얼즈, 보통주 1주당 50원 현금배당 결정",2017.03.08,5
107,[e공시 눈에 띄네]코스피-24일,2017.01.25,5
108,"일진머티리얼즈, 387억 규모 전북 익산 토지·건물 자산재평가 실시",2017.01.03,5
109,대선정책주인 전기차 관련주!! 저점 매수 마지막 기회!!,2016.12.28,5
110,[e공시 눈에 띄네]코스피-21일,2016.12.22,5
111,[e공시 눈에 띄네]코스피-14일,2016.12.15,5
112,"일진머티리얼즈, “쌍용머티리얼 인수 추진 않기로 결정”",2016.12.14,5
113,"일진머티리얼즈 ""쌍용머티리얼 인수, 확정사항 없어""",2016.12.07,5
114,"<아경TV> 쌍용머티리얼, 연내 매각 기대감에 급등",2016.12.02,5
115,"[클릭 e종목]""일진머티리얼즈, 주가 매력 높고 해외 고객사 확대 가능""",2016.11.24,5
116,[e공시 눈에 띄네]코스피-7일,2016.11.08,5
117,"일진머티리얼즈, 쌍용머티리얼 인수 추진 조회공시 요구",2016.11.07,5
118,"[특징주]일진머티리얼즈, 전기차 판매 확대 예상 타고 ‘반등’",2016.10.04,5
119,"전기차·태양광 전성시대 열리나, 수혜주는?",2016.07.18,5
120,"[클릭 e종목]일진머티리얼즈, 2차전지 사업 외형확대 전망",2016.07.13,5
121,"<당신의 마감전략> 7월 FOCUS, 본격 실적장세 돌입",2016.07.04,5
122,[굿모닝 증시]선방한 1분기 실적,2016.05.18,5
123,[주간추천종목]대우증권,2016.03.13,5
124,"코스피, 21.74p 내린 1871.69 마감(1.15%↓)",2016.01.26,5
125,"[특징주]LG화학, 전기차 시장 고성장 전망에 상승세",2016.01.04,5
126,"장 종료 후 ""이 공시 눈에 띄네""(코스피-18일)",2015.12.21,5
127,"""고맙다 폭스바겐""…폭스바겐 사태 최대 수혜株는",2015.09.28,5
128,"""스마트카 연평균 8.5% 성장 전망""…관련株는?",2015.06.24,5
129,"장 종료 후 ""이 공시 눈에 띄네""(코스피-8일)",2015.05.11,5
130,"일진머티리얼즈, 1Q 영업적자 40억",2015.05.08,5
131,"[특징주]일진머티리얼즈, 실적 기대감에 ↑",2015.02.24,5
132,"""일진머티리얼즈, 사업 정상화 불확실성 해소""",2015.02.24,5
133,"장 종료 후 ""이 공시 눈에 띄네"" (코스피-23일)",2015.02.24,5
134,"장 종료 후 ""이 공시 눈에 띄네""(코스피-6일)",2014.11.07,5
135,"일진머티리얼즈, 3Q 영업손 54억원…적자 확대",2014.11.06,5
136,"""북미 전기차 판매량 급증, 2차전지 업체 수혜""",2014.09.10,5
137,,,6.0
138,,,7.0
139,"""2016 광주권 채용 박람회"" 10월6일 개최",2016.09.29,8
140,,,9.0
141,,,10.0
142,,,11.0
