,Title,Date,Category
0,"이은재, 기독당 대신 한국경제당 비례 1번으로 출마",2020.03.27,2
1,한국당 홍보본부장에 '제일기획' 출신 김찬형 교수 임명,2019.06.13,2
2,"'특검 복덩이'었던 장시호, 이재용 재판서 ""모른다"" 일관",2017.12.12,2
3,"장충기 ""영재센터·재단 출연 이재용 결재 없이 진행""",2017.08.01,2
4,"박상진 ""대통령 독대 전까지 정유라·승마에 전혀 관심 없었다""",2017.07.31,2
5,"""조사 받기 어려웠다""…법정서 검찰·특검 진술 뒤집은 제일기획 임원들",2017.07.11,2
6,"박근혜, 발가락 통증으로 11일 재판에도 불출석",2017.07.11,2
7,"김종, 이재용 재판서 특검 말 듣더니 ""이제 기억난다""",2017.07.08,2
8,"삼성 '뇌물죄' 한달간의 수사…특검, 전략수정 불가피",2017.01.19,2
9,"""법적 다툼의 여지 있다""…법원, 18시간 장고 끝에 이재용 영장 기각",2017.01.19,2
10,"특검, 삼성 미래전략실 최지성·장충기 9일 오전 소환",2017.01.08,2
11,"특검, '삼성 뇌물공여 의혹' 김진수 靑 비서관 피의자 입건",2017.01.08,2
12,"특검, 삼성 임원진 줄소환 본격화…임대기 사장 오후 출석",2017.01.06,2
13,"특검, 6일 오후 임대기 제일기획 사장 소환(속보)",2017.01.06,2
14,"특검, '삼성 합병' 대가성 입증 관련자 줄소환",2017.01.05,2
15,朴·삼성 '뇌물죄' 핵심 찌르는 특검…주중 임원진 소환 가능성,2017.01.03,2
16,'삼성특혜' 장시호·'문화농단' 김종덕 특검 첫 출석,2016.12.30,2
17,"김종 전 차관, 특검 사무실 출석…첫 공개소환 대상(종합)",2016.12.24,2
18,"김기춘 출국금지 처분…특검, 다음주 압수수색·소환 나설 듯",2016.12.15,2
19,"[최순실 국조특위]말문 트인 장시호, 최씨 일가 첫 청문회 참석…""이모 뜻 거스를 수 없었다""",2016.12.07,2
20,[최순실 국조특위] 김재열 16억 지원 이유 번복…김종→삼성전자,2016.12.07,2
21,[포토]고개숙인 김재열 제일기획 사장,2016.12.07,2
22,[포토]청문회 들어서는 김재열 사장,2016.12.07,2
23,[최순실 국조특위]'최순실 없는 최순실 청문회'…최씨 끝내 불출석 통보(종합),2016.12.07,2
24,[최순실 국조특위]장시호의 동계영재스포츠센터에 16억원 지원한 제일기획에 안종범 전 청와대 수석 자녀 ...,2016.12.07,2
25,[포토]나란히 선 국정농단 주연급,2016.12.07,2
26,[포토]청문회장 들어서는 김재열 사장,2016.12.07,2
27,"오승제 뉴욕문화원장 ""나는 차은택이란 사람을 모른다""",2016.11.02,2
28,"""TV 속 중소기업은 항상 을(乙)…인식 개선해야""",2015.12.10,2
29,첫 탈북민 백일장 열린다…공연 관람·박물관 견학도,2015.10.03,2
30,분단 상징 철조망으로 만든 '통일 피아노' 그 소리는?,2015.07.20,2
31,대기업 광고대행사들 하청업체에 '갑질'..과징금 33억원,2015.04.22,2
32,"제일기획-삼성증권 해외주식 캠페인, '내일을 향해 사라' 조회수 650만 돌파",2020.07.28,3
33,"제일기획, 원쇼 광고제 29개 수상…역대 최다 기록 경신",2020.06.22,3
34,"제일기획, 中2030 뚫어보는 소셜 빅데이터 기업 '컬러데이터' 인수",2020.06.02,3
35,"마켓컬리, '마켓컬리=전지현' 수식어 만든 제일기획과 또 맞손",2020.03.30,3
36,"감동·재미 담은 정관장 '펭수의 귀환', 한국 유튜브 광고 1등",2020.03.10,3
