,Title,Date,Category
0,퇴근후 카톡금지법…의욕만 앞섰던 '아이유법' 보고 배워라,2017.08.07,2
1,'대통령 맥주' 어디서 마실 수 있나요?,2017.07.28,2
2,"하이트진로음료, 칵테일 믹서 ‘진로믹서 토닉워터’ 캔 출시",2016.12.19,2
3,지난해 식품산업 생산실적 70조4000억…연 평균 5%씩 성장,2016.09.27,2
4,상하수도료 등 공공요금 릴레이 인상,2016.02.14,2
5,"[2015 국감]국회 정무위, 신동빈 등 증인 41명 확정…기업인 대거 포함(상보)",2015.09.10,2
6,"""처음처럼은 독"" 비방광고 일삼은 하이트진로 적발",2015.06.22,2
7,"하이트진로, 스타트업 ‘식탁이있는삶’에 올해 4번째 투자 체결",2020.08.31,3
8,"하이트진로, 청년 창업지원 성공 모델 찾았다…빵그레 월매출 1500만원",2020.08.26,3
9,[단독]소주 공용병 재사용 자율협약 결국 백지화…투명병·초록병 1대1 맞교환,2020.08.25,3
10,"하이트진로, 맥스 독일 스페셜 호프 2020 출시",2020.08.19,3
11,"하이트진로, 어른이 문방구 '두껍상회' 오픈",2020.08.13,3
12,"하이트진로, 수해 사각지대 쪽방촌 지원 나선다",2020.08.11,3
13,웰빙 트렌드에 코로나19 염려까지…'부담 줄인 술' 뜬다,2020.08.08,3
14,"하이트진로, 소주업계 최초로 美 TV 광고 선보인다",2020.08.04,3
15,"100년 기업 하이트진로, 1등 DNA 되찾다",2020.07.20,3
16,"9년간 총수일가 계열사 5곳 숨긴 하이트진로…공정위, 검찰고발 검토",2020.07.19,3
17,주류·음료업계도 '한정판 굿즈' 인기 뜨겁다,2020.07.19,3
18,"하이트진로, 20년 목통 숙성 원액 100% ‘일품진로 20년산’ 출시",2020.07.15,3
19,"하이트진로, 중국서 '참이슬'·'과일리큐르' 판매 대박 행진",2020.07.06,3
20,"[포스트 코로나 전략]하이트진로, 창원지역 저소득 청년 자립 '빵그레' 오픈",2020.06.16,3
21,"촌스럽다, 끌린다…'복고 감성' 왜 통할까",2020.06.10,3
22,글로벌로 뻗는 '진로이즈백'…미국·중국 등 7개국 수출 시작,2020.06.10,3
23,"하이트진로, 브루독 ‘인디페일에일’ CU 판매 개시",2020.06.04,3
24,맥주 '테라' 병 특허소송 2차전…특허법원 항소심,2020.05.25,3
25,'푸드 패션'에 꽂힌 MZ세대…맛있는 컬래버 뜬다,2020.05.24,3
26,"하이트진로, 과일믹스주 '망고링고' 새 옷 입힌다",2020.05.21,3
27,"하이트진로, 청년 자립 지원 위한 베이커리 카페 ‘빵그레’ 정식 오픈",2020.05.20,3
28,"하이트진로, '더 깨끗한' 참이슬 선보인다",2020.05.08,3
29,"""위기를 기회로""…식품·유통家, '코로나19' 악재에 오히려 웃었다(종합)",2020.05.04,3
30,"""햇반·테라 불티나게 팔려""…식품업계, '코로나19' 악재에 오히려 웃었다",2020.05.04,3
31,"하이트진로, '일품진로1924'·'일품진로19년산' 몽드셀렉션 대상 수상",2020.04.20,3
32,"하이트진로, 참이슬 등 주요제품 ‘환경성적표지’ 인증 추가 획득",2020.04.14,3
33,영업부진 시달리는 오비맥주…'가정용 주류' 매출 호조로 기세등등 하이트진로,2020.04.07,3
