,Title,Date,Category
0,당진기지 첫 삽…전국 천연가스시대,2020.02.04,2
1,"산업부, 천연가스 발전용 개별요금제 승인…발전비용 절감 기대",2020.01.03,2
2,"가스公 ""고객 중심 경영으로 국민 에너지 기업 될 것""",2019.12.02,2
3,"채희봉 가스공사 사장 ""제주 LNG 생산기지, 가스산업 전환점""",2019.11.28,2
4,[포토]국내 다섯번째 '제주 천연가스 생산기지 준공',2019.11.28,2
5,[포토]제주도 천연가스 생산기지 준공,2019.11.28,2
6,33년 만에 전국 천연가스 시대 개막…'제주도 생산기지' 준공,2019.11.28,2
7,"가스公-석유公, 석유가스개발사업·기술협력을 위한 협약 체결",2019.11.15,2
8,"가스公, 중소기업 중동 에너지시장 진출 협공 펼쳐",2019.11.12,2
9,"가스公, 'VR 기반 공급설비 교육훈련 시스템 구축' 최종 발표회 개최",2019.11.05,2
10,"가스公, 글로벌 에너지 기업으로 성장…13개국서 25개 사업 추진",2019.11.05,2
11,"가스公, 지진 등 복합재난 대응 역량 강화에 올인",2019.10.25,2
12,"가스公, 공공행정 한류 확산의 첨병 역할 톡톡",2019.10.24,2
13,"[2019 국감]가스公 연구직원, 친형 회사에 R&D비용 1억 넘게 부당지원",2019.10.18,2
14,"[2019 국감]가스公, R&D 부정행위 무법지대…환수·참여제한 규정 全無",2019.10.15,2
15,"[2019 국감]김삼화 의원 ""발전용 LNG개별요금제, 도입 전에 선제 조건 해결해야""",2019.10.15,2
16,[2019 국감]가스공사 北에 LNG 발전소 건설 검토,2019.10.15,2
17,"[2019 국감]어기구 의원 ""전기·가스요금 감면누락 전체 대상자의 40%""",2019.10.07,2
18,[2019 국감]산업부·중기부 산하기관 출자회사 162곳 만성적자…방만운영 여전,2019.10.07,2
19,"석유·LNG비축기지, '드론 테러' 무방비",2019.10.01,2
20,"가스公 통영기지 , 비어있는 저장탱크 1기 화재 발생…화재진압 완료",2019.10.01,2
21,"가스公, '갑·을 No!'…상생하는 기업문화 조성 앞장",2019.09.25,2
22,美 셰일가스 11.5조원 어치 구매…이유 있는 통큰 선택,2019.09.24,2
23,"[포토]가스公, BP社와 LNG 장기도입계약 체결",2019.09.24,2
24,"성윤모 장관, 추석맞이 도시가스 점검…""안전관리에 최선 다해라""",2019.09.12,2
25,"[포토]성윤모 산업부 장관, 추석 연휴 가스시설 현장 점검",2019.09.12,2
26,"가스公, 이라크 주바이르 사업서 원유 일산 50만 배럴 달성",2019.09.06,2
27,'제26회 대한민국 가스안전대상' 개최…38명 포상·상장 수여,2019.09.04,2
