,Title,Date,Category
0,,,2.0
1,지주회사의 민낯…내부거래 비중 55%,2018.07.03,3.0
2,[슈퍼주총]삼성 주주친화 vs SK 행복 vs 롯데 책임경영…924개사 메가주총,2017.03.24,3.0
3,"한라, 성공적 자구 완료…차입금 8000억 줄여",2016.03.10,3.0
4,"한라홀딩스, KS 블랙박스 '만도 KP100' 출시",2016.03.02,3.0
5,"한라, 계열사 한라홀딩스가 4600주 장내매수",2016.01.28,3.0
6,"한라, 내년 순차입금 규모 절반 축소",2015.12.24,3.0
7,"유브릿지, 러시아·CIS 7개국에 수출길 연다",2015.12.05,3.0
8,"한라, 한라홀딩스·만도 지분 처분",2014.11.06,3.0
9,"한라홀딩스, 통합물류대행 스타트업 '아워박스' 전략 투자",2020.08.18,4.0
10,CEO부터 전직원 대상…한라홀딩스 '원격근무제' 시행,2020.07.02,4.0
11,"정몽원 한라그룹 회장 ""창업주 '선구자 정신' 이어받아 미래 만들자""",2020.05.07,4.0
12,"한라그룹, 코로나19 극복 위해 성금 5억원 기부",2020.03.03,4.0
13,"한라홀딩스, 모빌리티 플랫폼 '비마이카'에 전략 투자",2020.01.16,4.0
14,"한라그룹, 女임직원 문화 행사 '뷰티풀 데이' 개최",2019.12.03,4.0
15,"한라홀딩스, 만도 블랙박스 보상판매 실시",2019.04.09,4.0
16,"한라그룹, 이석민 한라홀딩스 사장·탁일환 만도 사장 선임",2018.11.01,4.0
17,"무역협회, 한·우크라이나 경제포럼 개최",2018.04.23,4.0
18,"정몽원 한라그룹 회장, 만도 CEO로 경영일선 복귀",2017.10.24,4.0
19,"한라홀딩스, K쇼핑서 슈퍼HD 화질 블랙박스 'GF200' 판매",2017.06.16,4.0
20,"한라홀딩스, 풀HD 블랙박스 '오토비 SP200' 출시",2017.05.26,4.0
21,블랙박스 스펙전쟁,2017.05.15,4.0
22,"[보수공개]한라홀딩스, 임기영 부회장에 10억3300만원 지급",2017.03.31,4.0
23,[슈퍼주총]삼성 주주친화 vs SK 행복 vs 롯데 책임경영…924개사 메가주총,2017.03.24,4.0
24,"LG유플러스, 한라그룹 ICT 서비스망 구축",2017.01.23,4.0
25,"한라홀딩스, 차선이탈알림 기능 탑재 블랙박스 'GH200' 출시",2016.12.20,4.0
26,"유브릿지, 제이와이커스텀과 전략적 제휴 체결",2016.07.18,4.0
27,[인사]한라그룹,2016.04.04,4.0
28,"한라홀딩스, 임기영·황인용 각자대표 체제로",2016.03.18,4.0
29,"한라홀딩스, KS 블랙박스 '만도 KP100' 출시",2016.03.02,4.0
30,"한라그룹, 민생구하기 입법촉구 서명운동 동참",2016.01.28,4.0
31,"유브릿지, 러시아·CIS 7개국에 수출길 연다",2015.12.05,4.0
32,"한라그룹 정몽원 회장 등 임원, 청년희망펀드에 12억 기부",2015.12.04,4.0
33,"한라그룹, 박종식·정흥만 사장 정경호 수석부사장 승진",2015.09.30,4.0
34,"한라홀딩스, 스마트 내비게이션 '만도 LF100' 출시",2015.09.24,4.0
35,"한라, 물류창고 사업 진출 본격화…""미래가치 우수""",2015.07.23,4.0
36,"국민연금, 한라홀딩스 지분율 12.63%…2.23% 증가",2015.07.03,4.0
37,"한라그룹, 지주사 전환 마무리…사고 팔고 모으고 3대 전략 본격화",2015.07.03,4.0
38,"한라홀딩스, 한라마이스터 흡수합병 승인…지주사전환 마무리",2015.07.02,4.0
39,"만도, 4350만弗 투자 멕시코에 車부품공장 짓는다",2015.07.01,4.0
40,"한라그룹, 미래전략실 신설·금융역량 강화…사장단 인사",2015.06.30,4.0
41,"'凡 현대가 백기사' 정몽진, 지분매입 도움손길",2015.04.22,4.0
42,"구조개편 속도내는 재계, 삼성·현대차·SK 후속대책 착수(종합)",2015.04.21,4.0
43,[재계는 구조개편 中]오너 지배력·그룹체력 두마리 토끼잡는다,2015.04.21,4.0
44,[재계는 구조개편 中]삼성 현대차 한진…추가개편 속도낸다,2015.04.21,4.0
45,"정몽원 한라그룹 회장, 계열사 3곳서 연봉 31억 받아",2015.03.31,4.0
46,"한라홀딩스, 한라마이스터 흡수합병 지주사 전환키로",2015.03.31,4.0
47,"기업 배당 17조, 역대 최대치 전망",2015.02.22,4.0
48,대기업 지배구조 대수술에 증시 '후끈',2014.12.03,4.0
49,한라그룹 지주사 한라홀딩스 출범,2014.09.02,4.0
50,"[클릭 e종목] 한라홀딩스, 만도 부진에 전년比 적자전환",2020.08.19,5.0
51,"수익 20%대...국민연금 ""식품株 고마워""",2020.06.02,5.0
52,"""한라홀딩스, 2분기부터 실적 회복세 기대""",2020.05.30,5.0
53,"[클릭 e종목]""한라홀딩스, 2분기 실적 부진 전망...목표가 25%↓""",2020.05.19,5.0
54,"국민연금, 조용병·손태승 회장 연임에 반대표 결정",2020.03.19,5.0
55,"한라홀딩스 자회사 한라, 1260억 규모 세종 신청사 공사계약 수주",2020.03.19,5.0
56,자동차 부품株 코로나19 뚫고 반등할까,2020.03.15,5.0
57,"만도, 934억원 규모 신규시설투자 결정",2020.02.26,5.0
58,"한라홀딩스, 작년 영업익 750억…전년비 29.4% 증가",2020.02.06,5.0
59,[e공시 눈에 띄네] 코스피-30일,2019.12.31,5.0
60,"KRX고배당50지수, 하나금융·웅진코웨 등 11종목 편입",2019.06.10,5.0
61,"한라홀딩스 자회사 한라, 에스케이이엔디에 130억원 대여",2019.03.29,5.0
62,[e공시 눈에 띄네]코스피-28일,2019.03.29,5.0
63,한라홀딩스 신규 대표에 홍석화·최경선씨,2019.03.28,5.0
64,"[클릭 e종목]""기관투자자 주주환원 확대…저평가 지주업종과 SK· 두산 주목""",2018.11.26,5.0
65,"[클릭 e종목]""한라홀딩스, 자회사 우려 과도…목표가↓""",2018.11.21,5.0
66,"한라홀딩스 ""주당 2000원 수준 배당 계획""",2018.11.09,5.0
67,"한라홀딩스, 계열사로부터 담보 제공 받아",2018.11.09,5.0
68,"한라홀딩스, 한라로부터 담보 제공 받아",2018.11.09,5.0
69,"한라홀딩스, 156억 규모 자사주 소각",2018.10.05,5.0
70,[e공시 눈에 띄네]코스피-21일,2018.06.22,5.0
71,"한라홀딩스 ""자회사 한라, 발주처 채무 550억 인수 결정""",2018.03.30,5.0
72,[e공시 눈에 띄네] 코스피 - 23일,2018.03.26,5.0
73,"한라홀딩스, 성일모·황인용 대표이사 체제로 변경",2018.03.23,5.0
74,"한라홀딩스, 1주당 1350원 현금배당 결정",2018.02.08,5.0
75,"한라홀딩스, 지난해 영업익 627억원…전년비 45.9%↓",2018.02.08,5.0
