,Title,Date,Category
0,"민병두 ""올해 미성년자 주식 배당금 166억원""",2016.10.06,2
1,"""금수저는 있었다""…미취학 어린이들 주식 2조8000억 보유",2016.09.20,2
2,"[특징주]한미약품, 폐암 치료제 임상 3상 승인 소식…강세",2017.04.14,3
3,100대 기업 1인당 평균영업익 1억원…롯데케미칼 6억5천만원 최고,2017.04.05,3
4,"주가 쌀 때 물려주기?…임성기 회장, 한미사이언스 주식 100억어치 처분",2017.01.05,3
5,"한미약품, 오너 일가 시총 2조 허공에…개미도 지옥",2016.10.04,3
6,제약株도 가치주…동아쏘시오홀딩스 담는 신영운용,2016.08.02,3
7,올해 상장 제약사 50대 주식부호 평가차익 7조4811억원,2016.01.01,3
8,상장 제약사 시가총액 12% 감소…8조1666억원 규모,2015.12.16,3
9,"한미사이언스, 올해 주가 상승률 1위…무려 806% ↑",2015.12.09,3
10,'대박'난 한미약품…임성기 회장 주식자산 3조1000억원,2015.11.17,3
11,"한미사이언스, 재경-대외협력 총괄임원 영입",2015.11.16,3
12,"한국, 亞증시 상승 10대종목 7개 휩쓸어",2015.11.12,3
13,'이름만 착한' 사회책임투자펀드,2015.09.24,3
14,"중소형株 펀드, 코스닥 비중이 성과 갈랐다",2015.08.21,3
15,"삼성·SK그룹 잇단 합병에, 지배구조펀드 수익률 들썩",2015.06.16,3
16,한미약품그룹 회장에 故임성기 회장 부인 송영숙 고문,2020.08.10,4
17,10년 다져온 임종윤 체제 전환,2020.08.03,4
18,"한미약품그룹 中서 개발한 진해거담제, 코로나 치료제로 개발 추진",2020.07.31,4
19,"[여름 건강챙기기] 효과·안전성 입증한 해열시럽, 더 간편하게",2020.07.29,4
20,"""식물 기반 코로나 백신 개발"" 한미사이언스·바이오벤처 손잡다",2020.06.17,4
21,포닥 1인당 연구비 1억원.. 키우리 4개 대학 선정,2020.04.30,4
22,"""K바이오 인재육성"" 한미, 포스텍·경북·포항 손잡다",2019.11.25,4
23,"임종윤 한미사이언스 대표, 中의학재단과 대사성질환 기금설립",2019.11.19,4
24,"임종윤 대표 ""한미약품, 토털 헬스케어 그룹으로 클 것""",2019.11.14,4
25,"[아시아초대석]""임상에 '일희일비' K바이오..인재육성이 名藥""",2019.11.04,4
26,[아시아초대석]북경한미 성공 비결? 예술적 감각·과학적 사고의 시너지,2019.11.04,4
27,"한미약품, 3Q 영업익 249억…""자체개발 제품 성장 덕분""",2019.10.29,4
28,"까다롭던 유럽서 인정…제약사 ""경쟁력 확대"" 반색",2019.05.15,4
29,원료의약품 유럽 수출길 4개월 빨라진다…국내 제약사 호재(종합),2019.05.15,4
30,"임종윤 한미사이언스 대표 ""바이오뱅크의 '동의보감' 만들 것""",2019.02.26,4
31,"한미약품 계열사 JVM, 주당 350원 현금배당",2019.02.21,4
32,"한미약품그룹, 상장계열사 감사위원회 설치",2019.02.11,4
33,"임종윤 한미사이언스 대표 ""한미 미래는 바이오 융합""",2019.01.30,4
34,바이오협회 이사장에 임종윤 한미사이언스 대표(종합),2019.01.25,4
35,바이오협회 이사장에 임종윤 한미사이언스 대표 선임,2019.01.25,4
36,[제약·바이오 게임체인저<18>]혁신으로 가는 제약업…소통을 외치다,2018.11.12,4
37,[제약·바이오 게임체인저<17>]新藥 혁신 이끌 오너家 젊은 잠룡…판 흔든다,2018.11.05,4
38,"[제약·바이오 게임체인저④] 임종윤 대표 ""음악도, 경영도 결국 앙상블""",2018.07.16,4
39,한미약품 '텐텐츄정' 광고 모델에 김아랑 선수,2018.03.26,4
40,한미약품 임성기 회장 장녀·차남 부사장 승진,2017.12.30,4
41,제약업계 1980년대생 오너家 자제들 광폭 행보…젊은 피 수혈,2017.09.12,4
42,임성기 한미약품 회장의 '통큰 증여' 대단원,2017.09.04,4
43,임성기 한미약품 회장 '통큰 주식 증여' 마쳐…임직원 희비 엇갈려,2017.09.03,4
44,100대 기업 1인당 평균영업익 1억원…롯데케미칼 6억5천만원 최고,2017.04.05,4
45,"한미약품, 37년째 헌혈캠페인 진행…누적 참여자 6000명 육박",2017.01.06,4
46,"한미약품, 세계 최대 中 의약품자동화 시장 진출",2017.01.05,4
47,"한미약품 ""고개 숙여 사과…재발 방지에 최선 다할 것""",2016.12.13,4
48,"KT텔레캅, 온라인팜과 팜 케어 서비스 개발 MOU",2016.07.19,4
49,"한미약품, 제약바이오 벤쳐투자社 '한미벤쳐스' 설립",2016.07.04,4
50,"한미약품, 약품관리 자동화社 '제이브이엠' 인수",2016.06.09,4
51,강정석 동아쏘시오홀딩스 부회장 18억 제약업계 '연봉킹',2016.03.31,4
52,"한미사이언스, 中 토지 20만㎡ 매입…제약 생산시설 건립",2016.03.30,4
53,"제약업계 미성년자 3세, 억대 '금수저' 배당금",2016.03.21,4
54,한미약품 전직원에 주식 무상증여…회장의 '통 큰' 선물 배경은?,2016.01.05,4
55,"직원에 1100억원 선물한 한미약품, 1년새 주가 8.5배 ‘껑충’",2016.01.05,4
56,"임성기 회장의 ‘통 큰 선물’… 한미약품 전직원, 월급여 12배 받는다",2016.01.05,4
57,한미약품 '통큰 새해 선물'…1100억대 주식 증여,2016.01.05,4
58,한미약품 '통큰 성과급'…1인당 4000만원,2016.01.04,4
59,"한미약품 성과급도 '대박'…임성기 회장, 1100억원대 주식 증여",2016.01.04,4
60,"한미약품, 권세창 부사장 승진 등 임원인사 단행",2015.12.28,4
61,"한미약품, 어린이감기약 '써스펜시럽' 출시",2015.12.11,4
62,"한미약품, 밤낮 따로 복용 종합감기약 '써스펜' 출시",2015.12.01,4
63,"[환절기 건강지킴이]한미약품, 물에 타먹는 종합감기약 '타이롤핫'",2015.10.29,4
64,임성기 한미약품 회장 주식자산 2조7000억원…반년새 8.7배,2015.07.03,4
65,"한미약품, 피지·각질 관리 화장품 '클레어톡겔' 출시",2015.06.25,4
66,"한미약품, 알레르기 비염치료 복합제 日 특허",2015.05.22,4
67,재벌3세 '어린이 주식부자' 누가 있나?…100억대만 8명,2015.05.04,4
68,"한미약품, 뱃살 감량 '슬리미S' 내달 출시",2015.03.25,4
69,"이관순 한미약품 사장 ""올해 두 자릿수 성장률 달성""",2015.03.13,4
70,"한미사이언스·한미약품, 1주당 0.05주 무상증자(상보)",2014.12.08,4
71,"한미약품, 발 각질 크림 '내발앤' 출시",2014.11.14,4
72,"한미약품, 장기 보유 동아에스티 지분 처분",2014.10.30,4
73,"한미IT, 작고 강해진 'RFID 리더기' 개발",2014.09.15,4
74,美 FDA의 긴급 승인! 혈장치료제 잘 보셨죠? 지금도 좋아요!,2020.08.26,5
75,“첨단재생바이오법” 세부사항 마련! 지금 훨훨 날아가는 종목은?,2020.08.26,5
76,우리나라도 가져와야 할텐데… 모더나 EU에 8천만 백신 공급 합의!!,2020.08.26,5
77,인도도 이제는 안쓴다! 화웨이 결국 낙동강 오리알..,2020.08.26,5
78,삼바! 삼바! 면역관문억제제 위탁개발 쾌거! 움직일 수 밖에 없다!,2020.08.26,5
79,다른약으로도 감염 위험도 낮추고 생존율 높입니다! 타이밍입니다!,2020.08.26,5
80,바이러스 99.99% 비 활성화 하는 약물이 있다!,2020.08.25,5
81,미 FDA에 임상 2상 승인! 치료제 본계약 협의!,2020.08.25,5
82,"정부가 드디어 나섭니다 제 2탄! 전기, 수소차 충전소 적극시행!",2020.08.25,5
83,본격적으로 국산화 시작합니다! 제대로 터졌다!!,2020.08.25,5
84,"美 식품의약국, 혈장치료 긴급승인 날개달린 株 대 공개!!",2020.08.25,5
85,현재 방산주가 들썩이는 이유! 김정은 위원장 회복불능 상태!,2020.08.24,5
86,文 대통령 제대로 뿔났다! 방역무시 할 경우 단호하게 대처!!,2020.08.24,5
87,계속되는 임상3상 확대!! 전세계적으로 나갑니다! 지금 잡지 못하면…!,2020.08.24,5
88,정부가 드디어 나섭니다! 백신 최대 2000만명 분량 확보!,2020.08.24,5
89,역시 세계최초 타이틀은 우리! 이번엔 인공호흡기다! 대량생산!,2020.08.24,5
90,이제는 중증환자까지 잡습니다! 이런 난리 없습니다!,2020.08.24,5
91,세계최초! 간이인공호흡기 우리가 만듭니다!.,2020.08.23,5
92,‘토실리주맙’ 중증환자가 치료! 이거 지금 난리 또 난리입니다!,2020.08.22,5
93,박살내자! 바이러스 99.95%사멸! 제대로 끝났다!!,2020.08.21,5
94,역시 바이오는 대한민국! 백신 생산능력 세계 최고!,2020.08.21,5
95,렘데시비르! 미국 FDA긴급사용승인 유일하게 받았습니다!,2020.08.21,5
96,제가 말씀드렸죠? 그래핀 아주 중요하다고! 지금입니다!,2020.08.21,5
97,우리 아이들 대형 학원까지 휴원! 지금은 자택이 제일 안전!,2020.08.21,5
98,생산장비 구축지원 직접 나선다! 사업수행기관 지정까지 우리가!,2020.08.21,5
99,자! 치료제 임상3상 절차 끝났다! 지금이 기회다!,2020.08.21,5
100,정부에서 제대로 지원한다! ‘무료 공공 와이파이’ 전국 확대!,2020.08.20,5
101,말씀드렸죠? 전파력이 6배 라고! GH형 大 유행!,2020.08.20,5
102,우리가 먼저 간다고 했죠? 신속 진단키트 FDA긴급사용 승인!,2020.08.20,5
103,"美,中 무역전쟁 2탄! 美트럼프 중국과 대화 원하지 않는다?",2020.08.20,5
104,사회적 거리두기 단계 격상도 좋다! 하지만 가장 중요한 ‘이것’!,2020.08.20,5
105,"이제부터 본격적인 시작이다! 미국, 유럽 처럼 안된다는 보장 없다!!",2020.08.19,5
106,재확산은 더 빠르게 간다! 지난 4월보다 전파력이 6배!,2020.08.19,5
107,우리가 먼저 간다! 항체치료제 및 DNA백신 효능결과 확인!,2020.08.19,5
108,"美,中 무역전쟁! 미국의 직격탄 맞은 중국 과연 그들은?",2020.08.19,5
109,다시 초기화! 우리 아이들 대부분 휴교! 온라인 강의 다시 급증!,2020.08.19,5
110,中칸시노 백신 특허 땄다! 임상3상 시작!,2020.08.19,5
111,이제 바이러스 살균도 LED로 하자! 대형 건설사 우선공급!,2020.08.18,5
112,자! 온라인교육 대박조짐 보이죠? 계속 올라오고 있죠?!,2020.08.18,5
113,니콜라 창업자의 러브콜! ‘현대차’ 수소 특허 사용하고 싶다!,2020.08.18,5
114,‘그래핀’ 한계를 뛰어넘는 새로운 형태 大 성공!,2020.08.18,5
115,언제 종식이 찾아올까? 신규확진자 100명대 급증!!,2020.08.18,5
116,마지막 입니다! ‘나파모스타트’ 최초로 용도 특허 추진 합니다!!,2020.08.18,5
117,과거의 ‘에이치엘비’가 돌아왔다! 그때 못잡으신분들 지금 입니다!!,2020.08.17,5
118,‘SOC사업’에 2탄! 정부가 게임산업에 집중 사격 한다!!!,2020.08.16,5
119,"K-뉴딜 확실하게 지원한다! 공공기관 100% 전기차, 수소차 우선보급!",2020.08.15,5
120,지금은 스마트한 시대 그래핀 섬유도 스스로 움직인다!,2020.08.14,5
121,“빅히트” 상장도 아직 안했는데!! 역대 최고 실적! 관련주 급등!,2020.08.14,5
122,과거의 ‘에이치엘비’가 돌아왔다! 그때 못잡으신분들 지금 입니다!!,2020.08.14,5
123,‘ㅇㅇ약품’ 비임상 실험 완료 성공여부는?!,2020.08.14,5
124,살인진드기! 치사율이 20%가 넘는다고? 조심 또 조심!,2020.08.14,5
125,수차례 말씀드렸죠? ‘나파모스타트’ 국제학술지에 게재 합니다!!,2020.08.14,5
126,"K-뉴딜 확실하게 지원한다! 공공기관 100% 전기차, 수소차 우선보급!",2020.08.13,5
