,Title,Date,Category
0,"기업인들 청와대 초청한 문 대통령 ""고용 창출에 앞장서 달라""",2019.01.15,2
1,"국정委 ""제약·바이오·의료기기 산업강국 도약…국가차원 노력 필요""",2017.06.20,2
2,"표창원, 청와대 비아그라 구입 보도에 “할 말을 잃었습니다”",2016.11.23,2
3,"영양·미용 주사제도 모자라 비아그라까지…청와대, 왜 샀을까?",2016.11.23,2
4,"靑 ""비아그라 구입은 고산병 치료 목적""",2016.11.23,2
5,"식약처, 신약 심사보고서 전면 공개",2016.11.11,2
6,[포토]고개숙인 이관순 한미약품 대표,2016.10.18,2
7,[포토]답변하는 이관순 한미약품 대표,2016.10.18,2
8,[포토]답변하는 이관순 한미약품 대표,2016.10.18,2
9,[포토]답변하는 이관순 한미약품 대표,2016.10.18,2
10,[포토]답변하는 이관순 한미약품 대표,2016.10.18,2
11,[포토]나란히 앉은 이관순 한미약품 대표·권영수 LG유플러스 부회장,2016.10.18,2
12,[포토]국감장에 불려온 이관순 한미약품 대표,2016.10.18,2
13,13개 상임위서 국감…법인세·태풍 등 쟁점,2016.10.07,2
14,"우상호 ""한미약품 사태, 檢 수사해야…공매도 대책도""",2016.10.06,2
15,국감 정상화 사흘째…한미약품·누리과정·백남기 쟁점,2016.10.06,2
16,"[2016 국감]""3년반새 주가조작 신고접수 600건 상회""",2016.10.05,2
17,"홍문표, 기관 주식 공매도 상환기일 60일 제한 법안 추진",2016.10.04,2
18,"식약처 ""한미약품 '올리타정', 4월 사망사례 반영해 허가""",2016.10.02,2
19,"朴 ""바이오·온실가스…미래먹거리 확보에 큰 기여""",2016.04.21,2
20,오뚜기·쿠팡·넷마블 등 고용창출 100대 우수기업,2016.03.17,2
21,"유일호 ""수출촉진형 R&D 지원금 4500억원 투입…세액공제 확대""",2016.02.10,2
22,"정재찬 공정위원장 ""공정거래, 기업의 자발적 의지가 중요""",2015.04.01,2
23,"오브맘코리아, 최대규모 ‘밤(bamme)’ 기저귀 체험단 200명 19일까지 모집",2020.08.13,3
24,"공정위원장 ""기업, 공정거래 내부지침 잘 지켜라""",2020.05.29,3
25,"한국폴리텍대학 ""바이오캠퍼스 러닝팩토리 개관…취업 경쟁력↑""",2019.11.29,3
26,[아시아경제TV] 혁신신약으로 도약 준비하는 ‘한미약품’,2018.02.07,3
27,"안전보건공단, CJ제일제당·한미약품 등 8개 우수 사업장 선정",2018.01.14,3
28,"헬스케어펀드, 수익률 반전 성공",2017.08.01,3
29,"<변하는 것과 변하지 않는 것> 마케터 강민호, 거래보다 관계ㆍ유행보다 기본ㆍ현상보다 본질",2017.06.09,3
30,한미약품 미공개정보 이용자 24억 과징금…첫 대규모 부과(종합),2017.05.24,3
31,한미약품 미공개정보 이용자 총 24억 과징금…첫 대규모 부과,2017.05.24,3
32,[굿모닝 증시]지수 추가하락 제한적… 조정 때 '비중확대' 고려,2017.04.20,3
33,"[특징주]한미약품, 폐암 치료제 임상 3상 승인 소식…강세",2017.04.14,3
34,"국내 대기업들, 中사드보복 위험노출",2017.03.15,3
35,"주가 쌀 때 물려주기?…임성기 회장, 한미사이언스 주식 100억어치 처분",2017.01.05,3
36,뻥튀기 목표주가 주의보…'괴리율' 왜곡,2017.01.04,3
37,[리셋코리아]공매도 폭탄…출발선부터 다른 불공정 게임,2017.01.02,3
38,투자고수 5人이 본 새해 증시 키워드 'E·S·D',2017.01.02,3
39,"한미약품, 마일스톤 개념 이해 후 재평가 돼야",2016.12.29,3
40,연말 대차잔고 뚝뚝…산타랠리 올라 탈 종목 찜해볼까,2016.12.16,3
41,공매도하면 유상증자 참여 제한…기술이전도 당일 의무공시로,2016.11.10,3
42,[트럼프 후폭풍]트럼프 우세에 제약·바이오株 급락…'오바마케어' 폐기 우려?,2016.11.09,3
43,"""불안하다 불안해"" 화장품·제약주 던지는 외인",2016.11.03,3
44,"""공매도 뭇매에…"" 롱숏펀드 속앓이",2016.10.20,3
45,'한미약품 공매도' 檢 압수수색에 운용사도 '긴장',2016.10.19,3
46,[10월 18일]아시아경제 오늘의 한줄뉴스,2016.10.18,3
47,"한미약품 ""늑장공시, 내부 논의 과정에서 지연된 것""",2016.10.18,3
48,"임종룡 ""기술이전 공시 의무화…한미약품 사태 엄정히 처벌""",2016.10.18,3
49,[10월 17일]아시아경제 오늘의 한줄뉴스,2016.10.17,3
50,"정찬우 ""한미약품 악재성 공시, 장 시작 전 공시 요구했다""",2016.10.13,3
51,"진웅섭 ""기술수출, 자율공시→의무공시로 변경 검토""",2016.10.13,3
52,[이슈추적]공매도를 위한 변명…개미에겐 너무 높은 문턱,2016.10.13,3
53,[이슈추적]공매도를 위한 변명-한미약품 사태의 이면,2016.10.13,3
54,"임종룡 ""직원 일탈 무거운 책임감…김영란법으로 취재 제한은 안돼""",2016.10.07,3
55,오늘 읽어야 할 아경 종합뉴스 Top10,2016.10.04,3
56,[10월 4일]아시아경제 오늘의 한줄뉴스,2016.10.04,3
57,"홍문표, 기관 주식 공매도 상환기일 60일 제한 법안 추진",2016.10.04,3
58,"한미약품, 오너 일가 시총 2조 허공에…개미도 지옥",2016.10.04,3
59,오늘 읽어야 할 아경 종합뉴스 Top10,2016.10.01,3
60,오늘 읽어야 할 아경 종합뉴스 Top10,2016.09.30,3
61,[9월 30일]아시아경제 오늘의 한줄뉴스,2016.09.30,3
62,이건희 삼성전자 회장 주식 자산 8개월만에 20%↑,2016.08.19,3
63,"국가미래기술개발 최전방기지, KEIT",2016.05.03,3
64,오뚜기·쿠팡·넷마블 등 고용창출 100대 우수기업,2016.03.17,3
65,시장 혼란기 투자 비상구는?,2016.02.29,3
66,"고령화사회, 男건강 들여다보니…전립선치료제 시장 비대해져",2016.02.21,3
67,제약업계 규제개선 요구 '봇물'…규제 대못 뽑힐까,2016.02.19,3
68,"""수출동력 창출 필요…제약산업 신인도 높인다""",2016.02.19,3
69,코스닥 비중 높을수록 펀드 수익률 '뚝',2016.02.17,3
70,"한미약품,독감치료 개량신약 '한미플루' 단독 출시",2016.02.16,3
71,[부고]박명희(한미약품 상무)씨 부친상,2016.02.15,3
72,"의사 오케스트라 MPO, 제4회 빛의소리나눔콘서트 개최",2016.02.15,3
73,"[스타PB 전략 엿보기]⑤김형표 NH투자증권 WM팀장 ""불황에 투자하라""",2016.02.12,3
74,"유일호 ""수출촉진형 R&D 지원금 4500억원 투입…세액공제 확대""",2016.02.10,3
75,"[스타 PB 전략 엿보기]④ KB투자증권 장성호 ""제약·헬스케어 등 성장주 노려야""",2016.02.05,3
76,"세뱃돈, 여기에 묻어株…증권사들 '강추, 이 종목'",2016.02.05,3
77,"한미약품, 작년 매출 1조3천억…""창사 이래 최대""",2016.02.04,3
78,"발기부전치료제, 3·7·12월이 '대목'인 까닭",2016.02.03,3
79,"한미약품, 8개 도시서 '로수젯 전국심포지엄' 성황리 종료",2016.01.25,3
80,"국민연금, 지난해 제약·바이오주 집중 투자",2016.01.22,3
81,"한미약품, 전립선비대증치료제 '실도신' 출시",2016.01.21,3
82,내려앉은 증시에 재벌 주식가치 연말 대비 1조원 증발,2016.01.21,3
83,"""헬스케어株, 30년후도 유망…한국 주식은 비싸""",2016.01.20,3
