,Title,Date,Category
0,'2019년 대한민국패션대상' 개최…11명 유공자 포상,2019.12.04,2
1,대기업집단 계열사 1686개..2개 증가,2015.07.01,2
2,방탄소년단 뭐 입었지…K패션 러브콜은 'BTS',2020.08.29,3
3,"[단독]방탄소년단, 또 시스템 '풀착장'…""한섬, BTS 2차 컬렉션 출시""",2020.08.25,3
4,"현대백화점그룹, 천연 화장품 원료 1위 SK바이오랜드 인수",2020.08.18,3
5,"‘1위’ CJ 비비고 만두, ‘외식형 수제만두’로 시장 진화…매출 폭발 성장",2020.08.06,3
6,"화장품에 꽂힌 정지선 회장, SK바이오랜드 인수 한다",2020.05.28,3
7,"현대百 압구정본점, 10개 컨템포러리 브랜드 새단장 오픈",2020.05.25,3
8,"롯데百, 모피·여성복 콘셉트 스토어 '진도 아콤플리어' 오픈",2020.05.19,3
9,이태원發 감염에 유통가 '반등' 물거품되나,2020.05.12,3
10,"""정관장 50% M포인트 결제""…현대카드, 가정의 달 이벤트",2020.05.04,3
11,"롯데백화점, ‘4대 패션그룹 페어’ 진행",2020.03.25,3
12,"현대백화점그룹, 모든 상장 계열사에 전자투표제 도입",2020.02.25,3
13,코로나 덮쳐 죽을 맛인데…백화점 임대수수료 인상까지,2020.02.21,3
14,"현대백화점, 설 연휴 기간 '힐링 페스티벌' 진행",2020.01.23,3
15,"CJ그룹, ‘설맞이 명절음식 임직원 나눔봉사’ 진행",2020.01.19,3
16,"이베이코리아, '스마일페이' 이용한 '2020 새해선물' 행사 진행",2020.01.13,3
17,"[2020유통街, 열쇳말은 변화] 불황 파고 넘는 쥐띠 CEO들",2020.01.01,3
18,마켓 4.0시대 대응하는 유통 3社…컨설팅사 출신 CEO도 구원투수 등판(종합),2019.12.21,3
19,10살 이상 어려진 유통가 수장들…롯데도 '쇄신' 물결 합류,2019.12.20,3
20,"한섬 타미힐피거, 모던 베이직 스타일 '헤리티지 스니커즈' 출시",2019.12.11,3
21,"한섬, 제주 주민·외국인 관광객 공략…더한섬하우스 3호점 오픈",2019.12.10,3
22,'2019년 대한민국패션대상' 개최…11명 유공자 포상,2019.12.04,3
23,VIP 찾아 제주도 보폭 넓히는 한섬…빈틈없는 패션 지도(종합),2019.12.02,3
24,한섬 실험作 '더한섬하우스'…1월 바다 건너 제주도 상륙,2019.12.02,3
25,"현대百그룹, 총 64명 임원인사 단행…젊은 인재 대거 발탁",2019.11.29,3
26,"명품 1층에 배치하고, '패션 카페' 배치…백화점은 '변신 중'(종합)",2019.11.28,3
27,"'변해야 산다'…'유통공룡' 백화점, 변화 몸부림",2019.11.28,3
28,'젊은 피' 수혈이 관건…유통가 인사가 젊어진다(종합),2019.11.25,3
29,이마트 이어 현대백화점도 세대교체…롯데 인사에 쏠린 유통가의 눈(종합),2019.11.25,3
30,"김형종 신임 현대百 사장은 누구…""'고급화 전략'으로 한섬 성공신화""",2019.11.25,3
31,현대百 새 대표이사에 김형종 한섬 사장 선임…60년대생 '전면배치' 인사 단행,2019.11.25,3
32,"패션 대기업들, 내 집에서 입어보는 '홈피팅' 강화…VIP 감동에 초점",2019.11.12,3
33,"현대百그룹, '코리아 현대 페스타'…스타일러·프라엘 등 경품 풍성",2019.10.30,3
34,"한섬, 불황 모르는 가을 아우터…FW 시즌 女의류 판매량 27%↑",2019.10.30,3
35,소비 특수 대목 된 핼러윈…파티 흥 돋울 다양한 패션 아이템들,2019.10.27,3
36,"""90년대 인싸템의 귀환"" 타미 진스, '헤리티지 캡슐 컬렉션' 출시",2019.10.17,3
37,나쁘지만 매력적인 악당들…핼러윈 시즌 맞은 패션업계(종합),2019.10.14,3
38,"한섬 타미 진스, '라이트 다운 패딩' 출시…베이직한 디자인 '눈길'",2019.10.06,3
39,라인 확장 가속화하는 한섬 타임옴므…스포츠 캐주얼 라인 추가,2019.09.16,3
40,"현대백화점, 추석 연휴 기간 '명절 힐링 페스티벌'",2019.09.08,3
41,"현대G&F, 타미힐피거 '캔드릭 스니커즈' 국내 200족 한정 판매",2019.08.28,3
42,현대百그룹 계열사 지배구조헌장 공표…주주친화 행보에 앞장선다(종합),2019.08.14,3
43,"정지선 회장, 경영 투명성 제고에 속도…계열사 지배구조헌장 공표",2019.08.14,3
44,카스와 유튜브의 협업 '아오르비' 탄생…이색 협업 열풍,2019.07.28,3
45,뷰티 디바이스 진출하는 화장품社…파운데이션 권하는 패션기업(종합),2019.07.18,3
46,"[유통 빅블러] 레드오션 된 뷰티·패션, 닥치는 대로 다 한다",2019.07.18,3
47,"한섬, 中 1위 유통사와 손잡고 여성복 시장 진출",2019.07.17,3
48,"한섬, 오뚜기 담은 '시스템 옴므' 한정판 의류 출시",2019.07.07,3
49,[포토]파리 패션위크 2회 연속 참가한 한섬 '시스템',2019.06.23,3
50,'세계에 K패션 알린다' 파리로 간 디자이너들(종합),2019.06.20,3
51,"K패션 프랑스 파리 공습…""열릴 때까지 두드린다""",2019.06.20,3
52,한섬 '시스템·시스템옴므' 파리 패션위크 2회 연속 참가,2019.06.19,3
53,타미힐피거 작년 매출 2천억 넘겨…브랜드 심폐소생 성공,2019.06.18,3
54,온라인 편집숍에 걸린 핸드백들…'완판' 즐거운 비명(종합),2019.06.17,3
55,백화점 떠나 무신사로 간 '잇백'…디자인과 가성비로 승부,2019.06.17,3
56,풍성하고 즐거운 소비 '경험'…진열방식 바꾸는 패션가(종합),2019.06.11,3
57,원피스 옆에 샌들·토트백…소비자 취향 DP 고민하는 패션가,2019.06.11,3
58,"한섬, 예비 신혼부부 대상 '웨딩 프로모션' 진행",2019.06.04,3
59,"타미힐피거, '90년대 감성' 레트로 스니커즈 출시…빅로고 플레이",2019.05.23,3
