,Title,Date,Category
0,,,2.0
1,"한솔그룹, 전 상장계열사에 '감사위원회' 설치 확대",2020.03.13,3.0
2,올해 1호 상장 한솔씨앤피 '롤러코스터' 데뷔전,2016.01.27,3.0
3,"[특징주]한솔씨앤피, 상장 첫날 11% 넘게 상승",2016.01.27,3.0
4,"한솔씨앤피, 공모가 1만3000원 확정",2016.01.18,3.0
5,"올해 1호 신규 상장사 한솔씨앤피 …""독보적 코팅재 기술로 높은 성장성이 매력""",2016.01.12,3.0
6,"[머니몬스터]'영구보유株' 찾는 극성운용맨, 최웅필 KB운용 상무",2015.10.22,3.0
7,주요그룹 '오너家' 임원 중 20~40대는 150명…최연소 26세,2020.04.20,4.0
8,"한솔그룹, 전 상장계열사에 '감사위원회' 설치 확대",2020.03.13,4.0
9,문화예술 아꼈던 故 이인희 뜻 기려…한솔문화재단에 주식 증여,2019.03.21,4.0
10,"故 이인희 한솔그룹 고문 보유주식, 한솔문화재단에 증여",2019.03.21,4.0
11,부인 잃은지 한 달 만에…삼성가 맏사위 조운해 별세(종합),2019.03.04,4.0
12,삼성가 맏사위 조운해 전 고려병원 이사장 별세,2019.03.04,4.0
13,'늘 푸른 꽃이 되다' 이인희 고문 빈소 …범 삼성가·재계 조문 행렬,2019.01.30,4.0
14,타계한 '삼성가 장녀' 이인희 고문은…호암이 총애한 1세대 女경영인,2019.01.30,4.0
15,한솔그룹 일군 이인희 고문 별세…향년 90세(종합),2019.01.30,4.0
16,'KT·CJ제일' 대기업 회사채 연이어 1조 클럽,2019.01.09,4.0
17,한솔그룹 정기 임원인사…한솔 PNS 대표에 강준석,2017.11.24,4.0
18,"거래소, 한솔케미칼에 테이팩스 인수설 조회공시 요구",2015.12.08,4.0
19,"한솔페이퍼텍 대표이사에 강병윤, 한솔PNS 대표이사에 정병채씨",2015.11.27,4.0
20,"국민연금, 한솔케미칼 지분율 14.83%…1.79% 증가",2015.07.03,4.0
21,"삼성發 연이은 빅딜…재계, 구조개편 가속화",2015.05.26,4.0
22,한솔홀딩스-한솔로지스틱스 투자부문 합병,2015.05.14,4.0
23,10억 20억 '億소리'가 자연스런 임원들,2015.03.31,4.0
24,범삼성家 4세서 첫 사내이사 탄생…조연주 한솔케미칼 부사장,2015.03.23,4.0
25,퀀텀닷 TV 제조사들 원가낮추기 고심,2015.02.10,4.0
26,삼성전자 협력 기대감 큰 한솔케미칼,2014.12.04,4.0
27,"[클릭 e종목]""한솔케미칼, 3분기 사상 최대 실적 전망""",2020.08.27,5.0
28,국산화 잰걸음에 힘 받는 반도체 소재株,2020.07.24,5.0
29,"[클릭 e종목] ""한솔케미칼, 반도체부터 2차전지까지…목표가 31%↑""",2020.07.13,5.0
30,"한솔케미칼, 3D 낸드(NAND) 테마 상승세에 10.04% ↑",2020.06.18,5.0
31,"한솔케미칼, 언택트 사회 서버 D램 수요 증가로 방긋",2020.04.29,5.0
32,"한솔그룹, 전 상장계열사에 '감사위원회' 설치 확대",2020.03.13,5.0
33,"[클릭 e종목]""한솔케미칼, 포스코·OCI 합작사 영향 크지 않을 것""",2020.02.25,5.0
34,"한솔케미칼, 주당 1500원 현금배당 결정",2020.02.11,5.0
35,[e공시 눈에 띄네] 코스피-22일,2020.01.23,5.0
36,내년 1분기 상장사 10곳 중 8곳 실적개선 전망…반도체·5G·차화정 등 골고루 '주연',2019.11.25,5.0
37,"[클릭 e종목]“한솔케미칼, 올해 사상 최대 실적 예상”",2019.11.22,5.0
38,삼성 QD OLED 10조 투자 포문…부가가치 극대화 전략에 파워넷 등 강세,2019.08.30,5.0
39,"[지소미아 종료]IT업종, ""일본 수출규제 장기화될까"" 촉각",2019.08.23,5.0
40,"문대통령 국무회의 직후 증권가 ""삼전·하이닉스 日화이트리스트 영향 제한적""",2019.08.02,5.0
41,"하반기 주도주는 OLED…""상승 여력에 초점 둘 때""",2019.05.25,5.0
42,"한솔케미칼, 삼성 반도체 투자확대 수혜 기대 솔솔",2019.04.29,5.0
43,"""한솔케미칼, 1Q 호실적 전망...성장 가속도 붙을 것""",2019.04.21,5.0
44,"[클릭 e종목]""한솔케미칼, 3분기까지 실적 우상향""",2019.03.27,5.0
45,[e공시 눈에 띄네]코스닥-25일,2019.02.26,5.0
46,SK케미칼·대상…'A급 기업' 회사채시장 러시,2019.01.16,5.0
47,'KT·CJ제일' 대기업 회사채 연이어 1조 클럽,2019.01.09,5.0
48,"[클릭 e종목]""한솔케미칼, 과산화수소 신규 설비 완공…이익 증가 기대""",2018.11.21,5.0
49,"고공행진 한솔케미칼, 일주일만에 10% 상승…외인 8거래일 연속 순매수",2018.11.13,5.0
50,"[특징주] 한솔케미칼, 3Q 최초 300억 영업익 달성 전망…↑",2018.10.18,5.0
51,"[클릭 e종목] 한솔케미칼, 분기 최초 영업익 300억 돌파 전망",2018.10.18,5.0
52,"[특징주]한솔케미칼, 3분기 호실적 전망에 52주 신고가 경신",2018.08.30,5.0
53,"[클릭 e종목]“한솔케미칼, 3분기에도 실적 개선 지속”",2018.08.30,5.0
54,"[클릭 e종목]""한솔케미칼, 과산화수소와 전자재료 동반성장…목표가↑""",2018.08.27,5.0
55,"[특징주] 한솔씨앤피, 최대주주 변경 수반 주식 양수도 계약 소식…강세",2018.08.16,5.0
56,[e공시 눈에 띄네]코스피-14일,2018.08.16,5.0
57,"한솔케미칼, 262억원 규모 한솔씨앤피 주식 처분 결정",2018.08.14,5.0
58,"삼성 180조에 대한 다른 시각…""코스닥도 살릴 것""vs""새롭지 않다""",2018.08.10,5.0
59,"한솔케미칼, 주력제품 판매 증가…2분기 실적 회복",2018.05.31,5.0
60,[개장전] 증권사 스몰캡 추천주(05/31),2018.05.31,5.0
61,[개장전] 증권사 스몰캡 추천주(05/25),2018.05.25,5.0
62,"[클릭 e종목]""한솔케미칼, 분기별 이익 상승흐름 지속""",2018.05.23,5.0
63,"[클릭 e종목]한솔케미칼, 2분기 실적개선 가시화",2018.03.20,5.0
64,"[클릭 e종목] 한솔케미칼, 증설로 중장기 성장성 확보…목표가↑",2018.03.20,5.0
65,"한솔케미칼, 주당 1000원 현금배당 결정",2018.02.08,5.0
66,KRX300 편입 종목 발표…코스피 237개·코스닥 68개,2018.01.30,5.0
67,기업 신용등급 5년째…뚝,2018.01.11,5.0
68,"[클릭 e종목]""한솔케미칼, 퀀텀닷과 반도체 소재 실적 안정화""",2017.11.14,5.0
69,"[특징주]테이팩스, 상장 첫날 롤러코스터…9% 상승 중",2017.10.31,5.0
70,"심병섭 테이팩스 대표 ""코스피 상장 통해 전자소재 사업부문 경쟁력 강화""",2017.10.16,5.0
