,Title,Date,Category
0,,,2.0
1,"한올바이오파마, 자사주 10만주 처분 결정",2016.06.02,3.0
2,"대웅제약, 올해 시무식서 '글로벌 제약기업' 도약 다짐",2016.01.04,3.0
3,올해 뜨거웠던 테마주는?…'불끈' 불륜株·'떴다' 드론株,2015.12.24,3.0
4,"한미사이언스, 올해 주가 상승률 1위…무려 806% ↑",2015.12.09,3.0
5,"한올바이오파마, 美법인 대표에 정승원씨 영입",2020.06.04,4.0
6,"은퇴 선언한 서정진 회장, '바이오 잭팟' 미국行",2020.01.13,4.0
7,"""5연임이 대수냐, 내친김에 6연임""…제약 CEO 장수 비결은",2020.01.10,4.0
8,"K바이오, 연말 기지개 펼까",2019.11.03,4.0
9,"한올바이오파마, 美 안과학회서 안구건조증 신약 임상 2상 결과 발표",2019.10.16,4.0
10,"한올바이오파마 ""안구건조증 치료제 中임상2상서 효능·안전성 입증""",2019.10.14,4.0
11,"한올바이오파마, 2Q 영업익 70억…사상 최대 실적",2019.07.30,4.0
12,바이오 투톱 '실적 먹구름' 3분기엔 걷힐까,2019.07.24,4.0
13,"대웅, 50억원 규모 대웅제약 주식 매입…자회사 지분 확대",2019.05.13,4.0
14,"한올바이오파마 ""자가면역질환 치료제 임상1상서 효과 입증""",2019.05.10,4.0
15,"한올바이오파마 ""안구건조증 신약 임상2상서 치료효과 입증""",2019.04.30,4.0
16,"한올바이오파마, 안구건조증 바이오신약 美 임상3상 돌입",2019.03.12,4.0
17,바이오협회 이사장에 임종윤 한미사이언스 대표(종합),2019.01.25,4.0
18,바이오협회 이사장에 임종윤 한미사이언스 대표 선임,2019.01.25,4.0
19,지난해 제약·바이오 기술수출 5조3000억원 규모,2019.01.22,4.0
20,"[제약·바이오 게임체인저⑦] 윤재승 회장 ""IT벤처같은 제약사""",2018.08.06,4.0
21,"한올바이오파마, 안구건조증 신약후보물질 국제일반명칭 승인",2018.06.22,4.0
22,"복지부, 리베이트 적발 11개 제약사 340개 약가 인하",2018.03.26,4.0
23,지난해 의약품 수출 늘었는데 기술 수출은 30% 감소,2018.03.07,4.0
24,"한올바이오파마, 신약 성과 한국과총 '10대 과학기술 뉴스' 선정",2018.01.04,4.0
25,[인사]한올바이오파마,2018.01.03,4.0
26,"한올바이오파마, 中 8100만달러 바이오신약 기술 수출",2017.09.13,4.0
27,"대웅제약, 조직 개편 및 인사 단행 ""글로벌 경쟁력 강화""",2017.01.03,4.0
28,"대웅제약, 그룹사 직원 235명 GMP 전문기술 인증 획득",2016.12.09,4.0
29,"대웅제약, 바이오의약품 메카 '대웅 바이오센터' 개소",2016.10.28,4.0
30,"대웅제약, 한올바이오파마와 면역항암항체 신약개발",2016.10.24,4.0
31,"JW그룹, 하반기 임원인사…김진환 JW바이오사이언스 대표",2016.07.07,4.0
32,"한올바이오파마, 미량원소 9종 '아다멜엔' 국내 판매",2016.06.29,4.0
33,[제약 리베이트 흑역사②]신약도 업계 1위도 '뒷돈'에 무너졌다,2016.06.17,4.0
34,"한올바이오파마, 자사주 10만주 처분 결정",2016.06.02,4.0
35,"대웅제약 ""R&D 역량 강화해 매출 목표 1조 앞당기겠다""",2016.03.18,4.0
36,상장제약사 영업이익률 9.8%…바이오 강세,2016.03.15,4.0
37,제약서 36곳 혁신형 제약 인증 연장,2015.06.26,4.0
38,"대웅제약, 글로벌 제약기업 도약 시동 걸었다",2015.05.29,4.0
39,'태양의 나라' 스페인 선크림이 온다,2015.05.22,4.0
40,"한올바이오파마, 내년까지 고혈압 복합신약 3개 출시",2015.03.11,4.0
41,"한올바이오파마, 당뇨 개량신약 이란 수출",2015.03.09,4.0
42,"한올바이오파마, 안구건조증 바이오신약 1상 임상 신청",2015.02.23,4.0
43,"한올, 고혈압-고지혈증 복합제 신약 허가 신청",2014.09.17,4.0
44,전 국민이 검사 합시다! 불안해서 못 살겠어요! 항원항체키드 확인!,2020.08.28,5.0
45,"한올바이오파마, 최근 5일 기관 11만 7611주 순매수... 주가 3만 6650원(+7.95%)",2020.08.27,5.0
46,"한올바이오파마, 커뮤니티 활발... 주가 0.58%.",2020.08.26,5.0
47,"이씨에스, 주가 6680원 (16.58%)… 게시판 '북적'",2020.08.26,5.0
48,"한올바이오파마, 메르스 코로나 바이러스 테마 상승세에 8.71% ↑",2020.08.26,5.0
49,미 FDA에 임상 2상 승인! 치료제 본계약 협의!,2020.08.25,5.0
50,[e공시 눈에 띄네]코스피-29일,2020.07.30,5.0
51,"한올바이오파마, 2분기 영업이익 16억… 전년比 76.5%↓",2020.07.29,5.0
52,"한올바이오파마, 제약업체 테마 상승세에 5.46% ↑",2020.07.14,5.0
53,"한화, 주가 2만 4750원 (3.12%)… 게시판 '북적'",2020.06.17,5.0
54,"동화약품, 주가 1만 5550원 (-2.51%)… 게시판 '북적'",2020.06.17,5.0
55,"한올바이오파마, 커뮤니티 활발... 주가 -4.71%.",2020.06.17,5.0
56,"삼성SDI우, 주가 24만 1500원 (-0.41%)… 게시판 '북적'",2020.06.17,5.0
