,Title,Date,Category
0,,,2.0
1,"환경부-시멘트 업계, 미세먼지 저감 협력키로…""올해 말 목표 마련""",2020.06.09,3.0
2,"한일홀딩스, 한국거래소 선정 '유가증권시장 공시우수법인'",2020.03.09,3.0
3,"현대시멘트, '한일현대시멘트'로 사명 변경",2018.07.17,3.0
4,시멘트 공장 온실가스 배출 주범은 '옛 말'…오염물질 이유 있는 감소,2020.05.11,4.0
5,"한일홀딩스, 한국거래소 선정 '유가증권시장 공시우수법인'",2020.03.09,4.0
6,[인사]한일홀딩스,2019.11.25,4.0
7,"한국시멘트협회, 품목별 품질관리단체 지정",2019.10.10,4.0
8,좌불안석 시멘트…유연탄 반사이익으로 버텼으나 구조적 악재 겹겹,2019.09.17,4.0
9,"한일시멘트, 전근식 대표 선임…한일홀딩스 대표직 동시 수행",2019.07.30,4.0
10,"한일현대시멘트, 장오봉 신임 대표 선임",2019.07.23,4.0
11,건설경기 후폭풍…공인중개사·래미콘·건자재 '도미노 쇼크',2019.05.17,4.0
12,"한일시멘트·한일현대시멘트, 강원도 산불피해 성금 1억원 기부",2019.04.11,4.0
13,"한일현대시멘트, 한국단자공업 지분 3.48% 취득",2020.08.25,5.0
14,"4월 16일 코스피, 0.01p 내린 1857.07 마감(0.00%↓)",2020.04.16,5.0
15,"한일홀딩스, 한국거래소 선정 '유가증권시장 공시우수법인'",2020.03.09,5.0
16,"한일현대시멘트, 장오봉 대표이사로 변경",2019.07.23,5.0
17,다시 들썩이는 통일펀드·남북경협주,2019.07.01,5.0
18,"한일홀딩스, 2168억원에 HLK홀딩스 지분 100% 취득",2019.06.12,5.0
19,"한일현대시멘트, 700억 규모 신규 시설 투자",2019.06.11,5.0
20,"코스피 200 등 지수 정기변경…""내달 14일부터 적용""",2019.05.21,5.0
21,"너무 빠진 시멘트·철도株, 이제 다시 담아볼까",2019.03.27,5.0
22,[e공시 눈에 띄네]코스피-30일,2019.01.31,5.0
23,[특징주]내년초 2차 북미 정상회담 기대…시멘트주 '들썩',2018.12.03,5.0
24,"증시 9월 반등 나서나…""가치주보다는 성장주""",2018.08.22,5.0
25,건설경기 후폭풍…공인중개사·래미콘·건자재 '도미노 쇼크',2019.05.17,6.0
26,,,7.0
27,"환경부-시멘트 업계, 미세먼지 저감 협력키로…""올해 말 목표 마련""",2020.06.09,8.0
28,,,9.0
29,,,10.0
30,,,11.0
